Rowid,COUNTY FIP,MIN,MAX,RANGE,MEAN,STD
1,075,247.0200043,2176.52002,1929.500015,812.2418951,394.9336152
2,025,61.43000031,1757.780029,1696.350029,581.5275619,395.4423043
3,007,111.4599991,4672.419922,4560.959923,696.0103475,465.9869715
4,181,452.6600037,1547.780029,1095.120026,994.0923296,299.2061712
5,421,435.1600037,487.1300049,51.97000122,456.791567,14.83448158
6,011,156.2299957,3641.52002,3485.290024,786.9267123,471.7116821
7,680,1067.180054,1099.189941,32.0098877,1077.152884,10.51047873
8,099,254.1900024,2205.01001,1950.820007,902.8117178,387.7730575
9,014,390.1099854,417.9100037,27.80001831,399.7399963,10.12018455
10,065,74.62000275,1919.209961,1844.589958,695.2287732,416.8776373
11,027,46.75,5496.709961,5449.959961,631.3578017,589.6194917
12,129,410.5700073,1822.380005,1411.809998,952.7874635,352.2726711
13,063,243.1900024,2400,2156.809998,804.4937154,395.4071526
14,097,349.1799927,1888.219971,1539.039978,997.9796185,339.2541258
15,101,263.7600098,1673.469971,1409.709961,819.1512553,400.807115
16,775,1041.819946,1062.670044,20.85009766,1052.244995,10.42504883
17,493,709.1799927,826.6099854,117.4299927,755.1254938,33.93851993
18,115,432.7799988,1957.390015,1524.610016,983.4437276,327.1066544
19,051,129.0099945,3568.360107,3439.350113,795.4328625,412.5278243
20,067,239.1900024,2723.72998,2484.539978,919.6433064,352.4905479
21,670,1174.47998,1174.47998,0,1174.47998,0
22,003,88.41000366,3080.620117,2992.210114,687.8131027,430.293148
23,031,133.1499939,5983.990234,5850.84024,751.9944019,593.1501739
24,169,526.1900024,1614.949951,1088.759949,941.7151091,215.5566042
25,161,397.3699951,1545.060059,1147.690063,901.8103886,310.8600891
26,107,187.6699982,1805.810059,1618.14006,873.6804808,351.9471866
27,055,154.1399994,1669.189941,1515.049942,730.5547147,381.2095223
28,105,190.6999969,2403.139893,2212.439896,808.9734182,449.2387732
29,045,101.7799988,5244.459961,5142.679962,674.2435994,524.588783
30,173,403.3500061,2005.300049,1601.950043,933.8122217,286.521541
31,145,515.5800171,1499.579956,983.999939,979.5749952,252.3017938
32,089,293.3500061,2882.699951,2589.349945,958.07929,384.5113565
33,077,175.3200073,2889.98999,2714.669983,820.1206293,407.2461059
34,131,539.2199707,1692.369995,1153.150024,1046.230689,291.0550148
35,111,232.1100006,2009.079956,1776.969955,845.4123829,365.9805144
36,175,475.9700012,2189.48999,1713.519989,1015.58427,307.1822512
37,147,573.0999756,1618.02002,1044.920044,1016.637795,232.378887
38,081,218.3300018,2089.659912,1871.32991,836.8835674,343.9183778
39,229,222.0399933,1256.839966,1034.799973,482.3454251,378.6242035
40,073,79.75,5515.910156,5436.160156,796.6456647,566.387221
41,043,175.8899994,3276.879883,3100.989883,764.9229818,481.9456892
42,015,107.3799973,4551.759766,4444.379768,716.7528739,620.6175716
43,069,236.5399933,3006.649902,2770.109909,797.4222048,411.1602216
44,279,465.769989,1181.380005,715.6100159,668.9396487,308.2488848
45,385,688.8599854,824.5200195,135.6600342,746.292718,30.94311809
46,141,206.7100067,1531.97998,1325.269974,934.5266918,320.0111647
47,057,235.2799988,4197.669922,3962.389923,1005.206822,661.7955744
48,091,280.730011,2079.129883,1798.399872,992.0709298,376.6814777
49,059,194.6100006,4487.060059,4292.450058,828.5269945,537.9162082
50,153,499.8800049,1587.800049,1087.920044,891.7068012,286.7401307
51,009,99.87000275,4810.089844,4710.219841,831.0765137,543.3084602
52,267,605.0200195,1176.170044,571.1500244,800.6003131,226.0072528
53,053,190.0399933,3712.469971,3522.429977,796.9103246,470.1004013
54,039,174.8000031,3351.139893,3176.33989,916.5516457,490.4672155
55,123,331.3800049,2061.040039,1729.660034,866.3094334,393.2909848
56,035,158.3600006,2493.360107,2335.000107,759.7855368,396.9888371
57,061,224.1300049,4458.419922,4234.289917,985.3135603,589.8420415
58,119,385.7200012,1464.47998,1078.759979,935.1894926,316.6126026
59,139,448.7600098,1650.329956,1201.569946,961.6630701,307.3435491
60,127,495.4500122,1649.949951,1154.499939,1086.481503,291.3827826
61,001,111.3600006,1856.5,1745.139999,626.0282624,393.0443578
62,041,190.3099976,3838.600098,3648.2901,846.9715398,506.5418179
63,157,351.5,1628.829956,1277.329956,1025.00978,301.7781799
64,047,154.2100067,2848.52002,2694.310013,738.8256675,434.6407088
65,093,255.3200073,3770.439941,3515.119934,849.8827854,426.9962307
66,359,438.230011,487.9700012,49.73999023,464.7992535,14.1084987
67,191,578.75,1432.900024,854.1500244,966.7374081,209.6444464
68,137,428.2999878,1896.619995,1468.320007,797.6055071,249.8558938
69,305,483.8900146,1256.849976,772.9599609,817.3408035,350.9438708
70,171,465.4899902,1490.920044,1025.430054,872.4514454,232.6956553
71,005,131.3800049,3336.699951,3205.319946,668.6893936,453.4050977
72,195,480.8599854,1494.98999,1014.130005,898.8860362,273.8251468
73,023,93.79000092,4025.139893,3931.349892,652.2174287,507.5033078
74,029,95.15000153,2433.719971,2338.569969,760.4001152,410.4792305
75,087,287.2099915,2143.590088,1856.380096,796.918895,406.1384958
76,037,123.0400009,3373.409912,3250.369911,578.2134992,406.0420711
77,095,338.2399902,1632.780029,1294.540039,892.3805481,342.4635006
78,143,693.3499756,1583.849976,890.5,1013.392351,228.6168901
79,461,346.0799866,424.1099854,78.02999878,390.943295,20.45464328
80,307,665.2600098,1266.930054,601.6700439,777.604858,211.1556215
81,049,196.0099945,3962.23999,3766.229996,846.3172745,444.1264024
82,103,235.2200012,2456.889893,2221.669891,857.8940929,378.355316
83,019,113.1100006,2620.379883,2507.269882,732.4787216,438.4956418
84,133,690.7999878,1582.900024,892.1000366,1107.701298,251.5206986
85,085,213.7599945,1739.75,1525.990005,844.0725518,354.6247129
86,247,521.0999756,1277.040039,755.9400635,621.9932341,219.3430901
87,353,544.3300171,624.6900024,80.35998535,582.4017177,21.07102669
88,187,412.3399963,1931.530029,1519.190033,1001.186487,304.1345989
89,071,65.86000061,4058.050049,3992.190048,567.950205,445.147334
90,243,284.5299988,1316.52002,1031.990021,548.6860539,323.6985145
91,021,121.5100021,1973.109985,1851.599983,722.2969598,411.7175415
92,179,511.8500061,1286.079956,774.22995,936.1413477,254.5902809
93,165,366.3999939,1334.640015,968.2400208,759.1066486,311.2050152
