FIPS,AREA,Mean Annual Precipitation (in.)
06075,0.013888889,621.8137589
25025,0.017361111,1230.093005
31007,0.206597222,425.5606733
37181,0.072916667,1122.091657
48421,0.232638889,456.791567
50011,0.210069444,1133.658594
51680,0.012152778,1077.152884
05099,0.161458333,1340.037203
08014,0.008680556,399.7399963
16065,0.140625,476.7627145
17027,0.121527778,1058.513423
19025,0.152777778,851.0442075
21129,0.053819444,1211.134195
22063,0.168402778,1615.398244
31097,0.104166667,814.738505
31101,0.296875,484.4284777
51775,0.003472222,1052.244995
48493,0.192708333,755.1254938
48115,0.230902778,476.0945868
46051,0.208333333,617.7427516
05067,0.175347222,1237.857226
51670,0.001736111,1174.47998
46003,0.229166667,593.123789
18031,0.095486111,1121.651094
18169,0.119791667,1014.209422
19161,0.15625,836.678224
37107,0.097222222,1246.84661
29055,0.196180556,1157.316903
31105,0.25,419.98993
08045,0.822916667,605.2490505
17067,0.239583333,993.1958715
27173,0.210069444,666.7879366
31145,0.194444444,549.3633025
13089,0.074652778,1301.958601
45077,0.128472222,1394.988242
20131,0.210069444,865.4222331
05111,0.1875,1240.678983
17175,0.072916667,928.8399963
37147,0.168402778,1234.201139
19147,0.171875,810.2797944
19081,0.1875,838.4820376
29229,0.173611111,1148.026902
31073,0.121527778,589.1368556
38043,0.413194444,474.8777727
40015,0.319444444,822.9053275
42075,0.098958333,1143.453502
48069,0.225694444,506.2223072
48279,0.25,478.4625005
48385,0.159722222,746.292718
55141,0.246527778,824.6673236
55099,0.364583333,800.594095
35057,0.84375,394.3228396
26107,0.152777778,875.3870433
29003,0.131944444,934.0789506
42097,0.125,1104.473195
17141,0.206597222,918.2399154
12091,0.232638889,1651.562535
17075,0.321180556,969.1283243
19059,0.125,756.8849979
20129,0.208333333,442.3259995
28153,0.196180556,1470.824338
36073,0.105902778,887.5362309
36003,0.310763889,1021.542237
51009,0.131944444,1149.492101
13267,0.121527778,1164.59014
16053,0.175347222,262.6281194
36039,0.1875,1195.822597
26077,0.171875,973.9563666
26123,0.229166667,893.1958336
20073,0.302083333,976.3122997
31035,0.152777778,712.4282934
31011,0.1875,689.7632407
37081,0.177083333,1124.369806
46061,0.140625,636.3867888
50015,0.128472222,1235.241629
55069,0.286458333,805.5869104
47091,0.079861111,1182.00979
19145,0.145833333,895.8120226
08119,0.154513889,525.6166265
29139,0.145833333,1066.320953
22127,0.229166667,1487.488101
11001,0.019097222,1086.322732
16041,0.204861111,589.8919497
19007,0.133680556,969.3063616
20157,0.21875,747.9553964
26101,0.166666667,872.4054159
27047,0.21875,856.2354746
39093,0.140625,962.7401244
47139,0.116319444,1414.61
48359,0.395833333,464.7992535
21191,0.081597222,1078.503621
17137,0.154513889,991.5725866
19169,0.171875,907.9293934
26065,0.152777778,846.4218181
28127,0.152777778,1476.817838
28035,0.119791667,1540.455945
33001,0.137152778,1148.166198
39055,0.109375,1106.353498
45059,0.184027778,1157.346698
46097,0.166666667,633.7069791
48127,0.324652778,528.8703228
48305,0.208333333,510.380501
48171,0.236111111,782.7826475
51097,0.083333333,1128.499583
17003,0.071180556,1233.063408
47173,0.067708333,1248.786925
18005,0.104166667,1129.302838
40031,0.263888889,838.0716444
29195,0.199652778,1054.602609
01023,0.230902778,1395.693307
13061,0.053819444,1321.686764
18091,0.178819444,1002.923981
18171,0.09375,990.0479612
31181,0.152777778,668.6693192
39087,0.119791667,1084.275946
51099,0.045138889,1057.836548
05037,0.149305556,1254.011398
12095,0.227430556,1274.801075
17143,0.171875,938.0203025
18105,0.121527778,1176.755711
20061,0.112847222,866.5369206
28141,0.100694444,1462.703106
31059,0.152777778,736.2245449
42025,0.104166667,1286.039665
48461,0.305555556,390.943295
48145,0.194444444,936.0112495
48307,0.255208333,685.562111
55025,0.345486111,900.4629645
55049,0.213541667,914.769432
47043,0.125,1329.385839
26037,0.166666667,848.7698936
19047,0.21875,815.091032
20011,0.15625,1113.988
20051,0.263888889,605.4716431
12049,0.145833333,1289.100834
40059,0.274305556,609.0780396
44001,0.012152778,1232.439994
08081,1.342013889,396.6039456
26103,0.585069444,810.1218981
39003,0.104166667,949.1146667
21019,0.043402778,1089.107212
51093,0.088541667,1208.703922
21037,0.036458333,1045.411423
12107,0.203125,1313.869148
13133,0.095486111,1182.110536
35019,0.765625,374.2664624
18181,0.140625,994.1612338
19123,0.171875,931.6841418
19035,0.152777778,784.8720453
21157,0.092013889,1292.16491
18085,0.149305556,987.5256972
39059,0.149305556,996.3249959
47049,0.126736111,1378.727392
47007,0.102430556,1440.648642
48247,0.263888889,546.5905244
55027,0.277777778,856.7810024
55011,0.215277778,868.8944363
48353,0.222222222,582.4017177
01053,0.255208333,1630.606395
55015,0.100694444,783.786036
27105,0.210069444,734.1716536
27153,0.291666667,688.3770247
29039,0.137152778,1141.054939
37093,0.097222222,1169.777148
17009,0.074652778,975.1248836
17187,0.138888889,952.7308739
17071,0.109375,949.9442836
26139,0.164930556,917.2018921
29129,0.121527778,969.8411447
48147,0.237847222,1132.617369
51139,0.083333333,1066.564588
55105,0.21875,893.0801585
05101,0.204861111,1277.868381
08087,0.333333333,369.1542187
13243,0.102430556,1291.011537
37195,0.092013889,1187.890567
19021,0.166666667,827.208334
21119,0.097222222,1159.062683
22093,0.0625,1610.353611
18179,0.116319444,985.5002961
20165,0.194444444,605.9317867
34013,0.038194444,1253.210449
51036,0.053819444,1162.594845
45063,0.192708333,1153.613425
47145,0.098958333,1362.772294
45011,0.137152778,1161.609111
55047,0.102430556,833.4671227
49013,0.880208333,476.257515
45023,0.142361111,1126.809024
28009,0.098958333,1441.944561
21065,0.067708333,1183.590755
13129,0.09375,1307.157776
31127,0.104166667,829.7436707
05009,0.15625,1147.791896
12009,0.302083333,1287.324598
12015,0.184027778,1336.406411
20119,0.248263889,531.9921704
20125,0.190972222,1090.868176
26149,0.133680556,981.0754545
41027,0.151041667,1818.88793
54073,0.034722222,1138.828998
12067,0.133680556,1368.962341
17081,0.163194444,1104.528618
18137,0.123263889,1126.756193
20205,0.152777778,1066.399662
20171,0.190972222,492.4553636
21215,0.050347222,1155.870344
26135,0.152777778,746.4759085
29007,0.192708333,1064.890088
41003,0.208333333,1567.385839
48459,0.145833333,1176.987742
48413,0.34375,566.1712119
47099,0.144097222,1484.23723
51181,0.079861111,1192.90413
48151,0.229166667,594.5868928
45003,0.270833333,1159.96154
48257,0.211805556,1033.449509
18051,0.131944444,1171.678036
27035,0.376736111,706.6224874
20083,0.25,564.4320132
39135,0.125,1028.65666
13057,0.109375,1349.746987
13211,0.09375,1211.442218
31001,0.152777778,688.2324989
29205,0.135416667,1032.207692
05109,0.163194444,1420.59287
48221,0.116319444,870.4300027
17087,0.088541667,1216.698051
29219,0.114583333,1070.134242
17011,0.262152778,923.1522516
31075,0.230902778,495.9569181
21187,0.097222222,1135.404465
40003,0.213541667,779.5475593
17005,0.102430556,1043.082027
16025,0.321180556,609.5094609
47169,0.03125,1326.432773
17177,0.180555556,898.7386516
38057,0.347222222,425.2728998
