,EPAREGION,"State,County",State,County,County_with_county_appended,Risk,Governance,Built Environment,Natural Environment,Society,CRSI
1,1,"Connecticut,Fairfield",Connecticut,Fairfield,Fairfield County,0.508,0.866,0.675,0.346,0.494,2.923
2,1,"Connecticut,Hartford",Connecticut,Hartford,Hartford County,0.65,0.869,0.646,0.311,0.525,2.135
3,1,"Connecticut,Litchfield",Connecticut,Litchfield,Litchfield County,0.224,0.89,0.489,0.431,0.657,6.881
4,1,"Connecticut,Middlesex",Connecticut,Middlesex,Middlesex County,0.42,0.874,0.396,0.439,0.598,2.816
5,1,"Connecticut,New Haven",Connecticut,New Haven,New Haven County,0.491,0.863,0.659,0.403,0.499,3.243
6,1,"Connecticut,New London",Connecticut,New London,New London County,0.273,0.849,0.587,0.433,0.49,5.285
7,1,"Connecticut,Tolland",Connecticut,Tolland,Tolland County,0.306,0.892,0.341,0.403,0.551,2.855
8,1,"Connecticut,Windham",Connecticut,Windham,Windham County,0.289,0.887,0.37,0.42,0.561,3.483
9,1,"Maine,Androscoggin",Maine,Androscoggin,Androscoggin County,0.174,0.887,0.424,0.365,0.565,5.895
10,1,"Maine,Aroostook",Maine,Aroostook,Aroostook County,0.101,0.943,0.744,0.413,0.546,19.853
11,1,"Maine,Cumberland",Maine,Cumberland,Cumberland County,0.298,0.892,0.671,0.525,0.615,7.302
12,1,"Maine,Franklin",Maine,Franklin,Franklin County,0.094,0.934,0.49,0.421,0.502,13.434
13,1,"Maine,Hancock",Maine,Hancock,Hancock County,0.038,0.925,0.543,0.603,0.559,50.855
14,1,"Maine,Kennebec",Maine,Kennebec,Kennebec County,0.145,0.897,0.533,0.395,0.581,9.871
15,1,"Maine,Knox",Maine,Knox,Knox County,0.076,0.914,0.344,0.617,0.621,20.753
16,1,"Maine,Lincoln",Maine,Lincoln,Lincoln County,0.08,0.914,0.309,0.548,0.613,16.162
17,1,"Maine,Oxford",Maine,Oxford,Oxford County,0.116,0.936,0.505,0.388,0.505,10.568
18,1,"Maine,Penobscot",Maine,Penobscot,Penobscot County,0.104,0.923,0.786,0.39,0.565,19.975
19,1,"Maine,Piscataquis",Maine,Piscataquis,Piscataquis County,0.075,0.954,0.342,0.491,0.524,14.789
20,1,"Maine,Sagadahoc",Maine,Sagadahoc,Sagadahoc County,0.126,0.93,0.304,0.534,0.615,9.977
21,1,"Maine,Somerset",Maine,Somerset,Somerset County,0.081,0.917,0.542,0.463,0.523,18.903
22,1,"Maine,Waldo",Maine,Waldo,Waldo County,0.032,0.941,0.41,0.486,0.538,39.711
23,1,"Maine,Washington",Maine,Washington,Washington County,0.092,0.969,0.483,0.588,0.628,21.016
24,1,"Maine,York",Maine,York,York County,0.201,0.885,0.553,0.516,0.547,8.475
25,1,"Massachusetts,Barnstable",Massachusetts,Barnstable,Barnstable County,0.197,0.85,0.585,0.591,0.58,10.134
26,1,"Massachusetts,Berkshire",Massachusetts,Berkshire,Berkshire County,0.202,0.885,0.552,0.402,0.671,8.23
27,1,"Massachusetts,Bristol",Massachusetts,Bristol,Bristol County,0.523,0.864,0.572,0.451,0.552,3.023
28,1,"Massachusetts,Dukes",Massachusetts,Dukes,Dukes County,0.045,0.886,0.289,0.595,0.811,38.03
29,1,"Massachusetts,Essex",Massachusetts,Essex,Essex County,0.537,0.884,0.671,0.487,0.565,3.685
30,1,"Massachusetts,Franklin",Massachusetts,Franklin,Franklin County,0.147,0.901,0.542,0.419,0.707,11.983
31,1,"Massachusetts,Hampden",Massachusetts,Hampden,Hampden County,0.576,0.862,0.649,0.34,0.517,2.506
32,1,"Massachusetts,Hampshire",Massachusetts,Hampshire,Hampshire County,0.197,0.826,0.429,0.389,0.563,5.236
33,1,"Massachusetts,Middlesex",Massachusetts,Middlesex,Middlesex County,0.591,0.872,0.819,0.259,0.585,3.115
34,1,"Massachusetts,Nantucket",Massachusetts,Nantucket,Nantucket County,0.06,0.444,0.22,0.609,0.572,10.893
35,1,"Massachusetts,Norfolk",Massachusetts,Norfolk,Norfolk County,0.497,0.864,0.633,0.387,0.618,3.457
36,1,"Massachusetts,Plymouth",Massachusetts,Plymouth,Plymouth County,0.469,0.878,0.614,0.542,0.598,4.303
37,1,"Massachusetts,Suffolk",Massachusetts,Suffolk,Suffolk County,0.465,0.875,0.417,0.426,0.465,2.037
38,1,"Massachusetts,Worcester",Massachusetts,Worcester,Worcester County,0.55,0.886,0.804,0.359,0.604,3.813
39,1,"New Hampshire,Belknap",New Hampshire,Belknap,Belknap County,0.151,0.883,0.35,0.385,0.621,6.505
40,1,"New Hampshire,Carroll",New Hampshire,Carroll,Carroll County,0.169,0.87,0.441,0.445,0.599,7.792
41,1,"New Hampshire,Cheshire",New Hampshire,Cheshire,Cheshire County,0.108,0.856,0.457,0.4,0.574,10.981
42,1,"New Hampshire,Coos",New Hampshire,Coos,Coos County,0.112,0.922,0.536,0.549,0.64,17.434
43,1,"New Hampshire,Grafton",New Hampshire,Grafton,Grafton County,0.129,0.905,0.785,0.468,0.571,17.559
44,1,"New Hampshire,Hillsborough",New Hampshire,Hillsborough,Hillsborough County,0.461,0.9,0.631,0.334,0.574,3.327
45,1,"New Hampshire,Merrimack",New Hampshire,Merrimack,Merrimack County,0.149,0.908,0.667,0.41,0.728,14.26
46,1,"New Hampshire,Rockingham",New Hampshire,Rockingham,Rockingham County,0.555,0.888,0.578,0.42,0.554,2.788
47,1,"New Hampshire,Strafford",New Hampshire,Strafford,Strafford County,0.338,0.877,0.38,0.419,0.505,2.697
48,1,"New Hampshire,Sullivan",New Hampshire,Sullivan,Sullivan County,0.12,0.92,0.363,0.379,0.594,8.2
49,1,"Rhode Island,Bristol",Rhode Island,Bristol,Bristol County,0.385,0.869,0.11,0.531,0.584,1.601
50,1,"Rhode Island,Kent",Rhode Island,Kent,Kent County,0.51,0.862,0.24,0.443,0.605,1.529
51,1,"Rhode Island,Newport",Rhode Island,Newport,Newport County,0.207,0.854,0.232,0.643,0.551,5.483
52,1,"Rhode Island,Providence",Rhode Island,Providence,Providence County,0.51,0.863,0.535,0.326,0.551,2.298
53,1,"Rhode Island,Washington",Rhode Island,Washington,Washington County,0.248,0.874,0.391,0.614,0.637,6.756
54,1,"Vermont,Addison",Vermont,Addison,Addison County,0.089,0.989,0.473,0.49,0.712,20.832
