"","ID","tribe","FIPS","n_unique_FIPS","amen_rank","lon","lat","avg_lat","avg_lon","mid_lat","mid_lon","time","Risk","CRSI","Precip"
"1",1,"Absentee-Shawnee",17031,141,3,-87.8169242944245,41.8423900972753,39.7891436495165,-85.1792068049374,39.8574222340796,-85.2230875806057,"time 1",0.687,1.953,968.520192
"2",4,"Absentee-Shawnee",17033,141,2,-87.759569314226,39.0034000869114,39.7891436495165,-85.1792068049374,39.8574222340796,-85.2230875806057,"time 1",0.186,2.589,1111.945801
"3",7,"Absentee-Shawnee",17059,141,3,-88.2295226127242,37.7644629410581,39.7891436495165,-85.1792068049374,39.8574222340796,-85.2230875806057,"time 1",0.185,2.77,1152.065832
"4",10,"Absentee-Shawnee",17101,141,2,-87.7288182032458,38.7200097760085,39.7891436495165,-85.1792068049374,39.8574222340796,-85.2230875806057,"time 1",0.162,3.507,1145.975348
"5",13,"Absentee-Shawnee",17127,141,3,-88.7104225790431,37.2208718607564,39.7891436495165,-85.1792068049374,39.8574222340796,-85.2230875806057,"time 1",0.216,2.102,1228.001242
"6",16,"Absentee-Shawnee",17165,141,3,-88.5411966649234,37.753489848206,39.7891436495165,-85.1792068049374,39.8574222340796,-85.2230875806057,"time 1",0.202,3.408,1161.613143
"7",19,"Absentee-Shawnee",17185,141,3,-87.8491818565905,38.4428759243652,39.7891436495165,-85.1792068049374,39.8574222340796,-85.2230875806057,"time 1",0.151,1.942,1154.211894
"8",22,"Absentee-Shawnee",18001,141,2,-84.9367126317057,40.7459955252229,39.7891436495165,-85.1792068049374,39.8574222340796,-85.2230875806057,"time 1",0.118,5.458,963.7488855
"9",25,"Absentee-Shawnee",18003,141,2,-85.06799901526,41.092172020505,39.7891436495165,-85.1792068049374,39.8574222340796,-85.2230875806057,"time 1",0.587,1.917,947.6019598
"10",28,"Absentee-Shawnee",18019,141,2,-85.7050594804071,38.4802821095812,39.7891436495165,-85.1792068049374,39.8574222340796,-85.2230875806057,"time 1",0.572,0.86,1156.707757
"11",31,"Absentee-Shawnee",18025,141,3,-86.4452099925747,38.2882551031437,39.7891436495165,-85.1792068049374,39.8574222340796,-85.2230875806057,"time 1",0.191,1.501,1218.380793
"12",34,"Absentee-Shawnee",18027,141,3,-87.0718462212721,38.7020997248602,39.7891436495165,-85.1792068049374,39.8574222340796,-85.2230875806057,"time 1",0.16,6.651,1178.832704
"13",37,"Absentee-Shawnee",18029,141,3,-84.973309744008,39.1466644009426,39.7891436495165,-85.1792068049374,39.8574222340796,-85.2230875806057,"time 1",0.237,3.46,1097.681434
"14",40,"Absentee-Shawnee",18037,141,3,-86.8792233785692,38.3661295506995,39.7891436495165,-85.1792068049374,39.8574222340796,-85.2230875806057,"time 1",0.241,4.952,1193.597266
