tribe,time,avg_amen_rank_t1,avg_amen_rank_t2,avg_oil_avg_t1,avg_oil_avg_t2,avg_gas_avg_t1,avg_gas_avg_t2,avg_precip_t1,avg_precip_t2,avg_risk_t1,avg_risk_t2,avg_governance_t1,avg_governance_t2,avg_built_env_t1,avg_built_env_t2,avg_natural_env_t1,avg_natural_env_t2,avg_society_t1,avg_society_t2,avg_crsi_t1,avg_crsi_t2,avg_amenity_change_score,avg_oil_change_score,avg_gas_change_score,avg_precip_change_score,avg_risk_change_score,avg_governance_change_score,avg_built_env_change_score,avg_natural_env_change_score,avg_society_change_score,avg_crsi_change_score,avg_lat_t1,avg_lon_t1,avg_lat_t2,avg_lon_t2,mid_lat_t1,mid_lon_t1,mid_lat_t2,mid_lon_t2,n_record,n_unique_FIPS_t1,n_unique_FIPS_t2,avg_dist,mid_dist
Absentee-Shawnee,Time 1 and 2,2.8085106382978724,4,63550.49645390071,1290520.6666666667,606135.6737588652,6459867,1033.014274180851,963.3580704,0.23570212765957446,0.622,0.6469574468085106,0.61,0.40040425531914897,0.4516666666666667,0.38049645390070924,0.339,0.528886524822695,0.5013333333333334,3.742368794326241,1.46,1.1914893617021276,1226970.170212766,5853731.326241135,-69.65620378085111,0.38629787234042556,-0.03695744680851065,0.051262411347517745,-0.04149645390070922,-0.02755319148936164,-2.282368794326241,39.78914364951653,-85.1792068049374,35.3208672789124,-97.22721565365376,39.85742223407962,-85.223087580605707,35.3210308644025,-97.22696049791912,423,141,3,1172.5013880314877,1171.770250620682
Acoma Pueblo,Time 1 and 2,5.25,5,12721.75,0,18750.5,0,349.5443246,341.20219219999996,0.15575,0.1,0.56975,0.5780000000000001,0.47325,0.42900000000000005,0.5765,0.534,0.45625000000000004,0.454,9.176,9.270999999999999,-0.25,-12721.75,-18750.5,-8.342132400000025,-0.055749999999999994,0.00825000000000009,-0.044249999999999956,-0.04249999999999998,-0.0022500000000000298,0.09499999999999886,34.604981701621924,-107.89870472550346,34.91209140624164,-107.99854494922448,34.60634630300285,-107.89685219379191,34.91209140624164,-107.99854494922448,4,4,1,35.385666495210714,35.28318576304936
Alsea,Time 1 and 2,5.3125,6,0,0,53140.625,0,1659.273824075,2180.552894,0.1886875,0.138,0.35225,0.387,0.5609375,0.47000000000000003,0.5056875000000001,0.47700000000000004,0.4850625,0.42100000000000004,6.49275,4.626999999999999,0.6875,0,-53140.625,521.2790699249999,-0.050687499999999996,0.03475,-0.09093749999999995,-0.028687500000000032,-0.06406249999999997,-1.8657500000000011,44.9715626422259,-122.72084897047954,44.643632533367416,-123.86989375466999,44.974266263174286,-122.71931611484038,44.643632533367416,-123.86989375466999,16,16,1,97.8159170409003,98.03884840867079
Apache,Time 1 and 2,4.367021276595745,4.615384615384615,1955819.1914893617,904237.6153846154,19754668.420212764,18100044.153846152,509.4226683,633.2447034692308,0.18958510638297874,0.19353846153846155,0.5575851063829788,0.5484615384615384,0.36638829787234045,0.5340769230769231,0.40681382978723407,0.40261538461538465,0.47182978723404256,0.5063846153846154,2.886308510638298,5.912461538461539,0.24836333878887018,-1051581.5761047462,-1654624.2663666122,123.82203516923079,0.003953355155482813,-0.009123567921440312,0.16768862520458266,-0.004198445171849419,0.03455482815057287,3.026153027823241,33.59972397364179,-102.92903595650516,34.44050665095398,-104.01349741822624,33.66831410588344,-102.890852653018,34.60104051162518,-104.02946453133488,2444,188,13,137.0088522100673,147.60393513530772
Appalachicola,Time 1 and 2,3,3.6363636363636362,446910.0714285714,506834.8181818182,8120501.785714285,5504112.545454546,1021.3458612571428,1095.673270909091,0.37757142857142856,0.2583636363636364,0.5949285714285714,0.6088181818181818,0.4872857142857143,0.42672727272727273,0.41750000000000004,0.39881818181818185,0.5226428571428572,0.48909090909090913,3.8555,3.0385454545454547,0.6363636363636362,59924.746753246756,-2616389.2402597396,74.32740965194807,-0.11920779220779215,0.013889610389610452,-0.06055844155844159,-0.01868181818181819,-0.033551948051948055,-0.8169545454545455,37.242864376159396,-91.63764829627308,35.7243807364866,-95.89698607301811,37.35867210059015,-91.69544667979223,35.72515255133145,-95.89833090032191,154,14,11,416.96698839602294,417.50816293582034
Arapaho,Time 1 and 2,3.965217391304348,3.5454545454545454,783234.4260869565,1379753.5454545454,19875614.52173913,66391700.45454545,473.8455129747826,679.136819,0.20402608695652175,0.26072727272727275,0.5791130434782609,0.625090909090909,0.38481739130434783,0.39090909090909093,0.34601739130434783,0.3925454545454546,0.5919391304347826,0.6438181818181818,3.610617391304348,4.030090909090909,-0.4197628458498026,596519.1193675889,46516085.93280633,205.29130602521735,0.056701185770751006,0.04597786561264816,0.006091699604743095,0.046528063241106754,0.05187905138339921,0.4194735177865607,40.51498980079203,-103.14248322785167,37.11117654795858,-100.68786689409552,40.53760173971785,-103.1050403549856,37.16403704401416,-100.53145060177806,1265,115,11,434.5838218004979,436.76881743038797
Arikara,Time 1 and 2,3.2083333333333335,3.1666666666666665,3202909.75,4417891.333333333,12329714.541666666,5014213.166666667,385.08041818749996,418.00455413333333,0.155875,0.12483333333333334,0.5666666666666667,0.5655,0.35320833333333335,0.46033333333333337,0.34079166666666666,0.37716666666666665,0.641375,0.6986666666666667,4.466458333333334,9.237,-0.04166666666666696,1214981.583333333,-7315501.374999999,32.92413594583337,-0.031041666666666676,-0.0011666666666666492,0.10712500000000003,0.03637499999999999,0.05729166666666663,4.7705416666666665,46.677480788540926,-103.70893621183252,47.74137434255846,-102.17700990409207,46.68803850316789,-103.7194187537045,47.74352029609648,-102.1774194941615,144,24,6,165.66370331814502,165.52143873089472
Assiniboine,Time 1 and 2,3,3,2443676.9,561414.6666666666,3081381.2,5420414.5,334.08994726,331.3528761333333,0.17670000000000002,0.153,0.5607,0.5626666666666666,0.3427,0.3726666666666667,0.3879,0.45566666666666666,0.6978,0.7261666666666666,6.1357,8.515666666666666,0,-1882262.2333333334,2339033.3,-2.737071126666649,-0.023700000000000027,0.001966666666666672,0.029966666666666697,0.06776666666666664,0.02836666666666665,2.3799666666666663,47.87537760360111,-105.27524669749505,48.47840934472553,-106.4326204187821,47.879777846296385,-105.27628904437383,48.48934557599931,-106.43561709491672,60,10,6,109.02757712629133,109.58079231774722
Bannock,Time 1 and 2,4.2,4.25,0,0,0,0,476.72368709999995,451.94096264999996,0.14200000000000002,0.14825000000000002,0.42840000000000006,0.42825,0.4078,0.423,0.49420000000000003,0.508,0.5958,0.57125,6.1658,6.00125,0.04999999999999982,0,0,-24.78272444999999,0.0062500000000000056,-1.50000000000039e-4,0.015199999999999991,0.013799999999999979,-0.02454999999999996,-0.1645500000000002,43.260160755366094,-112.59078356047407,42.838471285840114,-112.25531098713263,43.262780144005056,-112.5813012964357,42.83939302612489,-112.2552278353166,20,5,4,54.29841319822953,54.08241940278616
Blackfeet,Time 1 and 2,4,5.5,608080.6428571428,312659,2306930.5714285714,1053667.5,404.1282140464285,532.3559928499999,0.1390357142857143,0.10550000000000001,0.5671428571428572,0.547,0.36075,0.32699999999999996,0.388,0.4515,0.6369642857142858,0.49800000000000005,6.0975,4.8735,1.5,-295421.64285714284,-1253263.0714285714,128.22777880357137,-0.03353571428571428,-0.02014285714285713,-0.03375000000000006,0.0635,-0.1389642857142857,-1.2240000000000002,47.707321306284065,-109.17558663310199,48.46714862549618,-112.60963680115475,47.74000907452328,-109.17933986650435,48.467787417957084,-112.60782793867763,56,28,2,268.97565279096807,267.40301376498695
