ID,tribe,FIPS,state_from_fips,n_unique_FIPS,amen_rank,oil_avg,gas_avg,precip,risk,governance,built_env,natural_env,society,crsi,lon,lat,avg_lat,avg_lon,mid_lat,mid_lon,time
1,Absentee-Shawnee,17031,IL,141,3,0,0,968.520192,0.6869999999999999,0.6669999999999999,0.8280000000000001,0.199,0.498,1.9529999999999998,-87.81692429442448,41.84239009727528,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
4,Absentee-Shawnee,17033,IL,141,2,967534,11537,1111.9458010000003,0.186,0.651,0.28200000000000003,0.48700000000000004,0.45,2.589,-87.75956931422601,39.00340008691145,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
7,Absentee-Shawnee,17059,IL,141,3,193493,22703,1152.065832,0.185,0.6639999999999999,0.277,0.598,0.326,2.77,-88.2295226127242,37.764462941058135,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
10,Absentee-Shawnee,17101,IL,141,2,1002415,0,1145.975348,0.162,0.632,0.279,0.499,0.49,3.507,-87.72881820324581,38.720009776008524,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
13,Absentee-Shawnee,17127,IL,141,3,0,0,1228.0012419999998,0.21600000000000003,0.596,0.29600000000000004,0.494,0.43600000000000005,2.102,-88.71042257904314,37.220871860756375,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
16,Absentee-Shawnee,17165,IL,141,3,64386,79516,1161.6131429999998,0.202,0.589,0.34299999999999997,0.556,0.41600000000000004,3.408,-88.54119666492338,37.75348984820602,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
19,Absentee-Shawnee,17185,IL,141,3,352218,0,1154.211894,0.15100000000000002,0.616,0.29000000000000004,0.459,0.395,1.942,-87.84918185659055,38.442875924365154,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
22,Absentee-Shawnee,18001,IN,141,2,0,0,963.7488855000001,0.118,0.6859999999999999,0.315,0.42700000000000005,0.545,5.458,-84.93671263170566,40.74599552522289,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
25,Absentee-Shawnee,18003,IN,141,2,0,5505,947.6019597999999,0.587,0.6829999999999999,0.531,0.381,0.554,1.9169999999999998,-85.06799901525999,41.092172020505,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
28,Absentee-Shawnee,18019,IN,141,2,0,0,1156.7077570000004,0.5720000000000001,0.656,0.33799999999999997,0.4,0.48400000000000004,0.8600000000000001,-85.70505948040713,38.480282109581175,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
31,Absentee-Shawnee,18025,IN,141,3,0,0,1218.380793,0.191,0.658,0.191,0.442,0.525,1.501,-86.44520999257469,38.28825510314374,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
34,Absentee-Shawnee,18027,IN,141,3,141740,261522,1178.832704,0.16,0.636,0.369,0.459,0.6709999999999999,6.651,-87.0718462212721,38.70209972486016,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
37,Absentee-Shawnee,18029,IN,141,3,0,0,1097.6814339999996,0.23700000000000002,0.6869999999999999,0.32999999999999996,0.43200000000000005,0.606,3.46,-84.97330974400798,39.146664400942576,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
40,Absentee-Shawnee,18037,IN,141,3,8654,177952,1193.597266,0.24100000000000002,0.64,0.45,0.405,0.691,4.952,-86.87922337856924,38.36612955069953,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
43,Absentee-Shawnee,18043,IN,141,3,0,0,1152.1231859999998,0.539,0.647,0.28600000000000003,0.309,0.538,0.41400000000000003,-85.90385763196262,38.32125096997889,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
46,Absentee-Shawnee,18047,IN,141,3,0,0,1094.139184,0.126,0.659,0.311,0.47800000000000004,0.693,8.136,-85.06062276953477,39.41433672346188,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
49,Absentee-Shawnee,18051,IN,141,3,258464,85474,1171.6780359999998,0.228,0.657,0.384,0.42100000000000004,0.582,3.7600000000000002,-87.58053718031006,38.304065053678144,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
52,Absentee-Shawnee,18075,IN,141,2,0,13239,981.2830331000001,0.118,0.697,0.302,0.378,0.529,3.9899999999999998,-85.0057560245826,40.43793736515327,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
55,Absentee-Shawnee,18083,IN,141,3,60554,906563,1161.0465540000002,0.20500000000000002,0.627,0.383,0.449,0.5700000000000001,4.262,-87.41933764364954,38.68897428679527,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
58,Absentee-Shawnee,18093,IN,141,3,0,0,1183.442017,0.131,0.625,0.367,0.463,0.606,7.093999999999999,-86.48361123700269,38.8412862896526,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
61,Absentee-Shawnee,18101,IN,141,3,27,14153,1198.942636,0.129,0.6619999999999999,0.3,0.5710000000000001,0.5760000000000001,7.689,-86.80372513624197,38.71025051433338,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
64,Absentee-Shawnee,18115,IN,141,3,0,0,1082.939323,0.12400000000000001,0.693,0.24100000000000002,0.446,0.62,5.212,-84.96514488297049,38.95532540106824,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
67,Absentee-Shawnee,18117,IN,141,4,0,0,1202.2950830000002,0.126,0.628,0.28700000000000003,0.464,0.654,6.479000000000001,-86.49523106057192,38.54133787982203,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
70,Absentee-Shawnee,18123,IN,141,3,1449,0,1207.950524,0.163,0.651,0.269,0.526,0.6,5.145,-86.63741640205096,38.07830820066056,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
73,Absentee-Shawnee,18125,IN,141,3,208022,97366,1185.238491,0.132,0.654,0.327,0.468,0.5710000000000001,6.044,-87.23578424704722,38.401276973905084,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
76,Absentee-Shawnee,18135,IN,141,2,0,25128,1004.7575689999999,0.093,0.695,0.311,0.465,0.5750000000000001,8.54,-85.01139232372317,40.15751715640197,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
79,Absentee-Shawnee,18143,IN,141,3,0,0,1147.594199,0.161,0.651,0.233,0.452,0.497,2.225,-85.74627747360694,38.68679636865511,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
82,Absentee-Shawnee,18147,IN,141,3,94848,24645,1194.638833,0.167,0.699,0.375,0.455,0.655,6.609,-87.00786241390723,38.0154074808312,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
85,Absentee-Shawnee,18155,IN,141,3,0,0,1120.642741,0.118,0.6769999999999999,0.29500000000000004,0.43500000000000005,0.46,3.681,-85.03019753044244,38.82773162389617,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
88,Absentee-Shawnee,18161,IN,141,3,0,0,1067.8383979999999,0.094,0.705,0.24400000000000002,0.491,0.465,5.0249999999999995,-84.92497097739083,39.62558313328195,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
91,Absentee-Shawnee,18177,IN,141,2,0,0,1050.5359990000002,0.184,0.6869999999999999,0.319,0.42200000000000004,0.534,3.3759999999999994,-85.0104439720715,39.86348931703165,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
94,Absentee-Shawnee,18183,IN,141,2,0,0,978.7849009000001,0.183,0.713,0.324,0.455,0.5730000000000001,4.462,-85.5079144480385,41.13877357702271,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
97,Absentee-Shawnee,20021,KS,141,3,0,0,1144.578279,0.222,0.462,0.368,0.455,0.5680000000000001,3.0559999999999996,-94.84629028559601,37.16947622337043,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
100,Absentee-Shawnee,20045,KS,141,4,39128,0,985.9939251,0.254,0.5780000000000001,0.514,0.443,0.545,4.35,-95.2925385765924,38.88519563402857,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
103,Absentee-Shawnee,20061,KS,141,4,4497,0,866.5369205999999,0.197,0.59,0.365,0.40700000000000003,0.47000000000000003,2.4619999999999997,-96.75778816699885,38.998863433325454,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
106,Absentee-Shawnee,20091,KS,141,3,154817,94686,1033.7987500000002,0.6699999999999999,0.5700000000000001,0.528,0.317,0.589,1.363,-94.82248992331668,38.885639557832654,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
109,Absentee-Shawnee,20111,KS,141,3,15207,0,950.1790710000001,0.135,0.5680000000000001,0.449,0.42800000000000005,0.543,6.542,-96.15275400908428,38.456317490535156,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
112,Absentee-Shawnee,20127,KS,141,3,82518,0,897.9766670999999,0.15300000000000002,0.5780000000000001,0.304,0.39,0.715,4.928,-96.65130325738606,38.68847477314428,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
115,Absentee-Shawnee,20139,KS,141,3,1668,0,973.5251989999999,0.134,0.652,0.41000000000000003,0.4,0.58,6.46,-95.72707621911277,38.652691772727955,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
118,Absentee-Shawnee,20177,KS,141,3,0,0,942.6378152999999,0.358,0.548,0.447,0.382,0.61,2.4509999999999996,-95.75577729711672,39.04122566806271,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
121,Absentee-Shawnee,20197,KS,141,4,50186,0,916.7213320000001,0.10700000000000001,0.6839999999999999,0.41800000000000004,0.361,0.8280000000000001,12.296,-96.20350785207933,38.95503556287388,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
124,Absentee-Shawnee,26047,MI,141,4,0,0,793.9604465,0.14100000000000001,0.738,0.41000000000000003,0.523,0.649,9.88,-84.8908186113694,45.52672648663355,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
127,Absentee-Shawnee,26059,MI,141,2,110339,721800,932.3328277999998,0.084,0.745,0.311,0.37,0.441,4.204,-84.59312023313281,41.887802853235854,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
130,Absentee-Shawnee,26097,MI,141,3,0,0,809.2259477,0.10300000000000001,0.736,0.42300000000000004,0.394,0.513,8.190999999999999,-85.08050098501151,46.085685248907325,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
133,Absentee-Shawnee,26115,MI,141,3,257,0,868.652841,0.361,0.69,0.455,0.23500000000000001,0.48800000000000004,1.2189999999999999,-83.53743016371553,41.927579888326136,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
136,Absentee-Shawnee,29017,MO,141,4,0,0,1202.881859,0.17900000000000002,0.513,0.327,0.33599999999999997,0.467,0.715,-90.02721050898836,37.32494882412666,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
139,Absentee-Shawnee,29031,MO,141,4,0,0,1200.43221,0.33799999999999997,0.41900000000000004,0.54,0.358,0.6639999999999999,3.087,-89.68432787174748,37.385178544539784,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
142,Absentee-Shawnee,29043,MO,141,4,0,0,1161.371539,0.33899999999999997,0.47400000000000003,0.48300000000000004,0.381,0.609,2.633,-93.18544454022539,36.97130839233587,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
145,Absentee-Shawnee,29067,MO,141,3,0,0,1149.142895,0.15400000000000003,0.377,0.323,0.42700000000000005,0.377,0.186,-92.4990637024863,36.932672521769575,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
148,Absentee-Shawnee,29153,MO,141,4,0,0,1135.42984,0.187,0.41900000000000004,0.33199999999999996,0.399,0.5700000000000001,2.1670000000000003,-92.44459492202098,36.64931175609095,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
151,Absentee-Shawnee,29157,MO,141,4,0,0,1122.549999,0.191,0.43700000000000006,0.33299999999999996,0.33799999999999997,0.752,3.308,-89.82744025817628,37.706728768016184,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
154,Absentee-Shawnee,29213,MO,141,4,0,0,1135.359813,0.29800000000000004,0.39,0.5690000000000001,0.468,0.41300000000000003,2.909,-93.0407547084468,36.65481323513352,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
157,Absentee-Shawnee,29225,MO,141,3,0,0,1149.7315090000002,0.15100000000000002,0.504,0.498,0.28300000000000003,0.5740000000000001,4.34,-92.87633939546156,37.28165010207132,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
160,Absentee-Shawnee,29229,MO,141,4,0,0,1148.026902,0.117,0.455,0.367,0.41300000000000003,0.5,3.673,-92.46914872474802,37.2705767894344,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
163,Absentee-Shawnee,39001,OH,141,3,0,0,1107.708998,0.129,0.636,0.365,0.375,0.387,2.256,-83.47190056581275,38.845670513389024,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
166,Absentee-Shawnee,39003,OH,141,2,0,0,949.1146666999999,0.271,0.689,0.405,0.33899999999999997,0.554,2.548,-84.10801232342081,40.77295645745224,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
169,Absentee-Shawnee,39005,OH,141,2,34114,167680,996.0030752000001,0.134,0.6829999999999999,0.42100000000000004,0.385,0.54,6.063999999999999,-82.27283390790863,40.84811386896474,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
172,Absentee-Shawnee,39007,OH,141,3,158692,3043693,1069.3688359999999,0.22,0.6839999999999999,0.42700000000000005,0.33499999999999996,0.466,2.5349999999999997,-80.74826216276242,41.708951361396245,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
175,Absentee-Shawnee,39009,OH,141,3,24240,558749,1028.005198,0.193,0.646,0.43600000000000005,0.329,0.388,1.96,-82.04284134457778,39.334436076384165,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
178,Absentee-Shawnee,39011,OH,141,2,80,0,965.1840289,0.14300000000000002,0.701,0.43100000000000005,0.373,0.583,6.363999999999999,-84.22417045116492,40.56010547205799,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
181,Absentee-Shawnee,39013,OH,141,4,1563,66206,1053.230598,0.17700000000000002,0.655,0.403,0.325,0.504,2.9299999999999997,-80.99239438925893,40.01642609611251,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
184,Absentee-Shawnee,39015,OH,141,3,0,0,1113.312877,0.14700000000000002,0.6639999999999999,0.358,0.362,0.47700000000000004,3.008,-83.86799104760449,38.93459978112287,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
187,Absentee-Shawnee,39017,OH,141,3,0,0,1037.1837229999999,0.625,0.657,0.526,0.262,0.508,1.125,-84.57388429693486,39.44025981170016,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
190,Absentee-Shawnee,39019,OH,141,3,260135,868904,1011.323053,0.115,0.644,0.354,0.319,0.549,3.917,-81.0917786128335,40.5791208482954,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
193,Absentee-Shawnee,39021,OH,141,2,0,0,1016.216718,0.111,0.659,0.396,0.453,0.47700000000000004,6.901000000000001,-83.76877354436846,40.13933348164095,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
196,Absentee-Shawnee,39023,OH,141,3,0,0,1027.73935,0.313,0.656,0.321,0.389,0.48200000000000004,1.325,-83.7850182606185,39.91602138223664,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
199,Absentee-Shawnee,39025,OH,141,3,0,0,1072.1901419999997,0.346,0.65,0.352,0.317,0.524,1.1400000000000001,-84.15378619954141,39.048842282709124,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
202,Absentee-Shawnee,39027,OH,141,3,0,0,1051.5582259999999,0.223,0.6789999999999999,0.365,0.33299999999999996,0.463,1.7049999999999998,-83.80850336597105,39.41501723138512,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
205,Absentee-Shawnee,39029,OH,141,3,67056,1215173,984.9152887999999,0.23700000000000002,0.649,0.379,0.32,0.506,1.851,-80.78099295677504,40.76948892285743,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
208,Absentee-Shawnee,39031,OH,141,3,258142,2877503,1019.5496619999999,0.13,0.6649999999999999,0.37,0.34099999999999997,0.495,3.5509999999999997,-81.91731312371424,40.30111251309808,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
211,Absentee-Shawnee,39033,OH,141,2,181,0,997.5216613999999,0.163,0.6599999999999999,0.357,0.443,0.554,4.856999999999999,-82.91988748447442,40.850808025831775,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
214,Absentee-Shawnee,39035,OH,141,3,105219,2393739,1016.646764,0.502,0.656,0.71,0.20700000000000002,0.49,2.0309999999999997,-81.65911752694649,41.4242554369943,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
217,Absentee-Shawnee,39037,OH,141,2,0,0,994.1116658999999,0.171,0.6819999999999999,0.41300000000000003,0.43200000000000005,0.591,5.899,-84.61945075135836,40.13447860972482,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
220,Absentee-Shawnee,39039,OH,141,2,0,0,913.2562692999999,0.12000000000000001,0.6869999999999999,0.368,0.374,0.623,6.775,-84.49081087726513,41.32408013681737,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
223,Absentee-Shawnee,39041,OH,141,3,7646,0,978.4611577999998,0.41800000000000004,0.6629999999999999,0.457,0.461,0.522,2.4899999999999998,-83.0046268033009,40.279573656280526,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
226,Absentee-Shawnee,39043,OH,141,3,3883,22014,915.8344043,0.228,0.657,0.41300000000000003,0.321,0.507,2.38,-82.62908864573349,41.36802233981358,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
229,Absentee-Shawnee,39045,OH,141,3,133810,909545,992.0195104,0.32999999999999996,0.6679999999999999,0.457,0.41300000000000003,0.517,2.785,-82.63086181062386,39.75128701171292,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
232,Absentee-Shawnee,39047,OH,141,2,0,0,1013.5600009999999,0.194,0.6849999999999999,0.386,0.396,0.51,3.547,-83.45621426923896,39.560395875658244,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
235,Absentee-Shawnee,39049,OH,141,2,112,3292,979.5248266,0.6619999999999999,0.629,0.6709999999999999,0.256,0.463,1.4469999999999998,-83.01114487473795,39.97015406191367,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
238,Absentee-Shawnee,39051,OH,141,2,0,23930,911.9379071999999,0.17,0.717,0.42400000000000004,0.32,0.6689999999999999,5.551,-84.12571477322174,41.60223432178569,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
241,Absentee-Shawnee,39055,OH,141,2,75697,2226734,1106.3534979999997,0.262,0.694,0.48100000000000004,0.42800000000000005,0.612,4.708,-81.1793136824564,41.499720347862045,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
244,Absentee-Shawnee,39057,OH,141,3,0,0,1033.082987,0.48000000000000004,0.652,0.41200000000000003,0.383,0.46,1.2409999999999999,-83.89035008603375,39.69128712219881,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
247,Absentee-Shawnee,39059,OH,141,4,63806,2362115,996.3249959,0.15800000000000003,0.6839999999999999,0.43300000000000005,0.325,0.513,4.095,-81.49245467382299,40.05044791190879,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
250,Absentee-Shawnee,39061,OH,141,3,0,0,1061.071091,0.557,0.63,0.5710000000000001,0.137,0.502,0.8520000000000001,-84.5450589453404,39.196827861063966,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
253,Absentee-Shawnee,39065,OH,141,2,8,0,940.2715991,0.083,0.6839999999999999,0.355,0.453,0.522,9.295,-83.65932999230382,40.66032448309247,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
256,Absentee-Shawnee,39067,OH,141,3,36387,1087733,1024.4799910000002,0.09,0.6869999999999999,0.349,0.303,0.47700000000000004,3.324,-81.09067667989208,40.29393131197908,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
259,Absentee-Shawnee,39069,OH,141,2,144,14188,909.8479023999998,0.116,0.721,0.393,0.376,0.641,8.179,-84.06833015742747,41.33417057993547,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
262,Absentee-Shawnee,39071,OH,141,3,0,0,1068.6421819999998,0.114,0.6749999999999999,0.29200000000000004,0.36,0.552,3.714,-83.60326667068308,39.184120490517614,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
265,Absentee-Shawnee,39073,OH,141,3,100735,703748,1007.686029,0.132,0.6639999999999999,0.37,0.366,0.529,4.4510000000000005,-82.47988419929325,39.49547777413623,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
268,Absentee-Shawnee,39075,OH,141,3,189069,2740562,1006.6258770000001,0.12300000000000001,0.642,0.395,0.29300000000000004,0.656,5.702,-81.92636751278889,40.56172651707656,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
271,Absentee-Shawnee,39077,OH,141,2,37338,37186,991.2254551,0.14100000000000001,0.6859999999999999,0.447,0.43000000000000005,0.539,7.046,-82.59866713701291,41.14666748981248,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
274,Absentee-Shawnee,39079,OH,141,3,0,14984,1051.1212119999998,0.15000000000000002,0.619,0.362,0.323,0.461,1.887,-82.61820726419698,39.01933658979504,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
277,Absentee-Shawnee,39081,OH,141,3,6814,62934,1005.810759,0.221,0.627,0.381,0.277,0.443,0.885,-80.76260099353296,40.38646502031979,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
280,Absentee-Shawnee,39083,OH,141,2,159732,704926,1033.270802,0.10800000000000001,0.6679999999999999,0.398,0.356,0.52,5.78,-82.42025649818387,40.398476120211186,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
283,Absentee-Shawnee,39085,OH,141,3,15277,763442,1071.4388530000003,0.302,0.6849999999999999,0.361,0.3,0.587,1.778,-81.23666141468256,41.69721123306367,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
286,Absentee-Shawnee,39087,OH,141,3,21223,560376,1084.275946,0.28600000000000003,0.623,0.384,0.374,0.365,0.99,-82.53471851989553,38.597641539754015,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
289,Absentee-Shawnee,39089,OH,141,3,201399,1110229,1015.3921459999999,0.266,0.6769999999999999,0.46,0.404,0.528,3.509,-82.48187413782331,40.091564504997216,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
292,Absentee-Shawnee,39091,OH,141,3,82,0,993.1834240000001,0.117,0.658,0.42900000000000005,0.366,0.548,6.631,-83.7678655753946,40.39010251838685,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
295,Absentee-Shawnee,39093,OH,141,3,2496,100318,962.7401243999999,0.519,0.6829999999999999,0.498,0.3,0.492,1.3760000000000001,-82.15077000369668,41.29580630280792,39.78914364951653,-85.1792068049374,39.85742223407962,-85.223087580605707,time 1
