FIPS,"State,County",State,County,County_with_county_appended,Risk,Governance,Built Environment,Natural Environment,Society,CRSI
2282,"Alaska,Yakutat",Alaska,Yakutat,Yakutat County,0.044,0.476,0.256,0.924,0.449,29.465
2280,"Alaska,Wrangell",Alaska,Wrangell,Wrangell County,0.011,0.43,0.269,0.52,0.373,13.694
22127,"Louisiana,Winn",Louisiana,Winn,Winn County,0.145,0.477,0.364,0.475,0.464,3.635
51840,"Virginia,Winchester",Virginia,Winchester,Winchester County,0.383,0.839,0.148,0.076,0.555,-1.281
51830,"Virginia,Williamsburg",Virginia,Williamsburg,Williamsburg County,0.387,0.84,0.218,0.365,0.491,0.733
22125,"Louisiana,West Feliciana",Louisiana,West Feliciana,West Feliciana County,0.314,0.549,0.37,0.409,0.49,1.608
22123,"Louisiana,West Carroll",Louisiana,West Carroll,West Carroll County,0.113,0.565,0.328,0.495,0.367,3.342
22121,"Louisiana,West Baton Rouge",Louisiana,West Baton Rouge,West Baton Rouge County,0.596,0.564,0.451,0.487,0.691,2.213
22119,"Louisiana,Webster",Louisiana,Webster,Webster County,0.234,0.538,0.449,0.46,0.497,3.591
51820,"Virginia,Waynesboro",Virginia,Waynesboro,Waynesboro County,0.456,0.722,0.133,0.175,0.514,-1.059
22117,"Louisiana,Washington",Louisiana,Washington,Washington County,0.254,0.258,0.348,0.441,0.371,-0.009
51810,"Virginia,Virginia Beach",Virginia,Virginia Beach,Virginia Beach County,0.468,0.687,0.377,0.52,0.509,2.07
22115,"Louisiana,Vernon",Louisiana,Vernon,Vernon County,0.215,0.578,0.498,0.538,0.412,4.829
22113,"Louisiana,Vermilion",Louisiana,Vermilion,Vermilion County,0.35,0.555,0.5,0.467,0.443,2.584
2261,"Alaska,Valdez-Cordova",Alaska,Valdez-Cordova,Valdez-Cordova County,0.126,0.47,0.689,0.475,0.603,13.185
22111,"Louisiana,Union",Louisiana,Union,Union County,0.207,0.51,0.377,0.517,0.475,3.47
22109,"Louisiana,Terrebonne",Louisiana,Terrebonne,Terrebonne County,0.335,0.57,0.475,0.364,0.491,2.075
22107,"Louisiana,Tensas",Louisiana,Tensas,Tensas County,0.269,0.51,0.344,0.532,0.3,1.212
22105,"Louisiana,Tangipahoa",Louisiana,Tangipahoa,Tangipahoa County,0.404,0.444,0.573,0.422,0.438,2.15
51800,"Virginia,Suffolk",Virginia,Suffolk,Suffolk County,0.557,0.725,0.494,0.454,0.489,2.013
51790,"Virginia,Staunton",Virginia,Staunton,Staunton County,0.356,0.839,0.156,0.26,0.569,0.03
22103,"Louisiana,St. Tammany",Louisiana,St. Tammany,St. Tammany County,0.698,0.363,0.597,0.423,0.518,1.45
22101,"Louisiana,St. Mary",Louisiana,St. Mary,St. Mary County,0.351,0.557,0.501,0.453,0.541,3.047
22099,"Louisiana,St. Martin",Louisiana,St. Martin,St. Martin County,0.345,0.541,0.416,0.437,0.529,2.213
22097,"Louisiana,St. Landry",Louisiana,St. Landry,St. Landry County,0.261,0.527,0.547,0.481,0.51,4.49
22095,"Louisiana,St. John the Baptist",Louisiana,St. John the Baptist,St. John the Baptist County,0.484,0.589,0.392,0.416,0.595,1.713
22093,"Louisiana,St. James",Louisiana,St. James,St. James County,0.473,0.562,0.362,0.464,0.55,1.584
22091,"Louisiana,St. Helena",Louisiana,St. Helena,St. Helena County,0.206,0.419,0.29,0.43,0.443,0.583
22089,"Louisiana,St. Charles",Louisiana,St. Charles,St. Charles County,0.554,0.594,0.437,0.457,0.589,1.877
22087,"Louisiana,St. Bernard",Louisiana,St. Bernard,St. Bernard County,0.321,0.598,0.45,0.33,0.519,1.954
2232,"Alaska,Skagway",Alaska,Skagway,Skagway County,0.028,0.574,0.245,0.501,0.52,17.349
2220,"Alaska,Sitka City",Alaska,Sitka City,Sitka City County,0.036,0.538,0.398,0.709,0.681,46.371
6071,"California,San Bernandino",California,San Bernandino,San Bernandino County,0.215,0.432,0.985,0.479,0.48,10.118
51775,"Virginia,Salem",Virginia,Salem,Salem County,0.451,0.483,0.146,0.116,0.598,-1.485
22085,"Louisiana,Sabine",Louisiana,Sabine,Sabine County,0.119,0.541,0.42,0.408,0.43,4.255
22083,"Louisiana,Richland",Louisiana,Richland,Richland County,0.129,0.541,0.315,0.483,0.574,5.411
22081,"Louisiana,Red River",Louisiana,Red River,Red River County,0.202,0.532,0.353,0.462,0.448,2.419
