FID,FID_cb_201,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,CountyArea,FID_Americ,Id,IndianLand,Proportion
0,19,46,051,01265782,0500000US46051,46051,Grant,06,1764949271.000000000000000,15753610.000000000000000,1770,0,0,234,13
1,32,27,173,00659531,0500000US27173,27173,Yellow Medicine,06,1966062971.000000000000000,10687958.000000000000000,1992,0,0,5,0
2,45,40,015,01101795,0500000US40015,40015,Caddo,06,3310745123.000000000000000,30820525.000000000000000,3328,0,0,456,14
3,50,55,141,01581130,0500000US55141,55141,Wood,06,2053928984.000000000000000,42054151.000000000000000,2096,0,0,1,0
4,54,35,057,00929112,0500000US35057,35057,Torrance,06,8664074710.000000000000000,2303485.000000000000000,8666,0,0,67,1
5,65,36,003,00974100,0500000US36003,36003,Allegany,06,2665875177.000000000000000,13153776.000000000000000,2681,0,0,1,0
6,90,26,101,01622993,0500000US26101,26101,Manistee,06,1404616462.000000000000000,1912440724.000000000000000,1448,0,0,1,0
7,112,40,031,01101803,0500000US40031,40031,Comanche,06,2769447440.000000000000000,37331078.000000000000000,2832,0,0,209,7
8,118,26,029,01622957,0500000US26029,26029,Charlevoix,06,1078286047.000000000000000,2522933853.000000000000000,1424,0,0,0,0
9,133,55,025,01581072,0500000US55025,55025,Dane,06,3098774789.000000000000000,106341440.000000000000000,3192,0,0,22,1
10,146,26,103,01622994,0500000US26103,26103,Marquette,06,4685386476.000000000000000,4185372277.000000000000000,4895,0,0,0,0
11,167,01,053,00161552,0500000US01053,01053,Escambia,06,2447822304.000000000000000,20797758.000000000000000,2462,0,0,17,1
12,197,49,013,01448021,0500000US49013,49013,Duchesne,06,8379502703.000000000000000,38797815.000000000000000,8388,0,0,1624,19
13,209,41,027,01155131,0500000US41027,41027,Hood River,06,1352203450.000000000000000,29040461.000000000000000,1346,0,0,1,0
14,229,27,035,00659463,0500000US27035,27035,Crow Wing,06,2585785629.000000000000000,409661410.000000000000000,3057,0,0,0,0
15,248,38,057,01034233,0500000US38057,38057,Mercer,06,2701236315.000000000000000,180102277.000000000000000,2908,0,0,250,9
16,249,36,067,00974132,0500000US36067,36067,Onondaga,06,2016012328.000000000000000,70528316.000000000000000,2108,0,0,24,1
17,250,19,193,00465285,0500000US19193,19193,Woodbury,06,2260790978.000000000000000,12793719.000000000000000,2276,0,0,6,0
18,258,55,087,01581104,0500000US55087,55087,Outagamie,06,1651321050.000000000000000,18205949.000000000000000,1668,0,0,157,9
19,261,26,005,01622945,0500000US26005,26005,Allegan,06,2137372873.000000000000000,2610825889.000000000000000,2194,0,0,0,0
20,312,46,103,01266995,0500000US46103,46103,Pennington,06,7191808178.000000000000000,19906989.000000000000000,7219,0,0,3,0
21,338,27,107,00659499,0500000US27107,27107,Norman,06,2260512389.000000000000000,10208057.000000000000000,2276,0,0,0,0
22,342,41,031,01155132,0500000US41031,41031,Jefferson,06,4615975255.000000000000000,26213922.000000000000000,4615,0,0,1030,22
