FID,FID_cb_201,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,CountyArea,FID_PADUS_,Id,BLM_Area,Proportion
0,9,16,065,00394803,0500000US16065,16065,Madison,06,1215396379.000000000000000,10500827.000000000000000,1219,0,0,70,6
1,30,08,045,00198138,0500000US08045,08045,Garfield,06,7634095739.000000000000000,21408198.000000000000000,7638,0,0,2661,35
2,33,31,145,00835894,0500000US31145,31145,Red Willow,06,1856984023.000000000000000,2643458.000000000000000,1853,0,0,1,0
3,44,38,043,01034206,0500000US38043,38043,Kidder,06,3499507647.000000000000000,211725374.000000000000000,3653,0,0,0,0
4,50,55,141,01581130,0500000US55141,55141,Wood,06,2053928984.000000000000000,42054151.000000000000000,2096,0,0,0,0
5,52,55,099,01581110,0500000US55099,55099,Price,06,3247805080.000000000000000,62281745.000000000000000,3308,0,0,0,0
6,54,35,057,00929112,0500000US35057,35057,Torrance,06,8664074710.000000000000000,2303485.000000000000000,8666,0,0,65,1
7,68,16,053,00395662,0500000US16053,16053,Jerome,06,1547386409.000000000000000,13152108.000000000000000,1580,0,0,555,35
8,80,55,069,01581094,0500000US55069,55069,Lincoln,06,2276114436.000000000000000,72463206.000000000000000,2342,0,0,0,0
9,83,08,119,00198175,0500000US08119,08119,Teller,06,1442734233.000000000000000,4944578.000000000000000,1458,0,0,102,7
10,87,16,041,00395585,0500000US16041,16041,Franklin,06,1717209197.000000000000000,12155421.000000000000000,1753,0,0,61,3
11,134,55,049,01581084,0500000US55049,55049,Iowa,06,1975379853.000000000000000,13870296.000000000000000,1992,0,0,1,0
12,145,08,081,00198156,0500000US08081,08081,Moffat,06,12284943876.000000000000000,19803412.000000000000000,12305,0,0,6143,50
13,153,35,019,00929111,0500000US35019,35019,Guadalupe,06,7847071878.000000000000000,2888161.000000000000000,7859,0,0,200,3
14,163,55,027,01581073,0500000US55027,55027,Dodge,06,2267979574.000000000000000,81401509.000000000000000,2339,0,0,0,0
15,165,55,011,01581065,0500000US55011,55011,Buffalo,06,1739529649.000000000000000,98310686.000000000000000,1830,0,0,0,0
16,170,27,153,00659521,0500000US27153,27153,Todd,06,2447451028.000000000000000,89444026.000000000000000,2526,0,0,0,0
17,180,55,105,01581113,0500000US55105,55105,Rock,06,1859979851.000000000000000,20695904.000000000000000,1878,0,0,0,0
18,182,08,087,00198159,0500000US08087,08087,Morgan,06,3316441507.000000000000000,34663099.000000000000000,3365,0,0,3,0
19,195,55,047,01581083,0500000US55047,55047,Green Lake,06,904711548.000000000000000,79805895.000000000000000,998,0,0,0,0
20,197,49,013,01448021,0500000US49013,49013,Duchesne,06,8379502703.000000000000000,38797815.000000000000000,8388,0,0,839,10
21,209,41,027,01155131,0500000US41027,41027,Hood River,06,1352203450.000000000000000,29040461.000000000000000,1346,0,0,1,0
22,219,41,003,01155126,0500000US41003,41003,Benton,06,1748712527.000000000000000,7740249.000000000000000,1746,0,0,237,14
23,229,27,035,00659463,0500000US27035,27035,Crow Wing,06,2585785629.000000000000000,409661410.000000000000000,3057,0,0,0,0
24,236,05,109,00069173,0500000US05109,05109,Pike,06,1555599952.000000000000000,34989238.000000000000000,1579,0,0,0,0
25,241,31,075,00835859,0500000US31075,31075,Grant,06,2010410702.000000000000000,18130867.000000000000000,2030,0,0,0,0
26,245,16,025,00399408,0500000US16025,16025,Camas,06,2782253889.000000000000000,11548052.000000000000000,2819,0,0,498,18
27,248,38,057,01034233,0500000US38057,38057,Mercer,06,2701236315.000000000000000,180102277.000000000000000,2908,0,0,1,0
28,251,38,065,01034205,0500000US38065,38065,Oliver,06,1871296135.000000000000000,22476236.000000000000000,1887,0,0,0,0
29,255,16,083,00399334,0500000US16083,16083,Twin Falls,06,4977213745.000000000000000,18063174.000000000000000,4967,0,0,2116,43
30,258,55,087,01581104,0500000US55087,55087,Outagamie,06,1651321050.000000000000000,18205949.000000000000000,1668,0,0,0,0
31,293,31,027,00835835,0500000US31027,31027,Cedar,06,1917219988.000000000000000,14513825.000000000000000,1922,0,0,0,0
32,297,55,055,01581087,0500000US55055,55055,Jefferson,06,1441198727.000000000000000,68095317.000000000000000,1506,0,0,0,0
33,312,46,103,01266995,0500000US46103,46103,Pennington,06,7191808178.000000000000000,19906989.000000000000000,7219,0,0,66,1
34,323,49,005,01448017,0500000US49005,49005,Cache,06,3016670856.000000000000000,21097698.000000000000000,3037,0,0,1,0
35,324,27,079,00659485,0500000US27079,27079,Le Sueur,06,1162055133.000000000000000,65130232.000000000000000,1218,0,0,0,0
