FID,FID_cb_201,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,CountyArea,FID_DOD_Di,Id,DOD_Area,Proportion
0,112,40,031,01101803,0500000US40031,40031,Comanche,06,2769447440.000000000000000,37331078.000000000000000,2832,0,0,381,13
1,369,35,041,01702369,0500000US35041,35041,Roosevelt,06,6335224660.000000000000000,18697914.000000000000000,6352,0,0,236,4
2,402,48,311,01383947,0500000US48311,48311,McMullen,06,2952065876.000000000000000,43985815.000000000000000,2988,0,0,32,1
3,444,48,363,01383967,0500000US48363,48363,Palo Pinto,06,2466313772.000000000000000,86141064.000000000000000,2552,0,0,1,0
4,460,48,029,01383800,0500000US48029,48029,Bexar,06,3211308851.000000000000000,41911545.000000000000000,3256,0,0,180,6
5,606,40,047,01101811,0500000US40047,40047,Garfield,06,2741479095.000000000000000,4075930.000000000000000,2747,0,0,9,0
6,713,06,031,00277280,0500000US06031,06031,Kings,06,3598593366.000000000000000,5453080.000000000000000,3593,0,0,62,2
7,768,35,009,00933053,0500000US35009,35009,Curry,06,3640098102.000000000000000,8190594.000000000000000,3648,0,0,23,1
8,921,35,051,01702370,0500000US35051,35051,Sierra,06,10828937018.000000000000000,147987561.000000000000000,10980,0,0,2119,19
9,923,35,001,01702363,0500000US35001,35001,Bernalillo,06,3007310205.000000000000000,16190430.000000000000000,3028,0,0,187,6
10,931,35,027,00929116,0500000US35027,35027,Lincoln,06,12512530204.000000000000000,554703.000000000000000,12512,0,0,730,6
11,1091,06,037,00277283,0500000US06037,06037,Los Angeles,06,10510588451.000000000000000,1794793532.000000000000000,10790,0,0,350,3
12,1093,06,065,00277297,0500000US06065,06065,Riverside,06,18664542308.000000000000000,250588224.000000000000000,18934,0,0,456,2
13,1128,04,021,00025447,0500000US04021,04021,Pinal,06,13897471114.000000000000000,22332471.000000000000000,13941,0,0,3,0
14,1175,06,073,00277301,0500000US06073,06073,San Diego,06,10898787530.000000000000000,822557348.000000000000000,11049,0,0,706,6
15,1183,04,009,00025444,0500000US04009,04009,Graham,06,11972778533.000000000000000,47436491.000000000000000,11991,0,0,2,0
16,1184,06,029,02054176,0500000US06029,06029,Kern,06,21062393794.000000000000000,78770534.000000000000000,21122,0,0,1172,6
17,1220,48,355,01383963,0500000US48355,48355,Nueces,06,2171223720.000000000000000,847262030.000000000000000,2859,0,0,18,1
18,1330,06,111,00277320,0500000US06111,06111,Ventura,06,4773302741.000000000000000,946030569.000000000000000,4910,0,0,76,2
19,1331,06,025,00277277,0500000US06025,06025,Imperial,06,10817291631.000000000000000,790230304.000000000000000,11589,0,0,1428,12
20,1358,06,059,00277294,0500000US06059,06059,Orange,06,2048392529.000000000000000,406915886.000000000000000,2055,0,0,20,1
21,1377,35,053,01702371,0500000US35053,35053,Socorro,06,17214061674.000000000000000,4843011.000000000000000,17222,0,0,1749,10
22,1400,48,485,01384028,0500000US48485,48485,Wichita,06,1625943418.000000000000000,13820243.000000000000000,1640,0,0,19,1
