FID,FID_cb_201,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,CountyArea,FID_DOE_Di,Id,DOE_Area,Propotion
0,30,08,045,00198138,0500000US08045,08045,Garfield,06,7634095739.000000000000000,21408198.000000000000000,7638,0,0,1,0
1,194,45,011,01247983,0500000US45011,45011,Barnwell,06,1420294943.000000000000000,23008120.000000000000000,1424,0,0,470,33
2,225,45,003,01247979,0500000US45003,45003,Aiken,06,2774109851.000000000000000,24619610.000000000000000,2768,0,0,294,11
3,349,16,051,00399751,0500000US16051,16051,Jefferson,06,2832617277.000000000000000,31168379.000000000000000,2852,0,0,573,20
4,634,13,245,00358024,0500000US13245,13245,Richmond,06,840026450.000000000000000,11024164.000000000000000,865,0,0,0,0
5,774,32,009,00858641,0500000US32009,32009,Esmeralda,06,9277050041.000000000000000,18552011.000000000000000,9290,0,0,0,0
6,1035,16,019,00395407,0500000US16019,16019,Bonneville,06,4832874977.000000000000000,88853019.000000000000000,4905,0,0,26,1
7,1132,16,011,00400593,0500000US16011,16011,Bingham,06,5422887230.000000000000000,68487087.000000000000000,5495,0,0,261,5
8,1451,35,028,01702366,0500000US35028,35028,Los Alamos,06,282821648.000000000000000,229869.000000000000000,319,0,0,95,30
9,1459,48,065,01383818,0500000US48065,48065,Carson,06,2383359749.000000000000000,10064086.000000000000000,2391,0,0,41,2
10,1605,16,023,00401703,0500000US16023,16023,Butte,06,5792509562.000000000000000,5260331.000000000000000,5841,0,0,1382,24
11,1813,36,091,00974143,0500000US36091,36091,Saratoga,06,2097880370.000000000000000,87571838.000000000000000,2182,0,0,16,1
12,2040,45,005,01247980,0500000US45005,45005,Allendale,06,1056949849.000000000000000,11205143.000000000000000,1071,0,0,17,2
13,2104,13,033,00347944,0500000US13033,13033,Burke,06,2141993539.000000000000000,20601185.000000000000000,2163,0,0,11,1
14,2112,35,049,00933322,0500000US35049,35049,Santa Fe,06,4941709205.000000000000000,3537550.000000000000000,4942,0,0,11,0
15,2196,53,005,01513302,0500000US53005,53005,Benton,06,4402976584.000000000000000,154626802.000000000000000,4529,0,0,823,18
16,2301,13,251,00350204,0500000US13251,13251,Screven,06,1670807253.000000000000000,27885165.000000000000000,1718,0,0,0,0
17,2344,53,025,01531924,0500000US53025,53025,Grant,06,6939832890.000000000000000,289982469.000000000000000,7225,0,0,16,0
18,2378,35,043,00929113,0500000US35043,35043,Sandoval,06,9609139504.000000000000000,10854361.000000000000000,9592,0,0,0,0
19,2431,53,001,01531601,0500000US53001,53001,Adams,06,4985663373.000000000000000,12499935.000000000000000,5012,0,0,0,0
20,2569,36,093,00974144,0500000US36093,36093,Schenectady,06,529856261.000000000000000,12600384.000000000000000,511,0,0,1,0
21,2600,32,023,00863599,0500000US32023,32023,Nye,06,47090938928.000000000000000,43207981.000000000000000,47101,0,0,3520,7
22,2723,53,021,01531822,0500000US53021,53021,Franklin,06,3215718022.000000000000000,60509234.000000000000000,3282,0,0,15,0
23,2810,16,033,00399755,0500000US16033,16033,Clark,06,4566524491.000000000000000,2476454.000000000000000,4614,0,0,54,1
