FID,FID_cb_201,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,CountyArea,FID_PADUS_,Id,NPS_Area,Proportion
0,0,06,075,00277302,0500000US06075,06075,San Francisco,06,121485107.000000000000000,479107241.000000000000000,114,0,0,4,4
1,1,25,025,00606939,0500000US25025,25025,Suffolk,06,150855462.000000000000000,160479920.000000000000000,180,0,0,0,0
2,17,48,493,01384032,0500000US48493,48493,Wilson,06,2081662847.000000000000000,12111367.000000000000000,2087,0,0,0,0
3,22,51,670,01498428,0500000US51670,51670,Hopewell,25,26668801.000000000000000,1324529.000000000000000,28,0,0,0,0
4,46,42,075,01214034,0500000US42075,42075,Lebanon,06,937138344.000000000000000,1727921.000000000000000,946,0,0,2,0
5,54,35,057,00929112,0500000US35057,35057,Torrance,06,8664074710.000000000000000,2303485.000000000000000,8666,0,0,2,0
6,59,12,091,00306915,0500000US12091,12091,Okaloosa,06,2409367483.000000000000000,393201898.000000000000000,2578,0,0,35,1
7,68,16,053,00395662,0500000US16053,16053,Jerome,06,1547386409.000000000000000,13152108.000000000000000,1580,0,0,1,0
8,83,08,119,00198175,0500000US08119,08119,Teller,06,1442734233.000000000000000,4944578.000000000000000,1458,0,0,24,2
9,86,11,001,01702382,0500000US11001,11001,District of Columbia,00,158351639.000000000000000,18675956.000000000000000,179,0,0,4,2
10,107,48,171,01383871,0500000US48171,48171,Gillespie,06,2740716834.000000000000000,9015052.000000000000000,2748,0,0,2,0
11,116,18,091,00450507,0500000US18091,18091,LaPorte,06,1549582915.000000000000000,38751745.000000000000000,1581,0,0,3,0
12,129,42,025,01213664,0500000US42025,42025,Carbon,06,987977576.000000000000000,15349904.000000000000000,995,0,0,4,0
13,133,55,025,01581072,0500000US55025,55025,Dane,06,3098774789.000000000000000,106341440.000000000000000,3192,0,0,1,0
14,140,20,011,00484975,0500000US20011,20011,Bourbon,06,1645861891.000000000000000,9377598.000000000000000,1653,0,0,0,0
15,145,08,081,00198156,0500000US08081,08081,Moffat,06,12284943876.000000000000000,19803412.000000000000000,12305,0,0,698,6
16,179,51,139,01500440,0500000US51139,51139,Page,06,802893902.000000000000000,8425697.000000000000000,805,0,0,138,17
17,181,05,101,00069900,0500000US05101,05101,Newton,06,2126136365.000000000000000,5930177.000000000000000,2117,0,0,163,8
18,190,34,013,00882276,0500000US34013,34013,Essex,06,326559360.000000000000000,8636456.000000000000000,347,0,0,0,0
19,204,12,009,00295749,0500000US12009,12009,Brevard,06,2629333877.000000000000000,1403340249.000000000000000,3364,0,0,111,3
20,248,38,057,01034233,0500000US38057,38057,Mercer,06,2701236315.000000000000000,180102277.000000000000000,2908,0,0,6,0
21,255,16,083,00399334,0500000US16083,16083,Twin Falls,06,4977213745.000000000000000,18063174.000000000000000,4967,0,0,18,0
22,285,05,051,00066855,0500000US05051,05051,Garland,06,1755290919.000000000000000,147383373.000000000000000,1916,0,0,20,1
23,312,46,103,01266995,0500000US46103,46103,Pennington,06,7191808178.000000000000000,19906989.000000000000000,7219,0,0,393,5
24,325,51,003,01675170,0500000US51003,51003,Albemarle,06,1866002205.000000000000000,14235728.000000000000000,1882,0,0,43,2
25,332,51,013,01480097,0500000US51013,51013,Arlington,06,67362395.000000000000000,244142.000000000000000,69,0,0,2,3
26,335,51,043,01690562,0500000US51043,51043,Clarke,06,455661684.000000000000000,5693068.000000000000000,443,0,0,9,2
27,339,27,117,00659504,0500000US27117,27117,Pipestone,06,1204488112.000000000000000,2348855.000000000000000,1202,0,0,1,0
28,343,29,043,00758476,0500000US29043,29043,Christian,06,1457243595.000000000000000,3012641.000000000000000,1422,0,0,3,0
29,368,31,157,00835900,0500000US31157,31157,Scotts Bluff,06,1915079274.000000000000000,15397684.000000000000000,1933,0,0,13,1
30,451,55,129,01581124,0500000US55129,55129,Washburn,06,2064513622.000000000000000,145566159.000000000000000,2190,0,0,18,1
31,452,12,031,00293656,0500000US12031,12031,Duval,06,1975764931.000000000000000,403035529.000000000000000,2212,0,0,177,8
32,460,48,029,01383800,0500000US48029,48029,Bexar,06,3211308851.000000000000000,41911545.000000000000000,3256,0,0,1,0
33,463,53,031,01531936,0500000US53031,53031,Jefferson,06,4671790710.000000000000000,994835543.000000000000000,4949,0,0,2140,43
34,470,47,035,01639736,0500000US47035,47035,Cumberland,06,1763849850.000000000000000,9823728.000000000000000,1804,0,0,1,0
35,478,26,115,01623000,0500000US26115,26115,Monroe,06,1423275272.000000000000000,337746237.000000000000000,1462,0,0,0,0
36,506,20,065,00481811,0500000US20065,20065,Graham,06,2327173855.000000000000000,599356.000000000000000,2328,0,0,0,0
37,518,29,091,00758500,0500000US29091,29091,Howell,06,2401562307.000000000000000,2913502.000000000000000,2405,0,0,0,0
38,551,54,065,01557950,0500000US54065,54065,Morgan,06,593295476.000000000000000,1401570.000000000000000,551,0,0,2,0
39,647,26,019,01622952,0500000US26019,26019,Benzie,06,828049220.000000000000000,1398210900.000000000000000,901,0,0,57,6
40,666,51,185,01497748,0500000US51185,51185,Tazewell,06,1343661925.000000000000000,2921369.000000000000000,1363,0,0,0,0
41,679,31,067,00835855,0500000US31067,31067,Gage,06,2205275212.000000000000000,22010737.000000000000000,2227,0,0,1,0
42,680,39,141,01074083,0500000US39141,39141,Ross,06,1784986611.000000000000000,9938846.000000000000000,1807,0,0,5,0
