FID,FID_cb_201,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,CountyArea,FID_PADUS_,Id,USFSArea,Proportion
0,9,16,065,00394803,0500000US16065,16065,Madison,06,1215396379.000000000000000,10500827.000000000000000,1219,0,0,169,14
1,12,21,129,00516911,0500000US21129,21129,Lee,06,540937712.000000000000000,6215038.000000000000000,530,0,0,33,6
2,28,29,055,00758482,0500000US29055,29055,Crawford,06,1923108653.000000000000000,3203556.000000000000000,1919,0,0,199,10
3,29,31,105,00835874,0500000US31105,31105,Kimball,06,2465269097.000000000000000,1448446.000000000000000,2470,0,0,0,0
4,30,08,045,00198138,0500000US08045,08045,Garfield,06,7634095739.000000000000000,21408198.000000000000000,7638,0,0,2090,27
5,42,29,229,00758567,0500000US29229,29229,Wright,06,1765780148.000000000000000,3533325.000000000000000,1770,0,0,29,2
6,52,55,099,01581110,0500000US55099,55099,Price,06,3247805080.000000000000000,62281745.000000000000000,3308,0,0,608,18
7,54,35,057,00929112,0500000US35057,35057,Torrance,06,8664074710.000000000000000,2303485.000000000000000,8666,0,0,630,7
8,55,26,107,01622996,0500000US26107,26107,Mecosta,06,1437745751.000000000000000,41762966.000000000000000,1481,0,0,14,1
9,59,12,091,00306915,0500000US12091,12091,Okaloosa,06,2409367483.000000000000000,393201898.000000000000000,2578,0,0,1,0
10,62,20,129,00485135,0500000US20129,20129,Morton,06,1889993244.000000000000000,507796.000000000000000,1891,0,0,436,23
11,63,28,153,00695797,0500000US28153,28153,Wayne,06,2099745578.000000000000000,7255476.000000000000000,2112,0,0,368,17
12,66,51,009,01480095,0500000US51009,51009,Amherst,06,1227554626.000000000000000,12883346.000000000000000,1271,0,0,233,18
13,71,26,123,01623004,0500000US26123,26123,Newaygo,06,2112606166.000000000000000,119183856.000000000000000,2234,0,0,453,20
14,81,47,091,01639760,0500000US47091,47091,Johnson,06,772960730.000000000000000,11007740.000000000000000,787,0,0,206,26
15,83,08,119,00198175,0500000US08119,08119,Teller,06,1442734233.000000000000000,4944578.000000000000000,1458,0,0,507,35
16,85,22,127,00559594,0500000US22127,22127,Winn,15,2460711982.000000000000000,17448075.000000000000000,2487,0,0,461,19
17,87,16,041,00395585,0500000US16041,16041,Franklin,06,1717209197.000000000000000,12155421.000000000000000,1753,0,0,505,29
18,90,26,101,01622993,0500000US26101,26101,Manistee,06,1404616462.000000000000000,1912440724.000000000000000,1448,0,0,355,25
19,93,47,139,01639782,0500000US47139,47139,Polk,06,1125617646.000000000000000,19911983.000000000000000,1167,0,0,610,52
20,100,28,035,00695742,0500000US28035,28035,Forrest,06,1207042799.000000000000000,10872920.000000000000000,1212,0,0,203,17
21,103,45,059,01248009,0500000US45059,45059,Laurens,06,1848783527.000000000000000,25949287.000000000000000,1877,0,0,94,5
22,109,17,003,00424203,0500000US17003,17003,Alexander,06,609996941.000000000000000,44237191.000000000000000,653,0,0,113,17
23,120,39,087,01074056,0500000US39087,39087,Lawrence,06,1174224653.000000000000000,10110033.000000000000000,1165,0,0,292,25
24,125,18,105,00451680,0500000US18105,18105,Monroe,06,1021814153.000000000000000,43504254.000000000000000,1062,0,0,76,7
