FID,FID_cb_201,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,CountyArea,FID_PADUS_,Id,USFWS_Area,Proportion
0,5,50,011,01461762,0500000US50011,50011,Franklin,06,1641633748.000000000000000,150930318.000000000000000,1798,0,0,27,2
1,19,46,051,01265782,0500000US46051,46051,Grant,06,1764949271.000000000000000,15753610.000000000000000,1770,0,0,22,1
2,21,05,067,00066861,0500000US05067,05067,Jackson,06,1641853230.000000000000000,19623381.000000000000000,1665,0,0,15,1
3,23,46,003,01266983,0500000US46003,46003,Aurora,06,1834813747.000000000000000,11201379.000000000000000,1851,0,0,20,1
4,26,19,161,00465269,0500000US19161,19161,Sac,06,1489300182.000000000000000,8569441.000000000000000,1499,0,0,4,0
5,32,27,173,00659531,0500000US27173,27173,Yellow Medicine,06,1966062971.000000000000000,10687958.000000000000000,1992,0,0,4,0
6,40,19,147,00465262,0500000US19147,19147,Palo Alto,06,1460391661.000000000000000,14437623.000000000000000,1474,0,0,3,0
7,41,19,081,00465229,0500000US19081,19081,Hancock,06,1478895055.000000000000000,5265568.000000000000000,1485,0,0,3,0
8,43,31,073,00835858,0500000US31073,31073,Gosper,06,1186616240.000000000000000,11831826.000000000000000,1200,0,0,6,0
9,44,38,043,01034206,0500000US38043,38043,Kidder,06,3499507647.000000000000000,211725374.000000000000000,3653,0,0,61,2
10,50,55,141,01581130,0500000US55141,55141,Wood,06,2053928984.000000000000000,42054151.000000000000000,2096,0,0,9,0
11,56,29,003,00758456,0500000US29003,29003,Andrew,06,1120659795.000000000000000,9686701.000000000000000,1129,0,0,0,0
12,61,19,059,00465218,0500000US19059,19059,Dickinson,06,985539078.000000000000000,60716111.000000000000000,1047,0,0,26,2
13,64,36,073,00974135,0500000US36073,36073,Orleans,06,1013366849.000000000000000,1103741896.000000000000000,1023,0,0,23,2
14,67,13,267,00347445,0500000US13267,13267,Tattnall,06,1241979177.000000000000000,22837730.000000000000000,1226,0,0,0,0
15,73,31,035,00835839,0500000US31035,31035,Clay,06,1482222903.000000000000000,3234878.000000000000000,1485,0,0,27,2
16,76,46,061,01266979,0500000US46061,46061,Hanson,06,1125387966.000000000000000,2248724.000000000000000,1125,0,0,4,0
17,87,16,041,00395585,0500000US16041,16041,Franklin,06,1717209197.000000000000000,12155421.000000000000000,1753,0,0,8,0
18,91,27,047,00659469,0500000US27047,27047,Freeborn,06,1831351973.000000000000000,39709692.000000000000000,1872,0,0,9,0
19,96,17,137,00424270,0500000US17137,17137,Morgan,06,1473194924.000000000000000,9064992.000000000000000,1482,0,0,8,1
20,104,46,097,01265777,0500000US46097,46097,Miner,06,1476889390.000000000000000,4382648.000000000000000,1481,0,0,6,0
21,109,17,003,00424203,0500000US17003,17003,Alexander,06,609996941.000000000000000,44237191.000000000000000,653,0,0,15,2
22,112,40,031,01101803,0500000US40031,40031,Comanche,06,2769447440.000000000000000,37331078.000000000000000,2832,0,0,238,8
23,113,29,195,00758550,0500000US29195,29195,Saline,06,1956716997.000000000000000,29587339.000000000000000,1974,0,0,3,0
24,118,26,029,01622957,0500000US26029,26029,Charlevoix,06,1078286047.000000000000000,2522933853.000000000000000,1424,0,0,0,0
25,121,51,099,01480137,0500000US51099,51099,King George,06,465080763.000000000000000,21140635.000000000000000,427,0,0,2,0
26,123,12,095,00295750,0500000US12095,12095,Orange,06,2339138134.000000000000000,259141175.000000000000000,2630,0,0,1,0
27,125,18,105,00451680,0500000US18105,18105,Monroe,06,1021814153.000000000000000,43504254.000000000000000,1062,0,0,0,0
28,128,31,059,00835851,0500000US31059,31059,Fillmore,06,1490202783.000000000000000,2989990.000000000000000,1493,0,0,14,1
29,133,55,025,01581072,0500000US55025,55025,Dane,06,3098774789.000000000000000,106341440.000000000000000,3192,0,0,7,0
30,145,08,081,00198156,0500000US08081,08081,Moffat,06,12284943876.000000000000000,19803412.000000000000000,12305,0,0,49,0
31,151,12,107,00306910,0500000US12107,12107,Putnam,06,1885167090.000000000000000,256548320.000000000000000,2150,0,0,2,0
32,157,21,157,00516922,0500000US21157,21157,Marshall,06,780276604.000000000000000,100761088.000000000000000,872,0,0,24,3
33,163,55,027,01581073,0500000US55027,55027,Dodge,06,2267979574.000000000000000,81401509.000000000000000,2339,0,0,88,4
34,165,55,011,01581065,0500000US55011,55011,Buffalo,06,1739529649.000000000000000,98310686.000000000000000,1830,0,0,46,3
35,169,27,105,00659498,0500000US27105,27105,Nobles,06,1852077339.000000000000000,19323570.000000000000000,1871,0,0,3,0
36,170,27,153,00659521,0500000US27153,27153,Todd,06,2447451028.000000000000000,89444026.000000000000000,2526,0,0,3,0
37,171,29,039,00758474,0500000US29039,29039,Cedar,06,1228905197.000000000000000,62603495.000000000000000,1301,0,0,1,0
38,173,17,009,00424206,0500000US17009,17009,Brown,06,791518279.000000000000000,4139308.000000000000000,796,0,0,1,0
39,180,55,105,01581113,0500000US55105,55105,Rock,06,1859979851.000000000000000,20695904.000000000000000,1878,0,0,2,0
40,185,19,021,00465200,0500000US19021,19021,Buena Vista,06,1488989049.000000000000000,13791660.000000000000000,1504,0,0,0,0
41,191,51,036,01480109,0500000US51036,51036,Charles City,06,473494108.000000000000000,55492133.000000000000000,544,0,0,3,1
42,204,12,009,00295749,0500000US12009,12009,Brevard,06,2629333877.000000000000000,1403340249.000000000000000,3364,0,0,529,16
43,205,12,015,00295742,0500000US12015,12015,Charlotte,06,1764104254.000000000000000,458735963.000000000000000,2120,0,0,0,0
44,210,54,073,01678557,0500000US54073,54073,Pleasants,06,337015703.000000000000000,11459910.000000000000000,340,0,0,2,1
45,211,12,067,00295732,0500000US12067,12067,Lafayette,06,1407329163.000000000000000,11745118.000000000000000,1430,0,0,2,0
46,217,26,135,01623010,0500000US26135,26135,Oscoda,06,1465088065.000000000000000,15136485.000000000000000,1482,0,0,6,0
47,219,41,003,01155126,0500000US41003,41003,Benton,06,1748712527.000000000000000,7740249.000000000000000,1746,0,0,22,1
48,228,18,051,00450354,0500000US18051,18051,Gibson,06,1262606254.000000000000000,30223915.000000000000000,1281,0,0,11,1
