FIPS,p_all,p_blm,p_dod,p_doe,p_nps,p_usfs,p_usfws
16065,0.19606234618539786,0.05742411812961444,0,0,0,0.13863822805578344,0
08045,0.622152395915161,0.3483896307934014,0,1.3092432573972245e-4,0,0.2736318407960199,0
31145,5.396654074473826e-4,5.396654074473826e-4,0,0,0,0,0
38043,0.016698603887215988,0,0,0,0,0,0.016698603887215988
55141,0.004293893129770993,0,0,0,0,0,0.004293893129770993
55099,0.1837968561064087,0,0,0,0,0.1837968561064087,0
35057,0.08042926378952227,0.007500576967459035,0,0,2.3078698361412417e-4,0.07269789983844911,0
16053,0.3518987341772152,0.3512658227848101,0,0,6.329113924050633e-4,0,0
55069,0,0,0,0,0,0,0
08119,0.43415637860082307,0.06995884773662552,0,0,0.01646090534979424,0.3477366255144033,0
16041,0.32743867655447806,0.03479749001711352,0,0,0,0.2880775812892185,0.004563605248146035
55049,5.02008032128514e-4,5.02008032128514e-4,0,0,0,0,0
08081,0.5735879723689556,0.4992279561154002,0,0,0.05672490857375051,0.013652986590816742,0.003982121088988216
35019,0.02544853034737244,0.02544853034737244,0,0,0,0,0
55027,0.03762291577597264,0,0,0,0,0,0.03762291577597264
55011,0.025136612021857924,0,0,0,0,0,0.025136612021857924
27153,0.0011876484560570072,0,0,0,0,0,0.0011876484560570072
55105,0.0010649627263045794,0,0,0,0,0,0.0010649627263045794
08087,8.915304606240713e-4,8.915304606240713e-4,0,0,0,0,0
55047,0,0,0,0,0,0,0
49013,0.4470672389127325,0.10002384358607534,0,0,0,0.3470433953266571,0
41027,0.6240713224368499,7.429420505200594e-4,0,0,0,0.6233283803863299,0
41003,0.18957617411225658,0.13573883161512026,0,0,0,0.041237113402061855,0.012600229095074456
27035,9.813542688910696e-4,0,9.813542688910696e-4,0,0,0,0
05109,0.03356554781507283,0,0,0,0,0.03356554781507283,0
31075,0,0,0,0,0,0,0
16025,0.6466832210003547,0.17665838949982263,0,0,0,0.4700248315005321,0
38057,0.0024071526822558456,3.43878954607978e-4,0,0,0.0020632737276478678,0,0
38065,0,0,0,0,0,0,0
16083,0.5041272397825649,0.4260116770686531,0,0,0.0036239178578618887,0.07449164485604994,0
55087,0,0,0,0,0,0,0
31027,0,0,0,0,0,0,0
55055,6.640106241699867e-4,0,0,0,0,0,6.640106241699867e-4
