CountyFIPS,shel_crop,shel_crop_pc,shel_prop,shel_prop_pc,shel_injur,shel_injur_pc,shel_fatal,shel_fatal_pc,shel_dura,shel_yr_total
01001,0,0,401747.79,9.15727,0,0,0,0,1,15
01003,0,0,921025.32,6.23855,1,5e-6,2,1e-5,2,20
01005,0,0,60152.375,2.038645,0,0,0,0,1,16
01007,0,0,88731.1,4.23699,0,0,0,0,1,15
01009,0,0,580947.32,11.008,0.13,0,0,0,1,15
01011,0,0,64144.21,5.818175,0,0,0,0,1,14
01013,0,0,86608.68,4.28099,0,0,0,0,1,19
01015,0,0,469519.675,4.222045,0.065,0,0,0,2,14
01017,0,0,87225.04,2.37632,0,0,0,0,1,15
01019,0,0,354017.03500000003,14.26606,0,0,0,0,2,14
01021,0,0,174332.12,4.05547,0,0,0,0,1,15
01023,0,0,161771.885,10.37298,0,0,0,0,1,18
01025,0,0,212601.95,8.12638,0,0,0,0,1,19
01027,0,0,88608.11,6.384815,0,0,0,0,1,14
01029,0,0,45412.58500000001,3.174815,0,0,0,0,2,14
01031,0,0,222843.51,4.90709,0,0,0,0,1,19
01033,0,0,273749.79,4.99437,0.135,0,0,0,1,20
01035,0,0,115899.69,9.14757,0,0,0,0,1,17
01037,0,0,34685.05,2.9400500000000003,0,0,0,0,1,14
01039,0,0,167718.525,4.50373,0,0,0,0,1,20
01041,0,0,108900.95,7.95711,0,0,0,0,1,19
01043,0,0,273522.425,3.400845,0,0,0,0,1,20
01045,0,0,332810.62,6.91239,0,0,0,0,1,19
01047,0,0,260871.34999999998,5.933215,0,0,0,0,1,14
01049,0,0,453618.63,7.0543949999999995,0,0,0,0,1,20
01051,0,0,148196.63,2.051595,0,0,0,0,1,18
01053,0,0,185201.685,4.913275,0,0,0,0,1,18
01055,0,0,322694.36,3.10513,1,1e-5,0,0,1,17
01057,0,0,211723.51,11.4718,0,0,0,0,1,15
01059,0,0,87374.995,2.8465,0,0,0,0,1,18
01061,0,0,277706.445,10.68329,0,0,0,0,1,20
01063,0,0,45129.9,5.11155,0,0,0,0,1,13
01065,0,0,146907.075,8.581415,0,0,0,0,1,14
01067,0,0,314370.85,18.06418,0,0,0,0,1,19
