State Name,County Name,County FIPS,Year,CropIndemnityPayment,CropIndemnityPayment(ADJ),CropIndemnityPaymentPerCapita,Records
MINNESOTA,Lac qui Parle,'27073',2015,6125248.81000,6446116.21000,940.21532,50
MISSISSIPPI,Benton,'28009',2004,202364.00000,267211.52000,34.22279,22
RHODE ISLAND,Providence,'44007',2009,4206.00000,4890.14000,0.00779,1
GEORGIA,Early,'13099',2004,1570362.00000,2073584.39000,172.35345,49
ILLINOIS,Lawrence,'17101',2015,3347900.12000,3523277.84000,213.64853,84
IOWA,Hamilton,'19079',1998,769519.00000,1177567.01000,73.55197,67
VIRGINIA,Powhatan,'51145',2015,49690.45000,52293.46000,1.86556,13
WISCONSIN,Grant,'55043',1998,78724.00000,120468.49000,2.44398,14
MICHIGAN,Livingston,'26093',2010,441612.00000,505157.42000,2.79113,21
CALIFORNIA,Solano,'06095',2005,467693.00000,597327.53000,1.46906,19
COLORADO,Yuma,'08125',2010,4473722.62000,5117465.32000,510.92905,77
FLORIDA,Suwannee,'12121',2015,211617.00000,222702.44000,5.08918,7
MISSOURI,Monroe,'29137',2014,591036.75000,622736.17000,71.52132,36
IDAHO,Lewis,'16061',2014,1821094.50000,1918766.29000,499.93911,47
OHIO,Holmes,'39075',2010,76371.00000,87360.35000,2.05713,23
KANSAS,Sedgwick,'20173',2008,2596008.00000,3007529.18000,6.23559,158
VERMONT,Washington,'50023',2010,717.00000,820.17000,0.01377,1
MISSOURI,Johnson,'29101',1998,460190.00000,704212.11000,14.76800,68
NEBRASKA,Deuel,'31049',2008,1935944.00000,2242831.28000,1197.45397,47
OREGON,Washington,'41067',2004,6346.00000,8379.58000,0.01727,1
SOUTH DAKOTA,Gregory,'46053',2014,403986.71000,425653.95000,100.93762,25
IDAHO,Camas,'16025',1998,8293.00000,12690.48000,15.08975,2
NORTH CAROLINA,Halifax,'37083',2008,1017389.00000,1178666.26000,21.39373,46
INDIANA,Benton,'18007',2004,247447.00000,326741.41000,36.49111,30
IOWA,Louisa,'19115',2014,675896.83000,712147.61000,63.80679,39
ALABAMA,Marshall,'01095',2013,55208.09000,59112.71000,0.62507,8
KANSAS,Miami,'20121',2017,456456.06000,456456.06000,13.64144,13
KENTUCKY,Boyle,'21021',2006,66142.00000,81835.30000,2.85001,6
GEORGIA,Twiggs,'13289',2017,30917.25000,30917.25000,3.78239,4
KENTUCKY,Jackson,'21109',2013,67678.00000,72464.56000,5.41751,4
TENNESSEE,Meigs,'47121',2017,31788.00000,31788.00000,2.63407,1
KANSAS,Jackson,'20085',2001,145656.00000,205146.31000,16.17235,39
MISSOURI,Carroll,'29033',2017,201907.95000,201907.95000,22.95452,26
MISSOURI,New Madrid,'29143',2006,184871.00000,228734.78000,12.82289,25
GEORGIA,Seminole,'13253',2001,651805.00000,918021.84000,98.85020,27
IDAHO,Minidoka,'16067',2006,227677.00000,281697.20000,15.13606,23
MICHIGAN,Clare,'26035',2012,160953.94000,174861.82000,5.68102,19
TEXAS,Brazos,'48041',2006,131064.00000,162161.14000,0.96597,11
MISSISSIPPI,Yalobusha,'28161',2001,1931.00000,2719.68000,0.20290,3
NORTH DAKOTA,Grand Forks,'38035',2005,15619306.00000,19948644.21000,299.68669,222
INDIANA,Henry,'18065',2002,2007338.00000,2783192.44000,58.03638,70
MISSISSIPPI,Webster,'28155',2009,503554.00000,585460.68000,59.42557,25
NORTH DAKOTA,Emmons,'38029',2013,13034492.54000,13956363.00000,4009.29704,105
INDIANA,Sullivan,'18153',2009,3250146.00000,3778805.74000,178.64160,78
TENNESSEE,Cheatham,'47021',2011,107183.00000,118854.33000,3.04684,8
SOUTH DAKOTA,Brookings,'46011',2006,2251864.00000,2786156.61000,95.42286,87
TENNESSEE,Tipton,'47167',2016,672035.00000,685949.53000,11.21272,35
INDIANA,Newton,'18111',2001,226792.00000,319420.71000,22.29813,35
IOWA,Greene,'19073',2006,96837.00000,119813.21000,12.52228,12
KANSAS,Cherokee,'20021',2011,26236620.52000,29093570.84000,1360.33903,99
KANSAS,Russell,'20167',2016,284616.47000,290509.50000,41.56073,55
WISCONSIN,Florence,'55037',2006,8454.00000,10459.85000,2.16381,5
ALABAMA,Escambia,'01053',2005,604355.00000,771869.31000,20.50553,34
COLORADO,La Plata,'08067',2012,32795.85000,35629.69000,0.68119,6
FLORIDA,Dixie,'12029',2001,47894.00000,67455.36000,4.84558,2
NEBRASKA,Sarpy,'31153',2005,108138.00000,138111.53000,0.99264,34
OREGON,Union,'41061',2012,210937.00000,229163.85000,8.87613,19
PENNSYLVANIA,Perry,'42099',2001,5266.00000,7416.79000,0.16953,2
INDIANA,Adams,'18001',2012,4310484.60000,4682949.31000,136.12829,45
KENTUCKY,Fayette,'21067',2005,215180.00000,274823.29000,0.98746,14
ILLINOIS,Clay,'17025',2005,1277505.00000,1631602.12000,117.17912,80
NORTH CAROLINA,Surry,'37171',2015,1968879.65000,2072018.24000,28.48409,66
TEXAS,Collingsworth,'48087',2005,357483.00000,456569.66000,153.26273,19
ARKANSAS,Desha,'05041',2002,1486363.00000,2060855.88000,140.70157,70
CALIFORNIA,Kings,'06031',2015,11634826.70000,12244309.95000,81.10694,40
NEBRASKA,Douglas,'31055',2000,21852.00000,31652.76000,0.06811,16
OKLAHOMA,Hughes,'40063',2015,124986.00000,131533.31000,9.57651,9
