FIPS,amen_rank
1001,4
1003,4
1005,4
1007,3
1009,4
1011,3
1013,3
1015,4
1017,3
1019,4
1021,4
1023,4
1025,4
1027,4
1029,4
1031,3
1033,4
1035,3
1037,4
1039,3
1041,3
1043,4
1045,3
1047,3
1049,3
1051,4
1053,3
1055,4
1057,3
1059,4
1061,3
1063,3
1065,4
1067,4
1069,3
1071,4
1073,4
1075,3
1077,4
1079,4
1081,3
1083,3
1085,3
1087,3
1089,3
1091,3
1093,3
1095,4
1097,4
1099,4
1101,3
1103,4
1105,4
1107,4
1109,3
1111,4
1113,3
1115,4
1117,4
1119,3
1121,4
1123,4
1125,4
1127,4
1129,3
1131,4
1133,4
4001,5
4003,7
4005,6
4007,7
4009,6
4011,6
4012,5
4013,6
4015,6
4017,4
4019,5
4021,5
4023,6
4025,6
4027,5
5001,3
5003,3
5005,5
5007,5
5009,4
5011,3
5013,3
5015,4
5017,3
5019,4
5021,2
5023,4
5025,3
5027,3
5029,3
5031,2
5033,4
5035,3
5037,3
5039,3
5041,3
5043,3
5045,3
5047,4
5049,4
5051,4
5053,3
5055,3
5057,3
5059,4
5061,4
5063,4
5065,4
5067,3
5069,3
5071,5
5073,3
5075,3
5077,3
5079,3
5081,3
5083,4
5085,3
5087,3
5089,5
5091,3
5093,3
5095,3
5097,4
5099,3
5101,3
5103,3
5105,4
5107,3
5109,4
5111,2
5113,4
5115,4
5117,3
5119,4
5121,3
5123,3
5125,4
5127,4
5129,4
5131,4
5133,3
5135,4
5137,4
5139,3
5141,5
5143,4
5145,3
5147,3
5149,4
6001,6
6003,7
6005,7
6007,6
6009,7
6011,5
6013,7
6015,7
6017,6
6019,6
6021,5
6023,7
6025,6
6027,7
6029,6
6031,5
6033,6
6035,6
6037,7
6039,6
6041,7
6043,7
6045,7
6047,5
6049,6
6051,7
6053,7
6055,7
6057,7
6059,7
6061,6
6063,6
6065,6
6067,5
6069,6
6071,5
6073,7
6075,7
6077,6
6079,7
6081,7
6083,7
6085,6
6087,7
6089,6
