tribe,fips.name,state_from_fips,FIPS,type,time,Culture.Area,Type.of.Tribal.Land,Indian.Tribal.Land.Name,Update,Validate,Source/Treaty/Other,From native-land.ca,Unique Tribes
A-wall-a-che,"CA, Mariposa",CA,06043,cess_treat,historical,NA,NA,NA,,x,,,A-wall-a-che
A-wall-a-che,"CA, Stanislaus",CA,06099,cess_treat,historical,NA,NA,NA,,x,,,Abenaki
A-wall-a-che,"CA, Tuolumne",CA,06109,cess_treat,historical,NA,NA,NA,,x,,,Absentee-Shawnee
Abenaki,"ME, Androscoggin",ME,23001,,historical,,,,,,,1,Acoma Pueblo
Abenaki,"ME, Cumberland",ME,23005,,historical,,,,,,,1,Agawams
Abenaki,"ME, Franklin",ME,23007,,historical,,,,,,,1,Alsea
Abenaki,"ME, Kennebec",ME,23011,,historical,,,,,,,1,Apache
Abenaki,"ME, Knox",ME,23013,,historical,,,,,,,1,Aplache
Abenaki,"ME, Lincoln",ME,23015,,historical,,,,,,,1,Appalachicola
Abenaki,"ME, Oxford",ME,23017,,historical,,,,,,,1,Arapaho
Abenaki,"ME, Piscataquis",ME,23021,,historical,,,,,,,1,Arikara
Abenaki,"ME, Sagadahoc",ME,23023,,historical,,,,,,,1,Assiniboine
Abenaki,"ME, Somerset",ME,23025,,historical,,,,,,,1,Bannock
Abenaki,"ME, Waldo",ME,23027,,historical,,,,,,,1,Bat-si
Abenaki,"ME, York",ME,23031,,historical,,,,,,,1,Be-no-pi
Abenaki,"NH, Carroll",NH,33003,,historical,,,,,,,1,Blackfeet
Abenaki,"NH, Cheshire",NH,33005,,historical,,,,,,,1,Buena Vista
Abenaki,"NH, Coos",NH,33007,,historical,,,,,,,1,Ca-la-na-po
Abenaki,"NH, Grafton",NH,33009,,historical,,,,,,,1,Caddo
Abenaki,"NH, Hillsborough",NH,33011,,historical,,,,,,,1,Cahokia
Abenaki,"NH, Merrimack",NH,33013,,historical,,,,,,,1,Cahuilla
Abenaki,"NH, Rockingham",NH,33015,,historical,,,,,,,1,Calusa
Abenaki,"NH, Strafford",NH,33017,,historical,,,,,,,1,Canarsie
Abenaki,"NH, Sullivan",NH,33019,,historical,,,,,,,1,Car-I-se
Abenaki,"NY, Clinton",NY,36019,,historical,,,,,,,1,Cas-son
Abenaki,"NY, Essex",NY,36031,,historical,,,,,,,1,Cas-take
Abenaki,"NY, Franklin",NY,36033,,historical,,,,,,,1,Catawba
Abenaki,"NY, Saratoga",NY,36091,,historical,,,,,,,1,Cayuga
Abenaki,"NY, Warren",NY,36113,,historical,,,,,,,1,Cayuse
Abenaki,"NY, Washington",NY,36115,,historical,,,,,,,1,Cha
Abenaki,"VT, Addison",VT,50001,,historical,,,,,,,1,Cha-nel-kai
Abenaki,"VT, Bennington",VT,50003,,historical,,,,,,,1,Cham-et-ko
Abenaki,"VT, Caledonia",VT,50005,,historical,,,,,,,1,Chap-pah-sim
Abenaki,"VT, Chittenden",VT,50007,,historical,,,,,,,1,Che-com
Abenaki,"VT, Essex",VT,50009,,historical,,,,,,,1,Che-no
Abenaki,"VT, Franklin",VT,50011,,historical,,,,,,,1,Chehalis
Abenaki,"VT, Grand Isle",VT,50013,,historical,,,,,,,1,Chemehuevi
Abenaki,"VT, Lamoille",VT,50015,,historical,,,,,,,1,Cheraw
Abenaki,"VT, Orange",VT,50017,,historical,,,,,,,1,Cheroenhaka
Abenaki,"VT, Orleans",VT,50019,,historical,,,,,,,1,Cherokee
Abenaki,"VT, Rutland",VT,50021,,historical,,,,,,,1,Chetco
Abenaki,"VT, Washington",VT,50023,,historical,,,,,,,1,Cheyenne
Abenaki,"VT, Windham",VT,50025,,historical,,,,,,,1,Chickasaw
Abenaki,"VT, Windsor",VT,50027,,historical,,,,,,,1,Chinook
Absentee-Shawnee,"IL, Cook",IL,17031,cess_pres,historical,NA,NA,NA,,x,,,Chippewa
Absentee-Shawnee,"IL, Crawford",IL,17033,cess_pres,historical,NA,NA,NA,,x,,,Chiricahua Apache
Absentee-Shawnee,"IL, Gallatin",IL,17059,cess_pres,historical,NA,NA,NA,,x,,,Cho-e-nem-nee
Absentee-Shawnee,"IL, Lawrence",IL,17101,cess_pres,historical,NA,NA,NA,,x,,,Cho-ki-men-a
Absentee-Shawnee,"IL, Massac",IL,17127,cess_pres,historical,NA,NA,NA,,x,,,Choctaw
Absentee-Shawnee,"IL, Saline",IL,17165,cess_pres,historical,NA,NA,NA,,x,,,Choi-nuck
Absentee-Shawnee,"IL, Wabash",IL,17185,cess_pres,historical,NA,NA,NA,,x,,,Chow-chil-lie
Absentee-Shawnee,"IN, Adams",IN,18001,cess_pres,historical,NA,NA,NA,,x,,,Chow-chilla
Absentee-Shawnee,"IN, Allen",IN,18003,cess_pres,historical,NA,NA,NA,,x,,,Chowanoke
Absentee-Shawnee,"IN, Clark",IN,18019,cess_pres,historical,NA,NA,NA,,x,,,Christian Indians or Munsee
Absentee-Shawnee,"IN, Crawford",IN,18025,cess_pres,historical,NA,NA,NA,,x,,,Chu-nute
Absentee-Shawnee,"IN, Daviess",IN,18027,cess_pres,historical,NA,NA,NA,,x,,,Chukchansi
Absentee-Shawnee,"IN, Dearborn",IN,18029,cess_pres,historical,NA,NA,NA,,x,,,Clatsop
Absentee-Shawnee,"IN, Dubois",IN,18037,cess_pres,historical,NA,NA,NA,,x,,,Co-co-noon
Absentee-Shawnee,"IN, Floyd",IN,18043,cess_pres,historical,NA,NA,NA,,x,,,Co-com-cah-ra
Absentee-Shawnee,"IN, Franklin",IN,18047,cess_pres,historical,NA,NA,NA,,x,,,Co-ha-ma
Absentee-Shawnee,"IN, Gibson",IN,18051,cess_pres,historical,NA,NA,NA,,x,,,Co-lu
Absentee-Shawnee,"IN, Jay",IN,18075,cess_pres,historical,NA,NA,NA,,x,,,Co-to-plan-e-nee
Absentee-Shawnee,"IN, Knox",IN,18083,cess_pres,historical,NA,NA,NA,,x,,,Co-ye-tie
Absentee-Shawnee,"IN, Lawrence",IN,18093,cess_pres,historical,NA,NA,NA,,x,,,Cochiti Pueblo
Absentee-Shawnee,"IN, Martin",IN,18101,cess_pres,historical,NA,NA,NA,,x,,,Cocopah
Absentee-Shawnee,"IN, Ohio",IN,18115,cess_pres,historical,NA,NA,NA,,x,,,Coeur D'Alene
Absentee-Shawnee,"IN, Orange",IN,18117,cess_pres,historical,NA,NA,NA,,x,,,Colorado River
Absentee-Shawnee,"IN, Perry",IN,18123,cess_pres,historical,NA,NA,NA,,x,,,Colville
Absentee-Shawnee,"IN, Pike",IN,18125,cess_pres,historical,NA,NA,NA,,x,,,Colville
Absentee-Shawnee,"IN, Randolph",IN,18135,cess_pres,historical,NA,NA,NA,,x,,,Comanche
Absentee-Shawnee,"IN, Scott",IN,18143,cess_pres,historical,NA,NA,NA,,x,,,Concow
Absentee-Shawnee,"IN, Spencer",IN,18147,cess_pres,historical,NA,NA,NA,,x,,,Confederated Bands of Willamette Valley
Absentee-Shawnee,"IN, Switzerland",IN,18155,cess_pres,historical,NA,NA,NA,,x,,,Coos
Absentee-Shawnee,"IN, Union",IN,18161,cess_pres,historical,NA,NA,NA,,x,,,Copalis
Absentee-Shawnee,"IN, Wayne",IN,18177,cess_pres,historical,NA,NA,NA,,x,,,Coquille
Absentee-Shawnee,"IN, Whitley",IN,18183,cess_pres,historical,NA,NA,NA,,x,,,Corchaug
Absentee-Shawnee,"KS, Cherokee",KS,20021,cess_pres,historical,NA,NA,NA,,x,,,Cowlitz
Absentee-Shawnee,"KS, Douglas",KS,20045,cess_pres,historical,NA,NA,NA,,x,,,Creek
Absentee-Shawnee,"KS, Geary",KS,20061,cess_pres,historical,NA,NA,NA,,x,,,Crow
Absentee-Shawnee,"KS, Johnson",KS,20091,cess_pres,historical,NA,NA,NA,,x,,,Cu-lee
Absentee-Shawnee,"KS, Lyon",KS,20111,cess_pres,historical,NA,NA,NA,,x,,,Cupeno
Absentee-Shawnee,"KS, Morris",KS,20127,cess_pres,historical,NA,NA,NA,,x,,,Da-no-ha-bo
Absentee-Shawnee,"KS, Osage",KS,20139,cess_pres,historical,NA,NA,NA,,x,,,Das-pia
Absentee-Shawnee,"KS, Shawnee",KS,20177,cess_pres,historical,NA,NA,NA,,x,,,Diegueno
Absentee-Shawnee,"KS, Wabaunsee",KS,20197,cess_pres,historical,NA,NA,NA,,x,,,Doc-duc
Absentee-Shawnee,"MI, Emmet",MI,26047,cess_pres,historical,NA,NA,NA,,x,,,Duwamish
Absentee-Shawnee,"MI, Hillsdale",MI,26059,cess_pres,historical,NA,NA,NA,,x,,,E-eh
Absentee-Shawnee,"MI, Mackinac",MI,26097,cess_pres,historical,NA,NA,NA,,x,,,Eel River
Absentee-Shawnee,"MI, Monroe",MI,26115,cess_pres,historical,NA,NA,NA,,x,,,Es-ki-un
Absentee-Shawnee,"MO, Bollinger",MO,29017,cess_pres,historical,NA,NA,NA,,x,,,Flathead
Absentee-Shawnee,"MO, Cape Girardeau",MO,29031,cess_pres,historical,NA,NA,NA,,x,,,Florida tribes
Absentee-Shawnee,"MO, Christian",MO,29043,cess_pres,historical,NA,NA,NA,,x,,,Galice
Absentee-Shawnee,"MO, Douglas",MO,29067,cess_pres,historical,NA,NA,NA,,x,,,Goshute
Absentee-Shawnee,"MO, Ozark",MO,29153,cess_pres,historical,NA,NA,NA,,x,,,Grave Creek
Absentee-Shawnee,"MO, Perry",MO,29157,cess_pres,historical,NA,NA,NA,,x,,,Gros Ventre
Absentee-Shawnee,"MO, Taney",MO,29213,cess_pres,historical,NA,NA,NA,,x,,,Ha-bi-na-po
Absentee-Shawnee,"MO, Webster",MO,29225,cess_pres,historical,NA,NA,NA,,x,,,Hammonassets
Absentee-Shawnee,"MO, Wright",MO,29229,cess_pres,historical,NA,NA,NA,,x,,,Havasupai
Absentee-Shawnee,"OH, Adams",OH,39001,cess_pres,historical,NA,NA,NA,,x,,,Hidatsa
Absentee-Shawnee,"OH, Allen",OH,39003,cess_pres,historical,NA,NA,NA,,x,,,Ho-lo-cla-me
Absentee-Shawnee,"OH, Ashland",OH,39005,cess_pres,historical,NA,NA,NA,,x,,,Ho-lo-lu-pi
Absentee-Shawnee,"OH, Ashtabula",OH,39007,cess_pres,historical,NA,NA,NA,,x,,,Hol-cu-ma
Absentee-Shawnee,"OH, Athens",OH,39009,cess_pres,historical,NA,NA,NA,,x,,,Hol-mi-uk
Absentee-Shawnee,"OH, Auglaize",OH,39011,cess_pres,historical,NA,NA,NA,,x,,,Hopi
