tribe,time,avg_amen_rank_t1,avg_amen_rank_t2,avg_lat_t1,avg_lon_t1,avg_lat_t2,avg_lon_t2,mid_lat_t1,mid_lon_t1,mid_lat_t2,mid_lon_t2,n_record,n_unique_FIPS_t1,n_unique_FIPS_t2,avg_dist,mid_dist
Absentee-Shawnee,Time 1 and 2,2.8085106382978724,4,39.78914364951653,-85.1792068049374,35.3208672789124,-97.22721565365376,39.85742223407962,-85.223087580605707,35.3210308644025,-97.22696049791912,423,141,3,1172.5013880314877,1171.770250620682
Acoma Pueblo,Time 1 and 2,5.25,5,34.604981701621924,-107.89870472550346,34.91209140624164,-107.99854494922448,34.60634630300285,-107.89685219379191,34.91209140624164,-107.99854494922448,4,4,1,35.385666495210714,35.28318576304936
Alsea,Time 1 and 2,5.3125,6,44.9715626422259,-122.72084897047954,44.643632533367416,-123.86989375466999,44.974266263174286,-122.71931611484038,44.643632533367416,-123.86989375466999,16,16,1,97.8159170409003,98.03884840867079
Apache,Time 1 and 2,4.367021276595745,4.615384615384615,33.59972397364179,-102.92903595650516,34.44050665095398,-104.01349741822624,33.66831410588344,-102.890852653018,34.60104051162518,-104.02946453133488,2444,188,13,137.0088522100673,147.60393513530772
Appalachicola,Time 1 and 2,3,3.6363636363636362,37.242864376159396,-91.63764829627308,35.7243807364866,-95.89698607301811,37.35867210059015,-91.69544667979223,35.72515255133145,-95.89833090032191,154,14,11,416.96698839602294,417.50816293582034
Arapaho,Time 1 and 2,3.965217391304348,3.5454545454545454,40.51498980079203,-103.14248322785167,37.11117654795858,-100.68786689409552,40.53760173971785,-103.1050403549856,37.16403704401416,-100.53145060177806,1265,115,11,434.5838218004979,436.76881743038797
Arikara,Time 1 and 2,3.2083333333333335,3.1666666666666665,46.677480788540926,-103.70893621183252,47.74137434255846,-102.17700990409207,46.68803850316789,-103.7194187537045,47.74352029609648,-102.1774194941615,144,24,6,165.66370331814502,165.52143873089472
Assiniboine,Time 1 and 2,3,3,47.87537760360111,-105.27524669749505,48.47840934472553,-106.4326204187821,47.879777846296385,-105.27628904437383,48.48934557599931,-106.43561709491672,60,10,6,109.02757712629133,109.58079231774722
Bannock,Time 1 and 2,4.2,4.25,43.260160755366094,-112.59078356047407,42.838471285840114,-112.25531098713263,43.262780144005056,-112.5813012964357,42.83939302612489,-112.2552278353166,20,5,4,54.29841319822953,54.08241940278616
Blackfeet,Time 1 and 2,4,5.5,47.707321306284065,-109.17558663310199,48.46714862549618,-112.60963680115475,47.74000907452328,-109.17933986650435,48.467787417957084,-112.60782793867763,56,28,2,268.97565279096807,267.40301376498695
