tribe,min_dist,max_dist,avg_dist
A-wall-a-che,NA,NA,NA
Abenaki,NA,NA,NA
Absentee-Shawnee,264.5065656610818,1612.549401858543,1172.5013880314877
Achomawi,NA,NA,NA
Acoma Pueblo,0,140.4721966750771,35.385666495210714
Agawams,NA,NA,NA
Alabama,NA,NA,NA
Alabama Quassarte,NA,NA,NA
Alsea,38.635683503269476,225.4255266975142,97.8159170409003
Apache,0,2119.847157206555,225.9166934210283
Appalachicola,57.84897617316632,1206.8104858602067,416.96698839602294
Arapaho,0,1505.2474028812571,419.0512034159918
Arikara,0,538.7966056189247,165.66370331814502
Assiniboine,0,420.6370278949374,109.02757712629133
Bannock,0,308.0120903217993,54.29841319822953
Bat-si,NA,NA,NA
Be-no-pi,NA,NA,NA
Blackfeet,0,633.038313207968,268.97565279096807
Buena Vista,NA,NA,NA
Ca-la-na-po,NA,NA,NA
Caddo,413.52349197291954,628.8591579719124,518.6096621822924
Cahokia,NA,NA,NA
Cahto,NA,NA,NA
Cahuilla,0,671.3786057068723,278.6803693559723
Calusa,NA,NA,NA
Canarsie,NA,NA,NA
Car-I-se,NA,NA,NA
Cas-son,NA,NA,NA
Cas-take,NA,NA,NA
Catawba,43.90247245272957,398.49485112224414,185.30019372104448
Cayuga,0,1768.839758677354,497.7730523018747
Cayuse,0,156.1629174715345,19.942517807159838
Cha,NA,NA,NA
Cha-nel-kai,NA,NA,NA
Cham-et-ko,NA,NA,NA
Chap-pah-sim,NA,NA,NA
Che-com,NA,NA,NA
Che-no,NA,NA,NA
Chehalis,0,234.64582627875882,73.45617877561541
Chemehuevi,0,300.17135663982424,21.14592552412518
Cheraw,NA,NA,NA
Cheroenhaka,NA,NA,NA
Cherokee,0,1558.9173377917014,557.2706507949874
Chetco,38.635683503269476,254.6345987439069,76.08371791406664
Cheyenne,0,1505.2474028812571,349.03809953256126
Chickasaw,0,1116.0187590002374,613.4550851502937
Chinook,0,498.4103117205926,112.4746748406969
Chippewa,0,2507.881493364816,536.0480663865455
Chiricahua Apache,458.8483064245222,1295.1933551042227,805.3282483286247
Chitimacha,NA,NA,NA
Cho-e-nem-nee,NA,NA,NA
Cho-ki-men-a,NA,NA,NA
Choctaw,0,1067.9878237348116,165.60506783257085
Choi-nuck,NA,NA,NA
Chow-chil-lie,NA,NA,NA
Chow-chilla,NA,NA,NA
Chowanoke,NA,NA,NA
Christian Indians or Munsee,NA,NA,NA
Chu-nute,NA,NA,NA
Chukchansi,0,617.1578752315106,197.7754858054031
Chumash,NA,NA,NA
Clatsop,38.635683503269476,305.9404572631128,130.1795984310063
Co-co-noon,NA,NA,NA
Co-com-cah-ra,NA,NA,NA
Co-ha-ma,NA,NA,NA
Co-lu,NA,NA,NA
Co-to-plan-e-nee,NA,NA,NA
Co-ye-tie,NA,NA,NA
Cochiti Pueblo,0,83.21624601947481,41.58602938820287
Cocopah,0,0,0
Coeur D'Alene,0,106.02745605807235,22.586405936555064
Colorado River,0,237.201305982109,126.27363825543847
Colville,0,258.7358553108012,57.79245545585952
Comanche,0,912.8765165779081,228.62269950675767
Concow,0,155.76625328065813,90.77561764372652
Confederated Bands of Willamette Valley,NA,NA,NA
Coos,0,323.5454549328739,104.84332894680509
Copalis,0,189.25215899853345,62.183277670501916
Coquille,0,323.5454549328739,111.82402295207716
Corchaug,NA,NA,NA
Coushatta,NA,NA,NA
Cowlitz,76.07206569448778,229.17063502262343,139.02577448945547
Creek,0,1439.0069828235248,799.7724288254919
Crow,0,592.7324743683461,93.99168956284467
Cu-lee,NA,NA,NA
Cupeno,0,587.6098644699254,248.63586577412505
Da-no-ha-bo,NA,NA,NA
Das-pia,NA,NA,NA
Diegueno,0,127.83095811581599,70.76418751925003
Doc-duc,NA,NA,NA
