tribe,time,FIPS,fips.name,state_from_fips
A-wall-a-che,time1,6043,"CA, Mariposa",CA
A-wall-a-che,time1,6099,"CA, Stanislaus",CA
A-wall-a-che,time1,6109,"CA, Tuolumne",CA
Abenaki,time1,23001,"ME, Androscoggin",ME
Abenaki,time1,23005,"ME, Cumberland",ME
Abenaki,time1,23007,"ME, Franklin",ME
Abenaki,time1,23011,"ME, Kennebec",ME
Abenaki,time1,23013,"ME, Knox",ME
Abenaki,time1,23015,"ME, Lincoln",ME
Abenaki,time1,23017,"ME, Oxford",ME
Abenaki,time1,23021,"ME, Piscataquis",ME
Abenaki,time1,23023,"ME, Sagadahoc",ME
Abenaki,time1,23025,"ME, Somerset",ME
Abenaki,time1,23027,"ME, Waldo",ME
Abenaki,time1,23031,"ME, York",ME
Abenaki,time1,33003,"NH, Carroll",NH
Abenaki,time1,33005,"NH, Cheshire",NH
Abenaki,time1,33007,"NH, Coos",NH
Abenaki,time1,33009,"NH, Grafton",NH
Abenaki,time1,33011,"NH, Hillsborough",NH
Abenaki,time1,33013,"NH, Merrimack",NH
Abenaki,time1,33015,"NH, Rockingham",NH
Abenaki,time1,33017,"NH, Strafford",NH
Abenaki,time1,33019,"NH, Sullivan",NH
Abenaki,time1,36019,"NY, Clinton",NY
Abenaki,time1,36031,"NY, Essex",NY
Abenaki,time1,36033,"NY, Franklin",NY
Abenaki,time1,36091,"NY, Saratoga",NY
Abenaki,time1,36113,"NY, Warren",NY
Abenaki,time1,36115,"NY, Washington",NY
Abenaki,time1,50001,"VT, Addison",VT
Abenaki,time1,50003,"VT, Bennington",VT
Abenaki,time1,50005,"VT, Caledonia",VT
Abenaki,time1,50007,"VT, Chittenden",VT
Abenaki,time1,50009,"VT, Essex",VT
Abenaki,time1,50011,"VT, Franklin",VT
Abenaki,time1,50013,"VT, Grand Isle",VT
Abenaki,time1,50015,"VT, Lamoille",VT
Abenaki,time1,50017,"VT, Orange",VT
Abenaki,time1,50019,"VT, Orleans",VT
Abenaki,time1,50021,"VT, Rutland",VT
Abenaki,time1,50023,"VT, Washington",VT
Abenaki,time1,50025,"VT, Windham",VT
Abenaki,time1,50027,"VT, Windsor",VT
Absentee-Shawnee,time1,17031,"IL, Cook",IL
Absentee-Shawnee,time1,17033,"IL, Crawford",IL
Absentee-Shawnee,time1,17059,"IL, Gallatin",IL
Absentee-Shawnee,time1,17101,"IL, Lawrence",IL
Absentee-Shawnee,time1,17127,"IL, Massac",IL
Absentee-Shawnee,time1,17165,"IL, Saline",IL
Absentee-Shawnee,time1,17185,"IL, Wabash",IL
Absentee-Shawnee,time1,18001,"IN, Adams",IN
Absentee-Shawnee,time1,18003,"IN, Allen",IN
Absentee-Shawnee,time1,18019,"IN, Clark",IN
Absentee-Shawnee,time1,18025,"IN, Crawford",IN
Absentee-Shawnee,time1,18027,"IN, Daviess",IN
Absentee-Shawnee,time1,18029,"IN, Dearborn",IN
Absentee-Shawnee,time1,18037,"IN, Dubois",IN
Absentee-Shawnee,time1,18043,"IN, Floyd",IN
Absentee-Shawnee,time1,18047,"IN, Franklin",IN
Absentee-Shawnee,time1,18051,"IN, Gibson",IN
Absentee-Shawnee,time1,18075,"IN, Jay",IN
Absentee-Shawnee,time1,18083,"IN, Knox",IN
Absentee-Shawnee,time1,18093,"IN, Lawrence",IN
Absentee-Shawnee,time1,18101,"IN, Martin",IN
Absentee-Shawnee,time1,18115,"IN, Ohio",IN
Absentee-Shawnee,time1,18117,"IN, Orange",IN
Absentee-Shawnee,time1,18123,"IN, Perry",IN
Absentee-Shawnee,time1,18125,"IN, Pike",IN
Absentee-Shawnee,time1,18135,"IN, Randolph",IN
Absentee-Shawnee,time1,18143,"IN, Scott",IN
Absentee-Shawnee,time1,18147,"IN, Spencer",IN
Absentee-Shawnee,time1,18155,"IN, Switzerland",IN
Absentee-Shawnee,time1,18161,"IN, Union",IN
Absentee-Shawnee,time1,18177,"IN, Wayne",IN
Absentee-Shawnee,time1,18183,"IN, Whitley",IN
Absentee-Shawnee,time1,20021,"KS, Cherokee",KS
Absentee-Shawnee,time1,20045,"KS, Douglas",KS
Absentee-Shawnee,time1,20061,"KS, Geary",KS
Absentee-Shawnee,time1,20091,"KS, Johnson",KS
Absentee-Shawnee,time1,20111,"KS, Lyon",KS
Absentee-Shawnee,time1,20127,"KS, Morris",KS
Absentee-Shawnee,time1,20139,"KS, Osage",KS
Absentee-Shawnee,time1,20177,"KS, Shawnee",KS
Absentee-Shawnee,time1,20197,"KS, Wabaunsee",KS
Absentee-Shawnee,time1,26047,"MI, Emmet",MI
Absentee-Shawnee,time1,26059,"MI, Hillsdale",MI
Absentee-Shawnee,time1,26097,"MI, Mackinac",MI
Absentee-Shawnee,time1,26115,"MI, Monroe",MI
Absentee-Shawnee,time1,29017,"MO, Bollinger",MO
Absentee-Shawnee,time1,29031,"MO, Cape Girardeau",MO
Absentee-Shawnee,time1,29043,"MO, Christian",MO
Absentee-Shawnee,time1,29067,"MO, Douglas",MO
Absentee-Shawnee,time1,29153,"MO, Ozark",MO
Absentee-Shawnee,time1,29157,"MO, Perry",MO
Absentee-Shawnee,time1,29213,"MO, Taney",MO
Absentee-Shawnee,time1,29225,"MO, Webster",MO
Absentee-Shawnee,time1,29229,"MO, Wright",MO
Absentee-Shawnee,time1,39001,"OH, Adams",OH
Absentee-Shawnee,time1,39003,"OH, Allen",OH
Absentee-Shawnee,time1,39005,"OH, Ashland",OH
Absentee-Shawnee,time1,39007,"OH, Ashtabula",OH
Absentee-Shawnee,time1,39009,"OH, Athens",OH
Absentee-Shawnee,time1,39011,"OH, Auglaize",OH
Absentee-Shawnee,time1,39013,"OH, Belmont",OH
Absentee-Shawnee,time1,39015,"OH, Brown",OH
Absentee-Shawnee,time1,39017,"OH, Butler",OH
Absentee-Shawnee,time1,39019,"OH, Carroll",OH
Absentee-Shawnee,time1,39021,"OH, Champaign",OH
Absentee-Shawnee,time1,39023,"OH, Clark",OH
Absentee-Shawnee,time1,39025,"OH, Clermont",OH
Absentee-Shawnee,time1,39027,"OH, Clinton",OH
Absentee-Shawnee,time1,39029,"OH, Columbiana",OH
Absentee-Shawnee,time1,39031,"OH, Coshocton",OH
Absentee-Shawnee,time1,39033,"OH, Crawford",OH
Absentee-Shawnee,time1,39035,"OH, Cuyahoga",OH
Absentee-Shawnee,time1,39037,"OH, Darke",OH
Absentee-Shawnee,time1,39039,"OH, Defiance",OH
Absentee-Shawnee,time1,39041,"OH, Delaware",OH
Absentee-Shawnee,time1,39043,"OH, Erie",OH
Absentee-Shawnee,time1,39045,"OH, Fairfield",OH
Absentee-Shawnee,time1,39047,"OH, Fayette",OH
Absentee-Shawnee,time1,39049,"OH, Franklin",OH
Absentee-Shawnee,time1,39051,"OH, Fulton",OH
Absentee-Shawnee,time1,39055,"OH, Geauga",OH
Absentee-Shawnee,time1,39057,"OH, Greene",OH
Absentee-Shawnee,time1,39059,"OH, Guernsey",OH
Absentee-Shawnee,time1,39061,"OH, Hamilton",OH
Absentee-Shawnee,time1,39065,"OH, Hardin",OH
Absentee-Shawnee,time1,39067,"OH, Harrison",OH
