tribe,FIPS,n_unique_FIPS,time,lon,lat,oil_avg,og_basin,gas_avg,og_well_count,precip,h_100_hist,drt_median,p_all,fire_mean,elevation,tri,soc
Absentee-Shawnee,17031,141,time 1,-87.81692429442448,41.84239009727528,0,1,0,3,968.520192,3,0.057453574,0,0.194254163,200.825158237992,0.895592144289991,26.619271841388144
Absentee-Shawnee,17033,141,time 1,-87.75956931422601,39.00340008691145,967.534,1,0.011537,532,1111.9458010000003,9,0.482398379,0,0.351982379,152.709422039603,1.31057002734249,19.63682385089686
Absentee-Shawnee,17059,141,time 1,-88.2295226127242,37.764462941058135,193.493,1,0.022703,331,1152.065832,12,0.27667335,0.05414746543778802,0.336020828,117.295098921554,1.99850119325203,15.786393921963379
Absentee-Shawnee,17101,141,time 1,-87.72881820324581,38.720009776008524,1002.415,1,0,407,1145.975348,9,0.72512699,0,0.30356874,137.30053989447,1.20753294365905,22.687609713282622
Absentee-Shawnee,17127,141,time 1,-88.71042257904314,37.220871860756375,0,1,0,8,1228.0012419999998,12,0.268287632,0.020537124802527645,0.623216751,117.436569169489,2.28456150403452,9.033656810879231
Absentee-Shawnee,17165,141,time 1,-88.54119666492338,37.75348984820602,64.386,1,0.079516,349,1161.6131429999998,12,0.202567464,0.057942057942057944,0.520979021,126.467749132697,2.25989067033852,11.473764599264818
Absentee-Shawnee,17185,141,time 1,-87.84918185659055,38.442875924365154,352.218,1,0,354,1154.211894,11,0.946904055,0,0.251094722,129.174225702134,1.27896587540502,16.942359156153337
Absentee-Shawnee,18001,141,time 1,-84.93671263170566,40.74599552522289,0,0,0,91,963.7488855000001,2,-0.015601776,0,0.196348918,251.907521282364,0.62994637019574,17.071360848059765
Absentee-Shawnee,18003,141,time 1,-85.06799901525999,41.092172020505,0,1,0.005505,147,947.6019597999999,2,-0.002783627,0,0.33048228,243.474101817174,0.865258101625391,24.428151311041617
Absentee-Shawnee,18019,141,time 1,-85.70505948040713,38.480282109581175,0,1,0,74,1156.7077570000004,5,0.869921149,0,0.720403214,187.059947096441,3.99325625630907,13.280656682749546
Absentee-Shawnee,18025,141,time 1,-86.44520999257469,38.28825510314374,0,1,0,113,1218.380793,6,0.752774038,0.11520190023752969,0.907862833,199.037302238497,8.12449867873674,16.207989293740372
Absentee-Shawnee,18027,141,time 1,-87.0718462212721,38.70209972486016,141.74,1,0.261522,618,1178.832704,7,0.508360696,0,0.353899053,151.41815719937,1.79656718106445,24.201259791358336
Absentee-Shawnee,18029,141,time 1,-84.97330974400798,39.146664400942576,0,0,0,46,1097.6814339999996,4,0.449006276,0,0.848714208,242.532315190364,5.89422697259056,12.05114750757788
Absentee-Shawnee,18037,141,time 1,-86.87922337856924,38.36612955069953,8.654,1,0.177952,451,1193.597266,6,0.585846621,0.0018050541516245488,0.592300099,163.013624118187,4.42063660611236,15.53995760227324
Absentee-Shawnee,18043,141,time 1,-85.90385763196262,38.32125096997889,0,1,0,36,1152.1231859999998,5,0.762799293,0,0.824830539,220.556982516835,5.94194386381559,11.65477663411167
Absentee-Shawnee,18047,141,time 1,-85.06062276953477,39.41433672346188,0,0,0,25,1094.139184,3,0.243950206,0,0.67459918,277.326513433038,4.88969645255668,20.354032898240536
Absentee-Shawnee,18051,141,time 1,-87.58053718031006,38.304065053678144,258.464,1,0.085474,788,1171.6780359999998,10,0.87559089,0.00858704137392662,0.284759747,134.25185944636,1.63489286152855,18.892285053941443
Absentee-Shawnee,18075,141,time 1,-85.0057560245826,40.43793736515327,0,0,0.013239,348,981.2830331000001,2,0.121835788,0,0.211666545,282.416951612806,0.826820308006808,16.48334022239921
Absentee-Shawnee,18083,141,time 1,-87.41933764364954,38.68897428679527,60.554,1,0.906563,653,1161.0465540000002,8,0.6083438,0,0.235802077,139.513789698376,1.48031199923235,29.71564667960051
Absentee-Shawnee,18093,141,time 1,-86.48361123700269,38.8412862896526,0,1,0,114,1183.442017,5,0.590018025,0.05731394354148846,0.826008354,200.529080834062,5.44551320105487,12.439981381557399
Absentee-Shawnee,18101,141,time 1,-86.80372513624197,38.71025051433338,0.027,1,0.014153,205,1198.942636,6,0.606032699,0.31228861330326946,0.82588332,178.221368212045,7.34560442017471,15.5400803673938
Absentee-Shawnee,18115,141,time 1,-84.96514488297049,38.95532540106824,0,0,0,3,1082.939323,4,0.425623309,0,0.867100977,221.154635671953,6.72630566441959,10.439434724091521
Absentee-Shawnee,18117,141,time 1,-86.49523106057192,38.54133787982203,0,1,0,115,1202.2950830000002,5,0.802940631,0.12570888468809074,0.782318082,207.359163339889,6.21636741244319,14.626320222271701
Absentee-Shawnee,18123,141,time 1,-86.63741640205096,38.07830820066056,1.449,1,0,320,1207.950524,7,0.76938148,0.23996082272282077,0.862319854,167.833491593474,7.64375205638506,18.269511874152208
Absentee-Shawnee,18125,141,time 1,-87.23578424704722,38.401276973905084,208.022,1,0.097366,485,1185.238491,8,0.735780673,0.02516411378555799,0.585571941,146.225837089403,2.35631218670098,12.949917726946163
