GEOID,Slope,VRML,VRM,VRML_St
48081,2.474581,0.000146,0.000684,0.000105
48273,0.509197,0.000016,0.000035,0.000105
48203,1.747658,0.000085,0.000281,0.000105
48223,1.087462,0.000043,0.000119,0.000105
48033,1.347609,0.000045,0.000169,0.000105
48419,1.861844,0.000082,0.000295,0.000105
48067,2.047516,0.000105,0.000371,0.000105
48025,0.898039,0.000022,0.000067,0.000105
51167,10.310813,0.001856,0.007516,0.000533
51187,6.62986,0.000413,0.002154,0.000533
51165,8.147696,0.000746,0.004115,0.000533
51195,11.701951,0.001766,0.007951,0.000533
51083,2.372774,0.000142,0.000468,0.000533
51053,1.55208,0.000069,0.000219,0.000533
51117,1.942085,0.0001,0.000325,0.000533
51031,3.264483,0.000221,0.000899,0.000533
51007,2.074823,0.000113,0.000365,0.000533
51036,1.27201,0.000061,0.000194,0.000533
51017,11.232854,0.001298,0.006034,0.000533
51127,1.648541,0.000101,0.000315,0.000533
51181,1.333352,0.000078,0.000213,0.000533
51790,4.187144,0.000317,0.001398,0.000533
31185,0.837704,0.000029,0.000076,0.000076
12075,1.761399,0.000219,0.000514,0.000081
31183,1.095621,0.00005,0.000127,0.000076
5119,2.388154,0.000158,0.000664,0.000201
5075,1.362663,0.000068,0.000254,0.000201
5093,0.4735,0.000017,0.000041,0.000201
5001,0.795155,0.000034,0.000096,0.000201
5081,1.141844,0.000051,0.000149,0.000201
5121,2.511976,0.000164,0.000655,0.000201
5067,0.862543,0.000035,0.000106,0.000201
5103,1.699547,0.000085,0.000279,0.000201
5107,0.772569,0.00004,0.000108,0.000201
5003,1.055528,0.000049,0.000135,0.000201
22055,0.894861,0.00005,0.000113,0.000053
22069,1.634639,0.00009,0.000289,0.000053
22097,0.940265,0.000049,0.000124,0.000053
22099,0.830232,0.000039,0.000095,0.000053
22105,1.136028,0.000057,0.00016,0.000053
22057,0.541868,0.000024,0.000055,0.000053
22085,1.758384,0.000081,0.000278,0.000053
22015,1.36513,0.000069,0.000209,0.000053
22111,1.722477,0.000084,0.00028,0.000053
22039,1.004397,0.000048,0.000137,0.000053
22063,1.092229,0.000053,0.00015,0.000053
22051,0.395069,0.000024,0.000057,0.000053
22077,1.109478,0.000066,0.000169,0.000053
22065,0.72645,0.000033,0.000086,0.000053
22029,0.751654,0.000032,0.000087,0.000053
22075,0.406071,0.000017,0.000039,0.000053
33007,8.17217,0.000283,0.002094,0.000265
34013,2.434615,0.000097,0.000389,0.000102
34019,3.478603,0.000165,0.00081,0.000102
29019,2.013505,0.000143,0.000476,0.000189
29207,1.003415,0.000049,0.000148,0.000189
29029,4.093977,0.000413,0.001569,0.000189
30029,15.4573,0.001263,0.00756,0.000501
29099,4.308457,0.000436,0.00169,0.000189
29033,1.326288,0.000052,0.00018,0.000189
29157,2.823692,0.000231,0.000816,0.000189
29013,1.231637,0.00004,0.000137,0.000189
30053,14.617723,0.000878,0.005854,0.000501
30045,6.776871,0.000489,0.003122,0.000501
30093,9.794892,0.000747,0.004256,0.000501
29195,1.503937,0.000059,0.00021,0.000189
29041,1.317222,0.000052,0.000173,0.000189
30075,3.953257,0.000339,0.001349,0.000501
30087,3.195125,0.000248,0.001004,0.000501
29039,2.140789,0.000106,0.000398,0.000189
29197,2.284001,0.000133,0.000475,0.000189
30061,19.675616,0.001886,0.012109,0.000501
30031,9.898196,0.00086,0.00482,0.000501
13121,2.784925,0.000196,0.000685,0.000157
13029,1.225727,0.000081,0.000196,0.000157
37039,10.578548,0.001339,0.006395,0.000326
13135,2.511583,0.000149,0.00053,0.000157
37159,2.026125,0.000129,0.00039,0.000326
37171,4.331325,0.00038,0.00157,0.000326
17161,1.502013,0.000087,0.000286,0.000059
13127,1.013622,0.00006,0.000151,0.000157
6001,7.18753,0.000826,0.003772,0.000882
6061,10.922226,0.00099,0.005545,0.000882
6037,8.196501,0.001098,0.005017,0.000882
6095,2.424641,0.000244,0.00104,0.000882
6093,12.951305,0.001167,0.006827,0.000882
6111,11.935564,0.001733,0.007798,0.000882
6115,5.392716,0.000472,0.002481,0.000882
6019,8.770192,0.000909,0.004584,0.000882
6107,10.775047,0.000973,0.005383,0.000882
6007,6.821559,0.000646,0.003395,0.000882
6083,11.649286,0.00184,0.008119,0.000882
6055,9.738581,0.001146,0.005284,0.000882
6103,8.36808,0.000764,0.003849,0.000882
6053,10.470403,0.001539,0.006758,0.000882
12086,0.444793,0.000016,0.000036,0.000081
12073,1.620955,0.00008,0.000254,0.000081
12057,1.038731,0.000057,0.000142,0.000081
12083,1.599223,0.000116,0.000299,0.000081
12113,1.2628,0.000058,0.000178,0.000081
12123,0.881549,0.000045,0.000106,0.000081
12107,1.396024,0.000093,0.000242,0.000081
12047,1.743884,0.00017,0.000413,0.000081
42003,5.830859,0.000639,0.00286,0.00037
42071,2.950689,0.000164,0.000732,0.00037
42101,1.578391,0.000097,0.000308,0.00037
42029,3.389998,0.000212,0.000875,0.00037
45045,4.399127,0.000362,0.001726,0.000113
45013,1.015338,0.000065,0.000176,0.000113
45031,1.141165,0.00006,0.000151,0.000113
42045,2.599449,0.000175,0.000663,0.00037
45047,1.970222,0.000093,0.000325,0.000113
45087,2.699167,0.00016,0.000575,0.000113
45021,2.636792,0.000158,0.000567,0.000113
42017,2.428432,0.000114,0.000465,0.00037
42095,4.037603,0.000193,0.001064,0.00037
42127,5.302394,0.000203,0.001383,0.00037
45065,2.291675,0.000121,0.000441,0.000113
39035,1.684593,0.000089,0.000288,0.000249
42041,3.734994,0.000151,0.000897,0.00037
40145,1.284884,0.000046,0.000179,0.000083
40097,1.848201,0.000124,0.000446,0.000083
40087,1.461144,0.000039,0.000148,0.000083
48339,1.274091,0.000056,0.000164,0.000105
48029,1.729332,0.000075,0.00031,0.000105
48479,0.874591,0.000017,0.000052,0.000105
48061,0.555227,0.000021,0.000045,0.000105
48241,1.588246,0.000082,0.000257,0.000105
48361,0.94407,0.000052,0.000132,0.000105
48233,1.821869,0.000083,0.000308,0.000105
48459,1.990815,0.000094,0.000345,0.000105
48187,1.22105,0.000034,0.000116,0.000105
48277,1.022268,0.000035,0.000101,0.000105
48105,2.926432,0.000209,0.000977,0.000105
48355,0.468612,0.000014,0.00003,0.000105
48153,1.137681,0.000081,0.000206,0.000105
53035,4.287219,0.000315,0.00125,0.000965
53021,2.886116,0.000172,0.000787,0.000965
53011,6.076637,0.000514,0.002349,0.000965
54039,12.092915,0.002186,0.010903,0.001546
