FIPS,Total Area in Square Miles (2010),Total Area in Square Miles (2000),Water Area in Square Miles (2010),Water Area in Square Miles (2000),Land Area in Square Miles (2010),Land Area in Square Miles (2000),Land Area in Square Miles (1990),Farms - Number (2002),Farms - Number (1987),Land in Farms (Acres) (2002),Land in Farms (Acres) (1987),Farmland as a % of Total Land (2002),Farmland as a % of Total Land (1987),Housing Unit Density per Square Mile (2010),Housing Unit Density per Square Mile (2000),# Designted Txc Site Undr Cntrl (2013),# Designted Txc Site Undr Cntrl (2012),# Dsgntd Txc Site Not Undr Cntrl (2013),# Dsgntd Txc Site Not Undr Cntrl (2012),#Dsgntd Txc Site w/Insuff Data (2013),# Days Air Quality is Measured (2014),# Days Air Quality is Measured (2013),# Days Air Quality is Measured (2012),# Days Air Quality is Measured (2011),# Days Measured Air Quality Good (2014),# Days Measured Air Quality Good (2013),# Days Measured Air Quality Good (2012),# Days Measured Air Quality Good (2011),% Good Air Quality Days (2014),% Good Air Quality Days (2013),% Good Air Quality Days (2012),% Good Air Quality Days (2011),Daily Fine Particulate Matter (2011),Daily Fine Particulate Matter (2010),Daily Fine Particulate Matter (2009),Daily Fine Particulate Matter (2008),Days w/8-hr Avg Ozone ovr NAAQS (2011),Days w/8-hr Avg Ozone ovr NAAQS (2010),Days w/8-hr Avg Ozone ovr NAAQS (2009),Days w/8-hr Avg Ozone ovr NAAQS (2008),Days w/8-hr Avg Ozone ovr NAAQS (2007),Days w/8-hr Avg Ozone ovr NAAQS (2006),Elevation in Feet (1976),"Percent Total Population, One Race (2010)","Percent Total Population, One Race (2000)",Percent White Population (2010),Percent White Population (2000),Percent White Population (1990),Percent White Population (1980),Percent Black/African American Population (2010),Percent Black/African American Population (2000),Percent Black/African American Population (1990),Percent Black/African American Population (1980),Percent Amer Ind/Alaska Native Population (2010),Percent Amer Ind/Alaska Native Population (2000),Percent Amer Ind/Alaska Native Population (1990),Percent Amer Ind/Alaska Native Population (1980),Percent Asian Population (2010),Percent Asian Population (2000),Percent Native Hawaiian/Other Pac Isl Pop (2010),Percent Native Hawaiian/Other Pac Isl Pop (2000),Percent Asian/Pac Islander Population (1990),Percent Asian/Pac Islander Population (1980),Percent Some Other Race Population (2010),Percent Some Other Race Population (2000),Percent Some Other Race Population (1990),Percent Some Other Race Population (1980),Percent Two or more Races Population (2010),Percent Two or more Races Population (2000),Percent Hispanic/Latino Population (2010),Percent Hispanic/Latino Population (2000),Percent Hispanic/Latino Population (1990),Percent Hispanic/Latino Population (1980),Percent Non-Hispanic/Latino Population (2010),Percent White Non-Hisp Pop (2010),Percent Black/African American Non-Hisp Pop (2010),Percent Amer Ind/Alaska Native Non-Hisp Pop (2010),Percent Asian Non-Hisp Pop (2010),Percent Nat Haw/Other Pac Isl Non-Hisp Pop (2010),Percent Some Other Race Non-Hisp Pop (2010),Percent Two or more Races Non-Hisp Pop (2010),Percent Foreign Born Population (2000),Percent Foreign Born Population (1990),Median Household Income (2013),Median Household Income (2012),Median Household Income (2011),Median Household Income (2010),Median Household Income (2009),Median Household Income (2008),Median Household Income (2007),Median Household Income (2006),Median Household Income (2005),Median Household Income (2004),Median Household Income (2003),Median Household Income (2002),Median Household Income (2001),Median Household Income (2000),Median Household Income (1999),Median Household Income (1998),Median Household Income (1997),Median Household Income (1995),Median Household Income (1993)
1000,52420.07,52419.02,1774.74,1675.01,50645.33,50744,50758,45126,43318,8904,9145753,27.4,28.2,42.9,38.7,14,13,0,0,1,,,,,,,,,,,,,12.8,12.65,11.22,,,,,,,,,98.5,99,68.5,71.1,73.6,73.8,26.2,26,25.3,25.6,0.6,0.5,0.4,0.2,1.1,0.7,0.1,0,0.5,0.3,2,0.7,0.1,0.1,1.5,1,3.9,1.7,0.6,0.9,96.1,67,26,0.5,1.1,0,0.1,1.3,2,1.1,42882,41610,41427,40538,40547,42586,40596,38811,36936,37062,36131,35943,34761,34923,33840,,,,
1001,604.39,604.45,9.95,8.48,594.44,595.97,596,373,388,118,116050,30.9,30.4,37.2,29.6,0,0,0,0,0,,,,,,,,,,,,,12.92,13.07,11.35,13.31,0,1,0,0,5,3,290,98.4,99.1,78.5,80.7,79.3,77,17.7,17.1,20,22.4,0.4,0.4,0.2,0.3,0.9,0.5,0.1,0,0.4,0.3,0.9,0.4,0.1,0,1.6,0.9,2.4,1.4,0.7,1.2,97.6,77.2,17.6,0.4,0.9,0,0.1,1.4,1.2,1,51868,51441,48863,53049,53081,51622,50375,46491,45019,45379,44241,42841,42183,42463,39702,38260,36803,34842,30906
1003,2027.31,2026.93,437.53,430.58,1589.78,1596.35,1597,1062,991,181,192082,17.7,18.8,65.5,46.5,1,1,0,0,0,284,278,285,282,249,258,244,234,87.68,92.81,85.61,82.98,13.13,12.77,11.81,11.8,2,2,1,2,7,14,155,98.5,99,85.7,87.1,86,83.9,9.4,10.3,12.9,15.3,0.7,0.6,0.6,0.5,0.7,0.4,0,0,0.2,0.1,2,0.5,0.2,0.1,1.5,1,4.4,1.8,1,0.8,95.6,83.5,9.3,0.6,0.7,0,0.1,1.3,2.1,1,47539,48867,50144,47618,48637,51957,49163,45493,42804,42227,41961,40818,40406,41283,39194,37162,35438,35014,29040
1005,904.52,904.52,19.64,19.61,884.88,884.9,885,531,498,191,207906,33.7,36.7,13.4,14.1,0,0,0,0,0,,,,,,,,,,,,,12.62,12.58,10.98,12.11,0,0,0,0,2,3,220,99.1,99.3,48,51.3,55.5,55.2,46.9,46.3,44,44.4,0.4,0.5,0.2,0.1,0.4,0.3,0.1,0,0.2,0.3,3.3,0.9,0.1,0,0.9,0.7,5.1,1.6,0.5,1.6,94.9,46.8,46.7,0.2,0.4,0.1,0,0.8,1.5,0.3,30981,30287,30117,33074,28802,30896,30370,28692,29534,26495,26062,25279,25480,26612,25837,27603,25925,24423,22446
1007,626.17,626.16,3.59,3.14,622.58,623.03,622,187,202,45,50818,11.3,12.8,14.4,13.4,0,0,0,0,0,,,,,,,,,,,,,12.87,13.16,11.4,13.68,0,2,0,2,12,7,224,99.1,99.5,75.8,76.7,78.7,76.6,22,22.2,21,23.4,0.3,0.2,0.2,0,0.1,0.1,0.1,0,0.1,0,0.8,0.3,0.1,0,0.9,0.5,1.8,1,0.2,1.4,98.2,75,21.9,0.3,0.1,0,0.1,0.8,0.4,0.1,39781,37392,37347,35472,38294,41076,38907,36794,34212,34055,32924,31387,31074,31776,30594,29692,28039,26651,22789
1009,650.63,650.6,5.85,5.02,644.78,645.59,646,1248,1199,143,140107,34.6,33.9,37.1,32.8,0,0,0,0,0,,,,,,,,,,,,,12.66,12.42,10.95,13.04,1,1,0,4,10,7,870,98.8,99,92.6,95.1,97.8,97.8,1.3,1.2,1.3,1.8,0.5,0.5,0.3,0.3,0.2,0.1,0.1,0,0.1,0.1,4.1,2.1,0.4,0,1.2,1,8.1,5.3,0.7,0.7,91.9,88.9,1.3,0.5,0.2,0,0.1,1,3.1,0.6,44392,44225,41940,42906,41520,46086,43266,41494,40588,38643,37758,36386,36175,36863,35304,35623,32676,30584,27607
1011,625.14,626.06,2.34,1.04,622.8,625.01,625,273,275,146,156332,36.5,39.1,7.2,7.6,0,0,0,0,0,,,,,,,,,,,,,12.75,12.69,11.08,12.48,0,0,0,0,2,1,455,99.2,99.3,23,25.3,27.5,32.4,70.2,73.1,72.3,67.6,0.2,0.4,0.1,0,0.2,0.2,0.4,0,0.1,0,5.2,0.4,0,0,0.8,0.7,7.1,2.7,0.6,1.4,92.9,21.9,70,0.2,0.2,0,0,0.5,3.1,0.2,25937,25854,26038,25969,24206,26980,24969,23095,21728,20485,20903,20137,20367,21400,21183,22231,20401,19063,15734
1013,777.88,777.92,1.05,1.05,776.83,776.87,777,425,520,83,99997,16.7,20.1,12.8,12.8,1,1,0,0,0,,,,,,,,,,,,,12.82,12.66,11.28,12.4,0,0,0,0,1,1,445,99.2,99.6,54.4,58.4,59.6,61.1,43.4,40.8,40.2,38.7,0.3,0.2,0.1,0.1,0.8,0.2,0,0,0.1,0,0.2,0.1,0,0,0.8,0.4,0.9,0.7,0.3,1.2,99.1,54.1,43.2,0.3,0.8,0,0,0.7,0.4,0.2,31041,30605,30489,29500,27794,31449,30460,29158,28058,27244,26951,25826,25284,25763,24715,23988,22813,21918,19053
1015,612.29,612.32,6.42,3.86,605.87,608.46,609,673,685,75,90474,19.3,23.2,88,84.3,1,1,0,0,0,,,,,,,,,,,,,12.89,12.84,11.11,13.05,0,1,0,0,10,6,565,98.3,99,74.9,78.9,80,81.3,20.6,18.5,18.6,17.5,0.5,0.4,0.3,0.2,0.7,0.6,0.1,0.1,0.7,0.5,1.6,0.6,0.4,0.5,1.7,1,3.3,1.6,1.1,1.3,96.7,73.6,20.4,0.4,0.7,0.1,0.1,1.4,1.7,1.3,37898,39212,39060,37916,37340,39997,37478,36684,35937,34813,33137,32013,31849,32604,31389,31866,30432,27265,26297
1017,603.11,603.11,6.58,5.94,596.53,597.17,597,306,365,93,102153,24.3,26.7,28.5,27.2,0,0,0,0,0,,,,,,,,,,,,,12.97,12.83,11.04,13.2,1,0,0,3,6,5,745,98.9,99.4,58.8,60.9,63.9,64.5,38.7,38.1,35.9,35.5,0.2,0.1,0.1,0,0.5,0.2,0,0,0,0,0.6,0.1,0.1,0,1.1,0.6,1.6,0.8,0.3,0.5,98.4,58.1,38.6,0.2,0.5,0,0.1,1,0.8,0.3,33883,32320,33500,30061,30621,35614,33904,32014,31538,30573,30844,29993,29824,30505,29203,29260,28093,25571,24175
1019,599.98,599.95,46.28,46.83,553.7,553.12,553,546,487,121,119956,34.2,33.9,29.4,25.4,0,0,0,0,0,,,,,,,,,,,,,12.93,12.94,11.15,12.92,0,0,0,0,10,8,589,98.5,99.2,92.7,92.8,92.9,91.5,4.6,5.5,6.6,8.3,0.5,0.3,0.3,0.1,0.2,0.1,0,0,0.1,0.1,0.5,0.3,0.1,0,1.5,0.8,1.2,0.9,0.3,0.6,98.8,92.1,4.6,0.5,0.2,0,0.1,1.3,1.1,0.2,37478,37868,34738,34410,38024,38028,37376,37097,33858,33564,32158,31011,30738,31436,30182,29839,28922,26719,24479
1021,700.8,700.76,7.95,6.78,692.85,693.98,694,667,704,98,104106,22.1,23.4,27.8,25.4,0,0,0,0,0,,,,,,,,,,,,,12.93,13.17,11.37,13.6,1,2,0,4,14,6,580,98.8,99.3,84.1,86.7,88.3,88,9.7,10.6,11.3,11.9,0.4,0.3,0.2,0,0.3,0.2,0.1,0,0.1,0.1,4.2,1.5,0.1,0,1.2,0.7,7.8,2.9,0.4,0.6,92.2,81.1,9.6,0.3,0.3,0,0.1,0.8,1.9,0.4,41348,39621,38833,38553,38916,40292,39663,36717,36098,35507,34201,33129,32883,33650,32256,31970,30539,28524,24685
1023,920.86,920.85,7.36,7.34,913.5,913.51,914,244,299,55,84626,9.4,14.5,8,8.6,0,0,0,0,0,,,,,,,,,,,,,12.82,12.83,11.5,12.96,0,0,0,0,1,3,350,99.6,99.6,55.8,55.1,55.6,56.4,43.4,44.1,44.2,43.5,0.1,0.2,0.1,0,0.1,0,0,0,0.1,0,0.2,0.1,0,0,0.4,0.4,0.5,0.7,0.3,1.2,99.5,55.6,43.2,0.1,0.1,0,0.1,0.4,0.6,0.2,33581,33390,32940,32003,31067,30728,31508,28730,27512,27690,26829,25928,25878,26388,25647,26723,24714,23193,20848
1025,1252.57,1252.51,14.11,14.13,1238.46,1238.38,1239,284,331,57,94506,7.2,11.9,10.2,10.2,0,0,0,0,0,,,,,,,,,,,,,13.01,12.69,11.53,12.7,0,0,0,0,2,1,405,99.3,99.5,54.5,55.9,57,56.9,43.9,43,42.7,42.7,0.4,0.2,0.2,0.3,0.3,0.2,0,0,0.1,0,0.3,0.2,0,0.1,0.7,0.5,1,0.6,0.4,1.1,99,54,43.7,0.4,0.3,0,0,0.6,0.5,0.4,34593,34606,32642,33739,32729,34101,32627,29659,29531,28776,28644,27987,28010,28734,27685,28044,26898,25078,22578
1027,606,606,2.04,0.93,603.96,605.07,605,427,439,84,84379,21.7,21.8,11.2,10.9,0,0,0,0,0,114,118,121,118,96,100,99,98,84.21,84.75,81.82,83.05,12.92,12.9,11.14,13.23,0,0,0,2,5,3,745,98.3,99.2,81.7,82.6,83.3,83.4,14.8,15.7,16.3,16.6,0.4,0.3,0.2,0.1,0.2,0.1,0,0,0.1,0,1.2,0.5,0,0,1.7,0.8,2.9,1.8,0.2,0.9,97.1,80.3,14.7,0.4,0.2,0,0,1.6,0.9,0.3,33344,34579,32454,33035,34831,33032,36009,32512,33512,31194,29456,28765,28289,28940,27792,28323,26809,25737,22603
1029,561.01,561.02,0.91,0.81,560.1,560.21,560,326,366,44,49177,12.3,13.7,12,11,0,0,0,0,0,,,,,,,,,,,,,12.96,12.96,11.14,13.04,0,0,0,1,8,4,1175,98.9,99.2,94,94.7,94.9,94.6,3.3,3.7,4.6,5.1,0.3,0.3,0.2,0,0.2,0.1,0.1,0,0.1,0.1,1,0.3,0.2,0.1,1.1,0.8,2.1,1.4,0.3,0.2,97.9,93.2,3.3,0.3,0.2,0,0,0.9,0.9,0.2,40407,38235,39153,37566,37870,37742,38918,35119,34287,34128,32834,31359,31125,31551,30502,31153,29104,26852,24815
1031,680.49,680.48,1.52,1.49,678.97,678.99,679,854,842,197,179311,45.3,41.3,32.9,29.2,0,0,0,0,0,,,,,,,,,,,,,12.61,12.47,11.11,11.74,0,0,0,0,0,2,195,97.5,98.3,74.7,77.1,81.3,82.2,16.7,18.4,17.2,17,1.3,0.9,0.4,0.3,1.3,0.9,0.2,0.1,0.8,0.4,3.2,0.9,0.4,0.2,2.5,1.7,6.4,2.7,1.2,1,93.6,72.3,16.5,1.2,1.3,0.1,0.1,2.1,2.7,1.9,44666,45631,42173,40779,43296,43145,36819,41417,37025,37066,35739,34621,33916,34561,33251,32925,31316,29569,28186
1033,622.13,623.61,29.51,29.08,592.62,594.53,595,584,563,132,145104,34.7,38.1,43.5,42,0,0,0,0,0,284,285,285,282,258,264,242,252,90.85,92.63,84.91,89.36,12.71,11.86,10.88,13.19,0,0,0,0,5,4,536,98.4,99.1,80.5,81.5,82.9,83,16.1,16.6,16.6,16.8,0.5,0.4,0.3,0.1,0.4,0.2,0,0,0.2,0.1,0.9,0.3,0.1,0,1.6,0.9,2,1.1,0.4,0.3,98,79.6,16,0.5,0.4,0,0.1,1.4,0.9,0.3,40032,39771,37269,37455,37111,39947,37530,36690,35590,34575,33550,32206,32249,33227,31930,32190,31413,29080,25374
1035,852.72,852.51,2.57,1.71,850.16,850.79,851,369,405,82,101657,15.1,18.7,8.3,8.5,0,0,0,0,0,,,,,,,,,,,,,12.86,12.49,11.32,12.12,0,0,0,0,1,0,216,99,99.4,51.3,55.4,57.4,58.8,46.5,43.6,42.2,41.1,0.3,0.2,0.3,0.1,0.1,0.1,0,0,0.1,0,0.7,0.1,0.1,0,1,0.6,1.2,0.7,0.6,1.2,98.8,51.1,46.3,0.3,0.1,0,0,0.9,0.4,0.1,27196,27110,26914,27855,26882,27068,27555,25992,24587,24334,23726,23366,23177,23683,23069,24100,22643,21610,19103
1037,666.35,666.36,15.42,13.91,650.93,652.44,653,228,256,39,59172,9.3,14.2,10,9.4,0,0,0,0,0,,,,,,,,,,,,,12.93,13.02,11.24,13.45,2,1,0,2,7,4,660,99.1,99.1,66.3,63.9,65.5,65.2,31,34.2,34.2,34.7,0.3,0.3,0.3,0,0.1,0,0.1,0,0,0.1,1.2,0.6,0,0,0.9,0.9,2,1.3,0.2,0.4,98,65.9,30.8,0.3,0.1,0,0.1,0.8,0.3,0.2,35175,32960,34391,33721,34795,36050,34667,32424,31142,30173,29801,28979,29114,29926,28261,27289,26531,25003,22353
1039,1043.79,1043.86,13.33,10.05,1030.46,1033.82,1035,1013,870,202,175735,30.5,26.5,18.3,18,0,0,0,0,0,,,,,,,,,,,,,12.71,12.46,11.23,11.75,0,0,0,0,0,0,260,98.6,99.4,84.8,86.2,86.5,86.5,12.5,12.4,13.1,13.1,0.6,0.5,0.2,0.1,0.4,0.2,0,0,0.1,0.3,0.4,0.2,0.1,0,1.4,0.6,1.3,0.8,0.4,0.8,98.7,84.1,12.4,0.5,0.4,0,0,1.3,0.6,0.5,35187,34017,32138,33484,32179,33773,32490,30293,30847,29237,28670,27654,27108,27531,26636,26598,25691,24201,21785
1041,610.92,610.88,2.08,1.3,608.84,609.58,610,570,494,130,118184,33.3,30.3,11.1,10.9,0,0,0,0,0,,,,,,,,,,,,,12.75,12.62,11.2,12.25,0,0,0,0,0,1,594,98.5,99.3,72.6,73.8,73.7,73.7,23.4,24.8,26,26.2,0.4,0.4,0.2,0,1.4,0.1,0.1,0,0.1,0.1,0.7,0.2,0,0,1.5,0.7,1.5,0.6,0.2,0.2,98.5,72.1,23.3,0.4,1.4,0,0,1.4,0.3,0.4,34105,33648,34534,35577,31849,34402,33156,30576,29410,28909,28358,27425,26965,27345,25931,25353,23472,21926,19783
1043,755.02,754.82,20.18,16.39,734.84,738.43,739,2301,2210,231,193771,48.9,41,50.4,47.7,0,0,0,0,0,,,,,,,,,,,,,12.53,12.12,10.82,12.95,0,1,0,2,12,6,802,98.9,99,94.7,96.8,98.7,98.8,1.1,1,0.8,0.9,0.5,0.4,0.2,0.2,0.4,0.2,0,0,0.2,0.1,2.2,0.6,0.1,0,1.1,1,4.3,2.2,0.4,0.5,95.7,92.7,1,0.5,0.4,0,0.1,1,1.7,0.3,40142,37938,39395,37948,37425,39276,39194,35774,36693,35150,34056,32821,32877,33441,32336,32609,30705,28824,26035
1045,562.7,562.67,1.55,1.6,561.15,561.07,561,459,490,139,129105,38.7,36,40.4,38.8,0,0,0,0,0,,,,,,,,,,,,,12.52,12.48,11.02,11.65,0,0,0,0,0,2,470,97,97.9,74.1,74.4,79.3,81.2,19.3,20.4,17.8,16.4,0.7,0.6,0.5,0.7,1.1,1.1,0.1,0.1,1.5,1,1.8,1.3,0.9,0.7,3,2.1,5.6,3.3,2.4,2.2,94.4,71.1,19,0.7,1,0.1,0.1,2.4,3.1,2.9,41805,40125,41568,41287,41279,42867,41214,36969,36422,34065,32774,32103,31966,32824,31267,31303,30476,28578,27397
1047,993.8,993.37,15.11,12.66,978.69,980.71,981,490,486,236,250035,37.6,39.8,20.7,20.9,0,0,0,0,0,,,,,,,,,,,,,12.93,13.04,11.45,13.19,0,0,0,0,3,2,147,99.3,99.5,29.1,35.6,41.8,45.2,69.4,63.3,57.8,54.6,0.2,0.1,0.1,0,0.3,0.3,0,0,0.3,0.1,0.2,0.1,0,0.1,0.7,0.5,0.7,0.6,0.3,1.1,99.3,28.9,69.2,0.2,0.3,0,0,0.6,0.7,0.4,27524,27400,25859,26195,27088,27992,27647,26135,24936,24949,24456,23732,24191,24944,23989,24005,23379,21297,18752
1049,778.69,778.65,1.59,0.74,777.09,777.91,778,2177,2047,237,213440,47.6,42.9,40,36.1,0,0,0,0,0,363,343,366,345,333,315,315,308,91.74,91.84,86.07,89.28,12.93,12.84,11.2,12.97,0,0,0,0,13,6,1040,97.8,98.4,84.5,92.6,96.9,97.8,1.5,1.7,1.9,1.8,1.4,0.8,0.9,0.2,0.3,0.2,0.2,0.1,0.1,0.1,9.9,3.1,0.2,0.1,2.2,1.6,13.6,5.6,0.4,0.7,86.4,81.6,1.4,1.2,0.2,0,0.1,1.8,4.1,0.4,36713,37644,35487,34822,33919,35377,35558,31613,31501,32286,31310,30331,30297,31087,29648,29364,27948,26955,23710
1051,657.04,657.21,38.56,35.96,618.48,621.26,622,633,622,104,128572,26.2,32.3,52.8,41.4,0,0,0,0,0,245,244,245,244,239,239,231,220,97.55,97.95,94.29,90.16,12.91,12.97,11.23,13.23,0,0,0,0,3,0,290,98.6,99,76.2,77,76.9,77.5,20,20.6,22.4,22.3,0.4,0.4,0.3,0.1,0.7,0.4,0.1,0,0.3,0.1,1.2,0.5,0.1,0.1,1.4,1,2.7,1.2,0.5,1.1,97.3,75,19.9,0.3,0.6,0.1,0.1,1.3,1.1,0.8,51650,52324,54866,51013,50194,53296,49193,50006,45474,43645,42687,41046,40445,41233,39029,36723,35305,34013,29825
1053,953.14,952.95,8.06,5.57,945.08,947.38,948,444,414,94,90646,15.5,14.9,17.4,17.5,0,0,0,0,0,,,,,,,,,,,,,12.92,12.46,11.43,11.88,0,1,0,0,1,3,85,98.5,98.9,62.1,64.4,68.5,67.8,31.9,30.8,28.3,29.6,3.4,3,2.9,2.5,0.2,0.2,0,0,0.2,0.1,0.9,0.4,0.1,0.1,1.5,1.1,1.9,1,0.5,0.6,98.1,61.3,31.7,3.3,0.2,0,0.1,1.4,0.6,0.3,33455,33588,32838,31365,31443,32009,34615,32844,30600,29330,28608,27711,28029,28942,27750,27350,25712,24341,22364
1055,548.63,548.75,13.64,13.93,534.99,534.82,535,974,928,90,100517,26.3,29.4,88.7,85.9,0,0,0,0,0,282,284,280,277,262,251,242,247,92.91,88.38,86.43,89.17,12.79,12.67,11.04,12.96,0,0,0,0,3,1,565,98.5,99.1,80.3,82.9,85.4,85.9,15.1,14.7,13.8,13.4,0.4,0.3,0.3,0.5,0.6,0.4,0.2,0,0.4,0.1,1.9,0.7,0.1,0.1,1.5,0.9,3.3,1.7,0.3,0.4,96.7,79.3,15,0.4,0.6,0,0.1,1.3,1.6,0.8,38587,35737,34927,36088,38575,37264,35420,32448,32973,32727,31512,30494,30516,31490,29999,29619,28747,27413,24857
1057,629.36,629.34,1.7,1.68,627.66,627.66,628,365,350,75,67365,18.7,16.8,13.4,13.5,0,0,0,0,0,,,,,,,,,,,,,12.47,12.19,10.94,13.3,0,0,0,1,7,6,365,99,99.5,86.5,86.9,87.5,87.1,11.4,11.9,12.2,12.6,0.3,0.2,0.1,0,0.2,0.2,0,0,0.1,0.3,0.6,0.3,0.2,0,1,0.5,1.2,0.8,0.4,0.5,98.8,86,11.4,0.3,0.2,0,0.1,0.9,0.7,0.3,35661,35720,32648,32643,34262,34092,35957,34465,31720,30595,30216,29309,29684,30362,29214,29473,28717,26629,23833
1059,646.52,646.51,12.7,10.86,633.82,635.64,636,929,834,146,127653,35.9,31.4,22.1,21.6,0,0,0,0,0,,,,,,,,,,,,,12.27,11.35,10.52,12.9,0,0,0,0,7,3,840,98.3,99,83,89.7,95.1,95.2,3.9,4.2,4.5,4.6,0.7,0.3,0.2,0.1,0.2,0.1,0,0.1,0.1,0.1,10.5,4.6,0,0,1.7,1,14.9,7.4,0.4,0.4,85.1,79.6,3.8,0.4,0.2,0,0.1,1,5.6,0.2,33332,33173,33705,33649,32588,35248,30765,30911,29698,29234,28277,27370,27618,28341,27505,27971,26592,26003,22698
1061,578.95,578.9,4.54,2.62,574.41,576.28,576,998,881,227,200162,61.5,54.3,22.1,21,0,0,0,0,0,,,,,,,,,,,,,12.52,12.47,11.14,11.36,0,0,0,0,1,2,107,98.4,99.3,86.3,87.1,87.5,86.6,9.5,10.6,11.9,12.8,0.8,0.8,0.4,0.5,0.3,0.1,0,0,0.1,0.1,1.5,0.6,0.1,0,1.6,0.7,3.4,1.8,0.5,1.2,96.6,84.7,9.4,0.7,0.2,0,0.1,1.4,0.8,0.6,35378,33347,33835,34418,31347,32027,33734,30230,29492,28787,28040,27180,26992,27382,26536,27049,26009,24586,23098
1063,659.94,659.93,12.83,14.07,647.11,645.87,646,349,351,128,136725,31,33.1,7.7,7.9,0,0,0,0,0,,,,,,,,,,,,,12.87,13.39,11.61,13.86,0,0,0,0,2,3,110,99.5,99.7,17.4,19.1,19.4,22,81.5,80.3,80.6,78,0.2,0.1,0,0,0.2,0.1,0,0,0,0,0.3,0.1,0,0,0.5,0.3,0.8,0.6,0.2,1.9,99.2,17.3,81.2,0.1,0.2,0,0,0.4,0.7,0.1,25864,24592,24738,27117,26131,26001,25137,23404,22436,22439,21963,20763,20771,21163,20185,19050,17602,16274,14288
1065,656.5,656.47,12.56,12.74,643.94,643.74,644,433,441,161,154581,39.1,37.5,11.9,12,0,0,0,0,0,,,,,,,,,,,,,12.92,13.4,11.6,13.83,0,0,0,1,5,2,220,99.4,99.4,39.8,39.8,40.4,36.9,59,59,59.5,62.8,0.2,0.2,0.1,0,0.2,0.2,0,0,0.1,0.2,0.3,0.3,0,0.1,0.6,0.6,0.9,0.9,0.4,2.2,99.1,39.4,58.8,0.1,0.2,0,0,0.5,0.3,0.1,33597,31025,31044,31790,30124,31091,31481,29268,27535,26841,26138,25121,25063,26400,24706,21976,20704,19815,16761
1067,568.31,568.33,6.56,6.53,561.75,561.8,562,346,421,151,171444,42,47.7,15.8,14.3,1,1,0,0,0,,,,,,,,,,,,,12.46,12.5,10.94,11.64,0,0,0,0,0,2,371,99,99.3,68.6,65.7,64.5,62,28.6,32.3,35.1,37.9,0.3,0.2,0.2,0,0.3,0.1,0,0,0,0,1.2,1,0.2,0.1,1,0.7,2.2,1.5,0.6,1.5,97.8,67.8,28.4,0.3,0.3,0,0,0.9,1.1,0.5,41590,37108,39788,37851,35215,36453,35076,35398,33191,32441,31504,30534,30154,31049,29695,29084,28276,26589,24581
1069,581.65,581.65,1.83,1.29,579.82,580.36,580,700,862,188,207817,50.6,56,78.2,68.2,0,0,0,0,0,280,285,285,283,257,263,253,248,91.79,92.28,88.77,87.63,12.37,12.45,10.98,11.24,0,0,0,0,0,2,371,98.3,99.1,70,73.1,75.6,77.1,25.8,24.6,23.3,22.1,0.4,0.4,0.4,0.3,0.8,0.6,0,0,0.6,0.4,1.2,0.4,0.1,0.1,1.7,0.9,2.9,1.3,0.6,0.8,97.1,68.7,25.6,0.4,0.8,0,0.1,1.4,1.6,0.8,39636,40609,40428,39290,38751,42523,40461,37415,37947,36616,35866,34605,34500,35287,33486,33234,32086,30673,28063
1071,1126.77,1126.77,48.9,48.02,1077.87,1078.74,1079,1375,1224,229,208014,33.2,30.1,23,22.4,0,0,0,0,0,,,,,,,,,,,,,13.16,12.93,11.48,13.28,0,1,0,3,16,9,615,97.4,98,90.8,91.9,93.5,95.3,3.3,3.7,4.1,4.1,1.4,1.8,2.1,0.5,0.3,0.2,0.1,0,0.2,0.1,1.4,0.4,0,0,2.6,2,2.5,1.1,0.4,0.5,97.5,90.1,3.3,1.3,0.3,0.1,0,2.4,0.7,0.4,37204,39618,36746,36158,35015,36597,36178,37545,32208,33733,33128,32278,32302,33289,31989,32272,30791,28691,26198
1073,1123.81,1123.8,12.54,11.2,1111.28,1112.61,1113,463,520,42,45053,5.9,6.3,270.5,259,1,1,0,0,0,365,365,366,365,161,186,161,184,44.11,50.96,43.99,50.41,12.71,12.63,11.09,13.3,19,15,5,12,25,26,620,98.9,99.2,53,58.1,64.2,66.2,42,39.4,35.1,33.3,0.3,0.2,0.1,0.1,1.4,0.9,0,0,0.5,0.3,2.2,0.6,0.1,0.1,1.1,0.8,3.9,1.6,0.4,0.7,96.1,51.7,41.8,0.2,1.4,0,0.1,0.9,2.3,1.2,45024,43967,42053,41740,43312,46269,44908,41731,41821,38520,38305,37375,37058,37094,35885,36431,35464,32632,28257
