FIPS,County.Name.x,FIPS.State.Code.x,FIPS.County.Code.x,Federal.Region.Code.x,Census.Region.Code.x,Census.Region.Name.x,State.Name.x,State.Abbrev.x,area10,area00,water10,water00,land10,land00,land90,farms02,farms87,Land.in.Farms..Acres...2002.,Land.in.Farms..Acres...1987.,pctFarm02,pctFarm87,houseDens10,houseDens00,X..Designted.Txc.Site.Undr.Cntrl..2013.,X..Designted.Txc.Site.Undr.Cntrl..2012.,X..Dsgntd.Txc.Site.Not.Undr.Cntrl..2013.,X..Dsgntd.Txc.Site.Not.Undr.Cntrl..2012.,X.Dsgntd.Txc.Site.w.Insuff.Data..2013.,X..Days.Air.Quality.is.Measured..2014.,X..Days.Air.Quality.is.Measured..2013.,X..Days.Air.Quality.is.Measured..2012.,X..Days.Air.Quality.is.Measured..2011.,X..Days.Measured.Air.Quality.Good..2014.,X..Days.Measured.Air.Quality.Good..2013.,X..Days.Measured.Air.Quality.Good..2012.,X..Days.Measured.Air.Quality.Good..2011.,goodAir14,goodAir13,goodAir12,goodAir11,Daily.Fine.Particulate.Matter..2011.,Daily.Fine.Particulate.Matter..2010.,Daily.Fine.Particulate.Matter..2009.,Daily.Fine.Particulate.Matter..2008.,Days.w.8.hr.Avg.Ozone.ovr.NAAQS..2011.,Days.w.8.hr.Avg.Ozone.ovr.NAAQS..2010.,Days.w.8.hr.Avg.Ozone.ovr.NAAQS..2009.,Days.w.8.hr.Avg.Ozone.ovr.NAAQS..2008.,Days.w.8.hr.Avg.Ozone.ovr.NAAQS..2007.,Days.w.8.hr.Avg.Ozone.ovr.NAAQS..2006.,elevation,pctOneRace10,pctOneRace00,pctWhite10,pctWhite00,pctWhite90,pctWhite80,pctBlack10,pctBlack00,pctBlack90,pctBlack80,pctIndian10,pctIndian00,pctIndian90,pctIndian80,pctAsian10,pctAsian00,pctIsland10,pctIsland00,pctAsian90,pctAsian80,pctOther10,pctOther00,pctOther90,pctOther80,pctTwoRace10,pctTwoRace00,pctLatino10,pctLatino00,pctLatino90,pctLatino80,pctNonLatino10,pctWhiteNonHisp10,pctBlackNonHisp10,pctIndianNonHIsp10,pctAsianNonHisp10,pctIslandNonHisp10,pctOtherNonHisp10,pctTwoRaceNonHisp10,pctForeignBorn00,pctForeignBorn90,mhi13,mhi12,mhi11,mhi10,mhi09,mhi08,mhi07,mhi06,mhi05,mhi04,mhi03,mhi02,mhi01,mhi00,mhi99,mhi98,mhi97,mh95,mh93,County.Name.y,FIPS.State.Code.y,FIPS.County.Code.y,Federal.Region.Code.y,Census.Region.Code.y,Census.Region.Name.y,State.Name.y,State.Abbrev.y,pvty13,pvty12,pvty11,pvty10,pvty09,pvty08,pvty07,pvty06,pvty05,pvty04,pvty03,pvty02,pvty01,pvty00,pvty99,pvty98,pvty97,deeppvty09-13,deeppvty08-12,unemp14,unemp13,unemp12,unemp11,unemp10,unemp09,unemp08,unemp07,unemp06,unemp05,unemp04,unemp03,unemp02,unemp01,unemp00,unemp99,unemp98,unemp97,unemp96,unemp95,unemp94,unemp93,unemp92,unemp91,unemp90,unemp89,unemp88,unemp87,unemp86,unemp85,unemp84,suic10-12,suic09-11,suic08-10,suic07-09,suic06-08,suic05-07,suic04-06,suic03-05,suic02-04,suic01-03,suic00-02,suic99-01,suic98-00,suic97-99,suic96-98,suic95-97,suic94-96,suic93-95,suic92-94,eduCollege00,eduCollege90,eduCollege80,eduCollege09-13,eduHS00,eduHS90,eduHS80,eduHS09-13
1000,Alabama,1,0,4,3,South,Alabama,AL,52420.07,52419.02,1774.74,1675.01,50645.33,50744,50758,45126,43318,8904,9145753,27.4,28.2,42.9,38.7,14,13,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8,12.65,11.22,NA,NA,NA,NA,NA,NA,NA,NA,98.5,99,68.5,71.1,73.6,73.8,26.2,26,25.3,25.6,0.6,0.5,0.4,0.2,1.1,0.7,0.1,0,0.5,0.3,2,0.7,0.1,0.1,1.5,1,3.9,1.7,0.6,0.9,96.1,67,26,0.5,1.1,0,0.1,1.3,2,1.1,42882,41610,41427,40538,40547,42586,40596,38811,36936,37062,36131,35943,34761,34923,33840,NA,NA,NA,NA,Alabama,1,0,4,3,South,Alabama,AL,18.9,19,19.1,18.9,17.5,15.9,16.6,16.6,16.9,16.1,15.3,15.4,15.7,14.6,15.3,NA,NA,8,7.7,6.8,6.5,7.3,9,9.5,10.1,5,3.5,3.6,4,5.6,5.8,5.9,5.3,4.6,4.8,4.2,5.1,5.1,6.3,6,7.5,7.3,7.1,6.8,7,7.2,7.8,9.8,8.9,8.8,686,669,652,623,592,569,552,532,525,516,536,550,569,545,531,529,536,549,535,549608,399228,270063,722692,2173319,1702331,1252475,539200
1001,Autauga,1,1,4,3,South,Alabama,AL,604.39,604.45,9.95,8.48,594.44,595.97,596,373,388,118,116050,30.9,30.4,37.2,29.6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.92,13.07,11.35,13.31,0,1,0,0,5,3,290,98.4,99.1,78.5,80.7,79.3,77,17.7,17.1,20,22.4,0.4,0.4,0.2,0.3,0.9,0.5,0.1,0,0.4,0.3,0.9,0.4,0.1,0,1.6,0.9,2.4,1.4,0.7,1.2,97.6,77.2,17.6,0.4,0.9,0,0.1,1.4,1.2,1,51868,51441,48863,53049,53081,51622,50375,46491,45019,45379,44241,42841,42183,42463,39702,38260,36803,34842,30906,Autauga,1,1,4,3,South,Alabama,AL,13.5,12.7,14.9,11.9,11.2,10.7,10.4,12.5,10.4,11.6,10.4,10.3,10.8,10.5,11.4,11.3,11.8,6.2,5.8,5.9,5.7,6.5,8,7.8,8.9,4.6,2.9,3,3.3,4.3,4.5,4.3,3.7,3.7,3.9,3,4.1,3.9,6.1,5.1,6.4,6.4,7.1,6.8,7.1,6.1,6.9,7.9,8.7,9.1,12,NA,NA,NA,NA,NA,7,5,5,7,8,9,8,8,6,5,5,6,6,4972,3026,2117,7472,21717,14609,10366,5143
1003,Baldwin,1,3,4,3,South,Alabama,AL,2027.31,2026.93,437.53,430.58,1589.78,1596.35,1597,1062,991,181,192082,17.7,18.8,65.5,46.5,1,1,0,0,0,284,278,285,282,249,258,244,234,87.68,92.81,85.61,82.98,13.13,12.77,11.81,11.8,2,2,1,2,7,14,155,98.5,99,85.7,87.1,86,83.9,9.4,10.3,12.9,15.3,0.7,0.6,0.6,0.5,0.7,0.4,0,0,0.2,0.1,2,0.5,0.2,0.1,1.5,1,4.4,1.8,1,0.8,95.6,83.5,9.3,0.6,0.7,0,0.1,1.3,2.1,1,47539,48867,50144,47618,48637,51957,49163,45493,42804,42227,41961,40818,40406,41283,39194,37162,35438,35014,29040,Baldwin,1,3,4,3,South,Alabama,AL,14.2,13.9,13.4,13.3,13.3,9.9,10.3,11,11.4,10,10.1,10.7,11.1,9.7,10.5,11,11.1,5.3,5.1,6.1,5.8,6.8,8.1,8.9,8.8,4.1,2.7,2.8,3.3,5.1,4.3,4.4,4.1,3.1,3.4,2.7,3.7,4.5,5.2,4.8,6.3,6.2,6.3,5.9,6.7,8.1,7.6,8.9,7.9,6.9,37,34,33,31,30,25,22,19,21,22,22,23,22,18,17,16,16,16,17,22146,10870,5498,36087,78752,47314,27480,14209
1005,Barbour,1,5,4,3,South,Alabama,AL,904.52,904.52,19.64,19.61,884.88,884.9,885,531,498,191,207906,33.7,36.7,13.4,14.1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.62,12.58,10.98,12.11,0,0,0,0,2,3,220,99.1,99.3,48,51.3,55.5,55.2,46.9,46.3,44,44.4,0.4,0.5,0.2,0.1,0.4,0.3,0.1,0,0.2,0.3,3.3,0.9,0.1,0,0.9,0.7,5.1,1.6,0.5,1.6,94.9,46.8,46.7,0.2,0.4,0.1,0,0.8,1.5,0.3,30981,30287,30117,33074,28802,30896,30370,28692,29534,26495,26062,25279,25480,26612,25837,27603,25925,24423,22446,Barbour,1,5,4,3,South,Alabama,AL,28.2,29,29.5,25.3,32.8,24.5,26.1,28.7,22.4,23.9,22.2,23.6,24.2,22.2,22.3,22.7,23.8,13.3,12.8,10.8,10,11.2,11.4,11.7,13,7.8,5.5,5.1,5.2,6.2,6,7.1,7.7,5.1,4.9,4.7,7.4,9.4,8.7,6.9,9.9,10.2,7.8,7.6,7.4,7.5,8,9.5,10.6,8.8,NA,NA,NA,NA,NA,NA,2,2,3,3,4,3,3,2,3,3,3,3,4,2068,1857,1300,2545,12217,8737,6333,5002
1007,Bibb,1,7,4,3,South,Alabama,AL,626.17,626.16,3.59,3.14,622.58,623.03,622,187,202,45,50818,11.3,12.8,14.4,13.4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.87,13.16,11.4,13.68,0,2,0,2,12,7,224,99.1,99.5,75.8,76.7,78.7,76.6,22,22.2,21,23.4,0.3,0.2,0.2,0,0.1,0.1,0.1,0,0.1,0,0.8,0.3,0.1,0,0.9,0.5,1.8,1,0.2,1.4,98.2,75,21.9,0.3,0.1,0,0.1,0.8,0.4,0.1,39781,37392,37347,35472,38294,41076,38907,36794,34212,34055,32924,31387,31074,31776,30594,29692,28039,26651,22789,Bibb,1,7,4,3,South,Alabama,AL,23.1,21.5,22.2,20.9,18.1,18.5,18.2,18.8,16.6,17.1,16.8,17.7,18.2,17.8,17.1,16.9,17.4,6.2,6.6,7.1,6.8,7.6,9.9,10.3,12,5.2,3.6,3.7,4,5.8,7.2,10.7,10,6.7,6.9,6.7,7.6,7.1,7,7.6,11.1,10.5,11,8.6,8.4,10,11,13.3,12.3,15.8,NA,NA,NA,NA,NA,NA,3,4,4,3,4,3,3,2,3,3,3,2,1,962,476,433,1851,8556,5215,3580,3459
1009,Blount,1,9,4,3,South,Alabama,AL,650.63,650.6,5.85,5.02,644.78,645.59,646,1248,1199,143,140107,34.6,33.9,37.1,32.8,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.66,12.42,10.95,13.04,1,1,0,4,10,7,870,98.8,99,92.6,95.1,97.8,97.8,1.3,1.2,1.3,1.8,0.5,0.5,0.3,0.3,0.2,0.1,0.1,0,0.1,0.1,4.1,2.1,0.4,0,1.2,1,8.1,5.3,0.7,0.7,91.9,88.9,1.3,0.5,0.2,0,0.1,1,3.1,0.6,44392,44225,41940,42906,41520,46086,43266,41494,40588,38643,37758,36386,36175,36863,35304,35623,32676,30584,27607,Blount,1,9,4,3,South,Alabama,AL,17.2,16.2,14.9,16.5,14.6,13.1,13.1,12.8,11.4,12.4,11.9,12.6,13.6,12,12.3,12.9,13.3,6.1,5.7,6.1,5.6,6.2,8.3,9,9.1,4.1,2.8,2.9,3.1,3.1,3.6,5,2.8,2.7,2.9,3.2,3.1,3.3,4.7,4.3,5.6,6.1,6.5,7.4,5.5,6.8,7.3,9,7.6,9,12,NA,NA,NA,NA,NA,7,8,8,7,6,7,8,6,6,6,6,5,6,3235,1773,1144,4697,23742,15281,9974,8937
1011,Bullock,1,11,4,3,South,Alabama,AL,625.14,626.06,2.34,1.04,622.8,625.01,625,273,275,146,156332,36.5,39.1,7.2,7.6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.75,12.69,11.08,12.48,0,0,0,0,2,1,455,99.2,99.3,23,25.3,27.5,32.4,70.2,73.1,72.3,67.6,0.2,0.4,0.1,0,0.2,0.2,0.4,0,0.1,0,5.2,0.4,0,0,0.8,0.7,7.1,2.7,0.6,1.4,92.9,21.9,70,0.2,0.2,0,0,0.5,3.1,0.2,25937,25854,26038,25969,24206,26980,24969,23095,21728,20485,20903,20137,20367,21400,21183,22231,20401,19063,15734,Bullock,1,11,4,3,South,Alabama,AL,35.2,32.3,32.8,31.1,34.7,33.6,34,32.9,38.2,30.3,26.5,31.4,32.9,28.6,26.6,28,29.2,11.6,12.3,9.1,12,13.4,15.3,14.7,14.3,9.6,8.5,8,8.7,13.1,12,11.3,11.6,9.9,10.2,10,10.5,14.1,18,13.1,14,13.7,17.8,12.5,12.7,13.5,14.4,17.3,16,10.8,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,1,1,1,0,0,0,0,586,676,516,938,4578,3299,2414,2421
1013,Butler,1,13,4,3,South,Alabama,AL,777.88,777.92,1.05,1.05,776.83,776.87,777,425,520,83,99997,16.7,20.1,12.8,12.8,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.82,12.66,11.28,12.4,0,0,0,0,1,1,445,99.2,99.6,54.4,58.4,59.6,61.1,43.4,40.8,40.2,38.7,0.3,0.2,0.1,0.1,0.8,0.2,0,0,0.1,0,0.2,0.1,0,0,0.8,0.4,0.9,0.7,0.3,1.2,99.1,54.1,43.2,0.3,0.8,0,0,0.7,0.4,0.2,31041,30605,30489,29500,27794,31449,30460,29158,28058,27244,26951,25826,25284,25763,24715,23988,22813,21918,19053,Butler,1,13,4,3,South,Alabama,AL,28.8,26.3,24.1,28.1,29.4,22.3,23.2,22.8,23.1,21,20,20.4,21.6,20.7,21.9,23.4,23.4,10.3,11.1,8.6,9.3,10.9,11.6,12.3,15.2,7.7,5.5,5.1,5.9,11.8,10.3,9.6,9.9,11.3,13.9,10.6,10,8.9,9,8.7,10.6,11.3,11.8,12.1,13.5,10.4,10.6,11.7,12.4,8.6,NA,NA,NA,NA,NA,NA,2,3,3,2,3,3,3,3,3,3,2,2,1,1433,1083,1029,1971,9328,7116,5680,3337
1015,Calhoun,1,15,4,3,South,Alabama,AL,612.29,612.32,6.42,3.86,605.87,608.46,609,673,685,75,90474,19.3,23.2,88,84.3,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.89,12.84,11.11,13.05,0,1,0,0,10,6,565,98.3,99,74.9,78.9,80,81.3,20.6,18.5,18.6,17.5,0.5,0.4,0.3,0.2,0.7,0.6,0.1,0.1,0.7,0.5,1.6,0.6,0.4,0.5,1.7,1,3.3,1.6,1.1,1.3,96.7,73.6,20.4,0.4,0.7,0.1,0.1,1.4,1.7,1.3,37898,39212,39060,37916,37340,39997,37478,36684,35937,34813,33137,32013,31849,32604,31389,31866,30432,27265,26297,Calhoun,1,15,4,3,South,Alabama,AL,21.4,21.4,20.9,23.5,19,17.6,17.1,17.6,16.9,16.9,16.4,15.8,16.3,15.1,16.3,16.1,16.2,9.6,9.3,7.9,7.3,7.6,9.2,9.7,10.1,5.1,3.5,3.6,4,5,5.4,5.7,5.6,5.2,5.1,4.5,5.6,6.2,8.3,7.1,8.5,8.4,7.3,7,7,7.3,7.8,9.6,9,9.1,18,17,16,18,17,17,18,17,17,16,15,17,16,18,19,19,18,21,21,11265,10266,7213,12626,54697,48812,37073,16800
1017,Chambers,1,17,4,3,South,Alabama,AL,603.11,603.11,6.58,5.94,596.53,597.17,597,306,365,93,102153,24.3,26.7,28.5,27.2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.97,12.83,11.04,13.2,1,0,0,3,6,5,745,98.9,99.4,58.8,60.9,63.9,64.5,38.7,38.1,35.9,35.5,0.2,0.1,0.1,0,0.5,0.2,0,0,0,0,0.6,0.1,0.1,0,1.1,0.6,1.6,0.8,0.3,0.5,98.4,58.1,38.6,0.2,0.5,0,0.1,1,0.8,0.3,33883,32320,33500,30061,30621,35614,33904,32014,31538,30573,30844,29993,29824,30505,29203,29260,28093,25571,24175,Chambers,1,17,4,3,South,Alabama,AL,22.5,21.5,23.7,28.5,20.7,18.7,15.6,18.3,16.2,17.2,16.3,16.1,16.3,15.4,16.6,16.8,16.8,11.6,10.5,6.7,7.3,9.3,11.4,13.7,18.2,13.2,5.8,5.2,5.1,8.6,7.2,7.9,6.5,4.7,4.7,4,4.7,5.1,7.8,7.6,9.4,7.5,9.7,7.3,5.9,5.4,5.9,8.6,8.9,6.8,NA,NA,NA,NA,NA,NA,2,2,3,4,5,5,6,6,6,4,3,3,3,2339,2101,1710,2804,15719,12848,10492,5905
