"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"13000","Georgia state total","5","CA5","10","...","Personal income",14943824,16272040,17970425,20160391,22772857,24985794,27002936,29996838,33159873,37625620,42114161,46930712,53090574,57498742,63100546,71482946,78389015,85539433,92052320,100335299,108165689,115537974,121117611,131312440,139467777,150306669,162222883,175284284,186659726,204709346,218195127,236062019
"13000","Georgia state total","5","CA5","20","...","Population (persons) 2/",4551000,4605421,4710272,4807151,4906940,4994870,5058535,5126155,5211771,5286148,5391265,5486174,5568346,5649788,5728248,5834943,5962639,6084645,6208479,6316139,6411117,6512602,6653005,6817203,6978240,7157165,7328413,7501069,7685099,7863536,8045965,8227303
"13000","Georgia state total","5","CA5","30","...","Per capita personal income (dollars)",3284,3533,3815,4194,4641,5002,5338,5852,6362,7118,7812,8554,9534,10177,11016,12251,13147,14058,14827,15886,16872,17741,18205,19262,19986,21001,22136,23368,24289,26033,27119,28693
"13000","Georgia state total","5","CA5","35","...","  Earnings by place of work",12921130,13752289,15081837,17000177,19291594,20732959,21679648,24476629,27333299,31177868,34858201,37836951,42206162,45166894,49595297,56815835,62656458,68872371,74584737,81322176,86049656,91538137,95231119,103849775,110312577,118431847,127320020,137553527,146996220,163073008,176783647,190378061
"13000","Georgia state total","5","CA5","36","...","  less: Contributions for government social insurance 3/",786208,836767,951796,1128030,1445429,1627734,1679651,1946065,2190434,2552145,2974315,3301653,3919002,4271825,4793019,5611385,6360875,7085215,7617309,8521387,9070310,9696380,10179091,10959588,11712219,12670249,13606615,14539015,15462818,16839394,18150928,19382425
"13000","Georgia state total","5","CA5","37","...","    Employee and self-employed contributions for government social insurance",404840,431719,488937,572973,737003,833487,856391,963059,1076514,1248198,1464292,1646161,1975230,2172413,2412848,2777067,3232343,3615049,3903839,4379539,4710090,5019455,5293953,5692562,6119163,6645423,7178758,7651548,8134968,8831067,9548188,10174884
"13000","Georgia state total","5","CA5","38","...","    Employer contributions for government social insurance",381368,405048,462859,555057,708426,794247,823260,983006,1113920,1303947,1510023,1655492,1943772,2099412,2380171,2834318,3128532,3470166,3713470,4141848,4360220,4676925,4885138,5267026,5593056,6024826,6427857,6887467,7327850,8008327,8602740,9207541
"13000","Georgia state total","5","CA5","42","...","  plus: Adjustment for residence 4/",-96402,-85785,-82102,-73692,-71014,-70384,-58171,-88808,-105291,-86578,-97742,-105476,-36222,-76889,-119585,-154681,-168228,-216532,-226212,-228312,-192159,-112889,-131756,-178474,-182084,-237477,-341260,-375716,-449194,-586903,-602115,-734871
"13000","Georgia state total","5","CA5","45","...","  equals: Net earnings by place of residence",12038520,12829737,14047939,15798455,17775151,19034841,19941826,22441756,25037574,28539145,31786144,34429822,38250938,40818180,44682693,51049769,56127355,61570624,66741216,72572477,76787187,81728868,84920272,92711713,98418274,105524121,113372145,122638796,131084208,145646711,158030604,170260765
"13000","Georgia state total","5","CA5","46","...","  plus: Dividends, interest, and rent 5/",1842546,2143006,2376268,2621433,2987259,3439559,3733973,3993478,4427996,5073058,5756992,7020017,8596612,9863685,11019989,12532455,13790030,14942787,15844075,17544678,20024354,21178440,21571583,22277511,23589320,25959969,28507205,30990549,33417724,36401344,36256044,39877582
