"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","10","...","Personal income",6637314,7268560,7839798,8874211,10009345,11316248,12744166,14505063,16660800,19440670,22382771,25785285,29461628,31204062,33689027,37882123,41254560,44530167,48371534,52909332,57024096,60406562,62336739,65989063,67364040,69573882,73479867,78951629,85643594,93141926,99150641,109061474
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","20","...","Population (persons) 2/",1376796,1432621,1484217,1536789,1607146,1669064,1725693,1772685,1812147,1853136,1891962,1948067,2004806,2045925,2088886,2123362,2171930,2228895,2281486,2333101,2383920,2418986,2452691,2497014,2532639,2566599,2603678,2643996,2709277,2773187,2815933,2854513
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","30","...","Per capita personal income (dollars)",4821,5074,5282,5775,6228,6780,7385,8183,9194,10491,11830,13236,14696,15252,16128,17841,18994,19979,21202,22678,23920,24972,25416,26427,26598,27107,28222,29861,31611,33587,35211,38207
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","35","...","  Earnings by place of work",4249236,4612024,4899868,5654699,6485735,7243494,8055317,9428446,11217440,13299828,15459447,17603769,20018062,21105360,22953071,26367939,29228256,32185656,35912987,40348230,42668209,45877221,47050769,50071789,50580598,52024931,54385971,57779083,62833464,69893514,76266819,83591659
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","36","...","  less: Contributions for government social insurance 3/",287093,305461,333137,407279,537096,617740,670068,797305,967692,1180331,1437599,1617982,2004899,2164860,2388916,2844707,3186647,3536453,3929085,4523232,4848590,5165780,5296035,5534049,5589696,5801097,5980464,6186820,6666406,7297195,7923271,8607729
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","37","...","    Employee and self-employed contributions for government social insurance",148832,158278,171077,203937,265960,307930,335547,386822,463982,553995,680361,759918,961062,1049110,1145498,1337597,1533577,1728294,1955668,2263802,2425270,2590340,2700574,2839500,2878915,2992929,3115887,3231125,3455312,3777766,4106106,4442778
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","38","...","    Employer contributions for government social insurance",138261,147183,162060,203342,271136,309810,334521,410483,503710,626336,757238,858064,1043837,1115750,1243418,1507110,1653070,1808159,1973417,2259430,2423320,2575440,2595461,2694549,2710781,2808168,2864577,2955695,3211094,3519429,3817165,4164951
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","42","...","  plus: Adjustment for residence 4/",1277965,1318364,1406032,1565370,1719617,1913438,2071057,2284147,2500733,2838767,3240439,3604966,3774070,3745482,3789306,3854978,3896293,3917549,3966769,3725555,3647085,3303897,3655087,3723837,4250665,4430761,4690642,5454791,6412945,5684712,5437049,6304971
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","45","...","  equals: Net earnings by place of residence",5240108,5624927,5972763,6812790,7668256,8539192,9456306,10915288,12750481,14958264,17262287,19590753,21787233,22685982,24353461,27378210,29937902,32566752,35950671,39550553,41466704,44015338,45409821,48261577,49241567,50654595,53096149,57047054,62580003,68281031,73780597,81288901
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","46","...","  plus: Dividends, interest, and rent 5/",1028588,1176385,1297787,1436788,1631231,1902405,2128488,2312769,2571848,3030853,3508572,4323727,5441418,5990021,6614750,7646113,8239425,8644409,8965367,9654371,11509437,11965392,11991278,12063079,12099027,12759825,13902813,15087879,16117345,17656651,17800029,19635752
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","47","...","  plus: Personal current transfer receipts",368618,467248,569248,624633,709858,874651,1159372,1277006,1338471,1451553,1611912,1870805,2232977,2528059,2720816,2857800,3077233,3319006,3455496,3704408,4047955,4425832,4935640,5664407,6023446,6159462,6480905,6816696,6946246,7204244,7570015,8136821
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","50","...","  Wages and salaries",3306161,3597500,3784471,4328619,4969653,5547529,6105562,7032102,8351160,9920787,11573968,13300592,15287303,16149541,17320135,19784287,21963410,24051194,26620512,29780040,32239479,34603985,34495139,35566541,35671243,36751381,38419664,40806987,44558916,49561685,53751454,58478939
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","60","...","  Supplements to wages and salaries",417339,462803,508134,618689,719016,818778,961691,1119455,1399789,1680976,1996035,2287997,2681040,2903446,3265953,3772020,4219329,4714610,5205061,5895827,6543964,7094583,7332225,8000012,8251146,8390052,8300187,8444685,8893096,9870965,10585833,11742398
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","61","...","    Employer contributions for employee pension and insurance funds 6/",279078,315620,346074,415347,447880,508968,627170,708972,896079,1054640,1238797,1429933,1637203,1787696,2022535,2264910,2566259,2906451,3231644,3636397,4120644,4519143,4736764,5305463,5540365,5581884,5435610,5488990,5682002,6351536,6768668,7577447
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","62","...","    Employer contributions for government social insurance",138261,147183,162060,203342,271136,309810,334521,410483,503710,626336,757238,858064,1043837,1115750,1243418,1507110,1653070,1808159,1973417,2259430,2423320,2575440,2595461,2694549,2710781,2808168,2864577,2955695,3211094,3519429,3817165,4164951
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5","70","...","  Proprietors' income 7/",525736,551721,607263,707391,797066,877187,988064,1276889,1466491,1698065,1889444,2015180,2049719,2052373,2366983,2811632,3045517,3419852,4087414,4672363,3884766,4178653,5223405,6505236,6658209,6883498,7666120,8527411,9381452,10460864,11929532,13370322
