"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"04000","Arizona state total","6","CA5N","10","...","Personal income",143546204,148881920,156749621,170829432,189357627,210103296,221596785,226573627,216064765,219195775,230920326,241192186,243656863,255092928
"04000","Arizona state total","6","CA5N","20","...","Population (persons) 2/",5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6411999,6472867,6556236,6634997,6731484
"04000","Arizona state total","6","CA5N","30","...","Per capita personal income (dollars)",27220,27590,28446,30222,32429,34848,35929,36077,34063,34185,35675,36788,36723,37895
"04000","Arizona state total","6","CA5N","35","...","Earnings by place of work",108006399,111394914,116106947,126180303,138299069,153494901,159928324,159805568,149743543,149712061,156700759,163693449,167827311,175367202
"04000","Arizona state total","6","CA5N","36","...","  less: Contributions for government social insurance 3/",11946096,12350254,12830700,13897568,15254256,16728805,17695906,17901056,17067080,17129150,15873181,16422955,19165527,20056303
"04000","Arizona state total","6","CA5N","37","...","    Employee and self-employed contributions for government social insurance",6151764,6363146,6642746,7219625,7987320,8785233,9233500,9326152,8998036,9145084,7577842,7821342,10292595,10821861
"04000","Arizona state total","6","CA5N","38","...","    Employer contributions for government social insurance",5794332,5987108,6187954,6677943,7266936,7943572,8462406,8574904,8069044,7984066,8295339,8601613,8872932,9234442
"04000","Arizona state total","6","CA5N","42","...","  plus: Adjustment for residence 4/",581224,587691,585636,623469,710172,814165,1059378,1293777,1230677,1250897,1243529,1334499,1281887,1365185
"04000","Arizona state total","6","CA5N","45","...","  equals: Net earnings by place of residence",96641527,99632351,103861883,112906204,123754985,137580261,143291796,143198289,133907140,133833808,142071107,148604993,149943671,156676084
"04000","Arizona state total","6","CA5N","46","...","  plus: Dividends, interest, and rent 5/",27589526,27755010,29409711,32221788,36865194,41097869,44187019,43619076,37735676,37045863,40526296,44516394,44511311,46309843
"04000","Arizona state total","6","CA5N","47","...","  plus: Personal current transfer receipts",19315151,21494559,23478027,25701440,28737448,31425166,34117970,39756262,44421949,48316104,48322923,48070799,49201881,52107001
"04000","Arizona state total","6","CA5N","50","...","  Wages and salaries",79484246,81188497,85029446,92180211,101142343,111494574,117280222,117203207,109729610,109289454,113662613,119041447,122598232,127815214
"04000","Arizona state total","6","CA5N","60","...","  Supplements to wages and salaries",15919889,16727040,17509667,18782874,20551022,23074221,25302707,26730794,25570256,25521845,26408132,26755209,27695993,28869305
"04000","Arizona state total","6","CA5N","61","...","    Employer contributions for employee pension and insurance funds 6/",10125557,10739932,11321713,12104931,13284086,15130649,16840301,18155890,17501212,17537779,18112793,18153596,18823061,19634863
"04000","Arizona state total","6","CA5N","62","...","    Employer contributions for government social insurance",5794332,5987108,6187954,6677943,7266936,7943572,8462406,8574904,8069044,7984066,8295339,8601613,8872932,9234442
"04000","Arizona state total","6","CA5N","70","...","  Proprietors' income 7/",12602264,13479377,13567834,15217218,16605704,18926106,17345395,15871567,14443677,14900762,16630014,17896793,17533086,18682683
"04000","Arizona state total","6","CA5N","71","...","    Farm proprietors' income",373110,342035,354056,624904,553598,287640,352645,186231,-102865,85040,542793,318597,675644,559200
"04000","Arizona state total","6","CA5N","72","...","    Nonfarm proprietors' income",12229154,13137342,13213778,14592314,16052106,18638466,16992750,15685336,14546542,14815722,16087221,17578196,16857442,18123483
"04000","Arizona state total","6","CA5N","81","111-112","  Farm earnings",747273,764153,727376,1023936,994693,709433,837247,660325,415586,537775,986598,838149,1265407,1155792
"04000","Arizona state total","6","CA5N","82","...","  Nonfarm earnings",107259126,110630761,115379571,125156367,137304376,152785468,159091077,159145243,149327957,149174286,155714161,162855300,166561904,174211410
"04000","Arizona state total","6","CA5N","90","113-814","    Private nonfarm earnings",89483920,91485076,94871169,103441165,114002138,127745542,132133651,130656320,120780615,120494822,126786441,133542909,136981831,144136974
"04000","Arizona state total","6","CA5N","100","113-115","      Forestry, fishing, and related activities",378478,377407,369662,405671,399051,461631,457453,408317,413290,437051,440489,454547,452846,503882
"04000","Arizona state total","6","CA5N","101","113","        Forestry and logging","(D)","(D)","(D)",27987,"(D)","(D)","(D)","(D)",15565,"(D)",14712,"(D)",14192,"(D)"
"04000","Arizona state total","6","CA5N","102","114","        Fishing, hunting and trapping","(D)","(D)","(D)",3070,"(D)","(D)","(D)","(D)",3308,"(D)",4175,"(D)",4524,"(D)"
"04000","Arizona state total","6","CA5N","103","115","        Support activities for agriculture and forestry",331690,337076,334207,374614,369797,432030,432182,386261,394417,413275,421602,434061,434130,481315
"04000","Arizona state total","6","CA5N","200","21","      Mining, quarrying, and oil and gas extraction",625017,566051,539959,602636,677482,854763,991202,1326946,967718,996532,1223284,1384690,1417060,1412101
"04000","Arizona state total","6","CA5N","201","211","        Oil and gas extraction",27359,27699,"(D)","(D)",69780,84895,61565,132036,"(D)",59619,95037,108895,108788,116061
"04000","Arizona state total","6","CA5N","202","212","        Mining (except oil and gas)",588514,524473,490435,542141,590646,737929,899563,1126417,871054,877693,1051335,1196608,1235027,1213079
"04000","Arizona state total","6","CA5N","203","213","        Support activities for mining",9144,13879,"(D)","(D)",17056,31939,30074,68493,"(D)",59220,76912,79187,73245,82961
"04000","Arizona state total","6","CA5N","300","22","      Utilities",970736,1025268,1012501,1042553,1150823,1325521,1455783,1566139,1552827,1524831,1581577,1542179,1572265,1658782
"04000","Arizona state total","6","CA5N","400","23","      Construction",9786471,9997294,10470174,11757853,13912787,16395985,15562946,13110247,9501698,8404395,8295293,8943763,9602367,10062829
"04000","Arizona state total","6","CA5N","401","236","        Construction of buildings",2761937,2842260,3015432,3377994,3971791,4778305,4258717,3449019,2600023,2370700,2223525,2236064,2423450,2530417
"04000","Arizona state total","6","CA5N","402","237","        Heavy and civil engineering construction",1327389,1544506,1489704,1583220,1931907,2152065,2062183,1902679,1234399,1035773,1028857,1076846,1197598,1219950
"04000","Arizona state total","6","CA5N","403","238","        Specialty trade contractors",5697145,5610528,5965038,6796639,8009089,9465615,9242046,7758549,5667276,4997922,5042911,5630853,5981319,6312462
"04000","Arizona state total","6","CA5N","500","31-33","      Manufacturing",12124587,11452084,11356362,12021366,12365657,13432145,13674920,13699896,12357432,12403418,13032386,13570855,13613799,14095554
"04000","Arizona state total","6","CA5N","510","321,327-339","        Durable goods manufacturing",10446808,9856054,9675802,10245114,10551621,11501867,11754107,11775992,10615796,10687214,11202527,11662258,11675452,12022835
"04000","Arizona state total","6","CA5N","511","321","          Wood product manufacturing",268308,252820,273197,330247,401641,416457,335632,261671,165175,152197,147136,160744,191753,218080
"04000","Arizona state total","6","CA5N","512","327","          Nonmetallic mineral product manufacturing",400450,395700,406326,449255,545207,611995,614105,528565,359972,316223,302219,317960,349147,431402
"04000","Arizona state total","6","CA5N","513","331","          Primary metal manufacturing",266557,229190,219880,225510,247201,281976,287158,322611,243651,255163,261070,304169,306193,336475
"04000","Arizona state total","6","CA5N","514","332","          Fabricated metal product manufacturing",902523,834473,828640,905128,976009,1083620,1190477,1198937,974211,950419,1028652,1087557,1125150,1201978
"04000","Arizona state total","6","CA5N","515","333","          Machinery manufacturing",453930,449999,447573,467121,454452,487869,526467,555370,541885,501632,452283,465387,483195,531197
"04000","Arizona state total","6","CA5N","516","334","          Computer and electronic product manufacturing",4623805,4241000,4007549,4174303,4096669,4558321,4425586,4418946,4010361,4285524,4620275,4707246,4544095,4581022
"04000","Arizona state total","6","CA5N","517","335","          Electrical equipment, appliance, and component manufacturing",147653,126227,121536,118610,131114,155789,187185,197325,202596,192572,196877,191040,181992,187912
"04000","Arizona state total","6","CA5N","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",274617,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",173944,"(D)",210526,224981
"04000","Arizona state total","6","CA5N","519","3364-3369","          Other transportation equipment manufacturing",2368488,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",3121106,"(D)",3261614,3201707
"04000","Arizona state total","6","CA5N","521","337","          Furniture and related product manufacturing",289060,288850,303161,342533,360470,392399,394645,347880,237541,208831,211233,225542,244933,265240
"04000","Arizona state total","6","CA5N","522","339","          Miscellaneous manufacturing",451417,463323,495928,491648,549061,604292,624397,653444,598708,588269,687732,724044,776854,842841
"04000","Arizona state total","6","CA5N","530","311-316,322-326","        Nondurable goods manufacturing",1677779,1596030,1680560,1776252,1814036,1930278,1920813,1923904,1741636,1716204,1829859,1908597,1938347,2072719
"04000","Arizona state total","6","CA5N","531","311","          Food manufacturing",300000,330901,377808,388121,400799,411923,381018,406133,417046,412754,428487,443768,479901,530721
"04000","Arizona state total","6","CA5N","532","312","          Beverage and tobacco product manufacturing",164064,157939,174070,175224,177975,199649,217352,218727,210725,215630,211156,213788,219665,229480
"04000","Arizona state total","6","CA5N","533","313","          Textile mills",31565,29330,30629,33257,12187,13383,23582,24810,24463,23923,23422,24759,26438,27297
"04000","Arizona state total","6","CA5N","534","314","          Textile product mills",36051,31741,39641,46122,54784,63100,81493,56625,44451,25407,27921,29944,30046,31872
"04000","Arizona state total","6","CA5N","535","315","          Apparel manufacturing",18827,18819,16307,14911,12391,13109,12574,12807,8520,8087,6190,6725,8576,10633
"04000","Arizona state total","6","CA5N","536","316","          Leather and allied product manufacturing",11333,20597,21329,13221,11631,10723,12310,13835,14503,18016,17115,17307,18891,12352
"04000","Arizona state total","6","CA5N","537","322","          Paper manufacturing",134808,137036,147233,170117,175206,166636,175977,169085,169935,156174,170528,155379,145858,153546
"04000","Arizona state total","6","CA5N","538","323","          Printing and related support activities",341806,313685,287661,299421,311555,337209,339776,333033,277947,267288,270100,294701,325460,342197
"04000","Arizona state total","6","CA5N","539","324","          Petroleum and coal products manufacturing",43938,21860,28797,46839,41409,36194,39456,62522,42177,48092,91902,110496,67899,73937
"04000","Arizona state total","6","CA5N","541","325","          Chemical manufacturing",307014,276329,282872,358780,390503,445889,430551,404577,332691,325590,367036,382900,383327,427848
"04000","Arizona state total","6","CA5N","542","326","          Plastics and rubber products manufacturing",288373,257793,274213,230239,225596,232463,206724,221750,199178,215243,216002,228830,232286,232836
"04000","Arizona state total","6","CA5N","600","42","      Wholesale trade",5802347,5799131,5837300,6436540,6990167,7718890,8624381,8566548,7952813,7861098,8188350,8758218,8540660,8687046
"04000","Arizona state total","6","CA5N","700","44-45","      Retail trade",8852113,9238528,9835757,10565203,11678494,12816987,13128380,12327789,11542983,11649145,12316131,12504874,12491888,13369873
"04000","Arizona state total","6","CA5N","701","441","        Motor vehicle and parts dealers",2160677,2265660,2384052,2507577,2746589,2981608,2965391,2466715,1972726,2044690,2214571,2407864,2577206,2728895
"04000","Arizona state total","6","CA5N","702","442","        Furniture and home furnishings stores",437360,445477,487435,556854,651983,730672,686410,555823,416177,392087,389483,423185,458910,490581
"04000","Arizona state total","6","CA5N","703","443","        Electronics and appliance stores",402986,366205,406624,423238,461932,549105,575174,622651,617617,702742,1067059,776048,549345,570011
"04000","Arizona state total","6","CA5N","704","444","        Building material and garden equipment and supplies dealers",626245,654925,713744,784918,920174,1085618,1059999,954655,821269,800731,808625,808600,830869,901079
"04000","Arizona state total","6","CA5N","705","445","        Food and beverage stores",1464744,1562872,1612532,1683979,1743249,1868722,1949039,1928254,1970844,1987190,1939998,1931655,1910401,2010452
"04000","Arizona state total","6","CA5N","706","446","        Health and personal care stores",484124,519113,583820,636446,697824,775397,791953,841206,841038,858453,850942,872638,916759,973172
"04000","Arizona state total","6","CA5N","707","447","        Gasoline stations",504519,506112,529924,547204,619499,684395,717473,663046,681970,684490,664888,724848,706180,748000
"04000","Arizona state total","6","CA5N","708","448","        Clothing and clothing accessories stores",394076,419883,438850,471274,502253,556302,585146,541406,505965,513565,503778,533975,567424,578100
"04000","Arizona state total","6","CA5N","709","451","        Sporting goods, hobby, musical instrument, and book stores",260722,266488,259787,271659,320984,322858,336552,325067,308138,295894,294746,295739,310658,322795
"04000","Arizona state total","6","CA5N","711","452","        General merchandise stores",1040589,1131083,1218157,1328963,1465413,1587606,1707500,1788414,1753627,1703142,1767754,1755259,1792065,1850949
"04000","Arizona state total","6","CA5N","712","453","        Miscellaneous store retailers",724119,752059,811772,886381,897247,944725,921163,809625,800389,811775,894988,958416,1005948,1064294
"04000","Arizona state total","6","CA5N","713","454","        Nonstore retailers",351952,348651,389060,466710,651347,729979,832580,830927,853223,854386,919299,1016647,866123,1131545
"04000","Arizona state total","6","CA5N","800","48-49","      Transportation and warehousing",3410545,3504457,3655447,4013891,4291039,4797771,5055292,4837443,4575730,4563008,4948388,5193321,5292565,5477916
"04000","Arizona state total","6","CA5N","801","481","        Air transportation",909132,918059,961944,1064550,1096322,1273067,1346955,1225071,1147083,1217714,1285355,1266310,1222764,1223718
"04000","Arizona state total","6","CA5N","802","482","        Rail transportation",225600,220710,231538,258047,"(D)",286704,"(D)","(D)","(D)","(D)",290277,325450,"(D)","(D)"
"04000","Arizona state total","6","CA5N","803","483","        Water transportation","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"04000","Arizona state total","6","CA5N","804","484","        Truck transportation",1051541,1115166,1139772,1242379,1378870,1541736,1580516,1399022,1248429,1241138,1376176,1500241,1546561,1602476
"04000","Arizona state total","6","CA5N","805","485","        Transit and ground passenger transportation",209822,221092,231682,251596,289101,343904,350218,377681,407074,403501,427109,432309,438629,463112
"04000","Arizona state total","6","CA5N","806","486","        Pipeline transportation",24699,23219,22386,24043,23313,23464,25260,27731,27227,28807,30251,35413,32342,33603
"04000","Arizona state total","6","CA5N","807","487","        Scenic and sightseeing transportation",21737,18268,19711,20090,23346,26497,23548,25095,23825,21529,25959,26370,28555,30190
"04000","Arizona state total","6","CA5N","808","488","        Support activities for transportation",364319,342914,346588,390952,436067,491009,570015,584780,577981,554519,636689,685869,755547,819929
"04000","Arizona state total","6","CA5N","809","492","        Couriers and messengers","(D)","(D)","(D)","(D)",421445,"(D)",475837,488352,471045,"(D)","(D)","(D)",487300,500175
"04000","Arizona state total","6","CA5N","811","493","        Warehousing and storage",259027,290657,324247,347749,345935,355793,377215,404668,402456,378679,416631,451877,463997,472343
"04000","Arizona state total","6","CA5N","900","51","      Information",3013811,3021977,2974938,2975891,2900864,3063223,3067970,3120325,3047084,2825917,2926787,3116565,3465480,3819863
"04000","Arizona state total","6","CA5N","901","511","        Publishing industries (except Internet)",750659,745842,757975,765065,783123,827129,838338,760377,665502,604649,656374,672776,653098,688693
"04000","Arizona state total","6","CA5N","902","512","        Motion picture and sound recording industries",92238,98051,102666,95502,88947,95043,113212,118125,145875,114430,122807,150489,156296,162583
"04000","Arizona state total","6","CA5N","903","515","        Broadcasting (except Internet)",362039,409673,368136,346045,344078,373551,432546,492159,459374,420956,413892,421736,448373,473514
"04000","Arizona state total","6","CA5N","904","516","        Internet publishing and broadcasting 8/",19625,26088,32961,45838,66657,82679,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"04000","Arizona state total","6","CA5N","905","517","        Telecommunications",1239261,1203463,1197695,1197366,1093671,1109095,1222226,1231937,1297245,1188801,1216157,1217578,1237028,1372946
"04000","Arizona state total","6","CA5N","906","518","        Data processing, hosting, and related services",526705,510461,483148,490059,475515,521507,347368,392868,374298,391506,403743,509826,820298,950558
"04000","Arizona state total","6","CA5N","907","519","        Other information services 8/",23284,28399,32357,36016,48873,54219,114280,124859,104790,105575,113814,144160,150387,171569
"04000","Arizona state total","6","CA5N","1000","52","      Finance and insurance",7128378,7329017,7827437,8283193,9477950,10282521,10409468,9801188,9453310,9884023,10426744,11230845,12311052,13326833
"04000","Arizona state total","6","CA5N","1001","521","        Monetary Authorities-central bank","(D)","(D)","(D)","(D)",7071,9209,7730,10646,14762,14247,"(D)","(D)","(D)","(D)"
"04000","Arizona state total","6","CA5N","1002","522","        Credit intermediation and related activities",3476410,3701243,4128873,4389986,5272642,5763073,5789224,5216744,4879110,4948482,5125629,5705608,6075859,5990649
"04000","Arizona state total","6","CA5N","1003","523","        Securities, commodity contracts, and other financial investments and related activities",1174778,1113776,1066237,1097529,1116970,1364820,1375635,1190854,1536102,1661606,1781710,1810512,2062995,2366681
"04000","Arizona state total","6","CA5N","1004","524","        Insurance carriers and related activities",2180854,2337127,2488597,2644922,2922938,3034342,3076363,3148053,2945994,2971905,3074681,3246243,3588509,4093555
"04000","Arizona state total","6","CA5N","1005","525","        Funds, trusts, and other financial vehicles","(D)","(D)","(D)","(D)",158329,111077,160516,234891,77342,287783,"(D)","(D)","(D)","(D)"
"04000","Arizona state total","6","CA5N","1100","53","      Real estate and rental and leasing",3229756,3184941,3225670,3754621,4388068,4683954,3858585,3922054,3100084,3239757,4111488,4741526,3797928,4059589
"04000","Arizona state total","6","CA5N","1101","531","        Real estate",2419658,2343446,2384006,2856892,3420538,3520959,2580644,2421206,1804020,2035254,2884656,3413462,2555506,2717706
