"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"09000","Connecticut state total","1","CA5N","10","...","Personal income",149999467,150125332,153962826,164683761,173529316,187702491,200076558,204849956,197696873,205264566,215017218,225503447,223560773,233293455
"09000","Connecticut state total","1","CA5N","20","...","Population (persons) 2/",3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3579345,3590537,3594362,3599341,3596677
"09000","Connecticut state total","1","CA5N","30","...","Per capita personal income (dollars)",43696,43405,44187,47105,49481,53363,56723,57776,55505,57347,59884,62738,62112,64864
"09000","Connecticut state total","1","CA5N","35","...","Earnings by place of work",112206534,112769090,115208464,122179602,127027399,133235283,139141972,140232358,136319099,139197136,144159058,148023319,150685711,156510877
"09000","Connecticut state total","1","CA5N","36","...","  less: Contributions for government social insurance 3/",11047428,11520436,11764545,12358328,12782299,13236811,13838601,14289494,13927476,13996990,12968690,13305968,15571397,16140537
"09000","Connecticut state total","1","CA5N","37","...","    Employee and self-employed contributions for government social insurance",5741677,5874435,5997082,6308812,6601577,6963407,7296183,7534646,7305130,7356564,6013172,6122861,8253378,8651079
"09000","Connecticut state total","1","CA5N","38","...","    Employer contributions for government social insurance",5305751,5646001,5767463,6049516,6180722,6273404,6542418,6754848,6622346,6640426,6955518,7183107,7318019,7489458
"09000","Connecticut state total","1","CA5N","42","...","  plus: Adjustment for residence 4/",4788855,4916428,5430403,6115804,6751949,7719988,8898326,9737699,9198888,11261423,11709612,13520182,12299593,14188559
"09000","Connecticut state total","1","CA5N","45","...","  equals: Net earnings by place of residence",105947961,106165082,108874322,115937078,120997049,127718460,134201697,135680563,131590511,136461569,142899980,148237533,147413907,154558899
"09000","Connecticut state total","1","CA5N","46","...","  plus: Dividends, interest, and rent 5/",28210704,26958163,27765808,30374726,33585420,39751330,44419126,44601821,38866959,39756713,42961770,47736901,46325757,48207918
"09000","Connecticut state total","1","CA5N","47","...","  plus: Personal current transfer receipts",15840802,17002087,17322696,18371957,18946847,20232701,21455735,24567572,27239403,29046284,29155468,29529013,29821109,30526638
"09000","Connecticut state total","1","CA5N","50","...","  Wages and salaries",80744831,79836332,81440706,85981990,89732775,94442932,100659186,101501573,96206697,97848445,101598704,104278374,105442854,109035644
"09000","Connecticut state total","1","CA5N","60","...","  Supplements to wages and salaries",16750261,17204224,18422471,20209891,21031495,20980629,22040661,22848690,22504357,23014726,23590769,23637437,24270680,25161806
"09000","Connecticut state total","1","CA5N","61","...","    Employer contributions for employee pension and insurance funds 6/",11444510,11558223,12655008,14160375,14850773,14707225,15498243,16093842,15882011,16374300,16635251,16454330,16952661,17672348
"09000","Connecticut state total","1","CA5N","62","...","    Employer contributions for government social insurance",5305751,5646001,5767463,6049516,6180722,6273404,6542418,6754848,6622346,6640426,6955518,7183107,7318019,7489458
"09000","Connecticut state total","1","CA5N","70","...","  Proprietors' income 7/",14711442,15728534,15345287,15987721,16263129,17811722,16442125,15882095,17608045,18333965,18969585,20107508,20972177,22313427
"09000","Connecticut state total","1","CA5N","71","...","    Farm proprietors' income",59405,13243,31872,46409,68052,37418,54573,753,-3767,2387,4641,-2111,48047,-1821
"09000","Connecticut state total","1","CA5N","72","...","    Nonfarm proprietors' income",14652037,15715291,15313415,15941312,16195077,17774304,16387552,15881342,17611812,18331578,18964944,20109619,20924130,22315248
"09000","Connecticut state total","1","CA5N","81","111-112","  Farm earnings",199998,189071,189325,199067,190433,173427,214421,153342,141314,139725,124468,172250,227885,199323
"09000","Connecticut state total","1","CA5N","82","...","  Nonfarm earnings",112006536,112580019,115019139,121980535,126836966,133061856,138927551,140079016,136177785,139057411,144034590,147851069,150457826,156311554
"09000","Connecticut state total","1","CA5N","90","113-814","    Private nonfarm earnings",97483108,97316751,99154510,105243205,109341245,115341421,120220906,120462110,116395486,119034624,123559632,127590885,129853215,135210936
"09000","Connecticut state total","1","CA5N","100","113-115","      Forestry, fishing, and related activities",70177,64738,57591,54054,49968,53677,49481,45978,44246,53805,46786,57173,57618,62983
"09000","Connecticut state total","1","CA5N","101","113","        Forestry and logging",19555,21050,18322,15645,13769,13331,10983,9933,9214,13230,11451,15190,"(D)",18289
"09000","Connecticut state total","1","CA5N","102","114","        Fishing, hunting and trapping",14161,12684,10947,10138,9117,9649,8754,7228,7230,8751,8504,9891,"(D)",9599
"09000","Connecticut state total","1","CA5N","103","115","        Support activities for agriculture and forestry",36461,31004,28322,28271,27082,30697,29744,28817,27802,31824,26831,32092,31234,35095
"09000","Connecticut state total","1","CA5N","200","21","      Mining, quarrying, and oil and gas extraction",83631,88638,100805,120532,155472,183356,139003,251939,122407,150856,164361,155549,133611,144625
"09000","Connecticut state total","1","CA5N","201","211","        Oil and gas extraction",23779,25530,41611,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",111822,103452,79419,85568
"09000","Connecticut state total","1","CA5N","202","212","        Mining (except oil and gas)","(D)",61560,58091,66467,72874,80179,64263,62529,51936,46468,45750,45459,46272,50118
"09000","Connecticut state total","1","CA5N","203","213","        Support activities for mining","(D)",1548,1103,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",6789,6638,7920,8939
"09000","Connecticut state total","1","CA5N","300","22","      Utilities",1004978,928948,979354,1187786,1067745,1000296,1042571,1187971,1107673,1053224,1161744,1038610,1153851,1222345
