"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"11000","District of Columbia state total","2","CA5N","10","...","Personal income",25906291,26434762,27191410,28924508,30569552,32945204,35099889,38423229,37205409,38576885,41791169,43800684,44532637,46015860
"11000","District of Columbia state total","2","CA5N","20","...","Population (persons) 2/",574504,573158,568502,567754,567136,570681,574404,580236,592228,605210,620427,635040,649111,658893
"11000","District of Columbia state total","2","CA5N","30","...","Per capita personal income (dollars)",45093,46121,47830,50945,53902,57730,61107,66220,62823,63741,67359,68973,68606,69838
"11000","District of Columbia state total","2","CA5N","35","...","Earnings by place of work",50021658,52864311,55596040,59509381,62693457,66348857,69727058,74346192,74915411,78632326,82109876,83504812,84646103,88173474
"11000","District of Columbia state total","2","CA5N","36","...","  less: Contributions for government social insurance 3/",4922142,5229638,5446058,5815123,6150247,6514951,6869528,7398502,7623028,8084447,7416166,7666449,8889052,9276593
"11000","District of Columbia state total","2","CA5N","37","...","    Employee and self-employed contributions for government social insurance",2343655,2489968,2603631,2783908,2954755,3152521,3341714,3595116,3681789,3886720,3034756,3150385,4278035,4471562
"11000","District of Columbia state total","2","CA5N","38","...","    Employer contributions for government social insurance",2578487,2739670,2842427,3031215,3195492,3362430,3527814,3803386,3941239,4197727,4381410,4516064,4611017,4805031
"11000","District of Columbia state total","2","CA5N","42","...","  plus: Adjustment for residence 4/",-26898068,-29024022,-30977106,-33187473,-35222480,-37095348,-38723517,-40345472,-41207128,-43659449,-45947050,-45798615,-45396181,-47400771
"11000","District of Columbia state total","2","CA5N","45","...","  equals: Net earnings by place of residence",18201448,18610651,19172876,20506785,21320730,22738558,24134013,26602218,26085255,26888430,28746660,30039748,30360870,31496110
"11000","District of Columbia state total","2","CA5N","46","...","  plus: Dividends, interest, and rent 5/",4790081,4617636,4757179,5123234,5665189,6557292,7065190,7518262,6344654,6233053,7249228,8051397,8190992,8543665
"11000","District of Columbia state total","2","CA5N","47","...","  plus: Personal current transfer receipts",2914762,3206475,3261355,3294489,3583633,3649354,3900686,4302749,4775500,5455402,5795281,5709539,5980775,5976085
"11000","District of Columbia state total","2","CA5N","50","...","  Wages and salaries",37606349,39588333,41336514,44190006,46632925,49269386,51993585,54335454,55127553,57925900,59872323,61194223,62220631,64668314
"11000","District of Columbia state total","2","CA5N","60","...","  Supplements to wages and salaries",8838219,9460715,10241935,10940540,11646933,12370908,12831292,13615396,14144738,15447144,16569203,16420124,16575376,17428088
"11000","District of Columbia state total","2","CA5N","61","...","    Employer contributions for employee pension and insurance funds 6/",6259732,6721045,7399508,7909325,8451441,9008478,9303478,9812010,10203499,11249417,12187793,11904060,11964359,12623057
"11000","District of Columbia state total","2","CA5N","62","...","    Employer contributions for government social insurance",2578487,2739670,2842427,3031215,3195492,3362430,3527814,3803386,3941239,4197727,4381410,4516064,4611017,4805031
"11000","District of Columbia state total","2","CA5N","70","...","  Proprietors' income 7/",3577090,3815263,4017591,4378835,4413599,4708563,4902181,6395342,5643120,5259282,5668350,5890465,5850096,6077072
"11000","District of Columbia state total","2","CA5N","71","...","    Farm proprietors' income",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11000","District of Columbia state total","2","CA5N","72","...","    Nonfarm proprietors' income",3577090,3815263,4017591,4378835,4413599,4708563,4902181,6395342,5643120,5259282,5668350,5890465,5850096,6077072
"11000","District of Columbia state total","2","CA5N","81","111-112","  Farm earnings",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11000","District of Columbia state total","2","CA5N","82","...","  Nonfarm earnings",50021658,52864311,55596040,59509381,62693457,66348857,69727058,74346192,74915411,78632326,82109876,83504812,84646103,88173474
"11000","District of Columbia state total","2","CA5N","90","113-814","    Private nonfarm earnings",30751623,31923745,33364261,35876014,37592108,39895897,42568581,45602519,44205442,45114020,47820679,49383308,50634590,53356283
"11000","District of Columbia state total","2","CA5N","100","113-115","      Forestry, fishing, and related activities","(D)","(D)",623,893,301,-641,-1431,-464,"(L)",232,275,398,410,444
"11000","District of Columbia state total","2","CA5N","101","113","        Forestry and logging","(D)","(D)",80,92,94,97,73,56,50,80,75,88,82,88
"11000","District of Columbia state total","2","CA5N","102","114","        Fishing, hunting and trapping",51,"(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)",56,59
"11000","District of Columbia state total","2","CA5N","103","115","        Support activities for agriculture and forestry",102,203,528,786,195,-754,-1517,-533,"(L)",134,186,282,272,297
"11000","District of Columbia state total","2","CA5N","200","21","      Mining, quarrying, and oil and gas extraction","(D)","(D)",10613,7179,"(D)",3303,3315,6745,2168,4411,9324,12784,17261,18596
"11000","District of Columbia state total","2","CA5N","201","211","        Oil and gas extraction",10349,10106,"(D)","(D)","(D)",3288,3305,6732,2157,4397,9293,12758,17247,18581
"11000","District of Columbia state total","2","CA5N","202","212","        Mining (except oil and gas)",1479,"(D)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)"
"11000","District of Columbia state total","2","CA5N","203","213","        Support activities for mining","(D)","(D)","(D)","(D)","(D)","(L)","(L)","(L)",0,"(L)","(L)","(L)","(L)","(L)"
"11000","District of Columbia state total","2","CA5N","300","22","      Utilities","(D)","(D)",250523,262538,276989,295705,299527,316066,320387,230351,253583,233754,258929,268482
"11000","District of Columbia state total","2","CA5N","400","23","      Construction",672384,751597,820157,829408,"(D)",910289,951540,988842,937484,961439,1106190,1253539,1298565,1378849
"11000","District of Columbia state total","2","CA5N","401","236","        Construction of buildings",259260,298676,327411,331569,351916,369659,383252,375975,373480,420941,446162,506291,525143,537255
"11000","District of Columbia state total","2","CA5N","402","237","        Heavy and civil engineering construction",141923,163683,170666,154865,"(D)",169837,159222,161401,163767,183276,205774,216570,215689,244398
"11000","District of Columbia state total","2","CA5N","403","238","        Specialty trade contractors",271201,289238,322080,342974,354693,370793,409066,451466,400237,357222,454254,530678,557733,597196
"11000","District of Columbia state total","2","CA5N","500","31-33","      Manufacturing",292855,"(D)",240576,256386,225938,197836,178071,179313,152623,138821,145304,139604,147901,134230
"11000","District of Columbia state total","2","CA5N","510","321,327-339","        Durable goods manufacturing",143159,"(D)",125856,137826,111003,95911,71693,78330,59910,48794,51285,54679,58233,54466
"11000","District of Columbia state total","2","CA5N","511","321","          Wood product manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"11000","District of Columbia state total","2","CA5N","512","327","          Nonmetallic mineral product manufacturing",27304,34370,32732,34917,33140,"(D)",22538,27860,14039,6274,12112,17263,19384,20593
"11000","District of Columbia state total","2","CA5N","513","331","          Primary metal manufacturing",3572,2400,2658,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"11000","District of Columbia state total","2","CA5N","514","332","          Fabricated metal product manufacturing",1876,7179,7113,7475,5769,6748,"(D)","(D)","(D)",8740,7231,7959,6302,4350
"11000","District of Columbia state total","2","CA5N","515","333","          Machinery manufacturing",7053,6034,4246,3654,2940,2783,2410,1114,1120,439,540,"(D)","(D)","(D)"
"11000","District of Columbia state total","2","CA5N","516","334","          Computer and electronic product manufacturing","(D)",58109,50986,55303,44025,24805,18302,20268,18200,17884,12958,10924,10126,8324
"11000","District of Columbia state total","2","CA5N","517","335","          Electrical equipment, appliance, and component manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"11000","District of Columbia state total","2","CA5N","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing","(D)","(D)","(D)","(D)","(D)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)"
"11000","District of Columbia state total","2","CA5N","519","3364-3369","          Other transportation equipment manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(L)","(L)","(L)","(L)","(L)","(L)"
"11000","District of Columbia state total","2","CA5N","521","337","          Furniture and related product manufacturing",8238,7722,8064,8407,8748,8794,9417,"(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"11000","District of Columbia state total","2","CA5N","522","339","          Miscellaneous manufacturing",10095,9568,9613,10190,5036,5064,4133,"(D)","(D)","(D)","(D)",4413,"(D)","(D)"
"11000","District of Columbia state total","2","CA5N","530","311-316,322-326","        Nondurable goods manufacturing",149696,"(D)",114720,118560,114935,101925,106378,100983,92713,90027,94019,84925,89668,79764
"11000","District of Columbia state total","2","CA5N","531","311","          Food manufacturing",18521,18963,19662,19828,18731,11308,11561,9842,8283,7352,2705,3445,3180,5350
"11000","District of Columbia state total","2","CA5N","532","312","          Beverage and tobacco product manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"11000","District of Columbia state total","2","CA5N","533","313","          Textile mills",793,"(D)","(D)","(D)","(D)","(D)",956,1309,985,798,"(D)","(D)",484,589
