"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19000","Iowa state total","4","CA5N","10","...","Personal income",83172448,85383612,87371221,94954796,97439530,103126031,110414500,118676067,115623160,118006132,128904966,133675217,135242204,139624515
"19000","Iowa state total","4","CA5N","20","...","Population (persons) 2/",2931997,2934234,2941999,2953635,2964454,2982644,2999212,3016734,3032870,3050295,3064904,3075935,3092341,3107126
"19000","Iowa state total","4","CA5N","30","...","Per capita personal income (dollars)",28367,29099,29698,32148,32869,34575,36815,39339,38123,38687,42058,43458,43735,44937
"19000","Iowa state total","4","CA5N","35","...","Earnings by place of work",61009980,62532871,65221826,71881422,74130511,77260194,81692379,87110257,83948857,85610885,92944735,95971624,98805731,101881737
"19000","Iowa state total","4","CA5N","36","...","  less: Contributions for government social insurance 3/",6966785,7122892,7446998,7836622,8246997,8686729,9118696,9540277,9422244,9720286,9110908,9391960,10759195,11162205
"19000","Iowa state total","4","CA5N","37","...","    Employee and self-employed contributions for government social insurance",3625573,3727061,3871708,4104501,4350466,4594756,4844804,5068623,5026777,5098631,4207525,4373219,5661883,5970070
"19000","Iowa state total","4","CA5N","38","...","    Employer contributions for government social insurance",3341212,3395831,3575290,3732121,3896531,4091973,4273892,4471654,4395467,4621655,4903383,5018741,5097312,5192135
"19000","Iowa state total","4","CA5N","42","...","  plus: Adjustment for residence 4/",924974,795988,730436,1066820,1067053,1177056,1279290,1146343,1157577,1164931,1282507,1200039,1195966,1012849
"19000","Iowa state total","4","CA5N","45","...","  equals: Net earnings by place of residence",54968169,56205967,58505264,65111620,66950567,69750521,73852973,78716323,75684190,77055530,85116334,87779703,89242502,91732381
"19000","Iowa state total","4","CA5N","46","...","  plus: Dividends, interest, and rent 5/",16458599,16250756,15988688,16501465,16240655,17656235,19845675,20897485,19553327,19242590,21715276,23881334,23720234,24637961
"19000","Iowa state total","4","CA5N","47","...","  plus: Personal current transfer receipts",11745680,12926889,12877269,13341711,14248308,15719275,16715852,19062259,20385643,21708012,22073356,22014180,22279468,23254173
"19000","Iowa state total","4","CA5N","50","...","  Wages and salaries",42987825,43747887,45217567,47894120,50009201,52642497,55506496,57456064,56106972,57257622,59438594,62195718,64004001,67195823
"19000","Iowa state total","4","CA5N","60","...","  Supplements to wages and salaries",10104743,10413358,10978126,11823885,12570341,13086087,13747816,14465790,14795336,14861013,14966582,15901616,15934733,16884241
"19000","Iowa state total","4","CA5N","61","...","    Employer contributions for employee pension and insurance funds 6/",6763531,7017527,7402836,8091764,8673810,8994114,9473924,9994136,10399869,10239358,10063199,10882875,10837421,11692106
"19000","Iowa state total","4","CA5N","62","...","    Employer contributions for government social insurance",3341212,3395831,3575290,3732121,3896531,4091973,4273892,4471654,4395467,4621655,4903383,5018741,5097312,5192135
"19000","Iowa state total","4","CA5N","70","...","  Proprietors' income 7/",7917412,8371626,9026133,12163417,11550969,11531610,12438067,15188403,13046549,13492250,18539559,17874290,18866997,17801673
"19000","Iowa state total","4","CA5N","71","...","    Farm proprietors' income",1881041,1772371,1856394,4261675,3400194,2424427,3145160,4301121,2763176,3224834,7016491,6018834,8203333,6524852
"19000","Iowa state total","4","CA5N","72","...","    Nonfarm proprietors' income",6036371,6599255,7169739,7901742,8150775,9107183,9292907,10887282,10283373,10267416,11523068,11855456,10663664,11276821
"19000","Iowa state total","4","CA5N","81","111-112","  Farm earnings",2273057,2145763,2342884,4804486,3852187,2835304,3839667,4903341,3357473,3832523,7593546,6795195,8892622,7376784
"19000","Iowa state total","4","CA5N","82","...","  Nonfarm earnings",58736923,60387108,62878942,67076936,70278324,74424890,77852712,82206916,80591384,81778362,85351189,89176429,89913109,94504953
