"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"16000","Idaho state total","7","CA5N","10","...","Personal income",34418598,35419162,36853305,40102203,42583264,46916238,49596069,50408844,48796892,50339512,53126911,55599208,57483763,60040758
"16000","Idaho state total","7","CA5N","20","...","Population (persons) 2/",1319962,1340372,1363380,1391802,1428241,1468669,1505105,1534320,1554439,1570639,1583780,1595590,1612843,1634464
"16000","Idaho state total","7","CA5N","30","...","Per capita personal income (dollars)",26075,26425,27031,28813,29815,31945,32952,32854,31392,32050,33544,34846,35641,36734
"16000","Idaho state total","7","CA5N","35","...","Earnings by place of work",25474353,26260562,26997757,29390730,31108889,34181763,35671964,35230936,33854393,34781620,35726537,36642359,38581972,40297349
"16000","Idaho state total","7","CA5N","36","...","  less: Contributions for government social insurance 3/",2893822,2978310,3100136,3309297,3588069,3998339,4189677,4211008,4122259,4328918,3970258,4081134,4692891,4845871
"16000","Idaho state total","7","CA5N","37","...","    Employee and self-employed contributions for government social insurance",1402679,1451995,1510425,1624926,1766989,1972322,2090047,2130996,2075664,2092871,1712411,1770085,2342381,2486778
"16000","Idaho state total","7","CA5N","38","...","    Employer contributions for government social insurance",1491143,1526315,1589711,1684371,1821080,2026017,2099630,2080012,2046595,2236047,2257847,2311049,2350510,2359093
"16000","Idaho state total","7","CA5N","42","...","  plus: Adjustment for residence 4/",553901,507722,492578,492742,503563,520736,589542,531220,606139,651437,755269,919921,884637,951884
"16000","Idaho state total","7","CA5N","45","...","  equals: Net earnings by place of residence",23134432,23789974,24390199,26574175,28024383,30704160,32071829,31551148,30338273,31104139,32511548,33481146,34773718,36403362
"16000","Idaho state total","7","CA5N","46","...","  plus: Dividends, interest, and rent 5/",6649276,6610020,7126700,7811811,8384301,9507129,10246543,10380394,9140549,8994669,10317910,11677008,11928169,12428569
"16000","Idaho state total","7","CA5N","47","...","  plus: Personal current transfer receipts",4634890,5019168,5336406,5716217,6174580,6704949,7277697,8477302,9318070,10240704,10297453,10441054,10781876,11208827
"16000","Idaho state total","7","CA5N","50","...","  Wages and salaries",16997504,17448657,17990895,19246327,20655363,22715701,24012576,23954785,22820540,22973575,23495046,24162542,25274323,26704002
"16000","Idaho state total","7","CA5N","60","...","  Supplements to wages and salaries",4034248,4225236,4487235,4862963,5259435,5852030,6123901,6187848,6017206,6220262,6114183,6231938,6553858,6439251
"16000","Idaho state total","7","CA5N","61","...","    Employer contributions for employee pension and insurance funds 6/",2543105,2698921,2897524,3178592,3438355,3826013,4024271,4107836,3970611,3984215,3856336,3920889,4203348,4080158
