"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"17000","Illinois state total","3","CA5N","10","...","Personal income",421549095,426752583,434774151,454822359,475288066,508525494,537795638,556031689,531433218,541261128,569680879,593049235,599118968,613671539
"17000","Illinois state total","3","CA5N","20","...","Population (persons) 2/",12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12796778,12840097,12858725,12873763,12890552,12880580
"17000","Illinois state total","3","CA5N","30","...","Per capita personal income (dollars)",33755,34071,34627,36126,37692,40219,42360,43620,41529,42154,44303,46067,46477,47643
"17000","Illinois state total","3","CA5N","35","...","Earnings by place of work",327756484,333244659,340418512,357187796,369089061,390522387,406113721,415045109,395114678,399829526,420133648,434733913,445963275,457157475
"17000","Illinois state total","3","CA5N","36","...","  less: Contributions for government social insurance 3/",33139974,33641641,34503451,36554563,38639937,40443735,42263792,43050940,41164320,41818772,39280671,40979352,47218125,48950820
"17000","Illinois state total","3","CA5N","37","...","    Employee and self-employed contributions for government social insurance",16939880,17237822,17576112,18381492,19195131,20386043,21581399,22305938,21573764,21774917,17779389,18189609,24297308,25523377
"17000","Illinois state total","3","CA5N","38","...","    Employer contributions for government social insurance",16200094,16403819,16927339,18173071,19444806,20057692,20682393,20745002,19590556,20043855,21501282,22789743,22920817,23427443
"17000","Illinois state total","3","CA5N","42","...","  plus: Adjustment for residence 4/",-1734366,-1930881,-2177158,-2164832,-2183840,-1828204,-1224158,-810700,-1813934,-1824889,-2239242,-2015003,-2134317,-2254863
"17000","Illinois state total","3","CA5N","45","...","  equals: Net earnings by place of residence",292882144,297672137,303737903,318468401,328265284,348250448,362625771,371183469,352136424,356185865,378613735,391739558,396610833,405951792
"17000","Illinois state total","3","CA5N","46","...","  plus: Dividends, interest, and rent 5/",80230673,77003810,76735902,80091742,85270933,97488884,105835742,108519960,93567289,91861069,101757309,111824611,109309826,113222027
"17000","Illinois state total","3","CA5N","47","...","  plus: Personal current transfer receipts",48436278,52076636,54300346,56262216,61751849,62786162,69334125,76328260,85729505,93214194,89309835,89485066,93198309,94497720
"17000","Illinois state total","3","CA5N","50","...","  Wages and salaries",242225035,243025957,245936323,256671215,267041051,282735354,297798934,303218608,286828581,291033696,303015224,314839484,320033911,333471194
"17000","Illinois state total","3","CA5N","60","...","  Supplements to wages and salaries",51373369,54607896,57348854,60623507,64495220,67228738,69660669,70728389,70660343,70256739,73580884,76119367,76855767,76458528
"17000","Illinois state total","3","CA5N","61","...","    Employer contributions for employee pension and insurance funds 6/",35173275,38204077,40421515,42450436,45050414,47171046,48978276,49983387,51069787,50212884,52079602,53329624,53934950,53031085
"17000","Illinois state total","3","CA5N","62","...","    Employer contributions for government social insurance",16200094,16403819,16927339,18173071,19444806,20057692,20682393,20745002,19590556,20043855,21501282,22789743,22920817,23427443
"17000","Illinois state total","3","CA5N","70","...","  Proprietors' income 7/",34158080,35610806,37133335,39893074,37552790,40558295,38654118,41098112,37625754,38539091,43537540,43775062,49073597,47227753
"17000","Illinois state total","3","CA5N","71","...","    Farm proprietors' income",1278325,609300,1447693,3121557,1231532,1453271,2534340,4092495,2184844,2185626,4920903,2689892,7826444,3587955
"17000","Illinois state total","3","CA5N","72","...","    Nonfarm proprietors' income",32879755,35001506,35685642,36771517,36321258,39105024,36119778,37005617,35440910,36353465,38616637,41085170,41247153,43639798
"17000","Illinois state total","3","CA5N","81","111-112","  Farm earnings",1691395,995997,1940255,3709214,1731255,1906958,3109622,4688472,2705124,2682784,5532292,3210000,8298385,4118961
"17000","Illinois state total","3","CA5N","82","...","  Nonfarm earnings",326065089,332248662,338478257,353478582,367357806,388615429,403004099,410356637,392409554,397146742,414601356,431523913,437664890,453038514
"17000","Illinois state total","3","CA5N","90","113-814","    Private nonfarm earnings",281519319,284754807,288876524,301129293,313106375,332569397,345108456,350506940,330736161,332653556,350219350,367010069,372069832,387137912
"17000","Illinois state total","3","CA5N","100","113-115","      Forestry, fishing, and related activities",251192,259732,289934,324997,323252,329701,312625,309415,337430,400042,400609,493441,483579,568925
"17000","Illinois state total","3","CA5N","101","113","        Forestry and logging",20046,19159,20620,20770,21725,25377,24351,23031,18730,23470,18889,21985,21301,23234
"17000","Illinois state total","3","CA5N","102","114","        Fishing, hunting and trapping",6833,6897,6997,8162,8127,9600,9474,9042,8920,10701,9647,11562,7627,8194
"17000","Illinois state total","3","CA5N","103","115","        Support activities for agriculture and forestry",224313,233676,262317,296065,293400,294724,278800,277342,309780,365871,372073,459894,454651,537497
"17000","Illinois state total","3","CA5N","200","21","      Mining, quarrying, and oil and gas extraction",1946448,1944063,1871513,1590625,1739947,1706555,1297070,1649265,958850,1055190,1246967,1361166,1393633,1483453
"17000","Illinois state total","3","CA5N","201","211","        Oil and gas extraction",1355559,1372050,1303898,1001753,1104044,1009912,588196,952834,288907,337770,476262,522875,588588,630781
"17000","Illinois state total","3","CA5N","202","212","        Mining (except oil and gas)",530911,521271,516602,530285,569352,611124,617590,573801,559113,607896,641249,687559,657929,695827
