"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"18000","Indiana state total","3","CA5N","10","...","Personal income",175574922,177602541,182387960,191311542,196345532,208244807,216065863,225168064,216953123,223204478,236923198,248345693,251598605,261092396
"18000","Indiana state total","3","CA5N","20","...","Population (persons) 2/",6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6490308,6516560,6537632,6570713,6596855
"18000","Indiana state total","3","CA5N","30","...","Per capita personal income (dollars)",28652,28850,29433,30693,31272,32884,33868,35047,33588,34390,36357,37987,38291,39578
"18000","Indiana state total","3","CA5N","35","...","Earnings by place of work",132443362,134738434,139341615,146977329,150756149,157434758,160944632,163728778,153358564,158084715,166769702,174671767,180357823,186497975
"18000","Indiana state total","3","CA5N","36","...","  less: Contributions for government social insurance 3/",14582080,14955286,15468453,16252557,16985936,17860742,18373593,18798554,18032124,18447743,17110195,17805803,20678776,21521595
"18000","Indiana state total","3","CA5N","37","...","    Employee and self-employed contributions for government social insurance",7634928,7864575,8080178,8482712,8843808,9391185,9713245,9990775,9627696,9853237,8046023,8345589,10980885,11490797
"18000","Indiana state total","3","CA5N","38","...","    Employer contributions for government social insurance",6947152,7090711,7388275,7769845,8142128,8469557,8660348,8807779,8404428,8594506,9064172,9460214,9697891,10030798
"18000","Indiana state total","3","CA5N","42","...","  plus: Adjustment for residence 4/",3384392,2869053,2772297,2859402,2677280,2922457,3646003,3871134,4478792,4276873,4454696,4396812,4730727,5134658
"18000","Indiana state total","3","CA5N","45","...","  equals: Net earnings by place of residence",121245674,122652201,126645459,133584174,136447493,142496473,146217042,148801358,139805232,143913845,154114203,161262776,164409774,170111038
"18000","Indiana state total","3","CA5N","46","...","  plus: Dividends, interest, and rent 5/",30308672,29463873,29234869,29659286,29333449,32743835,35243648,36294488,32873898,31985856,35428035,38160973,37920165,39363800
"18000","Indiana state total","3","CA5N","47","...","  plus: Personal current transfer receipts",24020576,25486467,26507632,28068082,30564590,33004499,34605173,40072218,44273993,47304777,47380960,48921944,49268666,51617558
"18000","Indiana state total","3","CA5N","50","...","  Wages and salaries",96496186,98009747,100524218,105582202,108670096,113132985,116663683,118169279,111500175,114449316,119250104,124676083,127632526,132381851
"18000","Indiana state total","3","CA5N","60","...","  Supplements to wages and salaries",22313001,23020230,24271968,25474034,26920951,28154083,29087459,29682333,27252157,28401781,29183174,30773478,30397307,32411223
"18000","Indiana state total","3","CA5N","61","...","    Employer contributions for employee pension and insurance funds 6/",15365849,15929519,16883693,17704189,18778823,19684526,20427111,20874554,18847729,19807275,20119002,21313264,20699416,22380425
"18000","Indiana state total","3","CA5N","62","...","    Employer contributions for government social insurance",6947152,7090711,7388275,7769845,8142128,8469557,8660348,8807779,8404428,8594506,9064172,9460214,9697891,10030798
"18000","Indiana state total","3","CA5N","70","...","  Proprietors' income 7/",13634175,13708457,14545429,15921093,15165102,16147690,15193490,15877166,14606232,15233618,18336424,19222206,22327990,21704901
"18000","Indiana state total","3","CA5N","71","...","    Farm proprietors' income",781050,205437,961946,1708761,1011551,834451,1156416,1928068,1127988,1190413,2334721,1888764,4811424,3182433
"18000","Indiana state total","3","CA5N","72","...","    Nonfarm proprietors' income",12853125,13503020,13583483,14212332,14153551,15313239,14037074,13949098,13478244,14043205,16001703,17333442,17516566,18522468
"18000","Indiana state total","3","CA5N","81","111-112","  Farm earnings",1067919,473981,1265943,2051601,1332248,1136397,1507443,2259469,1494023,1580650,2698377,2319854,5257528,3688546
