"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"24000","Maryland state total","2","CA5N","10","...","Personal income",197891287,205228840,214373874,229818315,242154652,258320825,269713692,280305819,279294476,287571318,302712263,312724325,312053581,323778035
"24000","Maryland state total","2","CA5N","20","...","Population (persons) 2/",5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5730388,5788101,5843833,5891819,5938737,5976407
"24000","Maryland state total","2","CA5N","30","...","Per capita personal income (dollars)",36819,37723,39004,41432,43301,45904,47708,49307,48739,49683,51800,53078,52545,54176
"24000","Maryland state total","2","CA5N","35","...","Earnings by place of work",134241361,140929027,148008338,159078259,167746673,177544085,183622222,189507919,189592626,194883721,203317526,209268514,211125038,218825355
"24000","Maryland state total","2","CA5N","36","...","  less: Contributions for government social insurance 3/",14645922,15326367,16030056,17255501,18182996,19378295,20234284,21006892,20983371,21882956,20338498,20911720,23719989,24340668
"24000","Maryland state total","2","CA5N","37","...","    Employee and self-employed contributions for government social insurance",7518088,7887449,8230557,8717670,9269249,9908183,10439832,10863359,10877710,11069074,8964174,9167507,12148137,12676157
"24000","Maryland state total","2","CA5N","38","...","    Employer contributions for government social insurance",7127834,7438918,7799499,8537831,8913747,9470112,9794452,10143533,10105661,10813882,11374324,11744213,11571852,11664511
"24000","Maryland state total","2","CA5N","42","...","  plus: Adjustment for residence 4/",20015930,20017689,20190434,21182767,21627949,22325323,22793496,22110419,23380762,24000147,23687596,23345665,23459538,23021640
"24000","Maryland state total","2","CA5N","45","...","  equals: Net earnings by place of residence",139611369,145620349,152168716,163005525,171191626,180491113,186181434,190611446,191990017,197000912,206666624,211702459,210864587,217506327
"24000","Maryland state total","2","CA5N","46","...","  plus: Dividends, interest, and rent 5/",38380976,38261548,39278593,42805790,45017867,50755644,54220805,56270578,51307378,51399505,55675254,60180483,58959822,61472923
"24000","Maryland state total","2","CA5N","47","...","  plus: Personal current transfer receipts",19898942,21346943,22926565,24007000,25945159,27074068,29311453,33423795,35997081,39170901,40370385,40841383,42229172,44798785
"24000","Maryland state total","2","CA5N","50","...","  Wages and salaries",99865656,103680831,108081808,115076553,121419853,128342603,134295949,137404419,136308201,139342923,144427836,148882952,150064386,155116964
"24000","Maryland state total","2","CA5N","60","...","  Supplements to wages and salaries",21394310,22802968,24481793,26868218,28738227,29793742,30963751,32106622,33403061,34893397,36883355,36864249,37549178,39051399
"24000","Maryland state total","2","CA5N","61","...","    Employer contributions for employee pension and insurance funds 6/",14266476,15364050,16682294,18330387,19824480,20323630,21169299,21963089,23297400,24079515,25509031,25120036,25977326,27386888
"24000","Maryland state total","2","CA5N","62","...","    Employer contributions for government social insurance",7127834,7438918,7799499,8537831,8913747,9470112,9794452,10143533,10105661,10813882,11374324,11744213,11571852,11664511
"24000","Maryland state total","2","CA5N","70","...","  Proprietors' income 7/",12981395,14445228,15444737,17133488,17588593,19407740,18362522,19996878,19881364,20647401,22006335,23521313,23511474,24656992
"24000","Maryland state total","2","CA5N","71","...","    Farm proprietors' income",275172,49271,155727,286477,263942,165949,128066,294322,187423,162878,316318,403256,618421,421066
"24000","Maryland state total","2","CA5N","72","...","    Nonfarm proprietors' income",12706223,14395957,15289010,16847011,17324651,19241791,18234456,19702556,19693941,20484523,21690017,23118057,22893053,24235926
"24000","Maryland state total","2","CA5N","81","111-112","  Farm earnings",417464,225951,314570,443625,391905,309160,299162,456988,341421,309653,441601,583526,801595,626371
"24000","Maryland state total","2","CA5N","82","...","  Nonfarm earnings",133823897,140703076,147693768,158634634,167354768,177234925,183323060,189050931,189251205,194574068,202875925,208684988,210323443,218198984
"24000","Maryland state total","2","CA5N","90","113-814","    Private nonfarm earnings",104193219,108470644,113514816,121866674,128310731,135714063,139704245,143494966,141612742,144157276,150446429,156245409,157352230,163865250
"24000","Maryland state total","2","CA5N","100","113-115","      Forestry, fishing, and related activities",105623,104151,109643,119044,120462,130127,116326,112761,110647,128221,115145,124293,121782,131240
"24000","Maryland state total","2","CA5N","101","113","        Forestry and logging",21173,21291,22138,26156,29671,32492,24662,23118,20443,24862,22645,26583,25097,27035
"24000","Maryland state total","2","CA5N","102","114","        Fishing, hunting and trapping",27386,27078,28346,28974,27238,27308,25789,21207,19770,26156,22355,24582,23428,25177
"24000","Maryland state total","2","CA5N","103","115","        Support activities for agriculture and forestry",57064,55782,59159,63914,63553,70327,65875,68436,70434,77203,70145,73128,73257,79028
"24000","Maryland state total","2","CA5N","200","21","      Mining, quarrying, and oil and gas extraction",135234,136096,123881,142863,165164,192035,173186,223454,156720,177641,205952,200310,166784,170762
"24000","Maryland state total","2","CA5N","201","211","        Oil and gas extraction","(D)","(D)","(D)","(D)",19409,29323,26535,73378,"(D)","(D)","(D)","(D)",41849,"(D)"
"24000","Maryland state total","2","CA5N","202","212","        Mining (except oil and gas)",105970,118634,103539,118912,126227,135897,121970,121770,100916,87856,96433,90247,76717,77755
"24000","Maryland state total","2","CA5N","203","213","        Support activities for mining","(D)","(D)","(D)","(D)",19528,26815,24681,28306,"(D)","(D)","(D)","(D)",48218,"(D)"
"24000","Maryland state total","2","CA5N","300","22","      Utilities",1281804,1128224,1250928,1361142,1336698,1444479,1501422,1712110,1480593,1542129,1657434,1656614,1598098,1636581
"24000","Maryland state total","2","CA5N","400","23","      Construction",10440830,10964888,11780673,13046164,13838367,15023451,15117120,14570214,13415278,13319571,13807086,14377007,14475127,15458629
"24000","Maryland state total","2","CA5N","401","236","        Construction of buildings",2953964,3334051,3755370,4234740,4431702,4698513,4421871,4045704,3653109,3777242,3964697,4115960,4014249,4361358
