"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5N","10","...","Personal income",113040936,115758447,121914811,128862422,137307527,146410403,147503532,148866191,140171320,144888672,154486157,164970595,165857885,173305650
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5N","20","...","Population (persons) 2/",2885457,2908245,2929376,2941711,2940055,2932261,2931629,2957593,2987177,3018080,3056311,3089893,3121854,3145515
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5N","30","...","Per capita personal income (dollars)",39176,39804,41618,43805,46702,49931,50315,50334,46924,48007,50547,53390,53128,55096
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5N","35","...","Earnings by place of work",88289541,91673768,97706584,104747606,110269705,116352977,116431304,115682620,108234713,109486629,114338199,121872320,124779759,130736338
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5N","36","...","  less: Contributions for government social insurance 3/",9245081,9680927,10496616,11616214,12282737,12625299,12552023,12601749,11932918,11954945,11190418,11552569,13480477,14239502
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5N","37","...","    Employee and self-employed contributions for government social insurance",4759698,4979203,5287258,5736432,6102548,6408250,6460392,6627331,6414601,6426674,5362190,5506507,7253231,7680685
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5N","38","...","    Employer contributions for government social insurance",4485383,4701724,5209358,5879782,6180189,6217049,6091631,5974418,5518317,5528271,5828228,6046062,6227246,6558817
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5N","42","...","  plus: Adjustment for residence 4/",5465989,4503917,3709155,2827873,1779042,579525,-784241,-2163443,-656892,400233,145705,903564,825717,800372
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5N","45","...","  equals: Net earnings by place of residence",84510449,86496758,90919123,95959265,99766010,104307203,103095040,100917428,95644903,97931917,103293486,111223315,112124999,117297208
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5N","46","...","  plus: Dividends, interest, and rent 5/",19515958,19508096,20698360,22068587,26069903,29773942,31444641,32962659,27878751,28556735,32635981,35145107,34639942,36152375
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5N","47","...","  plus: Personal current transfer receipts",9014529,9753593,10297328,10834570,11471614,12329258,12963851,14986104,16647666,18400020,18556690,18602173,19092944,19856067
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5N","50","...","  Wages and salaries",61016714,62326320,66490133,71183495,75823136,80629348,83077577,82811741,76740803,77983602,80947469,85103613,86992139,91763034
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5N","60","...","  Supplements to wages and salaries",12714252,13618470,15184648,16804265,17886006,18240079,18441600,18627412,17365756,17822269,19269413,19385344,20176827,20477204
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5N","61","...","    Employer contributions for employee pension and insurance funds 6/",8228869,8916746,9975290,10924483,11705817,12023030,12349969,12652994,11847439,12293998,13441185,13339282,13949581,13918387
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5N","62","...","    Employer contributions for government social insurance",4485383,4701724,5209358,5879782,6180189,6217049,6091631,5974418,5518317,5528271,5828228,6046062,6227246,6558817
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5N","70","...","  Proprietors' income 7/",14558575,15728978,16031803,16759846,16560563,17483550,14912127,14243467,14128154,13680758,14121317,17383363,17610793,18496100
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5N","71","...","    Farm proprietors' income",24430,32911,33869,31526,60363,73195,58374,40456,41011,7027,12010,3798,-638,-4696
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5N","72","...","    Nonfarm proprietors' income",14534145,15696067,15997934,16728320,16500200,17410355,14853753,14203011,14087143,13673731,14109307,17379565,17611431,18500796
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5N","81","111-112","  Farm earnings",183425,183890,185783,175127,176454,199157,169559,142303,129956,80706,62652,56739,50738,42134
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5N","82","...","  Nonfarm earnings",88106116,91489878,97520801,104572479,110093251,116153820,116261745,115540317,108104757,109405923,114275547,121815581,124729021,130694204
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5N","90","113-814","    Private nonfarm earnings",79125044,81799428,87229048,93809235,98847057,104346817,103612872,102296652,94946339,96131316,100771087,108329365,110976304,116570041
"11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)","","CA5N","100","113-115","      Forestry, fishing, and related activities",40642,31449,41546,62542,54150,52438,51357,49314,42139,46315,54053,57211,54064,56641
