"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"23000","Maine state total","1","CA5N","10","...","Personal income",36357952,37656606,39589277,41725742,42605863,45028851,46910810,48823635,48644160,49248076,51254592,52597944,52565709,54195046
"23000","Maine state total","1","CA5N","20","...","Population (persons) 2/",1285692,1295960,1306513,1313688,1318787,1323619,1327040,1330509,1329590,1327361,1327930,1328592,1328702,1330089
"23000","Maine state total","1","CA5N","30","...","Per capita personal income (dollars)",28279,29057,30301,31762,32307,34019,35350,36695,36586,37102,38597,39589,39562,40745
"23000","Maine state total","1","CA5N","35","...","Earnings by place of work",25564609,26607045,27807697,29396662,29932653,31588160,32384230,32975810,32502889,32972134,33513814,34354286,34928240,35952563
"23000","Maine state total","1","CA5N","36","...","  less: Contributions for government social insurance 3/",2949232,2977381,3064000,3222156,3326869,3540050,3696444,3801532,3722972,3808231,3488819,3585328,4154681,4277865
"23000","Maine state total","1","CA5N","37","...","    Employee and self-employed contributions for government social insurance",1518398,1577951,1637037,1738287,1808358,1935866,2030909,2089998,2053327,2083163,1714647,1758536,2270582,2371200
"23000","Maine state total","1","CA5N","38","...","    Employer contributions for government social insurance",1430834,1399430,1426963,1483869,1518511,1604184,1665535,1711534,1669645,1725068,1774172,1826792,1884099,1906665
"23000","Maine state total","1","CA5N","42","...","  plus: Adjustment for residence 4/",744514,695855,679084,693564,693433,706424,727575,706276,676080,709076,755188,777316,789654,846465
"23000","Maine state total","1","CA5N","45","...","  equals: Net earnings by place of residence",23359891,24325519,25422781,26868070,27299217,28754534,29415361,29880554,29455997,29872979,30780183,31546274,31563213,32521163
"23000","Maine state total","1","CA5N","46","...","  plus: Dividends, interest, and rent 5/",6942174,6872462,7136921,7368160,7151717,7918901,8535646,8601371,7965760,8040793,8649359,9281385,8969910,9323324
"23000","Maine state total","1","CA5N","47","...","  plus: Personal current transfer receipts",6055887,6458625,7029575,7489512,8154929,8355416,8959803,10341710,11222403,11334304,11825050,11770285,12032586,12350559
"23000","Maine state total","1","CA5N","50","...","  Wages and salaries",18234742,18903292,19689031,20693233,21008224,22065935,23018137,23757638,23068780,23354863,23818410,24335160,24877639,25793861
