"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"29000","Missouri state total","4","CA5N","10","...","Personal income",162433481,165959167,172773178,181836913,188782927,201038598,211022590,221796452,216420305,219685657,228654880,240440942,243591814,252482438
"29000","Missouri state total","4","CA5N","20","...","Population (persons) 2/",5641142,5674825,5709403,5747741,5790300,5842704,5887612,5923916,5961088,5996085,6010544,6025281,6044917,6063589
"29000","Missouri state total","4","CA5N","30","...","Per capita personal income (dollars)",28794,29245,30261,31636,32603,34408,35842,37441,36306,36638,38042,39905,40297,41639
"29000","Missouri state total","4","CA5N","35","...","Earnings by place of work",124841890,128517380,133281335,140711027,145906919,153604159,158516795,165356252,160447125,160886714,164697970,170887240,176262426,182779966
"29000","Missouri state total","4","CA5N","36","...","  less: Contributions for government social insurance 3/",13688520,14018741,14448967,14984870,15741444,16727944,17506069,18264304,17734781,17704331,16310305,16744575,19463297,20122048
"29000","Missouri state total","4","CA5N","37","...","    Employee and self-employed contributions for government social insurance",7120400,7325808,7521296,7841221,8221702,8786075,9237884,9616514,9374065,9408262,7715168,7884890,10380062,10798208
"29000","Missouri state total","4","CA5N","38","...","    Employer contributions for government social insurance",6568120,6692933,6927671,7143649,7519742,7941869,8268185,8647790,8360716,8296069,8595137,8859685,9083235,9323840
"29000","Missouri state total","4","CA5N","42","...","  plus: Adjustment for residence 4/",-3951143,-4568717,-4578628,-4451899,-4681231,-4684960,-4369197,-5795972,-5336248,-5156704,-4567620,-5137211,-4993478,-5086635
"29000","Missouri state total","4","CA5N","45","...","  equals: Net earnings by place of residence",107202227,109929922,114253740,121274258,125484244,132191255,136641529,141295976,137376096,138025679,143820045,149005454,151805651,157571283
"29000","Missouri state total","4","CA5N","46","...","  plus: Dividends, interest, and rent 5/",30636716,29783648,31104794,31638795,32352642,35930415,39212033,40962964,36188761,36054824,38360923,44394281,43774955,45677810
