"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"30000","Montana state total","7","CA5N","10","...","Personal income",22448557,23061628,24520021,26207355,27790234,29994534,32195954,34088901,33088389,34410026,36872430,39303801,39461723,40843525
"30000","Montana state total","7","CA5N","20","...","Population (persons) 2/",906961,911667,919630,930009,940102,952692,964706,976415,983982,990575,997661,1005163,1014864,1023579
"30000","Montana state total","7","CA5N","30","...","Per capita personal income (dollars)",24751,25296,26663,28180,29561,31484,33374,34912,33627,34737,36959,39102,38884,39903
"30000","Montana state total","7","CA5N","35","...","Earnings by place of work",15420939,16047192,17012090,18257419,19521636,20667791,21933105,22770563,22059381,22877100,24249484,25575473,26215896,27045468
"30000","Montana state total","7","CA5N","36","...","  less: Contributions for government social insurance 3/",1907727,2021543,2123792,2259185,2457001,2655717,2856554,2925173,2872463,2929315,2778804,2864778,3298984,3448422
"30000","Montana state total","7","CA5N","37","...","    Employee and self-employed contributions for government social insurance",962603,1006734,1049462,1124995,1224944,1321793,1420994,1466553,1450237,1480390,1239017,1283367,1670948,1760828
"30000","Montana state total","7","CA5N","38","...","    Employer contributions for government social insurance",945124,1014809,1074330,1134190,1232057,1333924,1435560,1458620,1422226,1448925,1539787,1581411,1628036,1687594
"30000","Montana state total","7","CA5N","42","...","  plus: Adjustment for residence 4/",33207,29388,15130,29282,22580,20451,36064,27639,30324,45956,90728,150491,164713,190860
"30000","Montana state total","7","CA5N","45","...","  equals: Net earnings by place of residence",13546419,14055037,14903428,16027516,17087215,18032525,19112615,19873029,19217242,19993741,21561408,22861186,23081625,23787906
"30000","Montana state total","7","CA5N","46","...","  plus: Dividends, interest, and rent 5/",5230088,5204337,5647654,5931997,6167331,7044491,7835899,8245734,7404512,7358708,8315802,9245520,9004933,9359740
"30000","Montana state total","7","CA5N","47","...","  plus: Personal current transfer receipts",3672050,3802254,3968939,4247842,4535688,4917518,5247440,5970138,6466635,7057577,6995220,7197095,7375165,7695879
"30000","Montana state total","7","CA5N","50","...","  Wages and salaries",10389840,10866692,11397884,12088634,12958920,13980604,15050340,15583735,15269672,15523646,16189535,17121727,17620075,18365439
"30000","Montana state total","7","CA5N","60","...","  Supplements to wages and salaries",2532093,2759799,2959228,3168565,3419958,3667872,3888937,4022185,3954114,4222226,4526904,4620055,4612380,4690201
"30000","Montana state total","7","CA5N","61","...","    Employer contributions for employee pension and insurance funds 6/",1586969,1744990,1884898,2034375,2187901,2333948,2453377,2563565,2531888,2773301,2987117,3038644,2984344,3002607
"30000","Montana state total","7","CA5N","62","...","    Employer contributions for government social insurance",945124,1014809,1074330,1134190,1232057,1333924,1435560,1458620,1422226,1448925,1539787,1581411,1628036,1687594
"30000","Montana state total","7","CA5N","70","...","  Proprietors' income 7/",2499006,2420701,2654978,3000220,3142758,3019315,2993828,3164643,2835595,3131228,3533045,3833691,3983441,3989828
"30000","Montana state total","7","CA5N","71","...","    Farm proprietors' income",192478,24255,198071,387723,406618,-17413,206727,301573,136823,346888,504839,472576,733253,521971
"30000","Montana state total","7","CA5N","72","...","    Nonfarm proprietors' income",2306528,2396446,2456907,2612497,2736140,3036728,2787101,2863070,2698772,2784340,3028206,3361115,3250188,3467857
"30000","Montana state total","7","CA5N","81","111-112","  Farm earnings",350452,199203,353822,556174,594130,163871,420856,505488,359182,541944,697724,743489,1039360,832648
"30000","Montana state total","7","CA5N","82","...","  Nonfarm earnings",15070487,15847989,16658268,17701245,18927506,20503920,21512249,22265075,21700199,22335156,23551760,24831984,25176536,26212820
