"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"38000","North Dakota state total","4","CA5N","10","...","Personal income",16960441,17331641,18842774,19158764,20306050,21317995,23607161,26909746,26214054,28972608,32796406,38866125,39358192,41264895
"38000","North Dakota state total","4","CA5N","20","...","Population (persons) 2/",639062,638168,638817,644705,646089,649422,652822,657569,664968,674345,685242,701705,723857,739482
"38000","North Dakota state total","4","CA5N","30","...","Per capita personal income (dollars)",26540,27158,29496,29717,31429,32826,36162,40923,39422,42964,47861,55388,54373,55802
"38000","North Dakota state total","4","CA5N","35","...","Earnings by place of work",12804792,13169273,14764584,15098364,16062492,16765180,18401319,20681044,20237065,22433076,25368805,30808576,31381864,33213541
"38000","North Dakota state total","4","CA5N","36","...","  less: Contributions for government social insurance 3/",1591339,1648574,1737801,1839797,1919226,2011778,2113049,2258722,2420406,2494198,2628047,2847588,3497290,3849645
"38000","North Dakota state total","4","CA5N","37","...","    Employee and self-employed contributions for government social insurance",782989,804351,849686,902960,953019,1020873,1109806,1200857,1226929,1290425,1159504,1282537,1764421,1945723
"38000","North Dakota state total","4","CA5N","38","...","    Employer contributions for government social insurance",808350,844223,888115,936837,966207,990905,1003243,1057865,1193477,1203773,1468543,1565051,1732869,1903922
"38000","North Dakota state total","4","CA5N","42","...","  plus: Adjustment for residence 4/",-445150,-490119,-540585,-589840,-629932,-677018,-710205,-765489,-750957,-809696,-918429,-1047310,-1116256,-1223600
"38000","North Dakota state total","4","CA5N","45","...","  equals: Net earnings by place of residence",10768303,11030580,12486198,12668727,13513334,14076384,15578065,17656833,17065702,19129182,21822329,26913678,26768318,28140296
"38000","North Dakota state total","4","CA5N","46","...","  plus: Dividends, interest, and rent 5/",3629837,3612887,3589134,3564142,3649466,3947886,4478195,5230615,4947995,5296539,6315097,7243165,7729795,8069708
"38000","North Dakota state total","4","CA5N","47","...","  plus: Personal current transfer receipts",2562301,2688174,2767442,2925895,3143250,3293725,3550901,4022298,4200357,4546887,4658980,4709282,4860079,5054891
"38000","North Dakota state total","4","CA5N","50","...","  Wages and salaries",8782468,9111234,9560774,10268897,10791970,11510473,12346874,13389549,13635020,14761631,16997597,20195149,21703318,24022111
"38000","North Dakota state total","4","CA5N","60","...","  Supplements to wages and salaries",2009443,2138524,2310849,2453400,2587229,2752578,2892060,3083823,3336330,3585119,3966550,4245820,4560587,4916278
"38000","North Dakota state total","4","CA5N","61","...","    Employer contributions for employee pension and insurance funds 6/",1201093,1294301,1422734,1516563,1621022,1761673,1888817,2025958,2142853,2381346,2498007,2680769,2827718,3012356
"38000","North Dakota state total","4","CA5N","62","...","    Employer contributions for government social insurance",808350,844223,888115,936837,966207,990905,1003243,1057865,1193477,1203773,1468543,1565051,1732869,1903922
"38000","North Dakota state total","4","CA5N","70","...","  Proprietors' income 7/",2012881,1919515,2892961,2376067,2683293,2502129,3162385,4207672,3265715,4086326,4404658,6367607,5117959,4275152
"38000","North Dakota state total","4","CA5N","71","...","    Farm proprietors' income",639231,454909,1377940,775074,1023131,577634,1391143,2374917,1484821,2093605,2067511,3523212,2029674,989862
"38000","North Dakota state total","4","CA5N","72","...","    Nonfarm proprietors' income",1373650,1464606,1515021,1600993,1660162,1924495,1771242,1832755,1780894,1992721,2337147,2844395,3088285,3285290
"38000","North Dakota state total","4","CA5N","81","111-112","  Farm earnings",800799,603205,1495345,944534,1189959,738396,1620534,2636533,1679490,2290646,2283392,3837145,2332479,1358042
"38000","North Dakota state total","4","CA5N","82","...","  Nonfarm earnings",12003993,12566068,13269239,14153830,14872533,16026784,16780785,18044511,18557575,20142430,23085413,26971431,29049385,31855499
"38000","North Dakota state total","4","CA5N","90","113-814","    Private nonfarm earnings",9405411,9731046,10203558,10925903,11512056,12552563,13164448,14240744,14486073,15770441,18591404,22369997,24300853,26935626
"38000","North Dakota state total","4","CA5N","100","113-115","      Forestry, fishing, and related activities",66307,66527,74058,86670,92988,105730,102507,107749,107047,138681,129252,156353,153156,164590
"38000","North Dakota state total","4","CA5N","101","113","        Forestry and logging","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"38000","North Dakota state total","4","CA5N","102","114","        Fishing, hunting and trapping","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"38000","North Dakota state total","4","CA5N","103","115","        Support activities for agriculture and forestry",63796,64001,71459,83921,90177,102628,99774,105211,104676,136017,126965,153678,150768,162194
"38000","North Dakota state total","4","CA5N","200","21","      Mining, quarrying, and oil and gas extraction",242185,221871,235325,258203,316913,413916,452220,692611,624227,1031853,1813452,2818272,3129626,3767878
"38000","North Dakota state total","4","CA5N","201","211","        Oil and gas extraction",66705,59369,62171,62115,75355,92728,84472,163033,107623,164151,275639,411008,524834,635179
"38000","North Dakota state total","4","CA5N","202","212","        Mining (except oil and gas)",106693,104455,102995,107525,114163,120588,123867,134314,143416,154327,171190,201460,213952,234971
"38000","North Dakota state total","4","CA5N","203","213","        Support activities for mining",68787,58047,70159,88563,127395,200600,243881,395264,373188,713375,1366623,2205804,2390840,2897728
"38000","North Dakota state total","4","CA5N","300","22","      Utilities",274101,279134,301073,319094,338871,465600,429082,480832,403619,405099,413212,397266,440290,479279
"38000","North Dakota state total","4","CA5N","400","23","      Construction",854888,836036,898310,999215,1038993,1149001,1201246,1351905,1460581,1599878,1996358,2562797,2941774,3372157
"38000","North Dakota state total","4","CA5N","401","236","        Construction of buildings",210772,"(D)",233952,268421,261827,309237,326248,345126,428680,451464,529082,593704,704080,750633
"38000","North Dakota state total","4","CA5N","402","237","        Heavy and civil engineering construction",154639,"(D)",151325,166061,176060,180025,219409,331810,303187,367561,490378,701916,759374,908956
"38000","North Dakota state total","4","CA5N","403","238","        Specialty trade contractors",489477,487443,513033,564733,601106,659739,655589,674969,728714,780853,976898,1267177,1478320,1712568
"38000","North Dakota state total","4","CA5N","500","31-33","      Manufacturing",973190,1000029,1032484,1134481,1203630,1267288,1329337,1396237,1275584,1263722,1365761,1486685,1571195,1668639
"38000","North Dakota state total","4","CA5N","510","321,327-339","        Durable goods manufacturing",656639,676503,696702,774962,840980,888085,932985,988341,860640,833930,920365,1007969,1073611,1131669
"38000","North Dakota state total","4","CA5N","511","321","          Wood product manufacturing",55114,60034,64705,69658,74054,74675,76079,73953,64210,65692,68962,71731,84495,89068
"38000","North Dakota state total","4","CA5N","512","327","          Nonmetallic mineral product manufacturing",44335,48074,50004,57292,58545,62131,62805,63213,61595,65443,80170,105056,111924,122068
"38000","North Dakota state total","4","CA5N","513","331","          Primary metal manufacturing","(D)","(D)","(D)","(D)",4035,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"38000","North Dakota state total","4","CA5N","514","332","          Fabricated metal product manufacturing",57833,59494,59188,66107,71379,77802,84852,96780,94003,92035,107308,110558,121634,133948
"38000","North Dakota state total","4","CA5N","515","333","          Machinery manufacturing",245398,245937,268312,309639,344328,362559,385388,420334,360164,326323,354291,381634,404988,414409
"38000","North Dakota state total","4","CA5N","516","334","          Computer and electronic product manufacturing",81338,92269,95005,105092,106048,113276,115429,111884,92906,94772,104366,111677,116736,120123
"38000","North Dakota state total","4","CA5N","517","335","          Electrical equipment, appliance, and component manufacturing",1895,2240,862,940,3331,3317,3733,4594,2977,3738,5006,5479,5183,6159
"38000","North Dakota state total","4","CA5N","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"38000","North Dakota state total","4","CA5N","519","3364-3369","          Other transportation equipment manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",51327,"(D)"
"38000","North Dakota state total","4","CA5N","521","337","          Furniture and related product manufacturing",34146,35028,34901,37755,37138,40583,43498,46258,40176,39911,38991,37559,41600,42906
"38000","North Dakota state total","4","CA5N","522","339","          Miscellaneous manufacturing",24483,24446,25835,26429,25391,26950,28195,30382,30518,31336,32325,38784,40593,42161
"38000","North Dakota state total","4","CA5N","530","311-316,322-326","        Nondurable goods manufacturing",316551,323526,335782,359519,362650,379203,396352,407896,414944,429792,445396,478716,497584,536970
"38000","North Dakota state total","4","CA5N","531","311","          Food manufacturing",190676,199476,199269,216550,214135,217521,229258,232149,242256,250521,263795,273729,280665,302482
"38000","North Dakota state total","4","CA5N","532","312","          Beverage and tobacco product manufacturing",16684,15195,17106,18311,19529,15182,16039,16407,16257,16435,9543,9514,9860,11354
"38000","North Dakota state total","4","CA5N","533","313","          Textile mills",0,0,0,0,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"38000","North Dakota state total","4","CA5N","534","314","          Textile product mills",3533,3930,4846,5245,5836,6333,7016,7666,7832,8595,9513,10123,11077,12341
"38000","North Dakota state total","4","CA5N","535","315","          Apparel manufacturing",2824,3030,3460,3782,3063,2744,1928,1588,1313,1107,859,798,788,825
"38000","North Dakota state total","4","CA5N","536","316","          Leather and allied product manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"38000","North Dakota state total","4","CA5N","537","322","          Paper manufacturing","(D)","(D)","(D)","(D)","(D)","(D)",6806,"(D)","(D)","(D)","(D)",7122,8167,8471
"38000","North Dakota state total","4","CA5N","538","323","          Printing and related support activities",29741,30207,30251,31350,32188,33496,33692,34391,31486,34617,36746,37788,37303,38524
