"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"33000","New Hampshire state total","1","CA5N","10","...","Personal income",44127354,45071574,46328922,49527453,51431409,55098802,57276199,59052313,57824018,59648845,63276057,66786803,66839054,70020358
"33000","New Hampshire state total","1","CA5N","20","...","Population (persons) 2/",1255517,1269089,1279840,1290121,1298492,1308389,1312540,1315906,1316102,1316517,1318109,1321297,1322616,1326813
"33000","New Hampshire state total","1","CA5N","30","...","Per capita personal income (dollars)",35147,35515,36199,38390,39609,42112,43638,44876,43936,45308,48005,50546,50535,52773
"33000","New Hampshire state total","1","CA5N","35","...","Earnings by place of work",31016142,31909132,33189444,35386101,36908432,38987334,39796313,40407936,39825126,41028451,42170565,43441932,44114867,46322141
"33000","New Hampshire state total","1","CA5N","36","...","  less: Contributions for government social insurance 3/",3323809,3386985,3552509,3811939,3979208,4150365,4322642,4461100,4433958,4554356,4229326,4331131,4964447,5163362
"33000","New Hampshire state total","1","CA5N","37","...","    Employee and self-employed contributions for government social insurance",1787966,1835607,1923428,2047491,2159243,2269337,2379771,2455965,2411997,2448723,2010387,2053050,2694957,2848179
"33000","New Hampshire state total","1","CA5N","38","...","    Employer contributions for government social insurance",1535843,1551378,1629081,1764448,1819965,1881028,1942871,2005135,2021961,2105633,2218939,2278081,2269490,2315183
"33000","New Hampshire state total","1","CA5N","42","...","  plus: Adjustment for residence 4/",4070651,3967141,3962790,4235731,4396932,4667538,4799830,4837689,4284580,4708064,5251514,5664536,5507091,5524521
"33000","New Hampshire state total","1","CA5N","45","...","  equals: Net earnings by place of residence",31762984,32489288,33599725,35809893,37326156,39504507,40273501,40784525,39675748,41182159,43192753,44775337,44657511,46683300
"33000","New Hampshire state total","1","CA5N","46","...","  plus: Dividends, interest, and rent 5/",7711447,7517694,7534131,8035780,8176822,9262957,10132465,10310263,9571627,9334719,11002671,12780093,12616490,13175214
"33000","New Hampshire state total","1","CA5N","47","...","  plus: Personal current transfer receipts",4652923,5064592,5195066,5681780,5928431,6331338,6870233,7957525,8576643,9131967,9080633,9231373,9565053,10161844
"33000","New Hampshire state total","1","CA5N","50","...","  Wages and salaries",22310997,22565486,23377194,24861228,25963958,27444014,28496230,29097474,28036362,28491292,29496301,30490101,31226280,33048404
"33000","New Hampshire state total","1","CA5N","60","...","  Supplements to wages and salaries",4702113,4929694,5269240,5648745,5985033,6225380,6479209,6736253,7078882,7531577,7542715,7269751,7273682,7338949
