"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"35000","New Mexico state total","6","CA5N","10","...","Personal income",46275986,47823648,49287198,52230034,56045461,59840045,63348816,67102829,65773493,68182725,71821138,74180920,73571354,77356150
"35000","New Mexico state total","6","CA5N","20","...","Population (persons) 2/",1831690,1855309,1877574,1903808,1932274,1962137,1990070,2010662,2036802,2064950,2078407,2084594,2086895,2085572
"35000","New Mexico state total","6","CA5N","30","...","Per capita personal income (dollars)",25264,25777,26250,27435,29005,30497,31832,33374,32293,33019,34556,35585,35254,37091
"35000","New Mexico state total","6","CA5N","35","...","Earnings by place of work",33632184,35225503,36437792,38542997,40854047,43355086,45172080,47026026,45292411,46651773,48408316,49591952,49670804,51684101
"35000","New Mexico state total","6","CA5N","36","...","  less: Contributions for government social insurance 3/",3623760,3806748,3996797,4207778,4470782,4875915,5132508,5407635,5354734,5477268,5069728,5176888,5939760,6159107
"35000","New Mexico state total","6","CA5N","37","...","    Employee and self-employed contributions for government social insurance",1892068,1983178,2081984,2214621,2366722,2588011,2738425,2869518,2837647,2871355,2340254,2387958,3102881,3242078
"35000","New Mexico state total","6","CA5N","38","...","    Employer contributions for government social insurance",1731692,1823570,1914813,1993157,2104060,2287904,2394083,2538117,2517087,2605913,2729474,2788930,2836879,2917029
"35000","New Mexico state total","6","CA5N","42","...","  plus: Adjustment for residence 4/",242633,129098,35666,16878,3714,111642,157706,52868,54828,34340,28001,48220,51340,56400
"35000","New Mexico state total","6","CA5N","45","...","  equals: Net earnings by place of residence",30251057,31547853,32476661,34352097,36386979,38590813,40197278,41671259,39992505,41208845,43366589,44463284,43782384,45581394
"35000","New Mexico state total","6","CA5N","46","...","  plus: Dividends, interest, and rent 5/",8855579,8405397,8379183,8885168,9953021,10657346,11634374,12180566,11118938,11106494,12394040,13690572,13600847,14089383
"35000","New Mexico state total","6","CA5N","47","...","  plus: Personal current transfer receipts",7169350,7870398,8431354,8992769,9705461,10591886,11517164,13251004,14662050,15867386,16060509,16027064,16188123,17685373
"35000","New Mexico state total","6","CA5N","50","...","  Wages and salaries",23288778,24327708,25462850,27008934,28709341,30784224,32513068,34005059,33259758,33539114,34211690,35006147,35391182,36645202
"35000","New Mexico state total","6","CA5N","60","...","  Supplements to wages and salaries",5299497,5763010,6270246,6795215,7335945,7666850,8028999,8357230,8275359,8725748,9167003,9552260,9195830,9344467
"35000","New Mexico state total","6","CA5N","61","...","    Employer contributions for employee pension and insurance funds 6/",3567805,3939440,4355433,4802058,5231885,5378946,5634916,5819113,5758272,6119835,6437529,6763330,6358951,6427438
"35000","New Mexico state total","6","CA5N","62","...","    Employer contributions for government social insurance",1731692,1823570,1914813,1993157,2104060,2287904,2394083,2538117,2517087,2605913,2729474,2788930,2836879,2917029
"35000","New Mexico state total","6","CA5N","70","...","  Proprietors' income 7/",5043909,5134785,4704696,4738848,4808761,4904012,4630013,4663737,3757294,4386911,5029623,5033545,5083792,5694432
"35000","New Mexico state total","6","CA5N","71","...","    Farm proprietors' income",590910,328095,374946,661169,640298,371196,592391,376502,27162,527052,799158,700300,654634,975291
"35000","New Mexico state total","6","CA5N","72","...","    Nonfarm proprietors' income",4452999,4806690,4329750,4077679,4168463,4532816,4037622,4287235,3730132,3859859,4230465,4333245,4429158,4719141
"35000","New Mexico state total","6","CA5N","81","111-112","  Farm earnings",788905,548572,573219,876447,882677,605953,861090,636858,313160,780919,1050525,978509,970031,1294067
"35000","New Mexico state total","6","CA5N","82","...","  Nonfarm earnings",32843279,34676931,35864573,37666550,39971370,42749133,44310990,46389168,44979251,45870854,47357791,48613443,48700773,50390034
"35000","New Mexico state total","6","CA5N","90","113-814","    Private nonfarm earnings",23923608,24971410,25494236,26512761,28193838,30881845,32347377,33869405,31938255,32455501,33703800,34814316,35056575,36508306
"35000","New Mexico state total","6","CA5N","100","113-115","      Forestry, fishing, and related activities",127197,125248,114037,115217,112193,121704,112512,107127,106227,114344,110461,119581,119173,134200
"35000","New Mexico state total","6","CA5N","101","113","        Forestry and logging","(D)","(D)","(D)",18353,16865,16626,13227,11216,"(D)","(D)","(D)","(D)","(D)","(D)"
