"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"32000","Nevada state total","8","CA5N","10","...","Personal income",66706027,69304833,74992766,83863518,94083491,100692076,106484725,106789330,99146193,99806470,102612459,108656566,109489671,115671839
"32000","Nevada state total","8","CA5N","20","...","Population (persons) 2/",2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2703493,2718586,2755245,2791494,2839099
"32000","Nevada state total","8","CA5N","30","...","Per capita personal income (dollars)",31789,31882,33347,35744,38683,39915,40939,40243,36931,36918,37745,39436,39223,40742
"32000","Nevada state total","8","CA5N","35","...","Earnings by place of work",51492070,53276093,57029351,63478183,70262925,75930420,79772468,78174961,71502353,70933226,71283324,73883067,75239805,80042152
"32000","Nevada state total","8","CA5N","36","...","  less: Contributions for government social insurance 3/",5291595,5536888,5603854,6126676,6726420,7750392,8172747,7699414,7420278,7307814,6894961,7247540,8002946,8836238
"32000","Nevada state total","8","CA5N","37","...","    Employee and self-employed contributions for government social insurance",2666427,2791931,2838074,3116052,3423068,3947451,4175413,3964806,3839058,3826322,3139695,3253017,4099633,4570700
"32000","Nevada state total","8","CA5N","38","...","    Employer contributions for government social insurance",2625168,2744957,2765780,3010624,3303352,3802941,3997334,3734608,3581220,3481492,3755266,3994523,3903313,4265538
"32000","Nevada state total","8","CA5N","42","...","  plus: Adjustment for residence 4/",-293249,-322181,-354833,-376990,-385222,-410939,-440466,-403165,-283027,-195102,-56223,-33114,12754,-28412
"32000","Nevada state total","8","CA5N","45","...","  equals: Net earnings by place of residence",45907226,47417024,51070664,56974517,63151283,67769089,71159255,70072382,63799048,63430310,64332140,66602413,67249613,71177502
"32000","Nevada state total","8","CA5N","46","...","  plus: Dividends, interest, and rent 5/",14010429,14241124,15704346,18014099,21337142,22554887,23996679,23326199,20062043,19538613,21212655,24834800,24667475,25604214
"32000","Nevada state total","8","CA5N","47","...","  plus: Personal current transfer receipts",6788372,7646685,8217756,8874902,9595066,10368100,11328791,13390749,15285102,16837547,17067664,17219353,17572583,18890123
"32000","Nevada state total","8","CA5N","50","...","  Wages and salaries",36852313,37967823,40629878,45343131,50048459,54072700,57331704,57406744,51947297,50405775,51572429,53075368,54855214,57653186
