"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"36000","New York state total","2","CA5N","10","...","Personal income",692858110,694348119,713332289,754247811,791723266,849615687,914147194,942015001,920075787,956131947,1007279882,1050369055,1055803388,1098102853
"36000","New York state total","2","CA5N","20","...","Population (persons) 2/",19082838,19137800,19175939,19171567,19132610,19104631,19132335,19212436,19307066,19400867,19521745,19607140,19695680,19746227
"36000","New York state total","2","CA5N","30","...","Per capita personal income (dollars)",36308,36282,37199,39342,41381,44472,47780,49032,47655,49283,51598,53571,53606,55611
"36000","New York state total","2","CA5N","35","...","Earnings by place of work",558524010,555391072,566859464,600626705,625181186,670028676,717183536,733330671,707885937,742657155,769168614,790992967,810848037,855482440
"36000","New York state total","2","CA5N","36","...","  less: Contributions for government social insurance 3/",56439047,57392226,59174086,62095100,64922215,68610317,72636443,75341336,73058122,75674797,69994482,71806261,84509840,89240393
"36000","New York state total","2","CA5N","37","...","    Employee and self-employed contributions for government social insurance",28105927,28453190,29250071,30721990,32394786,34478401,36840259,38231108,37322126,38160031,31064744,31645530,42758951,45108247
"36000","New York state total","2","CA5N","38","...","    Employer contributions for government social insurance",28333120,28939036,29924015,31373110,32527429,34131916,35796184,37110228,35735996,37514766,38929738,40160731,41750889,44132146
"36000","New York state total","2","CA5N","42","...","  plus: Adjustment for residence 4/",-33336268,-27840047,-27280544,-33762646,-40310083,-48689042,-58178852,-55556917,-45862190,-52468628,-56227969,-58477187,-58137382,-67005298
"36000","New York state total","2","CA5N","45","...","  equals: Net earnings by place of residence",468748695,470158799,480404834,504768959,519948888,552729317,586368241,602432418,588965625,614513730,642946163,660709519,668200815,699236749
"36000","New York state total","2","CA5N","46","...","  plus: Dividends, interest, and rent 5/",116731331,107520089,111422274,118578510,141541633,159291453,184042704,182443423,158998004,159180706,178590540,204826518,200744267,208669004
"36000","New York state total","2","CA5N","47","...","  plus: Personal current transfer receipts",107378084,116669231,121505181,130900342,130232745,137594917,143736249,157139160,172112158,182437511,185743179,184833018,186858306,190197100
"36000","New York state total","2","CA5N","50","...","  Wages and salaries",404771436,395049132,401331388,426400159,446776361,481693076,523001969,534261389,496999509,518423361,538194838,553894438,564782874,600732978
"36000","New York state total","2","CA5N","60","...","  Supplements to wages and salaries",89042025,92535182,98757348,105445950,111259109,116026998,122682808,127919260,129071104,135240716,138030444,142204356,146874079,150947732
"36000","New York state total","2","CA5N","61","...","    Employer contributions for employee pension and insurance funds 6/",60708905,63596146,68833333,74072840,78731680,81895082,86886624,90809032,93335108,97725950,99100706,102043625,105123190,106815586
"36000","New York state total","2","CA5N","62","...","    Employer contributions for government social insurance",28333120,28939036,29924015,31373110,32527429,34131916,35796184,37110228,35735996,37514766,38929738,40160731,41750889,44132146
"36000","New York state total","2","CA5N","70","...","  Proprietors' income 7/",64710549,67806758,66770728,68780596,67145716,72308602,71498759,71150022,81815324,88993078,92943332,94894173,99191084,103801730
"36000","New York state total","2","CA5N","71","...","    Farm proprietors' income",409605,77477,280445,502560,589096,373296,606023,651741,197099,746745,1223537,856783,1402782,1395149
"36000","New York state total","2","CA5N","72","...","    Nonfarm proprietors' income",64300944,67729281,66490283,68278036,66556620,71935306,70892736,70498281,81618225,88246333,91719795,94037390,97788302,102406581
"36000","New York state total","2","CA5N","81","111-112","  Farm earnings",930241,712140,864735,1082500,1071720,914794,1274844,1302845,790918,1326302,1726573,1594299,2160331,2252883
"36000","New York state total","2","CA5N","82","...","  Nonfarm earnings",557593769,554678932,565994729,599544205,624109466,669113882,715908692,732027826,707095019,741330853,767442041,789398668,808687706,853229557
"36000","New York state total","2","CA5N","90","113-814","    Private nonfarm earnings",466859107,460688076,467327946,494643284,515102016,556288320,597834544,607957137,578500796,606142256,632493623,654009602,668732764,710331418
"36000","New York state total","2","CA5N","100","113-115","      Forestry, fishing, and related activities",287167,264430,257412,276153,280263,316950,309011,315734,319846,378976,347927,377942,361777,394709
