"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"39000","Ohio state total","3","CA5N","10","...","Personal income",334990112,340052816,349663439,363405374,374698302,395120357,409790385,421955271,409618652,419791344,448017767,465838605,471546929,489694974
"39000","Ohio state total","3","CA5N","20","...","Population (persons) 2/",11387404,11407889,11434788,11452251,11463320,11481213,11500468,11515391,11528896,11540070,11544757,11550901,11572005,11594163
"39000","Ohio state total","3","CA5N","30","...","Per capita personal income (dollars)",29418,29809,30579,31732,32687,34415,35632,36643,35530,36377,38807,40329,40749,42236
"39000","Ohio state total","3","CA5N","35","...","Earnings by place of work",257318991,262057507,270244804,282666699,289639222,302193659,308079022,311667879,298634722,305786993,322556991,336142943,345177890,358460105
"39000","Ohio state total","3","CA5N","36","...","  less: Contributions for government social insurance 3/",27709526,27766753,28881259,30574160,31408003,32809150,33613532,34548165,33488527,33711357,31756390,32865550,37065554,38998777
"39000","Ohio state total","3","CA5N","37","...","    Employee and self-employed contributions for government social insurance",13780692,14108131,14379171,14936115,15552914,16355467,16910272,17303339,16622313,16878031,14103175,14627777,19214049,20334663
"39000","Ohio state total","3","CA5N","38","...","    Employer contributions for government social insurance",13928834,13658622,14502088,15638045,15855089,16453683,16703260,17244826,16866214,16833326,17653215,18237773,17851505,18664114
"39000","Ohio state total","3","CA5N","42","...","  plus: Adjustment for residence 4/",-1684200,-2494831,-2549104,-2323906,-2417484,-2197478,-1977076,-2192925,-1872227,-1793553,-1857766,-1764337,-2020565,-2308335
"39000","Ohio state total","3","CA5N","45","...","  equals: Net earnings by place of residence",227925265,231795923,238814441,249768633,255813735,267187031,272488414,274926789,263273968,270282083,288942835,301513056,306091771,317152993
"39000","Ohio state total","3","CA5N","46","...","  plus: Dividends, interest, and rent 5/",56599207,54424677,54429927,54669537,56471249,62115937,67270090,68051201,60346674,58769681,65821507,72873151,71909326,74484714
"39000","Ohio state total","3","CA5N","47","...","  plus: Personal current transfer receipts",50465640,53832216,56419071,58967204,62413318,65817389,70031881,78977281,85998010,90739580,93253425,91452398,93545832,98057267
"39000","Ohio state total","3","CA5N","50","...","  Wages and salaries",190021284,192247457,197097617,205029425,210428781,218062958,224980743,226708681,215444735,218721328,228418124,239295918,244408798,255253794
"39000","Ohio state total","3","CA5N","60","...","  Supplements to wages and salaries",44044451,45319860,48089211,50864895,52672039,55750401,56653169,57519704,55063161,56850830,58761279,59573193,62624782,63921184
"39000","Ohio state total","3","CA5N","61","...","    Employer contributions for employee pension and insurance funds 6/",30115617,31661238,33587123,35226850,36816950,39296718,39949909,40274878,38196947,40017504,41108064,41335420,44773277,45257070
"39000","Ohio state total","3","CA5N","62","...","    Employer contributions for government social insurance",13928834,13658622,14502088,15638045,15855089,16453683,16703260,17244826,16866214,16833326,17653215,18237773,17851505,18664114
"39000","Ohio state total","3","CA5N","70","...","  Proprietors' income 7/",23253256,24490190,25057976,26772379,26538402,28380300,26445110,27439494,28126826,30214835,35377588,37273832,38144310,39285127
"39000","Ohio state total","3","CA5N","71","...","    Farm proprietors' income",770213,252513,397721,969559,686334,541096,581849,880160,1147738,1224777,2495443,1324599,2536179,1754133
