"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"40000","Oklahoma state total","6","CA5N","10","...","Personal income",92129048,93531526,96553912,102194709,109855330,120480971,125613351,138461962,128545841,135151223,147813207,158595958,161685876,169227826
"40000","Oklahoma state total","6","CA5N","20","...","Population (persons) 2/",3467100,3489080,3504892,3525233,3548597,3594090,3634349,3668976,3717572,3759481,3786527,3817059,3853118,3878051
"40000","Oklahoma state total","6","CA5N","30","...","Per capita personal income (dollars)",26572,26807,27548,28989,30957,33522,34563,37739,34578,35949,39037,41549,41962,43637
"40000","Oklahoma state total","6","CA5N","35","...","Earnings by place of work",67268623,68536573,71010879,75426539,81111689,87969763,89019989,98516444,89220552,94483982,103400543,111528691,115948070,121808813
"40000","Oklahoma state total","6","CA5N","36","...","  less: Contributions for government social insurance 3/",7047315,7253066,7471455,7992500,8470982,9118353,9591618,10040499,9850525,10039640,9688957,10287027,11924087,12220780
"40000","Oklahoma state total","6","CA5N","37","...","    Employee and self-employed contributions for government social insurance",3683285,3761427,3823928,4037686,4321144,4735816,5041870,5335633,5235178,5355853,4459162,4653591,6148312,6481326
"40000","Oklahoma state total","6","CA5N","38","...","    Employer contributions for government social insurance",3364030,3491639,3647527,3954814,4149838,4382537,4549748,4704866,4615347,4683787,5229795,5633436,5775775,5739454
"40000","Oklahoma state total","6","CA5N","42","...","  plus: Adjustment for residence 4/",1014889,701356,605106,461552,382058,317109,797017,791932,727259,706841,717728,773217,741890,793053
"40000","Oklahoma state total","6","CA5N","45","...","  equals: Net earnings by place of residence",61236197,61984863,64144530,67895591,73022765,79168519,80225388,89267877,80097286,85151183,94429314,102014881,104765873,110381086
"40000","Oklahoma state total","6","CA5N","46","...","  plus: Dividends, interest, and rent 5/",16765328,16383745,16434180,17309135,18527075,21292551,23920754,25092118,22486467,22321597,25335075,27905630,27664893,28650643
"40000","Oklahoma state total","6","CA5N","47","...","  plus: Personal current transfer receipts",14127523,15162918,15975202,16989983,18305490,20019901,21467209,24101967,25962088,27678443,28048818,28675447,29255110,30196097
"40000","Oklahoma state total","6","CA5N","50","...","  Wages and salaries",44622573,45171865,46249197,48469989,51110208,56336973,59578877,63280222,61188190,62413254,66233157,70175803,72443062,75617733
"40000","Oklahoma state total","6","CA5N","60","...","  Supplements to wages and salaries",10364441,10874357,11431015,12368481,13188702,13738383,14097542,14477080,14733901,15873473,16552191,17066825,17794320,18335968
"40000","Oklahoma state total","6","CA5N","61","...","    Employer contributions for employee pension and insurance funds 6/",7000411,7382718,7783488,8413667,9038864,9355846,9547794,9772214,10118554,11189686,11322396,11433389,12018545,12596514
"40000","Oklahoma state total","6","CA5N","62","...","    Employer contributions for government social insurance",3364030,3491639,3647527,3954814,4149838,4382537,4549748,4704866,4615347,4683787,5229795,5633436,5775775,5739454
"40000","Oklahoma state total","6","CA5N","70","...","  Proprietors' income 7/",12281609,12490351,13330667,14588069,16812779,17894407,15343570,20759142,13298461,16197255,20615195,24286063,25710688,27855112
"40000","Oklahoma state total","6","CA5N","71","...","    Farm proprietors' income",581396,809834,771055,982123,1053848,413144,287152,461771,-257769,546790,1067311,1446754,1567831,1923283
