"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"42000","Pennsylvania state total","2","CA5N","10","...","Personal income",387707869,395919744,409038437,430008872,447084171,477939178,503610624,525622733,516623328,532816761,560970586,584630441,588296421,609679210
"42000","Pennsylvania state total","2","CA5N","20","...","Population (persons) 2/",12298970,12331031,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12711077,12743995,12770043,12781296,12787209
"42000","Pennsylvania state total","2","CA5N","30","...","Per capita personal income (dollars)",31524,32108,33055,34648,35910,38202,40084,41675,40785,41918,44018,45781,46028,47679
"42000","Pennsylvania state total","2","CA5N","35","...","Earnings by place of work",284591290,291906291,301840972,319205170,331204014,348505598,359971408,370904963,363383254,373988756,390203485,403024629,413325394,428659352
"42000","Pennsylvania state total","2","CA5N","36","...","  less: Contributions for government social insurance 3/",31934185,32818784,33614426,35334681,37130992,39010549,40572741,41806173,41282397,42500221,39676333,40555763,46977719,48699964
"42000","Pennsylvania state total","2","CA5N","37","...","    Employee and self-employed contributions for government social insurance",16110140,16687769,17077294,18092956,18902327,20008147,21031856,21755381,21557582,22062386,18164908,18481458,24255772,25309119
"42000","Pennsylvania state total","2","CA5N","38","...","    Employer contributions for government social insurance",15824045,16131015,16537132,17241725,18228665,19002402,19540885,20050792,19724815,20437835,21511425,22074305,22721947,23390845
"42000","Pennsylvania state total","2","CA5N","42","...","  plus: Adjustment for residence 4/",3961670,3664997,3888896,4804844,5917872,7237124,8492572,9418151,7756230,8417968,8365178,8834105,8680552,9120252
"42000","Pennsylvania state total","2","CA5N","45","...","  equals: Net earnings by place of residence",256618775,262752504,272115442,288675333,299990894,316732173,327891239,338516941,329857087,339906503,358892330,371302971,375028227,389079640
"42000","Pennsylvania state total","2","CA5N","46","...","  plus: Dividends, interest, and rent 5/",69203394,67551680,68651949,70521764,70983423,81258722,90316833,91952022,83122622,81899260,90452961,101489454,99677343,103602263
"42000","Pennsylvania state total","2","CA5N","47","...","  plus: Personal current transfer receipts",61885700,65615560,68271046,70811775,76109854,79948283,85402552,95153770,103643619,111010998,111625295,111838016,113590851,116997307
"42000","Pennsylvania state total","2","CA5N","50","...","  Wages and salaries",201372357,204950151,210536131,220406488,228659646,240671105,253472297,260291028,254506876,259820810,270031901,280135639,285130539,296487215
"42000","Pennsylvania state total","2","CA5N","60","...","  Supplements to wages and salaries",49859235,51771627,54532102,58367475,61700087,64810149,66347205,67708491,67291235,70431932,73455054,72865156,76078232,76561196
"42000","Pennsylvania state total","2","CA5N","61","...","    Employer contributions for employee pension and insurance funds 6/",34035190,35640612,37994970,41125750,43471422,45807747,46806320,47657699,47566420,49994097,51943629,50790851,53356285,53170351
"42000","Pennsylvania state total","2","CA5N","62","...","    Employer contributions for government social insurance",15824045,16131015,16537132,17241725,18228665,19002402,19540885,20050792,19724815,20437835,21511425,22074305,22721947,23390845
"42000","Pennsylvania state total","2","CA5N","70","...","  Proprietors' income 7/",33359698,35184513,36772739,40431207,40844281,43024344,40151906,42905444,41585143,43736014,46716530,50023834,52116623,55610941
"42000","Pennsylvania state total","2","CA5N","71","...","    Farm proprietors' income",506024,26319,673906,964267,912428,569417,612620,579018,203512,612385,1166286,1167873,1584951,1981035
"42000","Pennsylvania state total","2","CA5N","72","...","    Nonfarm proprietors' income",32853674,35158194,36098833,39466940,39931853,42454927,39539286,42326426,41381631,43123629,45550244,48855961,50531672,53629906
"42000","Pennsylvania state total","2","CA5N","81","111-112","  Farm earnings",1011296,640203,1239726,1536105,1388993,1107523,1283996,1210123,786511,1181194,1655726,1834482,2258707,2700213
"42000","Pennsylvania state total","2","CA5N","82","...","  Nonfarm earnings",283579994,291266088,300601246,317669065,329815021,347398075,358687412,369694840,362596743,372807562,388547759,401190147,411066687,425959139
"42000","Pennsylvania state total","2","CA5N","90","113-814","    Private nonfarm earnings",244286708,249605248,256439603,270612509,281482853,296989061,306346587,315528448,306815190,314680112,330761749,344368189,353037019,367223750
"42000","Pennsylvania state total","2","CA5N","100","113-115","      Forestry, fishing, and related activities",429884,396123,392601,423334,429248,476616,439427,424113,413243,493503,450507,527029,528255,566838
"42000","Pennsylvania state total","2","CA5N","101","113","        Forestry and logging","(D)","(D)","(D)","(D)",163687,"(D)","(D)",139556,121281,162528,143213,180734,182010,191186
"42000","Pennsylvania state total","2","CA5N","102","114","        Fishing, hunting and trapping","(D)","(D)","(D)","(D)",8735,"(D)","(D)",8058,7140,8380,7346,7630,7522,8077
"42000","Pennsylvania state total","2","CA5N","103","115","        Support activities for agriculture and forestry",261925,244498,236927,251388,256826,288651,273326,276499,284822,322595,299948,338665,338723,367575
"42000","Pennsylvania state total","2","CA5N","200","21","      Mining, quarrying, and oil and gas extraction",1399172,1383918,1498078,1751129,2178138,2506346,2269240,3332095,2246514,3044255,4434464,5121847,5556477,6073391
"42000","Pennsylvania state total","2","CA5N","201","211","        Oil and gas extraction",379428,399504,541737,664725,984528,1164711,921142,1836863,764051,1197781,1849114,2258797,2830600,3062397
"42000","Pennsylvania state total","2","CA5N","202","212","        Mining (except oil and gas)",894922,837703,817712,913773,994553,1086753,1041416,1122947,1062323,1121985,1339480,1362421,1239520,1234068
"42000","Pennsylvania state total","2","CA5N","203","213","        Support activities for mining",124822,146711,138629,172631,199057,254882,306682,372285,420140,724489,1245870,1500629,1486357,1776926
"42000","Pennsylvania state total","2","CA5N","300","22","      Utilities",3302560,3248470,3000986,2854419,2725537,2845645,2928926,3136559,2875255,2958945,3259605,3103038,3188031,3272503
"42000","Pennsylvania state total","2","CA5N","400","23","      Construction",17906491,18453841,19465235,20631876,21767572,23670127,23321150,22341457,20109275,20253406,21279058,22492196,22905758,24432991
"42000","Pennsylvania state total","2","CA5N","401","236","        Construction of buildings",4594945,4927225,5233323,5734366,6191480,6818364,6498875,6100766,4995745,4958232,4979697,5170535,5463774,5788027
"42000","Pennsylvania state total","2","CA5N","402","237","        Heavy and civil engineering construction",1902141,1905810,2028674,2113582,2300876,2586544,2688975,2645650,2682591,2850975,3331614,3536501,3313635,3610993
"42000","Pennsylvania state total","2","CA5N","403","238","        Specialty trade contractors",11409405,11620806,12203238,12783928,13275216,14265219,14133300,13595041,12430939,12444199,12967747,13785160,14128349,15033971
"42000","Pennsylvania state total","2","CA5N","500","31-33","      Manufacturing",44352624,43082518,41448614,41740614,41971044,43168217,43218827,43657903,39100780,39605017,41332461,42212754,42162614,43663540
"42000","Pennsylvania state total","2","CA5N","510","321,327-339","        Durable goods manufacturing",26376552,25308014,24351067,25001511,25844174,26648887,26633699,27053177,23298444,23539328,24994695,25669166,25822177,26513020
"42000","Pennsylvania state total","2","CA5N","511","321","          Wood product manufacturing",1058003,1114533,1173931,1285459,1366644,1341527,1254729,1145724,892191,894042,905031,916299,1065051,1158259
"42000","Pennsylvania state total","2","CA5N","512","327","          Nonmetallic mineral product manufacturing",1870216,1823160,1850790,1777665,1874334,1685042,1674394,1635631,1386412,1331276,1350766,1329534,1332100,1387695
"42000","Pennsylvania state total","2","CA5N","513","331","          Primary metal manufacturing",3070502,2834779,2687557,2854173,2832573,3036151,3191961,3466785,2497276,2723846,3204956,3220031,3192487,3184698
"42000","Pennsylvania state total","2","CA5N","514","332","          Fabricated metal product manufacturing",4754628,4605635,4533312,4625379,4909598,5053158,5218476,5378060,4723564,4766165,5061300,5244640,5241498,5376695
"42000","Pennsylvania state total","2","CA5N","515","333","          Machinery manufacturing",3988552,3661654,3318972,3359627,3610041,3740978,3847661,3896682,3393204,3312035,3591975,3723973,3737618,3819963
"42000","Pennsylvania state total","2","CA5N","516","334","          Computer and electronic product manufacturing",3860700,3605079,3103687,3010890,3008948,3104453,2767888,2697575,2435807,2433716,2404933,2585499,2563348,2646852
"42000","Pennsylvania state total","2","CA5N","517","335","          Electrical equipment, appliance, and component manufacturing",1686461,1560724,1559186,1688207,1736736,1869246,1918803,1995809,1871177,2043689,2138853,2179760,2251187,2335327
"42000","Pennsylvania state total","2","CA5N","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing","(D)","(D)",1141782,1177461,1223811,1251352,1161489,1061730,"(D)",830334,928993,979084,"(D)",999774
"42000","Pennsylvania state total","2","CA5N","519","3364-3369","          Other transportation equipment manufacturing","(D)","(D)",1677991,1855121,1906904,2072232,2214955,2426441,"(D)",2334201,2514049,2546860,"(D)",2564791
"42000","Pennsylvania state total","2","CA5N","521","337","          Furniture and related product manufacturing",1114960,1075917,1058423,1085383,1052335,1088306,1098518,1067859,829198,783119,812513,842902,874855,896587
"42000","Pennsylvania state total","2","CA5N","522","339","          Miscellaneous manufacturing",2032638,2181678,2245436,2282146,2322250,2406442,2284825,2280881,2117152,2086905,2081326,2100584,2071532,2142379
"42000","Pennsylvania state total","2","CA5N","530","311-316,322-326","        Nondurable goods manufacturing",17976072,17774504,17097547,16739103,16126870,16519330,16585128,16604726,15802336,16065689,16337766,16543588,16340437,17150520
"42000","Pennsylvania state total","2","CA5N","531","311","          Food manufacturing",3334708,3377933,3522965,3554351,3523775,3521083,3531891,3531737,3547946,3664798,3739633,3875232,3956625,4194113
"42000","Pennsylvania state total","2","CA5N","532","312","          Beverage and tobacco product manufacturing",625603,577509,525064,476090,469871,438915,459592,456298,456590,482670,443502,470689,497657,577618
"42000","Pennsylvania state total","2","CA5N","533","313","          Textile mills",408234,355010,311036,287388,266614,244133,240655,223976,184060,191160,183489,190208,182051,199044
"42000","Pennsylvania state total","2","CA5N","534","314","          Textile product mills",319559,307002,308026,312961,280059,233625,237557,207692,180807,204135,202523,248167,208121,222471
