"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"44000","Rhode Island state total","1","CA5N","10","...","Personal income",33378279,34855461,36571921,38214313,39076785,41225367,43023232,44193339,43285218,45004874,46596360,48509355,48607267,51026876
"44000","Rhode Island state total","1","CA5N","20","...","Population (persons) 2/",1057142,1065995,1071342,1074579,1067916,1063096,1057315,1055003,1053646,1053078,1052020,1052637,1053354,1055173
"44000","Rhode Island state total","1","CA5N","30","...","Per capita personal income (dollars)",31574,32698,34137,35562,36592,38779,40691,41889,41081,42737,44292,46084,46145,48359
"44000","Rhode Island state total","1","CA5N","35","...","Earnings by place of work",23074736,24319930,25633156,26961442,27699633,29182849,29760203,30050203,29231063,30540282,31125528,32268914,33088389,34548903
"44000","Rhode Island state total","1","CA5N","36","...","  less: Contributions for government social insurance 3/",2866388,2963967,3120213,3287091,3405148,3590472,3701202,3751851,3694280,3770514,3486143,3563628,4109815,4291866
"44000","Rhode Island state total","1","CA5N","37","...","    Employee and self-employed contributions for government social insurance",1510830,1578435,1661660,1757416,1809990,1915098,1996470,2031678,1984080,2018281,1678587,1698019,2190103,2294646
"44000","Rhode Island state total","1","CA5N","38","...","    Employer contributions for government social insurance",1355558,1385532,1458553,1529675,1595158,1675374,1704732,1720173,1710200,1752233,1807556,1865609,1919712,1997220
"44000","Rhode Island state total","1","CA5N","42","...","  plus: Adjustment for residence 4/",1314301,1299429,1321380,1362039,1345189,1288554,1350271,1260912,1188732,999463,1201664,1375109,1406278,1518623
"44000","Rhode Island state total","1","CA5N","45","...","  equals: Net earnings by place of residence",21522649,22655392,23834323,25036390,25639674,26880931,27409272,27559264,26725515,27769231,28841049,30080395,30384852,31775660
"44000","Rhode Island state total","1","CA5N","46","...","  plus: Dividends, interest, and rent 5/",6350950,6458454,6833020,6880417,6885637,7550977,8175040,8364045,7591191,7701246,8132967,8922949,8619496,8966375
"44000","Rhode Island state total","1","CA5N","47","...","  plus: Personal current transfer receipts",5504680,5741615,5904578,6297506,6551474,6793459,7438920,8270030,8968512,9534397,9622344,9506011,9602919,10284841
"44000","Rhode Island state total","1","CA5N","50","...","  Wages and salaries",16763538,17463954,18460044,19224409,19816580,20806755,21408585,21666837,20927208,21505404,22042256,22677732,23426034,24528224
"44000","Rhode Island state total","1","CA5N","60","...","  Supplements to wages and salaries",3923461,4202012,4474314,4805989,5071263,5398850,5578007,5692071,5486536,5958464,5868346,5887692,5840227,5965430
"44000","Rhode Island state total","1","CA5N","61","...","    Employer contributions for employee pension and insurance funds 6/",2567903,2816480,3015761,3276314,3476105,3723476,3873275,3971898,3776336,4206231,4060790,4022083,3920515,3968210
"44000","Rhode Island state total","1","CA5N","62","...","    Employer contributions for government social insurance",1355558,1385532,1458553,1529675,1595158,1675374,1704732,1720173,1710200,1752233,1807556,1865609,1919712,1997220
"44000","Rhode Island state total","1","CA5N","70","...","  Proprietors' income 7/",2387737,2653964,2698798,2931044,2811790,2977244,2773611,2691295,2817319,3076414,3214926,3703490,3822128,4055249
"44000","Rhode Island state total","1","CA5N","71","...","    Farm proprietors' income",3252,3932,6377,8615,10685,7049,5414,-2143,-957,-424,-1774,-642,1690,-1612
"44000","Rhode Island state total","1","CA5N","72","...","    Nonfarm proprietors' income",2384485,2650032,2692421,2922429,2801105,2970195,2768197,2693438,2818276,3076838,3216700,3704132,3820438,4056861
"44000","Rhode Island state total","1","CA5N","81","111-112","  Farm earnings",17990,22217,22994,24823,23941,22457,22987,15080,15428,15472,11964,18929,21929,21040
"44000","Rhode Island state total","1","CA5N","82","...","  Nonfarm earnings",23056746,24297713,25610162,26936619,27675692,29160392,29737216,30035123,29215635,30524810,31113564,32249985,33066460,34527863
"44000","Rhode Island state total","1","CA5N","90","113-814","    Private nonfarm earnings",19024539,20033871,21085642,22139601,22744019,24012528,24400016,24539318,23736814,24792286,25305221,26468084,27338962,28727144
"44000","Rhode Island state total","1","CA5N","100","113-115","      Forestry, fishing, and related activities","(D)","(D)",41388,42918,41504,47490,44699,41406,40655,"(D)","(D)",47083,"(D)","(D)"
"44000","Rhode Island state total","1","CA5N","101","113","        Forestry and logging",1286,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1174,"(D)","(D)"
"44000","Rhode Island state total","1","CA5N","102","114","        Fishing, hunting and trapping","(D)",37568,35278,36660,35699,41301,39350,36438,36114,42835,39366,41769,38888,40201
"44000","Rhode Island state total","1","CA5N","103","115","        Support activities for agriculture and forestry",5576,5032,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",4140,3956,"(D)"
