"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"49000","Utah state total","7","CA5N","10","...","Personal income",58718769,60353040,62108532,66152366,72251941,80275053,87395274,91906117,88313814,90483243,96888550,102772080,106072574,110841885
"49000","Utah state total","7","CA5N","20","...","Population (persons) 2/",2283715,2324815,2360137,2401580,2457719,2525507,2597746,2663029,2723421,2774346,2815324,2855194,2902787,2942902
"49000","Utah state total","7","CA5N","30","...","Per capita personal income (dollars)",25712,25960,26316,27545,29398,31786,33643,34512,32428,32614,34415,35995,36542,37664
"49000","Utah state total","7","CA5N","35","...","Earnings by place of work",47803418,48760495,49979170,53775285,57945710,64612614,69397695,71096446,68479558,69617716,73227238,77653134,81849232,85811367
"49000","Utah state total","7","CA5N","36","...","  less: Contributions for government social insurance 3/",5291643,5419849,5648971,6124126,6633964,7284317,7832134,8022573,7769498,7833461,7447501,7840238,9294638,9785457
"49000","Utah state total","7","CA5N","37","...","    Employee and self-employed contributions for government social insurance",2636880,2694630,2769662,2975951,3218206,3573802,3914234,4013050,3927903,4004508,3270028,3439649,4686450,4988543
"49000","Utah state total","7","CA5N","38","...","    Employer contributions for government social insurance",2654763,2725219,2879309,3148175,3415758,3710515,3917900,4009523,3841595,3828953,4177473,4400589,4608188,4796914
"49000","Utah state total","7","CA5N","42","...","  plus: Adjustment for residence 4/",8977,3806,9956,26838,-9182,29251,51095,40927,6354,-11003,-25706,-33426,-47074,-46105
"49000","Utah state total","7","CA5N","45","...","  equals: Net earnings by place of residence",42520752,43344452,44340155,47677997,51302564,57357548,61616656,63114800,60716414,61773252,65754031,69779470,72507520,75979805
"49000","Utah state total","7","CA5N","46","...","  plus: Dividends, interest, and rent 5/",10171358,10416658,10740483,11038341,12855534,14099738,16184155,17565912,15183761,14939242,16884147,18837732,18926051,19748826
"49000","Utah state total","7","CA5N","47","...","  plus: Personal current transfer receipts",6026659,6591930,7027894,7436028,8093843,8817767,9594463,11225405,12413639,13770749,14250372,14154878,14639003,15113254
"49000","Utah state total","7","CA5N","50","...","  Wages and salaries",34266548,34855773,35698404,38118249,40878126,45076805,49191003,50575794,48890584,49652799,52007828,55111673,57361661,60628109
"49000","Utah state total","7","CA5N","60","...","  Supplements to wages and salaries",7832101,8135416,8670849,9577861,10431186,11608758,12328654,12776969,12462261,12527976,13586433,13773637,14797629,14787952
"49000","Utah state total","7","CA5N","61","...","    Employer contributions for employee pension and insurance funds 6/",5177338,5410197,5791540,6429686,7015428,7898243,8410754,8767446,8620666,8699023,9408960,9373048,10189441,9991038
"49000","Utah state total","7","CA5N","62","...","    Employer contributions for government social insurance",2654763,2725219,2879309,3148175,3415758,3710515,3917900,4009523,3841595,3828953,4177473,4400589,4608188,4796914
"49000","Utah state total","7","CA5N","70","...","  Proprietors' income 7/",5704769,5769306,5609917,6079175,6636398,7927051,7878038,7743683,7126713,7436941,7632977,8767824,9689942,10395306
"49000","Utah state total","7","CA5N","71","...","    Farm proprietors' income",191845,59383,87447,164044,108244,-12354,-5738,16202,-108225,13000,149659,75986,282816,361837
"49000","Utah state total","7","CA5N","72","...","    Nonfarm proprietors' income",5512924,5709923,5522470,5915131,6528154,7939405,7883776,7727481,7234938,7423941,7483318,8691838,9407126,10033469
"49000","Utah state total","7","CA5N","81","111-112","  Farm earnings",317352,200984,217139,306572,270499,147391,183160,200803,92713,188757,321705,276413,510235,592300
"49000","Utah state total","7","CA5N","82","...","  Nonfarm earnings",47486066,48559511,49762031,53468713,57675211,64465223,69214535,70895643,68386845,69428959,72905533,77376721,81338997,85219067
"49000","Utah state total","7","CA5N","90","113-814","    Private nonfarm earnings",38678356,39140854,39824096,42868499,46491774,52724839,56881341,57975194,55008199,55502175,58593397,63107984,67015118,70543582
"49000","Utah state total","7","CA5N","100","113-115","      Forestry, fishing, and related activities",43050,40827,44210,47399,50258,62645,68192,63042,59156,60243,62620,71275,79070,86786
"49000","Utah state total","7","CA5N","101","113","        Forestry and logging",5187,4541,3708,3407,3272,3971,4257,4406,3519,4476,3760,3973,"(D)",4818
"49000","Utah state total","7","CA5N","102","114","        Fishing, hunting and trapping",10682,8028,8836,7272,8202,10875,12687,12920,12353,14713,14450,16346,"(D)",18841
"49000","Utah state total","7","CA5N","103","115","        Support activities for agriculture and forestry",27181,28258,31666,36720,38784,47799,51248,45716,43284,41054,44410,50956,56591,63127
"49000","Utah state total","7","CA5N","200","21","      Mining, quarrying, and oil and gas extraction",487090,459146,506963,626299,851452,1185152,1259331,1686927,1025196,1064792,1270238,1449476,1488131,1525564
"49000","Utah state total","7","CA5N","201","211","        Oil and gas extraction",82466,85734,141351,201763,333672,505094,485858,779337,310554,340467,386381,480594,556359,597328
"49000","Utah state total","7","CA5N","202","212","        Mining (except oil and gas)",277760,258236,247780,264518,293779,349194,361929,400454,392724,400849,461992,463038,433312,431716
"49000","Utah state total","7","CA5N","203","213","        Support activities for mining",126864,115176,117832,160018,224001,330864,411544,507136,321918,323476,421865,505844,498460,496520
"49000","Utah state total","7","CA5N","300","22","      Utilities",411394,444205,341900,362389,386888,468570,468019,511004,489572,507200,519335,489180,509579,517845
"49000","Utah state total","7","CA5N","400","23","      Construction",3960575,3855755,3825167,4161907,4776543,5972457,6524081,5876064,4894059,4784169,4880905,5479271,5749752,6279797
