"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"50000","Vermont state total","1","CA5N","10","...","Personal income",18346953,18811949,19634905,20861783,21336918,22796077,23979255,25035599,24535499,25073118,26771396,27729733,28107555,29090044
"50000","Vermont state total","1","CA5N","20","...","Population (persons) 2/",612223,615442,617858,619920,621215,622892,623481,624151,624817,625792,626450,626138,626855,626562
"50000","Vermont state total","1","CA5N","30","...","Per capita personal income (dollars)",29968,30567,31779,33652,34347,36597,38460,40111,39268,40066,42735,44287,44839,46428
"50000","Vermont state total","1","CA5N","35","...","Earnings by place of work",13174899,13641264,14235306,15093412,15623333,16096049,16573850,16995743,16587083,17047650,17955200,18497338,18998987,19608483
"50000","Vermont state total","1","CA5N","36","...","  less: Contributions for government social insurance 3/",1522650,1553544,1621840,1709998,1796115,1884118,1991077,2053812,2031973,2056464,1929118,2002016,2313661,2408790
"50000","Vermont state total","1","CA5N","37","...","    Employee and self-employed contributions for government social insurance",800736,825696,863410,915009,967267,1021407,1086465,1110290,1094798,1102806,911084,926525,1208873,1266981
"50000","Vermont state total","1","CA5N","38","...","    Employer contributions for government social insurance",721914,727848,758430,794989,828848,862711,904612,943522,937175,953658,1018034,1075491,1104788,1141809
"50000","Vermont state total","1","CA5N","42","...","  plus: Adjustment for residence 4/",244596,239817,237502,264222,271143,292967,310533,301923,336541,346152,297614,312925,318337,343364
"50000","Vermont state total","1","CA5N","45","...","  equals: Net earnings by place of residence",11896845,12327537,12850968,13647636,14098361,14504898,14893306,15243854,14891651,15337338,16323696,16808247,17003663,17543057
"50000","Vermont state total","1","CA5N","46","...","  plus: Dividends, interest, and rent 5/",3777590,3629926,3794672,4091587,3835227,4506845,4906911,5128888,4584002,4389082,5047474,5389665,5319057,5516912
"50000","Vermont state total","1","CA5N","47","...","  plus: Personal current transfer receipts",2672518,2854486,2989265,3122560,3403330,3784334,4179038,4662857,5059846,5346698,5400226,5531821,5784835,6030075
"50000","Vermont state total","1","CA5N","50","...","  Wages and salaries",9346529,9562295,9875081,10383822,10723977,11224891,11663959,12066713,11812026,12032882,12383122,12799748,13203795,13652827
"50000","Vermont state total","1","CA5N","60","...","  Supplements to wages and salaries",2193994,2353799,2554783,2753839,2921250,2872010,3040002,3182400,3045300,3091427,3431220,3483527,3608348,3587207
