"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"53000","Washington state total","8","CA5N","10","...","Personal income",198969613,203533310,211586552,227292539,236240040,256127539,277550637,291759984,281686722,288694995,305628042,326496701,331031362,350321729
"53000","Washington state total","8","CA5N","20","...","Population (persons) 2/",5985722,6052349,6104115,6178645,6257305,6370753,6461587,6562231,6667426,6741911,6822112,6896325,6973742,7061530
"53000","Washington state total","8","CA5N","30","...","Per capita personal income (dollars)",33241,33629,34663,36787,37754,40204,42954,44460,42248,42821,44800,47344,47468,49610
"53000","Washington state total","8","CA5N","35","...","Earnings by place of work",151666134,154631018,159873653,168502552,177221936,189678828,201790410,207759978,201684155,206876997,216162651,228624034,236311242,249711353
"53000","Washington state total","8","CA5N","36","...","  less: Contributions for government social insurance 3/",18148607,18548365,19317401,20546648,21862179,23188776,24430835,25013166,24789343,25438011,23958010,24780521,28971574,30319628
"53000","Washington state total","8","CA5N","37","...","    Employee and self-employed contributions for government social insurance",8318550,8580981,8832812,9297507,9953945,10821667,11590001,12065669,11882741,11983275,9814994,10237667,13804501,14577704
"53000","Washington state total","8","CA5N","38","...","    Employer contributions for government social insurance",9830057,9967384,10484589,11249141,11908234,12367109,12840834,12947497,12906602,13454736,14143016,14542854,15167073,15741924
"53000","Washington state total","8","CA5N","42","...","  plus: Adjustment for residence 4/",2409621,2493068,2473253,2918770,3140915,3175085,3550226,3457895,3252695,3074234,3332341,3379082,3391187,3353062
"53000","Washington state total","8","CA5N","45","...","  equals: Net earnings by place of residence",135927148,138575721,143029505,150874674,158500672,169665137,180909801,186204707,180147507,184513220,195536982,207222595,210730855,222744787
"53000","Washington state total","8","CA5N","46","...","  plus: Dividends, interest, and rent 5/",37847654,38232832,40597389,48014540,47747312,54217765,61715345,65290618,56148917,54040061,60091970,69147572,69347533,72149490
"53000","Washington state total","8","CA5N","47","...","  plus: Personal current transfer receipts",25194811,26724757,27959658,28403325,29992056,32244637,34925491,40264659,45390298,50141714,49999090,50126534,50952974,55427452
"53000","Washington state total","8","CA5N","50","...","  Wages and salaries",109689454,110416725,113070544,118020292,124542645,134850708,145238170,150162581,146352093,147985400,154979490,164187779,170597978,181978361
"53000","Washington state total","8","CA5N","60","...","  Supplements to wages and salaries",24631238,25330749,27171138,29671688,31516334,32333466,35092188,37230888,36452964,38545044,38685136,40183475,40610723,41753707
"53000","Washington state total","8","CA5N","61","...","    Employer contributions for employee pension and insurance funds 6/",14801181,15363365,16686549,18422547,19608100,19966357,22251354,24283391,23546362,25090308,24542120,25640621,25443650,26011783
"53000","Washington state total","8","CA5N","62","...","    Employer contributions for government social insurance",9830057,9967384,10484589,11249141,11908234,12367109,12840834,12947497,12906602,13454736,14143016,14542854,15167073,15741924
"53000","Washington state total","8","CA5N","70","...","  Proprietors' income 7/",17345442,18883544,19631971,20810572,21162957,22494654,21460052,20366509,18879098,20346553,22498025,24252780,25102541,25979285
"53000","Washington state total","8","CA5N","71","...","    Farm proprietors' income",399419,559182,1010966,1011398,549551,570799,971179,626810,558425,1086732,1871392,1631264,1619683,1252950
"53000","Washington state total","8","CA5N","72","...","    Nonfarm proprietors' income",16946023,18324362,18621005,19799174,20613406,21923855,20488873,19739699,18320673,19259821,20626633,22621516,23482858,24726335
"53000","Washington state total","8","CA5N","81","111-112","  Farm earnings",1572561,1651547,2161325,2138364,1868087,1817547,2199861,2206284,2108892,2536378,3233246,3439575,3452556,3181300
"53000","Washington state total","8","CA5N","82","...","  Nonfarm earnings",150093573,152979471,157712328,166364188,175353849,187861281,199590549,205553694,199575263,204340619,212929405,225184459,232858686,246530053
"53000","Washington state total","8","CA5N","90","113-814","    Private nonfarm earnings",122922640,123945130,126770979,133597875,140742424,151567074,160826468,163922028,156230635,159805197,168224667,179419304,187334532,199683532
"53000","Washington state total","8","CA5N","100","113-115","      Forestry, fishing, and related activities",1424648,1459144,1523074,1664852,1716350,1912518,1868519,1831560,1738265,2016052,2004759,2359932,2369266,2513395
"53000","Washington state total","8","CA5N","101","113","        Forestry and logging",497191,484420,475203,520777,514657,539342,522145,491396,406380,495636,528935,638160,663331,690190
