"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"55000","Wisconsin state total","3","CA5N","10","...","Personal income",164764680,169128407,174812203,183894824,190293393,202289270,211378404,219886069,217246585,220826360,233131994,243096269,245437590,254404802
"55000","Wisconsin state total","3","CA5N","20","...","Population (persons) 2/",5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5689268,5708785,5724888,5742953,5757564
"55000","Wisconsin state total","3","CA5N","30","...","Per capita personal income (dollars)",30473,31060,31905,33350,34311,36268,37674,38980,38320,38815,40837,42463,42737,44186
"55000","Wisconsin state total","3","CA5N","35","...","Earnings by place of work",123995579,128346136,133696159,141386842,145745006,152207065,157093118,160967926,156670221,158212235,166203395,171999825,176477450,182687024
"55000","Wisconsin state total","3","CA5N","36","...","  less: Contributions for government social insurance 3/",14201539,14588449,15069893,15872703,16516902,17407080,17981134,18532672,18012711,18428101,17293989,17813810,20622338,21344568
"55000","Wisconsin state total","3","CA5N","37","...","    Employee and self-employed contributions for government social insurance",7250837,7499471,7731182,8137937,8489691,9021241,9403558,9683946,9395977,9521612,7818057,8045938,10623734,11102872
"55000","Wisconsin state total","3","CA5N","38","...","    Employer contributions for government social insurance",6950702,7088978,7338711,7734766,8027211,8385839,8577576,8848726,8616734,8906489,9475932,9767872,9998604,10241696
"55000","Wisconsin state total","3","CA5N","42","...","  plus: Adjustment for residence 4/",2850866,2652908,2570663,2915058,3090766,3366456,3696256,3769024,3387347,3428994,3641984,3669781,3753723,3930612
"55000","Wisconsin state total","3","CA5N","45","...","  equals: Net earnings by place of residence",112644906,116410595,121196929,128429197,132318870,138166441,142808240,146204278,142044857,143213128,152551390,157855796,159608835,165273068
"55000","Wisconsin state total","3","CA5N","46","...","  plus: Dividends, interest, and rent 5/",30591135,29560792,29761830,30910766,31663246,36201458,38330675,39792381,36015002,35576051,39901192,43763503,43433151,45103691
"55000","Wisconsin state total","3","CA5N","47","...","  plus: Personal current transfer receipts",21528639,23157020,23853444,24554861,26311277,27921371,30239489,33889410,39186726,42037181,40679412,41476970,42395604,44028043
"55000","Wisconsin state total","3","CA5N","50","...","  Wages and salaries",90654202,93036148,96079286,100949253,103862533,108721948,113090028,115979713,110679810,112526318,117021337,121277538,124735784,129573614
"55000","Wisconsin state total","3","CA5N","60","...","  Supplements to wages and salaries",22444279,23475608,24842116,26479108,27853000,28532385,29542520,30567398,31701658,31181757,32830880,33954595,34055317,34552911
"55000","Wisconsin state total","3","CA5N","61","...","    Employer contributions for employee pension and insurance funds 6/",15493577,16386630,17503405,18744342,19825789,20146546,20964944,21718672,23084924,22275268,23354948,24186723,24056713,24311215
"55000","Wisconsin state total","3","CA5N","62","...","    Employer contributions for government social insurance",6950702,7088978,7338711,7734766,8027211,8385839,8577576,8848726,8616734,8906489,9475932,9767872,9998604,10241696
"55000","Wisconsin state total","3","CA5N","70","...","  Proprietors' income 7/",10897098,11834380,12774757,13958481,14029473,14952732,14460570,14420815,14288753,14504160,16351178,16767692,17686349,18560499
"55000","Wisconsin state total","3","CA5N","71","...","    Farm proprietors' income",532108,400243,901256,1152294,971380,667217,1139206,714444,-125589,706495,2157080,1781358,2474107,2476793
"55000","Wisconsin state total","3","CA5N","72","...","    Nonfarm proprietors' income",10364990,11434137,11873501,12806187,13058093,14285515,13321364,13706371,14414342,13797665,14194098,14986334,15212242,16083706
"55000","Wisconsin state total","3","CA5N","81","111-112","  Farm earnings",1192471,1097186,1572412,1895044,1669171,1358859,2084606,1684068,781247,1472936,2868806,2708771,3423879,3565697
"55000","Wisconsin state total","3","CA5N","82","...","  Nonfarm earnings",122803108,127248950,132123747,139491798,144075835,150848206,155008512,159283858,155888974,156739299,163334589,169291054,173053571,179121327
"55000","Wisconsin state total","3","CA5N","90","113-814","    Private nonfarm earnings",104388977,107828654,111459709,118068468,121971763,128067740,131436116,134629297,129833313,130206832,136663223,141801392,146057563,151499546
"55000","Wisconsin state total","3","CA5N","100","113-115","      Forestry, fishing, and related activities",323069,311655,303988,314467,318625,359075,350928,354080,351324,432088,411450,494634,502117,538349
"55000","Wisconsin state total","3","CA5N","101","113","        Forestry and logging",140189,136221,128035,127840,134852,147063,129295,122975,114022,153835,136303,162386,152880,162372
"55000","Wisconsin state total","3","CA5N","102","114","        Fishing, hunting and trapping",7467,7319,7390,8006,7991,9176,8674,7677,7642,10329,9411,10235,10004,10180
"55000","Wisconsin state total","3","CA5N","103","115","        Support activities for agriculture and forestry",175413,168115,168563,178621,175782,202836,212959,223428,229660,267924,265736,322013,339233,365797
"55000","Wisconsin state total","3","CA5N","200","21","      Mining, quarrying, and oil and gas extraction",184808,180472,186560,207062,215462,242808,230654,277448,187101,198058,248803,290005,295470,351480
"55000","Wisconsin state total","3","CA5N","201","211","        Oil and gas extraction","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"55000","Wisconsin state total","3","CA5N","202","212","        Mining (except oil and gas)",163810,156303,157142,176813,179377,191355,180866,178165,159343,164711,186813,221121,235760,286045
"55000","Wisconsin state total","3","CA5N","203","213","        Support activities for mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"55000","Wisconsin state total","3","CA5N","300","22","      Utilities",1102253,1093351,1093900,1231120,1263008,1416692,1351821,1641819,1551583,1546390,1603271,1530471,1613161,1576384
