"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"02000","Alaska state total","8","CA4","10","...","Personal income (thousands of dollars)",1565315,1787169,1969284,2148358,2483103,3011981,4117266,4843292,5026243,5175727,5470056,6204950,7057192,8610173,9368256,9961459,10772149,10868683,10430514,10875485,11938954,12650093,13199663,14093288,14837766,15326225,15739275,16166525,17047974,17823694,18394908,19768637,20830211,21825208,22867997,24114497,25691736,27380164,29516606,32496796,32283659,34103385,36527487,38213009,37791031,39792685
"02000","Alaska state total","8","CA4","11","...","  Nonfarm personal income 1/",1564064,1785320,1967702,2146398,2481392,3010018,4113509,4839501,5021785,5170744,5466687,6201679,7055327,8607759,9365896,9959314,10770489,10862197,10421252,10864982,11933541,12642003,13190983,14084571,14826803,15314214,15726286,16153171,17032359,17806992,18376306,19748227,20810648,21806140,22856637,24100431,25678086,27370818,29507956,32494382,32276590,34094121,36519420,38197834,37776102,39785016
"02000","Alaska state total","8","CA4","12","...","  Farm income 2/",1251,1849,1582,1960,1711,1963,3757,3791,4458,4983,3369,3271,1865,2414,2360,2145,1660,6486,9262,10503,5413,8090,8680,8717,10963,12011,12989,13354,15615,16702,18602,20410,19563,19068,11360,14066,13650,9346,8650,2414,7069,9264,8067,15175,14929,7669
"02000","Alaska state total","8","CA4","20","...","Population (persons) 3/",296000,304328,316494,326494,333232,344696,370973,393115,397363,402191,403544,405315,418493,449606,488418,513704,532496,544269,539310,541984,547160,553290,570193,588736,599432,603308,604412,608569,612968,619932,624779,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,713856,722572,731081,737259,736732
"02000","Alaska state total","8","CA4","30","...","Per capita personal income (dollars) 4/",5288,5873,6222,6580,7452,8738,11099,12320,12649,12869,13555,15309,16863,19150,19181,19391,20230,19969,19340,20066,21820,22863,23149,23938,24753,25404,26041,26565,27812,28751,29442,31481,32870,33978,35268,36577,38521,40545,43388,47271,46192,47773,50552,52269,51259,54012
"02000","Alaska state total","8","CA4","35","...","Earnings by place of work",1437696,1625934,1790363,1961214,2164926,2869521,4437299,5499471,5090323,4976418,5194995,5869559,6783409,7847781,8778250,9291177,9774098,9608885,9045887,9460819,10329518,10946798,11468800,12135033,12586859,12909622,13103599,13314549,13912999,14506719,14873432,15821549,16910800,17858578,18773199,19787889,20922452,22110370,23166783,24279788,25144839,26114807,27592707,29086100,29268168,30059047
"02000","Alaska state total","8","CA4","36","...","Less: Contributions for government social insurance 5/",93668,105479,118327,134133,165446,240732,407514,526293,463244,435197,468145,511068,652684,766421,851555,952299,975994,924670,871201,948591,1047868,1169485,1238602,1306942,1387479,1441874,1454640,1458553,1504896,1548458,1569951,1644167,1737867,1827347,1891089,2014551,2155217,2362291,2461487,2543376,2587408,2680121,2540106,2690706,3122355,3134197
"02000","Alaska state total","8","CA4","37","...","  Employee and self-employed contributions for government social insurance",36855,40636,44239,49230,61693,90597,150426,188757,167666,159481,174149,190637,245365,286435,329459,356493,388438,387594,368967,411502,467397,528641,564913,583672,616827,647349,664616,673132,704827,732101,745534,783715,840321,885322,919586,976316,1038882,1146401,1214894,1263214,1284489,1338753,1100807,1146488,1512535,1562134
"02000","Alaska state total","8","CA4","38","...","  Employer contributions for government social insurance",56813,64843,74088,84903,103753,150135,257088,337536,295578,275716,293996,320431,407319,479986,522096,595806,587556,537076,502234,537089,580471,640844,673689,723270,770652,794525,790024,785421,800069,816357,824417,860452,897546,942025,971503,1038235,1116335,1215890,1246593,1280162,1302919,1341368,1439299,1544218,1609820,1572063
"02000","Alaska state total","8","CA4","42","...","Plus: Adjustment for residence 6/",-25832,-46217,-60199,-75300,-93182,-209408,-611046,-880599,-452588,-324768,-289841,-329377,-457750,-548337,-606810,-620744,-616678,-561725,-526260,-552763,-619012,-651715,-697621,-732008,-751663,-771937,-777588,-804546,-808475,-861611,-860100,-917888,-982378,-889504,-722606,-551824,-384412,-342308,-281484,-174706,-180600,-182597,-200988,-215660,-216448,-230236
"02000","Alaska state total","8","CA4","45","...","Equals: Net earnings by place of residence",1318196,1474238,1611837,1751781,1906298,2419381,3418739,4092579,4174491,4216453,4437009,5029114,5672975,6533023,7319885,7718134,8181426,8122490,7648426,7959465,8662638,9125598,9532577,10096083,10447717,10695811,10871371,11051450,11599628,12096650,12443381,13259494,14190555,15141727,16159504,17221514,18382823,19405771,20423812,21561706,22376831,23252089,24851613,26179734,25929365,26694614
"02000","Alaska state total","8","CA4","46","...","Plus: Dividends, interest, and rent 7/",194329,241058,266539,292508,330382,384247,461659,516993,573434,660199,739893,831672,976923,1212702,1415128,1560759,1703942,1748624,1742700,1798200,2037374,2153977,2194118,2362015,2569253,2764919,2912227,3009926,3175201,3256321,3236069,3431739,3420205,3376763,3462769,3684928,3918068,4381625,5017654,5483644,5168055,5561253,6139510,6626417,6447980,6644390
"02000","Alaska state total","8","CA4","47","...","Plus: Personal current transfer receipts",52790,71873,90908,104069,246423,208353,236868,233720,278318,299075,293154,344164,407294,864448,633243,682566,886781,997569,1039388,1117820,1238942,1370518,1472968,1635190,1820796,1865495,1955677,2105149,2273145,2470723,2715458,3077404,3219451,3306718,3245724,3208055,3390845,3592768,4075140,5451446,4738773,5290043,5536364,5406858,5413686,6453681
"02000","Alaska state total","8","CA4","50","...","Wages and salaries",1127186,1265955,1381476,1509607,1664194,2225923,3561535,4403379,3943397,3743324,3882818,4393714,5238993,6061610,6631068,6956626,7088586,6780364,6421673,6601348,7376285,7808009,8217305,8630690,8961067,9198360,9290692,9517199,9903619,10328924,10482804,11077295,11733847,12331495,12801278,13463175,14257925,15123763,16129296,17033186,17540259,18013163,18791486,19595302,19975602,20683386
"02000","Alaska state total","8","CA4","60","...","Supplements to wages and salaries",200753,233800,271152,298421,332102,416519,601192,734187,757423,757026,783363,874802,1053793,1215386,1363451,1488315,1575596,1560338,1523737,1596297,1782554,1943412,2094972,2302022,2401997,2455911,2440322,2438248,2462869,2551098,2670141,2842352,3162501,3382836,3759474,4035465,4373352,4505786,4699768,4797299,5045034,5239414,5763144,6224856,6239526,6138088
"02000","Alaska state total","8","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",143940,168957,197064,213518,228349,266384,344104,396651,461845,481310,489367,554371,646474,735400,841355,892509,988040,1023262,1021503,1059208,1202083,1302568,1421283,1578752,1631345,1661386,1650298,1652827,1662800,1734741,1845724,1981900,2264955,2440811,2787971,2997230,3257017,3289896,3453175,3517137,3742115,3898046,4323845,4680638,4629706,4566025
