"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"05000","Arkansas state total","5","CA4","10","...","Personal income (thousands of dollars)",5129597,5635770,6273038,7082421,8381299,9361505,10317199,11388677,12666674,14682928,16089892,17371177,19657239,20676166,21988073,24474975,26082631,27399821,28476005,30546100,32776869,34487482,36434402,39744696,41722523,44297617,47104707,50012919,52409055,55652179,57957756,61080264,64256901,65584610,69379756,73843959,77635263,83182071,88819878,93232570,91625136,93486029,99791639,107032727,108080656,112076107
"05000","Arkansas state total","5","CA4","11","...","  Nonfarm personal income 1/",4786947,5224074,5869592,6604399,7473089,8534578,9529844,10757335,11951276,13517454,15105829,17009939,18817123,20043101,21579019,23601359,25227432,26603967,27551252,29212905,31552466,33455502,35323200,38331314,40404113,42848180,45639756,48106715,50613211,54070299,56168186,59392385,62263510,64327104,66980049,71089305,75768676,81696795,86979482,91548232,90485828,92724099,98921138,105582393,105190255,109292650
"05000","Arkansas state total","5","CA4","12","...","  Farm income 2/",342650,411696,403446,478022,908210,826927,787355,631342,715398,1165474,984063,361238,840116,633065,409054,873616,855199,795854,924753,1333195,1224403,1031980,1111202,1413382,1318410,1449437,1464951,1906204,1795844,1581880,1789570,1687879,1993391,1257506,2399707,2754654,1866587,1485276,1840396,1684338,1139308,761930,870501,1450334,2890401,2783457
"05000","Arkansas state total","5","CA4","20","...","Population (persons) 3/",1913000,1930077,1972028,2018116,2058491,2100385,2158291,2168688,2207228,2241019,2269115,2288738,2293204,2294254,2305766,2319767,2327046,2331988,2342357,2342655,2346354,2356586,2383144,2415984,2456303,2494019,2535399,2572109,2601090,2626289,2651860,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2922297,2938430,2949300,2958765,2966369
"05000","Arkansas state total","5","CA4","30","...","Per capita personal income (dollars) 4/",2681,2920,3181,3509,4072,4457,4780,5251,5739,6552,7091,7590,8572,9012,9536,10551,11208,11750,12157,13039,13969,14635,15288,16451,16986,17762,18579,19444,20149,21190,21856,22803,23873,24237,25462,26855,27915,29479,31180,32434,31629,31991,33961,36291,36529,37782
"05000","Arkansas state total","5","CA4","35","...","Earnings by place of work",4129773,4451584,4923230,5619258,6700533,7316183,7749180,8647886,9710387,11397926,12335614,12668068,14057960,14295317,15244048,17314789,18309055,19348036,20539551,22277904,23500013,24824989,26390409,29027860,30490195,32578684,34356887,36240029,37949028,40487982,42823434,44958313,46937955,47788921,51054617,54442245,56211033,58992980,61349604,62255662,60788689,61715922,63952747,67287521,69574391,71897256
"05000","Arkansas state total","5","CA4","36","...","Less: Contributions for government social insurance 5/",278076,296095,340037,404704,524375,608524,638331,744772,847290,987347,1133719,1219986,1422240,1497994,1638329,1868653,2005443,2140765,2251236,2506564,2674759,2965450,3149236,3409381,3618934,3908221,4109682,4251486,4460136,4733618,4962235,5195938,5349797,5513639,5715497,6000765,6353451,6819232,7099080,7392679,7392724,7554949,7067144,7208266,8222758,8576728
"05000","Arkansas state total","5","CA4","37","...","  Employee and self-employed contributions for government social insurance",138455,147866,168593,197254,253428,293346,309728,348680,394404,456221,525754,574503,674843,719365,776723,866068,964908,1041042,1111291,1253025,1372102,1512563,1617055,1749108,1850395,2006157,2103202,2171829,2290437,2413976,2547165,2661585,2766690,2875451,2970539,3127146,3347006,3625448,3798513,3962095,3959976,4054609,3384390,3433739,4420792,4641619
"05000","Arkansas state total","5","CA4","38","...","  Employer contributions for government social insurance",139621,148229,171444,207450,270947,315178,328603,396092,452886,531126,607965,645483,747397,778629,861606,1002585,1040535,1099723,1139945,1253539,1302657,1452887,1532181,1660273,1768539,1902064,2006480,2079657,2169699,2319642,2415070,2534353,2583107,2638188,2744958,2873619,3006445,3193784,3300567,3430584,3432748,3500340,3682754,3774527,3801966,3935109
"05000","Arkansas state total","5","CA4","42","...","Plus: Adjustment for residence 6/",31637,23108,22000,21612,17865,11193,9069,-1008,-6963,-11499,-13479,-3517,-23085,-20496,-50251,-69352,-75322,-101014,-123586,-157488,-161260,-220071,-247591,-271412,-307700,-334488,-304267,-300644,-305288,-306499,-321852,-359616,-349205,-446319,-508492,-544152,-567142,-438913,-372261,-106456,-114921,-142553,-131411,-182842,-208935,-264199
"05000","Arkansas state total","5","CA4","45","...","Equals: Net earnings by place of residence",3883334,4178597,4605193,5236166,6194023,6718852,7119918,7902106,8856134,10399080,11188416,11444565,12612635,12776827,13555468,15376784,16228290,17106257,18164729,19613852,20663994,21639468,22993582,25347067,26563561,28335975,29942938,31687899,33183604,35447865,37539347,39402759,41238953,41828963,44830628,47897328,49290440,51734835,53878263,54756527,53281044,54018420,56754192,59896413,61142698,63056329
"05000","Arkansas state total","5","CA4","46","...","Plus: Dividends, interest, and rent 7/",662244,773464,866053,952973,1103903,1327446,1527843,1657142,1868664,2151927,2457314,3026955,3764228,4332755,4573785,5054460,5572655,5781227,5667776,6047613,6713849,7001199,6957688,7208278,7572212,7998326,8571386,9223440,9723460,10386048,10297181,10936108,11107338,10935832,11157848,11595865,12931330,14615143,16741396,18176887,16333769,15856089,18940466,22806007,22191593,22819029
"05000","Arkansas state total","5","CA4","47","...","Plus: Personal current transfer receipts",584019,683709,801792,893282,1083373,1315207,1669438,1829429,1941876,2131921,2444162,2899657,3280376,3566584,3858820,4043731,4281686,4512337,4643500,4884635,5399026,5846815,6483132,7189351,7586750,7963316,8590383,9101580,9501991,9818266,10121228,10741397,11910610,12819815,13391280,14350766,15413493,16832093,18200219,20299156,22010323,23611520,24096981,24330307,24746365,26200749
"05000","Arkansas state total","5","CA4","50","...","Wages and salaries",2961161,3170301,3483957,3890991,4408280,4935979,5217812,5955348,6740241,7703047,8601359,9307195,10124926,10476370,11238246,12332083,13048087,13838570,14577970,15589778,16455665,17718316,18678622,20196848,21171099,22649341,24066197,25259311,26784551,28569246,30163014,31830512,32970649,33884535,35132010,37232210,39085532,41374318,43530515,44462871,44050521,44809396,46352048,47913742,48793451,50512965
"05000","Arkansas state total","5","CA4","60","...","Supplements to wages and salaries",384761,428293,503832,590610,677606,780905,896774,1035833,1206103,1384229,1551734,1722631,1923764,2058028,2279577,2530552,2726575,2928768,3116547,3374671,3682568,4062831,4382517,4970996,5276968,5589459,5700667,5820953,6054687,6460556,6714682,7036094,7357912,7722529,8352985,8856294,9409008,9702853,10054464,10306322,10277956,10587618,10608646,11332728,11507239,11755110
"05000","Arkansas state total","5","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",245140,280064,332388,383160,406659,465727,568171,639741,753217,853103,943769,1077148,1176367,1279399,1417971,1527967,1686040,1829045,1976602,2121132,2379911,2609944,2850336,3310723,3508429,3687395,3694187,3741296,3884988,4140914,4299612,4501741,4774805,5084341,5608027,5982675,6402563,6509069,6753897,6875738,6845208,7087278,6925892,7558201,7705273,7820001
"05000","Arkansas state total","5","CA4","62","...","  Employer contributions for government social insurance",139621,148229,171444,207450,270947,315178,328603,396092,452886,531126,607965,645483,747397,778629,861606,1002585,1040535,1099723,1139945,1253539,1302657,1452887,1532181,1660273,1768539,1902064,2006480,2079657,2169699,2319642,2415070,2534353,2583107,2638188,2744958,2873619,3006445,3193784,3300567,3430584,3432748,3500340,3682754,3774527,3801966,3935109
"05000","Arkansas state total","5","CA4","70","...","Proprietors' income 9/",783851,852990,935441,1137657,1614647,1599299,1634594,1656705,1764043,2310650,2182521,1638242,2009270,1760919,1726225,2452154,2534393,2580698,2845034,3313455,3361780,3043842,3329270,3860016,4042128,4339884,4590023,5159765,5109790,5458180,5945738,6091707,6609394,6181857,7569622,8353741,7716493,7915809,7764625,7486469,6460212,6318908,6992053,8041051,9273701,9629181
"05000","Arkansas state total","5","CA4","71","...","  Farm proprietors' income",258455,327695,322569,398952,818880,735934,706112,545799,617157,1002036,811664,187426,675900,447150,231549,698096,678660,632550,762534,1144962,1017193,784202,865697,1187055,1066724,1227335,1270828,1689967,1557365,1330673,1534539,1434102,1718712,987843,2124702,2456351,1618859,1242134,1592051,1392521,889900,494040,635179,1163373,2573000,2493550
"05000","Arkansas state total","5","CA4","72","...","  Nonfarm proprietors' income",525396,525295,612872,738705,795767,863365,928482,1110906,1146886,1308614,1370857,1450816,1333370,1313769,1494676,1754058,1855733,1948148,2082500,2168493,2344587,2259640,2463573,2672961,2975404,3112549,3319195,3469798,3552425,4127507,4411199,4657605,4890682,5194014,5444920,5897390,6097634,6673675,6172574,6093948,5570312,5824868,6356874,6877678,6700701,7135631
"05000","Arkansas state total","5","CA4","7010","...","Total employment",799917,805274,830624,867240,901673,927399,904885,941116,981263,1021156,1031309,1032439,1026248,1010727,1039399,1079236,1098411,1110294,1136620,1169911,1189148,1203622,1230169,1255030,1301238,1329036,1382418,1405330,1427163,1444314,1461215,1483356,1484324,1479954,1482748,1504596,1535522,1569147,1586378,1583371,1549414,1544100,1564407,1567455,1570635,1588025
"05000","Arkansas state total","5","CA4","7020","...","  Wage and salary employment",635883,637435,656335,684235,717319,741607,719725,750953,786654,823141,833787,831250,825689,803534,821515,855958,870748,884686,910314,941111,962936,987409,996011,1022390,1052725,1087678,1123528,1140685,1159687,1175697,1194966,1210817,1207936,1203626,1203002,1217038,1234346,1259396,1261861,1262593,1226505,1221252,1225681,1230546,1232039,1245380
"05000","Arkansas state total","5","CA4","7040","...","  Proprietors employment",164034,167839,174289,183005,184354,185792,185160,190163,194609,198015,197522,201189,200559,207193,217884,223278,227663,225608,226306,228800,226212,216213,234158,232640,248513,241358,258890,264645,267476,268617,266249,272539,276388,276328,279746,287558,301176,309751,324517,320778,322909,322848,338726,336909,338596,342645
"05001","Arkansas, AR","5","CA4","10","...","Personal income (thousands of dollars)",73030,84133,84888,95834,135894,161030,143158,147870,151377,208573,195853,196484,234788,237644,243057,270321,274220,279653,271538,301194,306412,317211,325291,360533,376399,393812,428655,454874,458955,474391,484641,479168,507415,501044,573819,602747,564594,595200,618415,658412,665672,651133,687989,734395,805325,792150
"05001","Arkansas, AR","5","CA4","11","...","  Nonfarm personal income 1/",54654,59484,64842,73997,82271,95833,109335,123137,132138,147980,160618,180968,202793,213057,219567,229148,239236,250439,250233,259924,283141,297744,301831,321939,334052,356063,379467,388626,404504,429429,436256,440951,464244,474347,503371,531272,534546,552892,578467,594130,597955,616607,655147,681177,685298,718251
"05001","Arkansas, AR","5","CA4","12","...","  Farm income 2/",18376,24649,20046,21837,53623,65197,33823,24733,19239,60593,35235,15516,31995,24587,23490,41173,34984,29214,21305,41270,23271,19467,23460,38594,42347,37749,49188,66248,54451,44962,48385,38217,43171,26697,70448,71475,30048,42308,39948,64282,67717,34526,32842,53218,120027,73899
"05001","Arkansas, AR","5","CA4","20","...","Population (persons) 3/",23393,23311,23328,23170,23590,23695,23874,24218,23869,24425,24126,24191,24203,24114,23835,23398,23012,22573,22174,21847,21705,21666,21536,21479,21310,21199,21128,21134,20975,20896,20966,20776,20593,20351,19981,19967,19954,19785,19434,19275,19134,19009,18887,18994,18820,18594
