"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"04000","Arizona state total","6","CA4","10","...","Personal income (thousands of dollars)",6309880,7180112,8206023,9404333,10860099,12242125,13161612,14661840,16480188,19438384,22885921,26363186,30118690,31884829,35029874,39699293,44054015,48294793,52226134,56265019,60486975,63383028,66575466,70987974,76430689,83859970,91282721,98948614,107437212,117998818,125530120,137031199,143546204,148881920,156749621,170829432,189357627,210103296,221596785,226573627,216064765,219195775,230920326,241192186,243656863,255092928
"04000","Arizona state total","6","CA4","11","...","  Nonfarm personal income 1/",6110271,7004057,8009635,9203924,10626771,11865832,12950502,14340399,16222164,19129582,22496392,25895550,29713860,31497262,34711095,39183041,43572286,47832603,51603454,55516335,59809215,62754977,65850631,70329156,75656982,83304494,90480653,98232325,106719879,117149472,124712798,136248425,142823722,148144104,156050817,169837663,188392392,209424239,220798482,225951613,215682776,218689505,229956608,240383041,242427830,253972320
"04000","Arizona state total","6","CA4","12","...","  Farm income 2/",199609,176055,196388,200409,233328,376293,211110,321441,258024,308802,389529,467636,404830,387567,318779,516252,481729,462190,622680,748684,677760,628051,724835,658818,773707,555476,802068,716289,717333,849346,817322,782774,722482,737816,698804,991769,965235,679057,798303,622014,381989,506270,963718,809145,1229033,1120608
"04000","Arizona state total","6","CA4","20","...","Population (persons) 3/",1737000,1794912,1896108,2008847,2125281,2224342,2286348,2347976,2427310,2517852,2638582,2737774,2810108,2889860,2968924,3067134,3183539,3308261,3437103,3535183,3622184,3684097,3788576,3915740,4065440,4245089,4432499,4586940,4736990,4883342,5023823,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6411999,6472867,6556236,6634997,6731484
"04000","Arizona state total","6","CA4","30","...","Per capita personal income (dollars) 4/",3633,4000,4328,4681,5110,5504,5757,6244,6789,7720,8674,9629,10718,11033,11799,12943,13838,14598,15195,15916,16699,17204,17573,18129,18800,19755,20594,21572,22680,24164,24987,26553,27220,27590,28446,30222,32429,34848,35929,36077,34063,34185,35675,36788,36723,37895
"04000","Arizona state total","6","CA4","35","...","Earnings by place of work",4990182,5571941,6355561,7349331,8531224,9479740,9703502,10912032,12405572,14720263,17483444,19617010,21796864,22595522,24708093,28286570,31530854,34664186,37552224,40778969,42261670,44403367,47204398,50737594,54753529,60105583,65434192,71598971,77888983,86829653,93668175,103080322,108006399,111394914,116106947,126180303,138299069,153494901,159928324,159805568,149743543,149712061,156700759,163693449,167827311,175367202
"04000","Arizona state total","6","CA4","36","...","Less: Contributions for government social insurance 5/",322189,361663,429885,524531,695027,790974,816242,916127,1061005,1291612,1605806,1821692,2191449,2314955,2580146,3017915,3434650,3804831,4074939,4563387,4873437,5269145,5627105,6016356,6488135,7169201,7483234,8373481,8976283,9784924,10486179,11417314,11946096,12350254,12830700,13897568,15254256,16728805,17695906,17901056,17067080,17129150,15873181,16422955,19165527,20056303
"04000","Arizona state total","6","CA4","37","...","  Employee and self-employed contributions for government social insurance",160396,179606,211186,254323,338400,386803,397925,438502,508175,612880,766742,875159,1062507,1131780,1248454,1437611,1682200,1865863,2009321,2263993,2445147,2627103,2814046,3004587,3250387,3608675,3959686,4249807,4590947,5028861,5430306,5905053,6151764,6363146,6642746,7219625,7987320,8785233,9233500,9326152,8998036,9145084,7577842,7821342,10292595,10821861
"04000","Arizona state total","6","CA4","38","...","  Employer contributions for government social insurance",161793,182057,218699,270208,356627,404171,418317,477625,552830,678732,839064,946533,1128942,1183175,1331692,1580304,1752450,1938968,2065618,2299394,2428290,2642042,2813059,3011769,3237748,3560526,3523548,4123674,4385336,4756063,5055873,5512261,5794332,5987108,6187954,6677943,7266936,7943572,8462406,8574904,8069044,7984066,8295339,8601613,8872932,9234442
"04000","Arizona state total","6","CA4","42","...","Plus: Adjustment for residence 6/",-26103,-29564,-28854,-32032,-30690,-40729,-47002,-47390,-56568,-69852,-71656,-80546,-15653,-8571,2296,5500,18517,38833,65321,107550,165612,226495,222450,249676,266458,277635,295373,325679,361208,409613,470075,529067,581224,587691,585636,623469,710172,814165,1059378,1293777,1230677,1250897,1243529,1334499,1281887,1365185
