"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"06000","California state total","8","CA4","10","...","Personal income (thousands of dollars)",92173937,99440680,106005497,116355563,127636686,142322040,157355533,174492789,193587811,220523113,250027116,283852405,318833657,340836724,368675480,409989187,443346410,476271961,513636748,558066083,601183746,643954932,665001713,701387002,718212128,740997699,779582479,828822422,881903762,961026185,1027198949,1134894388,1175422938,1196317599,1247297158,1324947651,1398952578,1501831207,1565343003,1602748801,1537136355,1583446730,1691002503,1812314643,1849505496,1939527656
"06000","California state total","8","CA4","11","...","  Nonfarm personal income 1/",90507792,97771956,104343472,114231729,124768685,138752224,154155021,171108022,190143854,217135788,245562389,278373856,314584893,336335426,364532821,405186327,438504667,470984131,507162147,551268758,594529006,636979487,658960159,694861676,710743323,733723643,772683473,821014674,873530185,953122834,1018637425,1126441374,1167440762,1187805534,1237649517,1313137967,1387190123,1491854761,1552987790,1592446403,1525693173,1571412339,1676970099,1796831569,1831244171,1921418800
"06000","California state total","8","CA4","12","...","  Farm income 2/",1666145,1668724,1662025,2123834,2868001,3569816,3200512,3384767,3443957,3387325,4464727,5478549,4248764,4501298,4142659,4802860,4841743,5287830,6474601,6797325,6654740,6975445,6041554,6525326,7468805,7274056,6899006,7807748,8373577,7903351,8561524,8453014,7982176,8512065,9647641,11809684,11762455,9976446,12355213,10302398,11443182,12034391,14032404,15483074,18261325,18108856
"06000","California state total","8","CA4","20","...","Population (persons) 3/",19711000,20023181,20345575,20584794,20867737,21172548,21536715,21934505,22350247,22838960,23255069,23800800,24285933,24820007,25360023,25844397,26441107,27102238,27777160,28464250,29218165,29959515,30470736,30974659,31274928,31484435,31696582,32018834,32486010,32987675,33499204,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37336011,37701901,38062780,38431393,38802500
"06000","California state total","8","CA4","30","...","Per capita personal income (dollars) 4/",4676,4966,5210,5653,6116,6722,7306,7955,8662,9656,10752,11926,13128,13732,14538,15864,16767,17573,18491,19606,20576,21494,21824,22644,22964,23535,24595,25885,27147,29133,30663,33391,34091,34306,35381,37244,39046,41693,43182,43786,41588,42411,44852,47614,48125,49985
"06000","California state total","8","CA4","35","...","Earnings by place of work",74596842,78652837,82923696,91785799,101273856,111546517,120788434,135218030,151620482,173858217,198135895,220242675,241216098,255410267,276139806,308687441,335729989,364128449,399651401,437466113,463747587,496059684,512257042,537636254,547328483,563637833,587778009,623807878,669623723,733775358,798624107,892561539,920422283,936025088,972098604,1034658757,1079025721,1137403558,1173527488,1180313690,1125167814,1147934864,1207769345,1290567722,1336664796,1406610607
"06000","California state total","8","CA4","36","...","Less: Contributions for government social insurance 5/",4827173,5017584,5449349,6333131,7973075,9013253,9599500,10977857,12559939,14805558,17663050,19262450,23092685,24994425,27640681,32061047,35322704,38688097,42355341,47729280,51064568,54273221,56411496,58517025,59531314,61692079,63538516,65645276,69727637,75084912,81356074,90069271,94914950,97817094,102878176,112446011,117533982,120861208,122663444,124914063,120967559,121461140,114122447,118735741,139631593,147644717
"06000","California state total","8","CA4","37","...","  Employee and self-employed contributions for government social insurance",2446044,2541798,2732443,3122697,3914710,4443540,4740718,5268060,5992773,6954800,8366363,9028018,11044947,12090375,13268189,15150668,17068687,19008777,21221505,24108686,25910909,27483761,28893512,29993022,30712701,31993237,33264352,34421894,36254621,39102919,42473103,47153058,49335714,50390872,52003543,56116838,59231723,62097475,64052881,66573942,65498076,66275569,56064824,57735582,76296536,81041540
"06000","California state total","8","CA4","38","...","  Employer contributions for government social insurance",2381129,2475786,2716906,3210434,4058365,4569713,4858782,5709797,6567166,7850758,9296687,10234432,12047738,12904050,14372492,16910379,18254017,19679320,21133836,23620594,25153659,26789460,27517984,28524003,28818613,29698842,30274164,31223382,33473016,35981993,38882971,42916213,45579236,47426222,50874633,56329173,58302259,58763733,58610563,58340121,55469483,55185571,58057623,61000159,63335057,66603177
"06000","California state total","8","CA4","42","...","Plus: Adjustment for residence 6/",-142108,-108367,-118595,-121283,-104877,-102222,14342,117598,-22089,-22442,624,-72559,292509,301901,306766,250019,199382,160253,82243,42801,23372,-35287,-25284,-32212,35084,48705,37361,27970,-57256,-59488,-68807,-240981,-226412,1903225,2138882,2516848,1851453,1111473,-330667,-1767362,-1718584,-1855582,-2024418,-2109195,-2171537,-2292331
"06000","California state total","8","CA4","45","...","Equals: Net earnings by place of residence",69627561,73526886,77355752,85331385,93195904,102431042,111203276,124357771,139038454,159030217,180473469,200907666,218415922,230717743,248805891,276876413,300606667,325600605,357378303,389779634,412706391,441751176,455820262,479087017,487832253,501994459,524276854,558190572,599838830,658630958,717199226,802251287,825280921,840111219,871359310,924729594,963343192,1017653823,1050533377,1053632265,1002481671,1024618142,1091622480,1169722786,1194861666,1256673559
"06000","California state total","8","CA4","46","...","Plus: Dividends, interest, and rent 7/",14930172,16613093,17954198,19502628,21682411,24773407,27158041,29123453,32242751,37387404,43067961,52160556,64206748,70431411,77493890,88896470,94936868,99318320,102679254,110935678,125663011,133030864,132456533,133664524,136775568,143179491,154962205,165367567,176239739,190669879,192614245,210465558,214566378,210501595,222008436,238880861,266007600,301894075,322015455,330903905,293529439,291960613,330633045,371014151,372653783,389197658
"06000","California state total","8","CA4","47","...","Plus: Personal current transfer receipts",7616204,9300701,10695547,11521550,12758371,15117591,18994216,21011565,22306606,24105492,26485686,30784183,36210987,39687570,42375699,44216304,47802875,51353036,53579191,57350771,62814344,69172892,76724918,88635461,93604307,95823749,100343420,105264283,105825193,111725348,117385478,122177543,135575639,145704785,153929412,161337196,169601786,182283309,192794171,218212631,241125245,266867975,268746978,271577706,281990047,293656439
"06000","California state total","8","CA4","50","...","Wages and salaries",57931868,61258951,64012638,69888132,76906601,84377932,90887662,100699011,112641527,129104377,146995290,164081481,182104622,192877486,206480887,229161263,249824188,269320910,294010672,319101860,341962088,366832688,371863838,381841463,384081757,395288745,415033441,440424657,475281712,517592617,565624705,638455163,648050300,646099056,666180133,705817557,742559187,791483995,834428905,842860549,799344874,814462982,848495011,903681066,933905600,991162737
