"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"10000","Delaware state total","2","CA4","10","...","Personal income (thousands of dollars)",2445633,2606227,2852424,3133305,3467373,3755784,4049435,4413098,4749267,5211883,5722077,6428975,7076416,7625571,8163545,8995632,9806074,10431043,11269736,12318653,13716907,14403323,15238119,15927657,16547403,17201929,18222617,19495317,20362927,22096770,23258748,25249368,27048901,28114982,28988395,30958274,32598568,35002633,36065926,37404434,37125168,37593546,39540659,41027716,41468429,43391982
"10000","Delaware state total","2","CA4","11","...","  Nonfarm personal income 1/",2390565,2571862,2814805,3084883,3372178,3674270,3958346,4330173,4694421,5152096,5668823,6417196,7034948,7561058,8085949,8900582,9702969,10288301,11157077,12138666,13526215,14263837,15106811,15812877,16441173,17082678,18137911,19377098,20270206,21957382,23120792,25103912,26839635,28029524,28815115,30706252,32308969,34798252,35860930,37176067,36831171,37335882,39306426,40733141,41009079,42856320
"10000","Delaware state total","2","CA4","12","...","  Farm income 2/",55068,34365,37619,48422,95195,81514,91089,82925,54846,59787,53254,11779,41468,64513,77596,95050,103105,142742,112659,179987,190692,139486,131308,114780,106230,119251,84706,118219,92721,139388,137956,145456,209266,85458,173280,252022,289599,204381,204996,228367,293997,257664,234233,294575,459350,535662
"10000","Delaware state total","2","CA4","20","...","Population (persons) 3/",540000,550332,565207,573821,579078,583150,588756,592755,594821,598188,598830,594919,595974,599148,605459,611565,618279,627559,636946,647621,658274,669567,683080,694925,706378,717545,729734,740977,751487,763335,774990,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,899731,907829,916881,925240,935614
"10000","Delaware state total","2","CA4","30","...","Per capita personal income (dollars) 4/",4529,4736,5047,5460,5988,6441,6878,7445,7984,8713,9555,10806,11874,12727,13483,14709,15860,16622,17693,19021,20838,21511,22308,22920,23426,23973,24972,26310,27097,28948,30012,32109,33994,34875,35438,37263,38571,40735,41372,42319,41633,41783,43555,44747,44819,46378
"10000","Delaware state total","2","CA4","35","...","Earnings by place of work",2055246,2170692,2401836,2669710,3012521,3216862,3414908,3733770,3997170,4437484,4861579,5339864,5762801,6213751,6703700,7379401,8071465,8582517,9388689,10313013,11292713,11911474,12434868,13013240,13376956,14000573,14721072,15693836,16749771,18166887,19708612,21097525,22841886,23664512,24370353,25886023,27252211,28751172,29056286,29499649,28828587,29132463,30366298,31395451,32032303,33712455
"10000","Delaware state total","2","CA4","36","...","Less: Contributions for government social insurance 5/",139397,147229,167646,195970,252916,281577,292891,324777,351162,401329,459943,510379,590625,647494,703393,779375,864829,933211,1016326,1149214,1261986,1311929,1377734,1420863,1475749,1571009,1655687,1735064,1842918,1996575,2133745,2236861,2294727,2399037,2500439,2690073,2820396,3001715,3084834,3193319,3123660,3139239,2847283,2978322,3466668,3669677
"10000","Delaware state total","2","CA4","37","...","  Employee and self-employed contributions for government social insurance",67046,71061,80153,91584,118163,132532,137910,149233,161338,181839,210790,236791,277805,306174,329277,357379,405623,443555,487427,557144,619683,645342,680756,698620,727089,778081,827113,870533,920877,1004001,1077693,1130179,1169459,1226918,1282038,1378277,1453696,1551811,1603548,1657891,1626037,1640814,1305521,1372410,1822162,1915277
"10000","Delaware state total","2","CA4","38","...","  Employer contributions for government social insurance",72351,76168,87493,104386,134753,149045,154981,175544,189824,219490,249153,273588,312820,341320,374116,421996,459206,489656,528899,592070,642303,666587,696978,722243,748660,792928,828574,864531,922041,992574,1056052,1106682,1125268,1172119,1218401,1311796,1366700,1449904,1481286,1535428,1497623,1498425,1541762,1605912,1644506,1754400
"10000","Delaware state total","2","CA4","42","...","Plus: Adjustment for residence 6/",-27714,-30112,-46174,-53528,-75440,-79756,-89889,-98940,-113934,-138159,-155487,-191934,-210987,-243251,-289485,-328064,-369931,-398053,-466606,-525145,-617838,-688299,-681579,-724920,-680733,-722195,-848169,-1049092,-1346149,-1456559,-1696964,-1791006,-1882654,-1912981,-1973995,-2034816,-2123784,-2180608,-2113886,-2053990,-1567739,-1763357,-2194058,-2207572,-2170355,-2332203
"10000","Delaware state total","2","CA4","45","...","Equals: Net earnings by place of residence",1888135,1993351,2188016,2420212,2684165,2855529,3032128,3310053,3532074,3897996,4246149,4637551,4961189,5323006,5710822,6271962,6836705,7251253,7905757,8638654,9412889,9911246,10375555,10867457,11220474,11707369,12217216,12909680,13560704,14713753,15877903,17069658,18664505,19352494,19895919,21161134,22308031,23568849,23857566,24252340,24137188,24229867,25324957,26209557,26395280,27710575
"10000","Delaware state total","2","CA4","46","...","Plus: Dividends, interest, and rent 7/",418817,447966,470293,498024,534885,597086,609288,664270,739704,813829,902723,1096006,1332941,1471582,1567132,1774423,1971448,2100146,2239126,2443125,2962515,3051161,3188443,3237908,3378942,3424696,3743469,4078421,4267438,4683524,4566487,5109222,5017220,5136326,5198281,5603922,5771401,6539638,6902541,7028883,6338448,6142233,6668800,7085063,6965505,7254888
