"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"13000","Georgia state total","5","CA4","10","...","Personal income (thousands of dollars)",14943824,16272040,17970425,20160391,22772857,24985794,27002936,29996838,33159873,37625620,42114161,46930712,53090574,57498742,63100546,71482946,78389015,85539433,92052320,100335299,108165689,115537974,121117611,131312440,139467777,150306669,162222883,175284284,186659726,204709346,218195127,236062019,247908983,254126643,262760125,276470328,294531858,315143584,332915058,341179888,330916053,335020826,359046697,369520173,375758231,393593652
"13000","Georgia state total","5","CA4","11","...","  Nonfarm personal income 1/",14526733,15876774,17516914,19692462,21989096,24318122,26371706,29375886,32804044,37067173,41526615,46900140,52577248,56824085,62632552,70535696,77611280,84720929,91168253,99194779,106821486,114291079,119566308,129684649,138008653,148382985,160476097,173444958,184865588,202926274,216265227,234232572,245712333,252501963,260720274,274320368,292075867,313587919,331092928,339033433,329120895,333470248,357630897,366901616,372697174,390995392
"13000","Georgia state total","5","CA4","12","...","  Farm income 2/",417091,395266,453511,467929,783761,667672,631230,620952,355829,558447,587546,30572,513326,674657,467994,947250,777735,818504,884067,1140520,1344203,1246895,1551303,1627791,1459124,1923684,1746786,1839326,1794138,1783072,1929900,1829447,2196650,1624680,2039851,2149960,2455991,1555665,1822130,2146455,1795158,1550578,1415800,2618557,3061057,2598260
"13000","Georgia state total","5","CA4","20","...","Population (persons) 3/",4551000,4605421,4710272,4807151,4906940,4994870,5058535,5126155,5211771,5286148,5391265,5486174,5568346,5649788,5728248,5834943,5962639,6084645,6208479,6316139,6411117,6512602,6653005,6817203,6978240,7157165,7328413,7501069,7685099,7863536,8045965,8227303,8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9714464,9813201,9919000,9994759,10097343
"13000","Georgia state total","5","CA4","30","...","Per capita personal income (dollars) 4/",3284,3533,3815,4194,4641,5002,5338,5852,6362,7118,7812,8554,9534,10177,11016,12251,13147,14058,14827,15886,16872,17741,18205,19262,19986,21001,22136,23368,24289,26033,27119,28693,29594,29868,30473,31527,32997,34420,35606,35895,34396,34487,36588,37254,37596,38980
"13000","Georgia state total","5","CA4","35","...","Earnings by place of work",12921130,13752289,15081837,17000177,19291594,20732959,21679648,24476629,27333299,31177868,34858201,37836951,42206162,45166894,49595297,56815835,62656458,68872371,74584737,81322176,86049656,91538137,95231119,103849775,110312577,118431847,127320020,137553527,146996220,163073008,176783647,190378061,198998682,202825817,209446047,221128259,233090221,246604748,255903543,258479475,247812038,248354942,257866320,269446732,278657403,292801884
"13000","Georgia state total","5","CA4","36","...","Less: Contributions for government social insurance 5/",786208,836767,951796,1128030,1445429,1627734,1679651,1946065,2190434,2552145,2974315,3301653,3919002,4271825,4793019,5611385,6360875,7085215,7617309,8521387,9070310,9696380,10179091,10959588,11712219,12670249,13606615,14539015,15462818,16839394,18150928,19382425,20150584,20550483,21156834,23010020,23996016,25479983,26201238,27305908,26545322,27117581,24925934,25870629,30325746,31868318
"13000","Georgia state total","5","CA4","37","...","  Employee and self-employed contributions for government social insurance",404840,431719,488937,572973,737003,833487,856391,963059,1076514,1248198,1464292,1646161,1975230,2172413,2412848,2777067,3232343,3615049,3903839,4379539,4710090,5019455,5293953,5692562,6119163,6645423,7178758,7651548,8134968,8831067,9548188,10174884,10556128,10818260,11139870,11804821,12437314,13334264,13835677,14429023,14036483,14271863,11581512,12009068,15973700,16897502
"13000","Georgia state total","5","CA4","38","...","  Employer contributions for government social insurance",381368,405048,462859,555057,708426,794247,823260,983006,1113920,1303947,1510023,1655492,1943772,2099412,2380171,2834318,3128532,3470166,3713470,4141848,4360220,4676925,4885138,5267026,5593056,6024826,6427857,6887467,7327850,8008327,8602740,9207541,9594456,9732223,10016964,11205199,11558702,12145719,12365561,12876885,12508839,12845718,13344422,13861561,14352046,14970816
"13000","Georgia state total","5","CA4","42","...","Plus: Adjustment for residence 6/",-96402,-85785,-82102,-73692,-71014,-70384,-58171,-88808,-105291,-86578,-97742,-105476,-36222,-76889,-119585,-154681,-168228,-216532,-226212,-228312,-192159,-112889,-131756,-178474,-182084,-237477,-341260,-375716,-449194,-586903,-602115,-734871,-785171,-1277984,-1181061,-1080570,-1246898,-1062322,-627025,-912754,-842945,-812753,-970177,-1105182,-1398880,-1606545
