"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"15000","Hawaii state total","8","CA4","10","...","Personal income (thousands of dollars)",3646550,4229452,4589275,5053789,5594397,6365247,6935988,7463349,8075045,8963468,10050552,11460741,12391045,13076982,14419849,15454096,16453428,17468188,18623163,20461349,22865408,24931086,26366349,28424752,29472164,30121287,30776621,30785523,31791726,32276378,33252800,35107972,36346822,38046865,39848922,43084829,46110790,49616959,52658521,55477851,55340365,56732435,59179393,61983952,62437294,65347949
"15000","Hawaii state total","8","CA4","11","...","  Nonfarm personal income 1/",3530604,4099816,4462639,4926774,5461689,6031622,6736713,7293434,7894180,8798824,9860609,11089961,12195683,12850461,14088681,15223410,16240006,17220295,18393156,20209922,22629438,24683090,26147813,28220934,29270166,29925166,30589311,30601677,31597402,32068245,33020142,34879294,36122905,37809240,39611536,42847626,45861690,49370444,52423630,55304975,55158640,56571107,59021389,61758768,62187725,65068531
"15000","Hawaii state total","8","CA4","12","...","  Farm income 2/",115946,129636,126636,127015,132708,333625,199275,169915,180865,164644,189943,370780,195362,226521,331168,230686,213422,247893,230007,251427,235970,247996,218536,203818,201998,196121,187310,183846,194324,208133,232658,228678,223917,237625,237386,237203,249100,246515,234891,172876,181725,161328,158004,225184,249569,279418
"15000","Hawaii state total","8","CA4","20","...","Population (persons) 3/",743000,762920,791580,818104,841851,858121,875052,892335,915749,928816,950050,967710,978195,993780,1012717,1027922,1039698,1051762,1067917,1079827,1094588,1113491,1136754,1158613,1172838,1187536,1196854,1203755,1211640,1215233,1210300,1213519,1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1363950,1378251,1392766,1408987,1419561
"15000","Hawaii state total","8","CA4","30","...","Per capita personal income (dollars) 4/",4908,5544,5798,6177,6645,7418,7926,8364,8818,9650,10579,11843,12667,13159,14239,15034,15825,16608,17439,18949,20890,22390,23194,24533,25129,25365,25715,25575,26239,26560,27475,28931,29648,30693,31850,33830,35669,37883,40024,41643,41093,41594,42938,44504,44314,46034
"15000","Hawaii state total","8","CA4","35","...","Earnings by place of work",3045387,3475403,3714822,4081960,4522831,5129371,5497282,5912709,6413305,7075871,7957756,9011121,9525770,10151681,11007669,11691846,12472421,13360465,14451244,16084480,17855721,19800335,21018369,22433707,22956594,23158692,23166196,23133098,23777542,23986091,24726119,26130858,27242187,28981469,30867895,33159850,35388335,37538929,39113806,40168500,39600173,40371088,42163800,44201614,45085927,46743776
"15000","Hawaii state total","8","CA4","36","...","Less: Contributions for government social insurance 5/",182336,211188,235647,273546,348219,399942,442188,483695,522277,597365,700452,777294,896182,946020,1036284,1135299,1237204,1350897,1476513,1695822,1886964,2178010,2344975,2493977,2542966,2587928,2585644,2589811,2630063,2671330,2740108,2889203,3047811,3256583,3503497,3679716,3948368,4248387,4440602,4529566,4473557,4716524,4496928,4645613,5408826,5424361
"15000","Hawaii state total","8","CA4","37","...","  Employee and self-employed contributions for government social insurance",80319,91252,100600,114469,149626,173574,188669,202321,221983,256300,301305,338772,398120,429215,464537,499328,562924,621955,687778,799371,904093,1043967,1127347,1184931,1214566,1251561,1272806,1281862,1304516,1343937,1386782,1458778,1541650,1638212,1732187,1857545,1994552,2144631,2278783,2353173,2314984,2337248,1913901,1965315,2580523,2713677
"15000","Hawaii state total","8","CA4","38","...","  Employer contributions for government social insurance",102017,119936,135047,159077,198593,226368,253519,281374,300294,341065,399147,438522,498062,516805,571747,635971,674280,728942,788735,896451,982871,1134043,1217628,1309046,1328400,1336367,1312838,1307949,1325547,1327393,1353326,1430425,1506161,1618371,1771310,1822171,1953816,2103756,2161819,2176393,2158573,2379276,2583027,2680298,2828303,2710684
"15000","Hawaii state total","8","CA4","42","...","Plus: Adjustment for residence 6/",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
