"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"17000","Illinois state total","3","CA4","10","...","Personal income (thousands of dollars)",48573584,51639877,55448181,60156806,67032643,73316761,80076194,86911427,95536857,105451880,115662707,125267355,138797538,146883163,153272385,168779744,177588231,186842150,197670677,212990719,226785013,240750225,245973750,266535770,275770452,290484504,308423705,328069414,346357612,366677466,381400089,409650174,421549095,426752583,434774151,454822359,475288066,508525494,537795638,556031689,531433218,541261128,569680879,593049235,599118968,613671539
"17000","Illinois state total","3","CA4","11","...","  Nonfarm personal income 1/",47664974,50921740,54568406,59162930,65198926,71652377,77624299,85212582,93835686,103957141,113841279,124901771,137290911,145980938,153768582,167565622,175883216,185428445,196253014,212148933,224627125,239005159,245014665,264500662,274080307,288198489,307840422,325585203,344240017,365158357,380335269,407857740,419877991,425777682,432860653,451142643,473585990,506648745,534719335,551373578,528754481,538610832,564177242,589871615,590853956,609588497
"17000","Illinois state total","3","CA4","12","...","  Farm income 2/",908610,718137,879775,993876,1833717,1664384,2451895,1698845,1701171,1494739,1821428,365584,1506627,902225,-496197,1214122,1705015,1413705,1417663,841786,2157888,1745066,959085,2035108,1690145,2286015,583283,2484211,2117595,1519109,1064820,1792434,1671104,974901,1913498,3679716,1702076,1876749,3076303,4658111,2678737,2650296,5503637,3177620,8265012,4083042
"17000","Illinois state total","3","CA4","20","...","Population (persons) 3/",11039000,11124681,11205816,11258111,11260248,11273745,11306351,11360274,11406312,11434421,11422782,11434702,11443461,11423413,11408817,11412128,11399803,11387256,11391176,11390186,11409782,11453316,11568964,11694184,11809579,11912585,12008437,12101997,12185715,12271847,12359020,12434161,12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12796778,12840097,12858725,12873763,12890552,12880580
"17000","Illinois state total","3","CA4","30","...","Per capita personal income (dollars) 4/",4400,4642,4948,5343,5953,6503,7082,7650,8376,9222,10126,10955,12129,12858,13435,14790,15578,16408,17353,18699,19876,21020,21262,22792,23351,24385,25684,27109,28423,29880,30860,32946,33755,34071,34627,36126,37692,40219,42360,43620,41529,42154,44303,46067,46477,47643
"17000","Illinois state total","3","CA4","35","...","Earnings by place of work",41052667,43017370,45883249,49853845,55680574,60325624,64225368,70112648,77547250,86067688,94298180,98027599,105952530,108147279,111846677,124678467,132287437,140422612,151006539,164756937,174987781,185335751,188847204,204263052,212338465,224109874,235231039,249450505,264582825,280362254,297256757,317271747,327756484,333244659,340418512,357187796,369089061,390522387,406113721,415045109,395114678,399829526,420133648,434733913,445963275,457157475
"17000","Illinois state total","3","CA4","36","...","Less: Contributions for government social insurance 5/",2715381,2810221,3073529,3517127,4489589,5078072,5194481,5881006,6516119,7466380,8483873,8931375,10249310,10689876,11259202,12809534,13762566,14681096,15562408,17396136,18513003,19273292,20214806,21319763,22492338,24002162,25277079,26331985,27786806,29386550,30784655,32341155,33139974,33641641,34503451,36554563,38639937,40443735,42263792,43050940,41164320,41818772,39280671,40979352,47218125,48950820
"17000","Illinois state total","3","CA4","37","...","  Employee and self-employed contributions for government social insurance",1318070,1370218,1491376,1672033,2118958,2404803,2483531,2724516,2983748,3377917,3885995,4168393,4843303,5087787,5293017,5879178,6546014,7050970,7566750,8524348,9259925,9650582,10204396,10721216,11312940,12093571,12829747,13374596,14140362,14953829,15715939,16494559,16939880,17237822,17576112,18381492,19195131,20386043,21581399,22305938,21573764,21774917,17779389,18189609,24297308,25523377
"17000","Illinois state total","3","CA4","38","...","  Employer contributions for government social insurance",1397311,1440003,1582153,1845094,2370631,2673269,2710950,3156490,3532371,4088463,4597878,4762982,5406007,5602089,5966185,6930356,7216552,7630126,7995658,8871788,9253078,9622710,10010410,10598547,11179398,11908591,12447332,12957389,13646444,14432721,15068716,15846596,16200094,16403819,16927339,18173071,19444806,20057692,20682393,20745002,19590556,20043855,21501282,22789743,22920817,23427443
"17000","Illinois state total","3","CA4","42","...","Plus: Adjustment for residence 6/",62943,-17582,-60024,-82719,-100029,-117352,-139635,-129787,-67653,10523,90052,196171,114188,30289,15573,-48539,-93673,-131718,-202964,-302927,-323728,-272051,-322380,-410230,-592362,-686370,-930315,-936970,-954578,-1036905,-1149398,-1383336,-1734366,-1930881,-2177158,-2164832,-2183840,-1828204,-1224158,-810700,-1813934,-1824889,-2239242,-2015003,-2134317,-2254863
