"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"18000","Indiana state total","3","CA4","10","...","Personal income (thousands of dollars)",19196644,19957960,21704434,23747835,27244965,29138385,31453320,34953336,38692559,43178542,47589948,51176800,56129291,58057065,60856657,67573875,71325420,75220555,79856399,85438311,93122680,98288101,101120415,109582337,115567139,122830283,128383921,135673335,142738061,154099123,160523430,171312810,175574922,177602541,182387960,191311542,196345532,208244807,216065863,225168064,216953123,223204478,236923198,248345693,251598605,261092396
"18000","Indiana state total","3","CA4","11","...","  Nonfarm personal income 1/",18648701,19579578,21110530,23243777,26020223,28407788,30362305,33884770,37977051,42456414,46927483,50806510,55831934,57757880,61123999,66829666,70652537,74650992,79102784,85163882,92169401,97437892,100891315,108747646,114716626,122016414,128049509,134489727,141589301,153343954,160065038,170453332,174521448,177143558,181138988,189284685,195030364,207123452,214581524,222926385,215480765,221649389,234244820,246051013,246363407,257440607
"18000","Indiana state total","3","CA4","12","...","  Farm income 2/",547943,378382,593904,504058,1224742,730597,1091015,1068566,715508,722128,662465,370290,297357,299185,-267342,744209,672883,569563,753615,274429,953279,850209,229100,834691,850513,813869,334412,1183608,1148760,755169,458392,859478,1053474,458983,1248972,2026857,1315168,1121355,1484339,2241679,1472358,1555089,2678378,2294680,5235198,3651789
"18000","Indiana state total","3","CA4","20","...","Population (persons) 3/",5143000,5203700,5249921,5296129,5329122,5349886,5351080,5371552,5405075,5446403,5474909,5490721,5480440,5467918,5450396,5458322,5459214,5454103,5473023,5491733,5523679,5557798,5616388,5674547,5739019,5793526,5851459,5906013,5955267,5998880,6044969,6091866,6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6490308,6516560,6537632,6570713,6596855
"18000","Indiana state total","3","CA4","30","...","Per capita personal income (dollars) 4/",3733,3835,4134,4484,5112,5447,5878,6507,7159,7928,8692,9321,10242,10618,11166,12380,13065,13792,14591,15558,16859,17685,18005,19311,20137,21201,21940,22972,23968,25688,26555,28122,28652,28850,29433,30693,31272,32884,33868,35047,33588,34390,36357,37987,38291,39578
"18000","Indiana state total","3","CA4","35","...","Earnings by place of work",16574436,16838210,18091561,19910300,22996079,24090895,25149435,28390557,31610987,35493138,38890672,39717985,42537661,42571480,44442253,49988035,52924066,55966638,60465117,65087423,70208161,73916256,76409365,82835344,87523121,93363356,96909730,102076317,107715879,116581606,123182041,130402683,132443362,134738434,139341615,146977329,150756149,157434758,160944632,163728778,153358564,158084715,166769702,174671767,180357823,186497975
"18000","Indiana state total","3","CA4","36","...","Less: Contributions for government social insurance 5/",1096673,1114825,1227316,1440491,1863475,2088993,2120039,2437921,2753994,3190079,3630443,3713820,4296362,4390144,4660404,5257594,5686013,6055515,6434344,7215371,7737032,8408008,8884162,9455074,10062353,10900339,11415785,11792090,12409007,13175751,13815048,14396263,14582080,14955286,15468453,16252557,16985936,17860742,18373593,18798554,18032124,18447743,17110195,17805803,20678776,21521595
"18000","Indiana state total","3","CA4","37","...","  Employee and self-employed contributions for government social insurance",563340,574536,631941,726288,932591,1051185,1069871,1198099,1335545,1532798,1764267,1838924,2147659,2205253,2312732,2560195,2851117,3049799,3269462,3680460,4002979,4337011,4609180,4904166,5231674,5675911,5966823,6164203,6493348,6858453,7205553,7500371,7634928,7864575,8080178,8482712,8843808,9391185,9713245,9990775,9627696,9853237,8046023,8345589,10980885,11490797
"18000","Indiana state total","3","CA4","38","...","  Employer contributions for government social insurance",533333,540289,595375,714203,930884,1037808,1050168,1239822,1418449,1657281,1866176,1874896,2148703,2184891,2347672,2697399,2834896,3005716,3164882,3534911,3734053,4070997,4274982,4550908,4830679,5224428,5448962,5627887,5915659,6317298,6609495,6895892,6947152,7090711,7388275,7769845,8142128,8469557,8660348,8807779,8404428,8594506,9064172,9460214,9697891,10030798
"18000","Indiana state total","3","CA4","42","...","Plus: Adjustment for residence 6/",45264,78143,139686,178707,220775,281642,329396,387074,445299,499853,577929,690885,748798,810235,838467,983873,1057924,1135475,1185583,1283979,1350197,1492097,1500572,1656679,1876962,2008341,2289081,2427142,2555464,2583911,2836228,3123855,3384392,2869053,2772297,2859402,2677280,2922457,3646003,3871134,4478792,4276873,4454696,4396812,4730727,5134658
"18000","Indiana state total","3","CA4","45","...","Equals: Net earnings by place of residence",15523027,15801528,17003931,18648516,21353379,22283544,23358792,26339710,29302292,32802912,35838158,36695050,38990097,38991571,40620316,45714314,48295977,51046598,55216356,59156031,63821326,67000345,69025775,75036949,79337730,84471358,87783026,92711369,97862336,105989766,112203221,119130275,121245674,122652201,126645459,133584174,136447493,142496473,146217042,148801358,139805232,143913845,154114203,161262776,164409774,170111038
"18000","Indiana state total","3","CA4","46","...","Plus: Dividends, interest, and rent 7/",2394126,2655751,2910187,3129301,3556727,4098073,4582997,4939765,5533505,6133995,6879637,8382688,10325931,11473966,12064266,13290429,14010888,14649126,14931265,15992642,18113310,19129942,18716287,19258921,20091700,21522276,23450252,24853589,26285303,28804588,28117778,30447006,30308672,29463873,29234869,29659286,29333449,32743835,35243648,36294488,32873898,31985856,35428035,38160973,37920165,39363800
"18000","Indiana state total","3","CA4","47","...","Plus: Personal current transfer receipts",1279491,1500681,1790316,1970018,2334859,2756768,3511531,3673861,3856762,4241635,4872153,6099062,6813263,7591528,8172075,8569132,9018555,9524831,9708778,10289638,11188044,12157814,13378353,15286467,16137709,16836649,17150643,18108377,18590422,19304769,20202431,21735529,24020576,25486467,26507632,28068082,30564590,33004499,34605173,40072218,44273993,47304777,47380960,48921944,49268666,51617558
"18000","Indiana state total","3","CA4","50","...","Wages and salaries",13168309,13519880,14266808,15747434,17633489,18930239,19250548,21772952,24445354,27489676,30280928,31181355,33618494,33550633,35009429,38287517,40547627,42798750,46014410,49823888,52835573,55760172,57844970,61535425,64911452,69485755,73158274,76517253,81056496,87044130,91587831,95775772,96496186,98009747,100524218,105582202,108670096,113132985,116663683,118169279,111500175,114449316,119250104,124676083,127632526,132381851
"18000","Indiana state total","3","CA4","60","...","Supplements to wages and salaries",1519274,1595619,1769753,2074657,2362990,2591912,2873225,3282380,3846682,4390332,4920041,5224142,5718396,5985663,6543536,7188627,7797871,8549497,9198642,10138452,11157776,12045914,12936473,14617130,15503605,16438802,16470487,16716665,17255516,18636725,19991679,21742235,22313001,23020230,24271968,25474034,26920951,28154083,29087459,29682333,27252157,28401781,29183174,30773478,30397307,32411223
"18000","Indiana state total","3","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",985941,1055330,1174378,1360454,1432106,1554104,1823057,2042558,2428233,2733051,3053865,3349246,3569693,3800772,4195864,4491228,4962975,5543781,6033760,6603541,7423723,7974917,8661491,10066222,10672926,11214374,11021525,11088778,11339857,12319427,13382184,14846343,15365849,15929519,16883693,17704189,18778823,19684526,20427111,20874554,18847729,19807275,20119002,21313264,20699416,22380425
"18000","Indiana state total","3","CA4","62","...","  Employer contributions for government social insurance",533333,540289,595375,714203,930884,1037808,1050168,1239822,1418449,1657281,1866176,1874896,2148703,2184891,2347672,2697399,2834896,3005716,3164882,3534911,3734053,4070997,4274982,4550908,4830679,5224428,5448962,5627887,5915659,6317298,6609495,6895892,6947152,7090711,7388275,7769845,8142128,8469557,8660348,8807779,8404428,8594506,9064172,9460214,9697891,10030798
"18000","Indiana state total","3","CA4","70","...","Proprietors' income 9/",1886853,1722711,2055000,2088209,2999600,2568744,3025662,3335225,3318951,3613130,3689703,3312488,3200771,3035184,2889288,4511891,4578568,4618391,5252065,5125083,6214812,6110170,5627922,6682789,7108064,7438799,7280969,8842399,9403867,10900751,11602531,12884676,13634175,13708457,14545429,15921093,15165102,16147690,15193490,15877166,14606232,15233618,18336424,19222206,22327990,21704901
"18000","Indiana state total","3","CA4","71","...","  Farm proprietors' income",487990,312586,524521,429096,1132176,611453,959086,915509,542975,580862,505775,204156,129839,106967,-449336,566301,496903,407442,595244,99048,766918,635294,23310,617333,615629,591624,120431,980298,924362,493306,209889,611639,781050,205437,961946,1708761,1011551,834451,1156416,1928068,1127988,1190413,2334721,1888764,4811424,3182433
