"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"22000","Louisiana state total","5","CA4","10","...","Personal income (thousands of dollars)",10705734,11584384,12625010,13808857,15400759,17504388,19685104,22198032,24785106,28369392,32215513,37068679,42736140,45907722,47839547,50914162,52996795,53025000,53216629,56162777,59669915,64267316,67719711,72590741,76204711,81218487,85205189,88954302,93605316,97900408,99953944,105401374,112487599,115334942,118759762,125059934,134131874,143050714,156895483,167924362,163264223,169219327,176202222,186615842,188964765,195426167
"22000","Louisiana state total","5","CA4","11","...","  Nonfarm personal income 1/",10466805,11303536,12307797,13463257,14825977,16895265,19271668,21749441,24337941,28003441,31720847,36901546,42477534,45650349,47612980,50597242,52771953,52795567,52827023,55540942,59209672,63873011,67261106,72024562,75626873,80550696,84543889,88081190,92972355,97444598,99329011,104789981,111840838,114917261,117972041,124280075,133459403,142341073,156078287,167468980,162631313,168593247,175475845,185498762,187460762,194409483
"22000","Louisiana state total","5","CA4","12","...","  Farm income 2/",238929,280848,317213,345600,574782,609123,413436,448591,447165,365951,494666,167133,258606,257373,226567,316920,224842,229433,389606,621835,460243,394305,458605,566179,577838,667791,661300,873112,632961,455810,624933,611393,646761,417681,787721,779859,672471,709641,817196,455382,632910,626080,726377,1117080,1504003,1016684
"22000","Louisiana state total","5","CA4","20","...","Population (persons) 3/",3619000,3650209,3710666,3761967,3788840,3820720,3886963,3951636,4015582,4073288,4139316,4223101,4283297,4352609,4395311,4400474,4408113,4406922,4344151,4288859,4252896,4221532,4253279,4293003,4316428,4347481,4378779,4398877,4421071,4440344,4460811,4471885,4477875,4497267,4521042,4552238,4576628,4302665,4375581,4435586,4491648,4545581,4575972,4604744,4629284,4649676
"22000","Louisiana state total","5","CA4","30","...","Per capita personal income (dollars) 4/",2958,3174,3402,3671,4065,4581,5064,5617,6172,6965,7783,8778,9977,10547,10884,11570,12023,12032,12250,13095,14030,15224,15922,16909,17655,18682,19459,20222,21173,22048,22407,23570,25121,25646,26268,27472,29308,33247,35857,37858,36348,37227,38506,40527,40819,42030
"22000","Louisiana state total","5","CA4","35","...","Earnings by place of work",8960633,9499824,10309882,11330164,12708091,14296687,15886663,18193852,20458233,23610010,26864947,30340839,34688465,36207441,36633866,38813036,39664297,38894075,39198829,41708162,43663019,47261778,49708934,52886159,55016537,58304128,61163358,64210010,67976298,71383748,73504627,77404464,82418861,85129587,88899068,93196622,96829997,104070252,110383498,119140446,116564919,120670426,124435213,129972047,133708892,139668051
"22000","Louisiana state total","5","CA4","36","...","Less: Contributions for government social insurance 5/",568661,591555,657611,756693,960060,1117582,1242685,1453806,1626699,1932527,2276998,2593577,3176956,3376480,3378249,3663380,3775180,3646400,3608668,4013986,4273434,4759649,5134617,5381050,5633953,6083492,6383912,6695520,7087815,7528947,7650144,7905528,8344845,8637545,8883521,9167220,9387720,10068077,10737175,11404764,11367021,11629337,10697815,11032845,12984900,13568075
"22000","Louisiana state total","5","CA4","37","...","  Employee and self-employed contributions for government social insurance",285144,297856,329122,372115,472115,553225,613726,701249,773626,908907,1079931,1248724,1545835,1643667,1627926,1727571,1844520,1809012,1810145,2026875,2204092,2447019,2654824,2777384,2932524,3180244,3349335,3483481,3697330,3921650,4001318,4125494,4377263,4547817,4680104,4846759,5028064,5451012,5812248,6190803,6190214,6409186,5246730,5406280,7121551,7504743
"22000","Louisiana state total","5","CA4","38","...","  Employer contributions for government social insurance",283517,293699,328489,384578,487945,564357,628959,752557,853073,1023620,1197067,1344853,1631121,1732813,1750323,1935809,1930660,1837388,1798523,1987111,2069342,2312630,2479793,2603666,2701429,2903248,3034577,3212039,3390485,3607297,3648826,3780034,3967582,4089728,4203417,4320461,4359656,4617065,4924927,5213961,5176807,5220151,5451085,5626565,5863349,6063332
"22000","Louisiana state total","5","CA4","42","...","Plus: Adjustment for residence 6/",4167,3917,-8426,-20768,-37072,-54356,-82798,-111991,-138192,-184311,-228998,-330756,-351254,-330713,-311523,-301526,-272916,-218347,-184867,-165832,-132700,-110900,-126527,-124574,-128835,-148417,-176719,-204262,-218883,-236838,-217348,-230693,-205886,-414366,-701238,-821494,-635699,-28476,-105701,-460452,-472726,-495103,-378319,-298658,-319092,-459370
