"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"25000","Massachusetts state total","1","CA4","10","...","Personal income (thousands of dollars)",24151557,26093306,27884416,30122067,32658962,35287455,37985397,40803404,44419277,49083173,54589962,61455326,68461988,75054202,81578422,92019548,99606265,107410509,116375406,127991216,134970796,139000167,141238542,148539497,154466285,162148912,171547003,182447254,193952126,206185208,219738537,244509478,254460336,255030054,261679425,273639368,285564234,307299784,322243521,334717288,327809225,338985407,359224281,377728405,379381409,396205941
"25000","Massachusetts state total","1","CA4","11","...","  Nonfarm personal income 1/",24086518,26025664,27822427,30061013,32590357,35220214,37918417,40729485,44342533,48982469,54502400,61352336,68348645,74924974,81416452,91839678,99449005,107238238,116225713,127822678,134822226,138852266,141071494,148373777,154308047,162005543,171407956,182287733,193791013,206083736,219635342,244384186,254357820,254907060,261555685,273500686,285445558,307178591,322124195,334568218,327695624,338865345,359096608,377549003,379191708,396041494
"25000","Massachusetts state total","1","CA4","12","...","  Farm income 2/",65039,67642,61989,61054,68605,67241,66980,73919,76744,100704,87562,102990,113343,129228,161970,179870,157260,172271,149693,168538,148570,147901,167048,165720,158238,143369,139047,159521,161113,101472,103195,125292,102516,122994,123740,138682,118676,121193,119326,149070,113601,120062,127673,179402,189701,164447
"25000","Massachusetts state total","1","CA4","20","...","Population (persons) 3/",5650000,5703706,5738589,5762122,5783809,5776992,5762138,5748868,5744097,5742923,5746188,5746075,5768685,5771222,5799405,5840774,5880734,5902677,5935205,5979983,6015478,6022639,6018470,6028709,6060569,6095241,6141445,6179756,6226058,6271838,6317345,6361104,6397634,6417206,6422565,6412281,6403290,6410084,6431559,6468967,6517613,6564073,6612270,6655829,6708874,6745408
"25000","Massachusetts state total","1","CA4","30","...","Per capita personal income (dollars) 4/",4275,4575,4859,5228,5647,6108,6592,7098,7733,8547,9500,10695,11868,13005,14067,15755,16938,18197,19608,21403,22437,23080,23468,24639,25487,26603,27933,29523,31152,32875,34783,38438,39774,39742,40744,42674,44596,47940,50103,51742,50296,51643,54327,56752,56549,58737
"25000","Massachusetts state total","1","CA4","35","...","Earnings by place of work",19510216,20819344,22014616,23901540,26116003,27713969,28838468,31383371,34510629,38649963,43273881,47921777,52469691,56344442,62127626,70762323,77617556,84408732,92667241,102086667,106308273,107559195,107525679,114101636,118941997,125181410,131823551,140698988,150352129,160619000,174931687,196093282,202548385,201778527,205005854,217322157,223390153,235354002,246969528,253516795,247809030,257459351,269233098,281101191,287705089,301712100
"25000","Massachusetts state total","1","CA4","36","...","Less: Contributions for government social insurance 5/",1262442,1326803,1447544,1651342,2074659,2275270,2295487,2555938,2817424,3248074,3796032,4215003,4981239,5483837,6141234,7225044,8002230,8882894,9650681,10787273,11166070,11186434,11383673,11984709,12586234,13379471,14167745,14934511,15992078,17059665,18308020,20252599,20769058,20727978,20942509,22730342,23793659,24647933,25854574,26700198,26325831,26802138,24983183,25816263,30099306,31679936
"25000","Massachusetts state total","1","CA4","37","...","  Employee and self-employed contributions for government social insurance",590593,624933,680605,755108,947842,1050617,1064606,1149153,1255206,1424101,1684126,1905405,2282033,2533673,2799875,3201589,3687048,4156158,4578232,5160557,5473400,5518383,5682051,5957807,6252641,6663614,7121908,7518292,8087773,8654267,9336163,10310956,10555035,10630982,10773136,11344536,11906933,12467130,13198582,13673318,13443134,13676524,11224222,11589904,15531575,16471945
"25000","Massachusetts state total","1","CA4","38","...","  Employer contributions for government social insurance",671849,701870,766939,896234,1126817,1224653,1230881,1406785,1562218,1823973,2111906,2309598,2699206,2950164,3341359,4023455,4315182,4726736,5072449,5626716,5692670,5668051,5701622,6026902,6333593,6715857,7045837,7416219,7904305,8405398,8971857,9941643,10214023,10096996,10169373,11385806,11886726,12180803,12655992,13026880,12882697,13125614,13758961,14226359,14567731,15207991
"25000","Massachusetts state total","1","CA4","42","...","Plus: Adjustment for residence 6/",-126014,-105292,-105441,-103931,-124488,-141799,-152576,-173044,-219318,-279407,-364443,-482759,-621970,-747355,-918086,-1176169,-1371298,-1495311,-1666121,-1882635,-2033861,-2076012,-2238433,-2347656,-2564002,-2767433,-2829796,-3098055,-3406988,-3607017,-4191426,-5057576,-5089239,-4472651,-3877598,-5131483,-5138617,-5225404,-6053943,-5971698,-5418770,-5676006,-6305122,-6898410,-6770524,-6921603
